time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/episodes,train/n_updates,train/critic_loss,train/learning_rate,train/actor_loss,eval/mean_ep_length,eval/mean_reward
168,2328,21.03,32.58282646,13,116,2215,0.3218415180842082,0.001,-8.333712768554687,,
168,2418,21.57,34.12632907,14,120,2305,0.31776776488708414,0.001,-8.588586807250977,,
,2500,,,,,2393,0.34962688250975177,0.001,-8.731594822623514,22.15,37.80246380865574
163,2505,21.9,35.67687196,15,124,,,,,,
163,2592,22.07,37.242379619999994,15,128,2479,0.3097063735837028,0.001,-9.129717159271241,,
163,2681,22.1,37.6398688,16,132,2568,0.26335563273592427,0.001,-9.225590445778586,,
163,2771,22.12,37.66579533,16,136,2657,0.318674703007159,0.001,-9.554198785261674,,
162,2860,22.12,37.65905739,17,140,2747,0.28944766318256204,0.001,-9.995777303522283,,
162,2949,22.13,37.66500087,18,144,2836,0.28089955720034515,0.001,-9.973007202148438,,
162,3039,22.13,37.67116856,18,148,2926,0.23004428365013815,0.001,-10.474440748041326,,
162,3129,22.14,37.681305650000006,19,152,3015,0.2913952354680408,0.001,-10.586653449318625,,
162,3217,22.12,37.646154380000006,19,156,3104,0.3254793259230527,0.001,-10.45523669502952,,
162,3306,22.13,37.65667687,20,160,3192,0.3149301079304322,0.001,-11.097009976704916,,
162,3395,22.12,37.63917415,20,164,3282,0.3020213185386224,0.001,-11.160025076432662,,
162,3483,22.11,37.63436264,21,168,3370,0.286889064041051,0.001,-11.811791159889914,,
162,3573,22.13,37.66176475,22,172,3459,0.389386355229046,0.001,-11.512826832857998,,
162,3662,22.14,37.67678376,22,176,3549,0.22070242600007492,0.001,-12.086991570212625,,
161,3752,22.14,37.68351397,23,180,3639,0.30756427056115604,0.001,-12.000035719438033,,
161,3840,22.13,37.6691768,23,184,3727,0.30297997255216946,0.001,-11.996386788108133,,
162,3930,22.14,37.67074667,24,188,3816,0.28725079803363135,0.001,-12.504807392756144,,
163,4019,22.16,37.70731332999999,24,192,3905,0.2876624471761964,0.001,-12.311886007135564,,
162,4106,22.15,37.69015498,25,196,3993,0.5034329376437447,0.001,-12.517014763572,,
162,4196,22.17,37.715547889999996,25,200,4084,0.3647855811792871,0.001,-12.802150249481201,,
163,4284,22.17,37.711725810000004,26,204,4172,0.4482931697910482,0.001,-13.130718838084828,,
162,4372,22.17,37.71776929,26,208,4260,0.5704291171353796,0.001,-13.229846636454264,,
162,4461,22.18,37.72912747,27,212,4348,0.31978897885842755,0.001,-13.188325881958008,,
162,4548,22.2,37.76540645,27,216,4436,0.31706586276943033,0.001,-13.594085086475719,,
163,4638,22.2,37.77797892,28,220,4524,0.5030681064183061,0.001,-13.495589342984287,,
162,4726,22.21,37.78202857,29,224,4613,0.3251153366132216,0.001,-13.83622845736417,,
162,4814,22.22,37.80416016,29,228,4701,0.3334017836234786,0.001,-13.98165243322199,,
162,4902,22.21,37.78667565,30,232,4789,0.3078837326981805,0.001,-14.183809193697842,,
163,4990,22.19,37.74957202,30,236,4877,0.38419968296181073,0.001,-14.299180551008744,,
,5000,,,,,4899,0.44915592060847714,0.001,-13.996438980102539,22.15,37.802462962269786
161,5078,22.18,37.74046508,31,240,4965,0.35758981108665466,0.001,-14.337803580544211,,
161,5168,22.19,37.757560670000004,32,244,5055,0.5885702534155413,0.001,-14.332778237082742,,
161,5258,22.19,37.76669879,32,248,5144,0.4716778235590976,0.001,-14.754347483317057,,
161,5349,22.2,37.78345767,33,252,5235,0.47288151424039493,0.001,-14.53949243372137,,
161,5439,22.22,37.81671812,33,256,5325,0.5625754066488959,0.001,-14.951231176202947,,
161,5528,22.22,37.8154314,34,260,5415,0.5613609227267179,0.001,-14.711756532842463,,
162,5615,22.2,37.783502410000004,34,264,5502,0.34790651297027414,0.001,-15.523611502213912,,
162,5703,22.2,37.783728849999996,35,268,5590,0.382635317065499,0.001,-14.932859160683371,,
162,5791,22.18,37.76000399,35,272,5678,0.511097226453864,0.001,-15.263252019882202,,
162,5878,22.16,37.72751137000001,36,276,5765,0.41127387569709256,0.001,-15.578011426058682,,
162,5966,22.14,37.68872927999999,36,280,5853,0.4779716052792289,0.001,-15.128122849897904,,
162,6053,22.13,37.68294711000001,37,284,5940,0.5012365444140001,0.001,-15.382871367714621,,
