time/fps,time/time_elapsed,time/total_timesteps,train/critic_loss,time/episodes,train/n_updates,train/learning_rate,train/actor_loss,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length
196,1,200,1.2299360033869744,4,50,0.001,1.2971971464157104,50.0,-35.3273745,,
182,2,400,0.05055990867316723,8,250,0.001,0.968450973033905,50.0,-23.040611,,
,,500,0.022558893226087093,,350,0.001,0.959041817188263,,,-10.2698489,50.0
146,4,600,0.01312155419960618,12,450,0.001,0.9608694744110108,50.0,-19.108150999999996,,
153,5,800,0.009981965366750955,16,650,0.001,1.0111770296096803,50.0,-17.457960749999998,,
,,1000,0.011468055183067918,,850,0.001,1.108140025138855,,,-9.68561335,50.0
138,7,1000,,20,,,,50.0,-16.356765499999998,,
142,8,1200,0.016061771027743817,24,1050,0.001,1.2324401140213013,50.0,-15.444040291666667,,
145,9,1400,0.01858519220724702,28,1250,0.001,1.3482498836517334,50.0,-14.523522392857144,,
,,1500,0.033049886468797925,,1350,0.001,1.4402432250976562,,,-10.431332900000003,50.0
137,11,1600,0.02204700466245413,32,1450,0.001,1.5038867855072022,50.0,-13.962812281249999,,
139,12,1800,0.023403749987483024,36,1650,0.001,1.6380574464797975,50.0,-13.521472361111112,,
,,2000,0.03107220582664013,,1850,0.001,1.7266976928710938,,,-12.1514087,50.0
134,14,2000,,40,,,,50.0,-13.039221924999998,,
136,16,2200,0.024269960112869738,44,2050,0.001,1.8856487226486207,50.0,-12.981851045454544,,
137,17,2400,0.026766997389495374,48,2250,0.001,2.009681210517883,50.0,-12.835757895833334,,
,,2500,0.02611855175346136,,2350,0.001,2.105341324806213,,,-11.217029700000001,50.0
132,19,2600,0.026833982840180397,52,2450,0.001,2.169825105667114,50.0,-12.927589903846156,,
134,20,2800,0.05155735045671463,56,2650,0.001,2.2899704074859617,50.0,-12.736102642857144,,
,,3000,0.023914966136217117,,2850,0.001,2.4688212776184084,,,-10.768187600000001,50.0
131,22,3000,,60,,,,50.0,-12.638792416666668,,
132,24,3200,0.03687037743628025,64,3050,0.001,2.569331474304199,50.0,-12.51301484375,,
134,25,3400,0.04426752138882875,68,3250,0.001,2.6778923511505126,50.0,-12.240368485294116,,
,,3500,0.026206221766769885,,3350,0.001,2.7358235263824464,,,-9.8576636,50.0
131,27,3600,0.034519979022443296,72,3450,0.001,2.8327103900909423,50.0,-12.151204833333333,,
132,28,3800,0.0294070553034544,76,3650,0.001,2.9372320556640625,50.0,-12.092524881578948,,
,,4000,0.025723003298044205,,3850,0.001,3.058459243774414,,,-9.722263699999997,50.0
129,30,4000,,80,,,,50.0,-11.955227062500002,,
131,31,4200,0.09823751840740443,84,4050,0.001,3.1648997974395754,50.0,-11.748861904761908,,
132,33,4400,0.0259569625928998,88,4250,0.001,3.2633604526519777,50.0,-11.662456193181818,,
,,4500,0.025333248749375342,,4350,0.001,3.3369258308410643,,,-9.201073300000001,50.0
130,35,4600,0.03515205189585686,92,4450,0.001,3.3811090564727784,50.0,-11.511138500000001,,
131,36,4800,0.027236226610839367,96,4650,0.001,3.5030361557006837,50.0,-11.453728,,
,,5000,0.07419879209250212,,4850,0.001,3.59366979598999,,,-9.297555,50.0
129,38,5000,,100,,,,50.0,-11.310070000000001,,
130,39,5200,0.03613165132701397,104,5050,0.001,3.697282199859619,50.0,-10.35161833,,
131,41,5400,0.03034814041107893,108,5250,0.001,3.7718420124053953,50.0,-10.24133936,,
,,5500,0.03847213637083769,,5350,0.001,3.8674579524993895,,,-9.3333068,50.0
127,43,5600,0.026528275422751903,112,5450,0.001,3.9387953662872315,50.0,-10.26327301,,
127,45,5800,0.02924321059137583,116,5650,0.001,4.032858018875122,50.0,-10.205552309999998,,
,,6000,0.031577857844531536,,5850,0.001,4.1557406806945805,,,-9.2993846,50.0
125,47,6000,,120,,,,50.0,-10.022127569999999,,
126,49,6200,0.03155368160456419,124,6050,0.001,4.257481842041016,50.0,-9.89689716,,
127,50,6400,0.03259509440511465,128,6250,0.001,4.332052955627441,50.0,-9.91009096,,
,,6500,0.03400321237742901,,6350,0.001,4.420643901824951,,,-9.397895799999999,50.0
125,52,6600,0.030122437216341495,132,6450,0.001,4.461299266815185,50.0,-9.910321810000001,,
126,53,6800,0.03299047153443098,136,6650,0.001,4.582667198181152,50.0,-9.748068530000001,,
,,7000,0.03179999001324177,,6850,0.001,4.6794188117980955,,,-8.97830105,50.0
124,56,7000,,140,,,,50.0,-9.752434169999999,,
125,57,7200,0.033723370954394344,144,7050,0.001,4.772582149505615,50.0,-9.58381661,,
126,58,7400,0.049365512803196905,148,7250,0.001,4.905155944824219,50.0,-9.44343659,,
,,7500,0.033685742132365706,,7350,0.001,4.922758464813232,,,-8.891291200000001,50.0
125,60,7600,0.03280343566089869,152,7450,0.001,5.008466777801513,50.0,-9.21031497,,
125,61,7800,0.03372641809284687,156,7650,0.001,5.100280284881592,50.0,-9.195181,,
,,8000,0.0382889536395669,,7850,0.001,5.222034606933594,,,-9.00950465,50.0
125,63,8000,,160,,,,50.0,-9.06757898,,
125,65,8200,0.038408546410501,164,8050,0.001,5.376947498321533,50.0,-9.095310920000001,,
126,66,8400,0.03601733110845089,168,8250,0.001,5.435059719085693,50.0,-9.263672889999999,,
,,8500,0.032784095183014866,,8350,0.001,5.555566444396972,,,-9.22619255,50.0
125,68,8600,0.03742835767567158,172,8450,0.001,5.599907779693604,50.0,-9.26569761,,
125,69,8800,0.03936447817832232,176,8650,0.001,5.715166034698487,50.0,-9.24936535,,
,,9000,0.03587451759725809,,8850,0.001,5.805943222045898,,,-9.285195400000001,50.0
124,72,9000,,180,,,,50.0,-9.20935929,,
124,73,9200,0.03428465597331524,184,9050,0.001,5.9179355430603025,50.0,-9.22962522,,
125,75,9400,0.036153396256268025,188,9250,0.001,6.025673732757569,50.0,-9.254926500000002,,
,,9500,0.03492397654801607,,9350,0.001,6.107086181640625,,,-9.10355835,50.0
124,77,9600,0.03795912779867649,192,9450,0.001,6.146151542663574,50.0,-9.26848544,,
124,78,9800,0.037669301144778726,196,9650,0.001,6.247464199066162,50.0,-9.22716489,,
,,10000,0.03705100197345018,,9850,0.001,6.373056755065918,,,-9.47044575,50.0
122,81,10000,,200,,,,50.0,-9.23676842,,
123,82,10200,0.04548528142273426,204,10050,0.001,6.471943016052246,50.0,-9.13771344,,
123,84,10400,0.03733988095074892,208,10250,0.001,6.61669319152832,50.0,-9.113725599999999,,
,,10500,0.040590783916413783,,10350,0.001,6.6369205093383785,,,-9.33954265,50.0
122,86,10600,0.04293391179293394,212,10450,0.001,6.716888847351075,50.0,-8.938935399999998,,
123,87,10800,0.037559875100851056,216,10650,0.001,6.76493803024292,50.0,-8.87375396,,
,,11000,0.038501667007803914,,10850,0.001,6.875391178131103,,,-9.3124009,50.0
122,89,11000,,220,,,,50.0,-8.81710386,,
123,90,11200,0.0341691031306982,224,11050,0.001,7.000314140319825,50.0,-8.91066705,,
123,92,11400,0.036006666570901874,228,11250,0.001,7.0919663619995115,50.0,-8.892620390000001,,
,,11500,0.03754944317042828,,11350,0.001,7.1468408584594725,,,-8.737738199999999,50.0
122,94,11600,0.039371324554085735,232,11450,0.001,7.188114070892334,50.0,-8.91127917,,
122,96,11800,0.04060339760035277,236,11650,0.001,7.30895414352417,50.0,-8.95575879,,
,,12000,0.037508754581213,,11850,0.001,7.382423057556152,,,-9.97008685,50.0
121,98,12000,,240,,,,50.0,-8.962904709999998,,
122,99,12200,0.03466851983219385,244,12050,0.001,7.4724180793762205,50.0,-8.964705669999999,,
122,101,12400,0.045820554457604884,248,12250,0.001,7.553604240417481,50.0,-9.014900270000002,,
