rollout/ep_len_mean,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/std,train/n_updates,train/explained_variance,train/learning_rate,train/clip_fraction,train/approx_kl,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/loss,eval/mean_reward,eval/mean_ep_length
21.46808510638298,1,3,2048,101.29629423404255,649,,,,,,,,,,,,,
23.61,2,8,4096,111.24686344,510,0.99918133020401,10,0.009775757789611816,0.0003,0.221044921875,0.01974091,0.2,-24.114097237586975,-0.0625163703924045,1313.8831483840943,454.0951843261719,,
,,,5000,,,1.0006052255630493,20,0.01429063081741333,0.0003,0.259423828125,0.02614567,0.2,-24.124812889099122,-0.07123620605561883,1144.073138809204,463.353759765625,250.77186504602432,51.3
21.97,3,13,6144,103.46138692000001,442,,,,,,,,,,,,,
23.93,4,18,8192,113.01240516000001,448,1.0034199953079224,30,0.012212693691253662,0.0003,0.318603515625,0.027925782,0.2,-24.185254788398744,-0.0828939196828287,863.3388330459595,370.6686096191406,,
,,,10000,,,1.0034960508346558,40,0.013179898262023926,0.0003,0.334033203125,0.029364366,0.2,-24.187759017944337,-0.08557813339284621,959.6011686325073,450.9344787597656,412.73184980154036,78.05
24.92,5,24,10240,116.58739818999999,410,,,,,,,,,,,,,
23.74,6,29,12288,110.90091427000002,416,1.0017496347427368,50,0.014797031879425049,0.0003,0.387744140625,0.036944762,0.2,-24.175771236419678,-0.09138673422276042,925.6400629043579,320.3122253417969,,
24.82,7,34,14336,116.57438416000001,420,1.0009409189224243,60,0.02566385269165039,0.0003,0.364404296875,0.037712365,0.2,-24.155201464891434,-0.08598611653433182,781.926283454895,394.2559814453125,,
,,,15000,,,1.0003868341445923,70,0.021293044090270996,0.0003,0.33779296875,0.032277115,0.2,-24.12653426527977,-0.08347740727767813,898.6351667404175,455.84771728515625,313.6617033600807,57.75
26.5,8,40,16384,125.22982922999999,408,,,,,,,,,,,,,
26.9,9,44,18432,125.95135756999998,413,0.9999083280563354,80,0.04303467273712158,0.0003,0.3021484375,0.028450783,0.2,-24.125896555185317,-0.08126137924555224,903.3693698883056,504.6086120605469,,
,,,20000,,,0.9976817965507507,90,0.0477755069732666,0.0003,0.26826171875,0.024536766,0.2,-24.09884585738182,-0.0761537948885234,957.2304515838623,519.0164794921875,289.4436954915524,55.95
27.91,10,50,20480,131.33507329999998,404,,,,,,,,,,,,,
29.47,11,55,22528,139.51350143999997,407,0.9964538216590881,100,0.15125280618667603,0.0003,0.239208984375,0.023249403,0.2,-24.069578838348388,-0.07397562863188796,932.1909391403199,540.25439453125,,
28.67,12,59,24576,135.93028491,413,0.9954556822776794,110,0.21393871307373047,0.0003,0.1951171875,0.020134624,0.2,-24.053025084733964,-0.06656636168190744,959.6073312759399,506.8564147949219,,
,,,25000,,,0.9928485751152039,120,0.28640657663345337,0.0003,0.198046875,0.020064237,0.2,-24.018259584903717,-0.06825188753718976,879.9351341247559,405.1629638671875,299.98120431900026,55.85
30.79,13,65,26624,145.03433081999998,407,,,,,,,,,,,,,
31.51,14,69,28672,148.96225291000002,410,0.9904370903968811,130,0.33578264713287354,0.0003,0.198583984375,0.020173376,0.2,-23.97623881101608,-0.06603516002942342,935.3344175338746,430.9274597167969,,
,,,30000,,,0.9894474148750305,140,0.337768018245697,0.0003,0.19580078125,0.021271864,0.2,-23.945586466789244,-0.06700526215136052,955.959337425232,407.6116027832031,311.1403452605009,58.05
33.47,15,75,30720,159.12287617,404,,,,,,,,,,,,,
33.81,16,80,32768,159.71545933000004,408,0.9879886507987976,150,0.34974318742752075,0.0003,0.20107421875,0.021541934,0.2,-23.927732169628143,-0.06866704935382587,1078.9444345474244,476.9040222167969,,
34.75,17,84,34816,162.61461144999998,411,0.9879468083381653,160,0.31680333614349365,0.0003,0.198779296875,0.021379482,0.2,-23.91478756070137,-0.06629879212705418,973.2463102340698,499.55364990234375,,
,,,35000,,,0.9869366884231567,170,0.3237573504447937,0.0003,0.187060546875,0.019929975,0.2,-23.90594393014908,-0.06427604278724175,1041.3845359802247,524.75537109375,281.7147438839078,52.65
36.3,18,90,36864,170.60849593999998,406,,,,,,,,,,,,,
38.75,19,94,38912,183.58159873,410,0.9862963557243347,180,0.34082651138305664,0.0003,0.17646484375,0.018577885,0.2,-23.8905752658844,-0.06111146010807715,1119.7918306350707,425.6361083984375,,
