time/fps,train/critic_loss,time/time_elapsed,train/n_updates,time/episodes,train/actor_loss,time/total_timesteps,rollout/ep_rew_mean,train/learning_rate,rollout/ep_len_mean,eval/mean_reward,eval/mean_ep_length
269,0.14821543048415334,14,3000,4,-2.5603126517534256,4000,-1836.05575525,0.001,1000.0,,
,0.13098968815803527,,4000,,-2.7399633177518843,5000,,0.001,,-153.43152411058546,1000.0
196,0.40194941592216493,40,7000,8,-6.866737098693847,8000,-1029.976755375,0.001,1000.0,,
,0.419122308075428,,9000,,-8.83233190059662,10000,,0.001,,-247.24227676854935,1000.0
177,0.4641964373588562,67,11000,12,-10.54396584701538,12000,-673.8072312500002,0.001,1000.0,,
,0.6090738384723663,,14000,,-11.660837619781494,15000,,0.001,,223.4082741415594,1000.0
166,0.5431953109502793,95,15000,16,-12.119872245788574,16000,-457.63331562499997,0.001,1000.0,,
,0.5730519503951073,,19000,,-12.252056049346924,20000,,0.001,,598.8966704686638,1000.0
160,,124,,20,,20000,-278.961213,,1000.0,,
163,0.43991130881011486,146,23000,24,-12.006900020599366,24000,-137.44502670833333,0.001,1000.0,,
,0.4519863244742155,,24000,,-12.132438978195191,25000,,0.001,,638.6663744102465,1000.0
161,0.4102935619950295,173,27000,28,-12.825119024276733,28000,-25.63217910714285,0.001,1000.0,,
,0.407311413615942,,29000,,-13.277028705596924,30000,,0.001,,495.14652730450035,1000.0
158,0.3603420662283897,202,31000,32,-13.518632028579711,32000,41.865706218750006,0.001,1000.0,,
,0.35045068356394765,,34000,,-14.170387754440307,35000,,0.001,,617.7047509889992,1000.0
156,0.3474301341027021,230,35000,36,-14.381040727615357,36000,105.91727483333334,0.001,1000.0,,
,0.3392076395601034,,39000,,-15.558171216964721,40000,,0.001,,650.6199897986546,1000.0
154,,259,,40,,40000,165.65122075,,1000.0,,
157,0.3268863202035427,279,43000,44,-16.938897882461546,44000,212.21257320454544,0.001,1000.0,,
,0.3357390713244677,,44000,,-17.232199935913087,45000,,0.001,,733.2352091822773,1000.0
156,0.2776043774932623,306,47000,48,-18.060284423828126,48000,251.8467987083333,0.001,1000.0,,
