rollout/ep_rew_mean,time/time_elapsed,time/episodes,time/fps,rollout/ep_len_mean,time/total_timesteps,train/learning_rate,train/n_updates,train/actor_loss,train/critic_loss,eval/mean_ep_length,eval/mean_reward
6.0,0,4,5391,6.0,24,,,,,,
5.0,0,8,5506,5.0,40,,,,,,
5.916666666666667,0,12,5987,5.916666666666667,71,,,,,,
5.5625,0,16,5963,5.5625,89,,,,,,
5.25,0,20,2180,5.25,105,0.001,3,-0.6446346044540405,1.0197870135307312,,
4.875,0,24,844,4.875,117,0.001,16,-0.8285285532474518,0.05745479588707288,,
4.607142857142857,0,28,587,4.607142857142857,129,0.001,28,-0.9002994298934937,0.025126172850529354,,
4.40625,0,32,469,4.40625,141,0.001,40,-0.9919530749320984,0.008360392414033413,,
4.25,0,36,401,4.25,153,0.001,52,-1.064645528793335,0.004319619775439302,,
4.125,0,40,357,4.125,165,0.001,64,-1.0970367789268494,0.0032764694963892302,,
4.0227272727272725,0,44,321,4.0227272727272725,177,0.001,76,-1.1465585231781006,0.003498612359787027,,
3.9375,0,48,299,3.9375,189,0.001,88,-1.1697026491165161,0.003672329398492972,,
3.8653846153846154,0,52,282,3.8653846153846154,201,0.001,100,-1.219454288482666,0.005098208940277497,,
3.8035714285714284,0,56,269,3.8035714285714284,213,0.001,112,-1.2534414529800415,0.006374628903965156,,
3.75,0,60,258,3.75,225,0.001,124,-1.2589037418365479,0.0047822136742373305,,
3.703125,0,64,249,3.703125,237,0.001,136,-1.291542649269104,0.005404378287494183,,
3.661764705882353,1,68,241,3.661764705882353,249,0.001,148,-1.2845380306243896,0.0099108275026083,,
3.625,1,72,233,3.625,261,0.001,160,-1.333087146282196,0.009774834848940372,,
3.5921052631578947,1,76,228,3.5921052631578947,273,0.001,172,-1.3535256385803223,0.011322772440810999,,
3.5625,1,80,223,3.5625,285,0.001,184,-1.3353533744812012,0.009475406724959612,,
3.5357142857142856,1,84,218,3.5357142857142856,297,0.001,196,-1.375374436378479,0.0070014456287026405,,
3.5113636363636362,1,88,214,3.5113636363636362,309,0.001,208,-1.3352235555648804,0.007135823213805755,,
3.489130434782609,1,92,210,3.489130434782609,321,0.001,220,-1.3853349089622498,0.0088515003832678,,
3.46875,1,96,206,3.46875,333,0.001,232,-1.3953993916511536,0.010807405225932598,,
3.45,1,100,203,3.45,345,0.001,244,-1.4270329475402832,0.013297936568657557,,
3.33,1,104,201,3.33,357,0.001,256,-1.4506533741950989,0.01010433491319418,,
3.29,1,108,198,3.29,369,0.001,268,-1.441071629524231,0.010288902247945467,,
3.1,1,112,196,3.1,381,0.001,280,-1.4598971605300903,0.007020388031378388,,
3.04,2,116,194,3.04,393,0.001,292,-1.4996117949485779,0.013499776522318522,,
3.0,2,120,193,3.0,405,0.001,304,-1.432471752166748,0.010253451919804016,,
3.0,2,124,191,3.0,417,0.001,316,-1.483280599117279,0.014767706394195557,,
3.0,2,128,190,3.0,429,0.001,328,-1.508334755897522,0.01171345884601275,,
3.0,2,132,188,3.0,441,0.001,340,-1.5082499980926514,0.010634580627083778,,
3.0,2,136,187,3.0,453,0.001,352,-1.52889746427536,0.013340529675285021,,
3.0,2,140,185,3.0,465,0.001,364,-1.559325098991394,0.008588168382023772,,
3.0,2,144,183,3.0,477,0.001,376,-1.5081691145896912,0.011196292781581482,,
3.0,2,148,182,3.0,489,0.001,388,-1.5709481835365295,0.009251409055044254,,
3.0,2,152,181,3.0,501,0.001,400,-1.5517452955245972,0.010320230076710383,,
3.0,2,156,180,3.0,513,0.001,412,-1.599455714225769,0.0174100815008084,,
3.0,2,160,179,3.0,525,0.001,424,-1.5778245329856873,0.012123306281864643,,
3.0,3,164,178,3.0,537,0.001,436,-1.6072785258293152,0.012712507508695126,,
3.0,3,168,177,3.0,549,0.001,448,-1.5896685123443604,0.01961650823553403,,
3.0,3,172,176,3.0,561,0.001,460,-1.564102590084076,0.01272395687798659,,
3.0,3,176,175,3.0,573,0.001,472,-1.6101213693618774,0.007907692498217026,,
3.0,3,180,175,3.0,585,0.001,484,-1.5995103120803833,0.018774935354789097,,
3.0,3,184,174,3.0,597,0.001,496,-1.6022749543190002,0.012658597280581793,,
3.0,3,188,173,3.0,609,0.001,508,-1.6908726692199707,0.017526515449086826,,
3.0,3,192,172,3.0,621,0.001,520,-1.6514774560928345,0.010808196229239305,,
3.0,3,196,172,3.0,633,0.001,532,-1.7390227913856506,0.016551367938518524,,
3.0,3,200,171,3.0,645,0.001,544,-1.6490691900253296,0.012392392382025719,,
3.0,3,204,170,3.0,657,0.001,556,-1.6915549635887146,0.01586800782630841,,
3.0,3,208,169,3.0,669,0.001,568,-1.6364070773124695,0.007894885881493488,,
3.0,4,212,168,3.0,681,0.001,580,-1.7044592499732971,0.00982262504597505,,
3.0,4,216,168,3.0,693,0.001,592,-1.6616588830947876,0.013098024452726046,,
3.0,4,220,167,3.0,705,0.001,604,-1.6916738152503967,0.01678381363550822,,
3.0,4,224,166,3.0,717,0.001,616,-1.6881157159805298,0.026611586411794026,,
3.0,4,228,166,3.0,729,0.001,628,-1.76024329662323,0.012936012198527655,,
3.0,4,232,165,3.0,741,0.001,640,-1.7712636590003967,0.011751318039993445,,
3.0,4,236,164,3.0,753,0.001,652,-1.733134150505066,0.013950706149140993,,
3.0,4,240,163,3.0,765,0.001,664,-1.7768237590789795,0.013928949212034544,,
3.0,4,244,163,3.0,777,0.001,676,-1.789258360862732,0.01177160038302342,,
3.0,4,248,162,3.0,789,0.001,688,-1.7842015027999878,0.023467262585957844,,
3.0,4,252,162,3.0,801,0.001,700,-1.6795820593833923,0.018362891239424545,,
