train/n_updates,time/iterations,train/learning_rate,train/std,train/entropy_loss,train/policy_loss,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,train/explained_variance,rollout/ep_len_mean,train/value_loss,time/fps,eval/mean_reward,eval/mean_ep_length
3799,3800,0.0007,0.6843824982643127,-8.30864143371582,-28.472021102905273,19000,-129.50176853,156,-12.103261947631836,156.18,13.898370742797852,121,,
3899,3900,0.0007,0.6786755323410034,-8.246382713317871,-3.2441182136535645,19500,-117.32694667,159,0.8760017827153206,148.5,0.37436643242836,122,,
3999,,0.0007,0.6727066040039062,-8.17007064819336,-5.400323867797852,20000,,,-1.3678441047668457,,2.1263394355773926,,580.2665403150022,1000.0
,4000,,,,,20000,-94.98381977000001,188,,130.5,,105,,
4099,4100,0.0007,0.6684820652008057,-8.121970176696777,-36.74869918823242,20500,-72.97170132999999,191,-0.0036569833755493164,111.38,18.09718894958496,107,,
4199,4200,0.0007,0.6653463840484619,-8.082980155944824,38.657649993896484,21000,-75.40512504,193,-3.8327574729919434,114.17,27.266956329345703,108,,
4299,4300,0.0007,0.6604050397872925,-8.021554946899414,5.254509449005127,21500,-76.53048487999999,195,-0.22211956977844238,115.8,1.0885231494903564,109,,
4399,4400,0.0007,0.6577138900756836,-7.992758274078369,-5.319882869720459,22000,-77.00634644,197,-24.524187088012695,117.73,1.3189764022827148,111,,
4499,4500,0.0007,0.6480799913406372,-7.874680519104004,-3.1723148822784424,22500,-77.00634644,200,-4.9236016273498535,117.73,0.8843900561332703,112,,
4599,4600,0.0007,0.6446325778961182,-7.827487468719482,-3.5820586681365967,23000,-80.48439599,202,-0.23822355270385742,126.56,2.290362596511841,113,,
4699,4700,0.0007,0.6366246938705444,-7.726149082183838,13.344738960266113,23500,-80.48439599,204,-0.012606263160705566,126.56,2.224193811416626,114,,
4799,4800,0.0007,0.6276365518569946,-7.615271091461182,-1.1761916875839233,24000,-84.62858246000002,207,0.2975007891654968,135.95,0.22161217033863068,115,,
4899,4900,0.0007,0.6233522295951843,-7.558706760406494,17.954547882080078,24500,-80.58907556999999,211,-1.7746367454528809,134.78,5.749261379241943,116,,
4999,,0.0007,0.6168556809425354,-7.478097438812256,7.5834269523620605,25000,,,-2.8734660148620605,,2.424891233444214,,645.4281817104668,1000.0
,5000,,,,,25000,-74.20027697,239,,128.6,,104,,
5099,5100,0.0007,0.6075892448425293,-7.355001926422119,6.1910319328308105,25500,-74.20027697,241,0.7488535046577454,128.6,0.6945711970329285,105,,
5199,5200,0.0007,0.6014385223388672,-7.271661281585693,15.493819236755371,26000,-77.34954730999999,244,0.726984828710556,138.81,3.605426073074341,106,,
5299,5300,0.0007,0.5961036682128906,-7.203933238983154,-1.2626200914382935,26500,-76.14675104,246,-0.980722188949585,139.87,0.6151899695396423,107,,
5399,5400,0.0007,0.5894266366958618,-7.112077236175537,3.831533432006836,27000,-76.14675104,249,-5.557299613952637,139.87,0.7724854946136475,108,,
5499,5500,0.0007,0.583442211151123,-7.030116558074951,-12.535933494567871,27500,-79.64797587000001,252,-13.835474014282227,149.42,5.352249622344971,108,,
5599,5600,0.0007,0.575432300567627,-6.920993328094482,15.1943941116333,28000,-79.64797587000001,254,-11.592748641967773,149.42,8.371081352233887,109,,
5699,5700,0.0007,0.5678136348724365,-6.812495708465576,6.138192653656006,28500,-80.78888491000001,257,-0.5011520385742188,158.64,1.283298373222351,110,,
5799,5800,0.0007,0.5597294569015503,-6.7003493309021,11.620755195617676,29000,-80.78888491000001,259,-8.577759742736816,158.64,3.587001085281372,111,,
5899,5900,0.0007,0.5520868897438049,-6.591978549957275,-2.198168992996216,29500,-82.67558601,262,0.5097273886203766,169.33,0.1569834202528,112,,
5999,,0.0007,0.5462440252304077,-6.504528045654297,-8.690855979919434,30000,,,-0.6059163808822632,,2.1889045238494873,,783.6780541971326,1000.0
,6000,,,,,30000,-82.67558601,288,,169.33,,104,,
6099,6100,0.0007,0.5401715040206909,-6.416621685028076,0.9810138940811157,30500,-82.81633035,290,-3.1610422134399414,178.82,1.3458446264266968,105,,
6199,6200,0.0007,0.5346876382827759,-6.33278226852417,13.251861572265625,31000,-82.81633035,293,0.5157586634159088,178.82,6.698398113250732,105,,
6299,6300,0.0007,0.5256572961807251,-6.194127559661865,10.166730880737305,31500,-83.89309733,295,-1.5779285430908203,188.65,2.996661424636841,106,,
6399,6400,0.0007,0.5213984251022339,-6.128623008728027,4.654334545135498,32000,-81.59984800000001,298,-0.663723349571228,190.27,1.1596177816390991,107,,
6499,6500,0.0007,0.5168949961662292,-6.060667991638184,9.685877799987793,32500,-67.77610695,300,-9.622036933898926,172.84,8.790392875671387,108,,
6599,6600,0.0007,0.5143861770629883,-6.021535396575928,24.451841354370117,33000,-64.65617569999999,303,-28.689739227294922,176.29,28.865217208862305,108,,
6699,6700,0.0007,0.5092142820358276,-5.937819957733154,2.488340377807617,33500,-63.99061436,306,-5.968614101409912,178.04,1.068843960762024,109,,
6799,6800,0.0007,0.5030118227005005,-5.842776775360107,-0.24810047447681427,34000,-63.99061436,308,0.6721312701702118,178.04,0.622833251953125,110,,
6899,6900,0.0007,0.49747592210769653,-5.750707149505615,18.1882266998291,34500,-63.60471142999998,310,-2.5392658710479736,189.54,8.576041221618652,111,,
6999,,0.0007,0.4929470121860504,-5.682146072387695,21.997976303100586,35000,,,-1.4403715133666992,,31.96576499938965,,779.6078023910522,1000.0
,7000,,,,,35000,-54.89472564999999,335,,183.34,,104,,
7099,7100,0.0007,0.48697593808174133,-5.58299446105957,1.6638243198394775,35500,-49.87697082,338,-13.101259231567383,174.45,2.4165027141571045,104,,
7199,7200,0.0007,0.48050957918167114,-5.478845596313477,1.9582929611206055,36000,-49.87697082,341,-0.6420512199401855,174.45,0.5906153917312622,105,,
7299,7300,0.0007,0.4777514934539795,-5.436002254486084,0.2992843687534332,36500,-48.654711930000005,344,-4.400683879852295,183.14,0.9761800169944763,106,,
7399,7400,0.0007,0.47101259231567383,-5.321495056152344,-9.932260513305664,37000,-48.654711930000005,346,-10.7955322265625,183.14,3.3779854774475098,106,,
7499,7500,0.0007,0.4661056697368622,-5.237870216369629,-1.7062193155288696,37500,-47.72181401999999,349,-2.2278473377227783,193.25,0.5010847449302673,107,,
7599,7600,0.0007,0.4622318148612976,-5.169693946838379,14.963296890258789,38000,-47.72181401999999,352,-4.7971510887146,193.25,9.631014823913574,107,,
7699,7700,0.0007,0.45619848370552063,-5.064724922180176,-12.628693580627441,38500,-39.41028537999999,354,-1.7503883838653564,192.01,7.460402965545654,108,,
7799,7800,0.0007,0.44962888956069946,-4.9480462074279785,-2.2423717975616455,39000,-38.815769239999995,357,-2.5158588886260986,192.23,0.6213259696960449,109,,
7899,7900,0.0007,0.4433608651161194,-4.841794967651367,-12.31103801727295,39500,-38.815769239999995,360,0.3458736538887024,192.23,3.781906843185425,109,,
7999,,0.0007,0.4385414719581604,-4.749324321746826,16.16754722595215,40000,,,-2.796818971633911,,11.074753761291504,,859.68964362517,1000.0
,8000,,,,,40000,-35.196964079999994,386,,203.97,,103,,
8099,8100,0.0007,0.4332405924797058,-4.65645170211792,-15.127588272094727,40500,-35.196964079999994,388,-0.6882102489471436,203.97,5.279839992523193,104,,
8199,8200,0.0007,0.4264776408672333,-4.530712127685547,3.0896408557891846,41000,-33.42042866,391,-1.774425745010376,213.81,1.4178789854049683,104,,
