train/actor_loss,rollout/ep_len_mean,time/time_elapsed,train/learning_rate,time/episodes,rollout/ep_rew_mean,time/fps,train/n_updates,time/total_timesteps,train/critic_loss,eval/mean_reward,eval/mean_ep_length
-2.6305633830428126,514.75,7,0.001,4,-396.2210799999999,259,1000,2059,0.024238487010763494,,
-3.289250206012279,,,0.001,,,,4000,5000,0.42226163221150637,-2997.2146512746813,1000.0
2.5095961237205193,757.375,48,0.001,8,-1596.2729645,123,5000,6059,0.43444290836900473,,
29.832082004547118,,,0.001,,,,9000,10000,0.5273305586576462,-3002.6830535173417,1000.0
,838.25,93,,12,-2065.2000867499996,107,,10059,,,
49.99170519256592,878.6875,123,0.001,16,-2299.2688086875,113,13000,14059,0.9472558222413063,,
54.27651042175293,,,0.001,,,,14000,15000,1.0406928077340125,-3002.7496856451035,1000.0
64.6258784866333,902.95,167,0.001,20,-2439.8439267500003,107,17000,18059,1.3560889936089515,,
70.20932542419433,,,0.001,,,,19000,20000,1.6118628611564636,-3002.9652611494066,1000.0
53.690179039001464,919.125,210,0.001,24,-2533.544897125,104,21000,22059,1.8720244696736337,,
54.137473358154296,,,0.001,,,,24000,25000,1.121239817649126,-3004.1172798633575,1000.0
58.62810763549805,930.6785714285714,253,0.001,28,-2600.6767651428568,102,25000,26059,1.320802840411663,,
74.30348377990722,,,0.001,,,,29000,30000,1.7168526972532272,-3004.5378787517548,1000.0
,939.34375,293,,32,-2651.01221365625,102,,30059,,,
86.37361318969727,946.0833333333334,321,0.001,36,-2690.3529072499996,105,33000,34059,2.057711688876152,,
88.23267057800292,,,0.001,,,,34000,35000,1.9997212738394736,-3005.894064283371,1000.0
91.23976858520508,951.475,360,0.001,40,-2722.0844376,105,37000,38059,2.6701878678798674,,
90.63099655151368,,,0.001,,,,39000,40000,1.8877444499731064,-3007.3333862781524,1000.0
89.51619087219238,955.8863636363636,400,0.001,44,-2747.8757881590914,104,41000,42059,1.8448808944821358,,
90.57441868591309,,,0.001,,,,44231,45000,2.962581095278263,-3003.1213061928747,1000.0
,943.5416666666666,435,,48,-2718.9718955625,104,,45290,,,
94.9209759979248,947.8846153846154,463,0.001,52,-2736.5027210192306,106,48231,49290,2.4977621855139733,,
84.29173696899414,,,0.001,,,,49231,50000,1.7449477993845939,-2835.7799963831903,972.8
68.94688101196289,934.4642857142857,501,0.001,56,-2686.2889520535714,104,52231,52330,1.5679994912445545,,
61.45784665679932,,,0.001,,,,54271,55000,2.473716648340225,-2167.177694439888,836.6
55.78620958709717,938.8333333333334,534,0.001,60,-2678.885689516667,105,55271,56330,2.8632655157744886,,
58.22080924294212,900.609375,548,0.001,64,-2564.026572203125,104,57563,57639,4.578940619593081,,
59.76205340298739,849.6470588235294,549,0.001,68,-2419.113363897059,105,57705,57776,4.681168343709863,,
58.057219765403055,803.3333333333334,550,0.001,72,-2287.7952310972223,105,57765,57840,5.453453297200411,,
59.03578605651855,761.9605263157895,550,0.001,76,-2169.6273418947367,105,57826,57909,5.94987524151802,,
53.873685121536255,737.25,557,0.001,80,-2096.659384075,105,58892,58980,5.944976633414626,,
52.792102294921875,,,0.001,,,,59921,60000,5.139891014099121,-316.4544298708439,146.6
51.73197333017985,717.047619047619,568,0.001,84,-2028.9099087023812,106,60150,60232,6.645878806710243,,
51.65178235371908,685.8522727272727,569,0.001,88,-1939.7075573977272,106,60281,60355,4.027198796369592,,
51.75184071858724,657.2717391304348,569,0.001,92,-1857.7775775108694,106,60384,60469,4.938496859868367,,
50.95968363952637,642.5,577,0.001,96,-1803.7854256770834,106,61522,61680,5.567147911429405,,
50.39648379701556,619.49,579,0.001,100,-1736.4457124700002,106,61859,61949,5.485179279083596,,
50.22515351144891,604.92,582,0.001,104,-1731.4338563399997,107,62263,62551,4.302005277181927,,
49.70378855655068,566.68,585,0.001,108,-1622.3542297400002,107,62646,62727,5.854222162773735,,
48.488487243652344,548.65,595,0.001,112,-1516.1442603399998,109,63865,64924,5.608661020011232,,
48.39220327758789,,,0.001,,,,64865,65000,4.902315195083618,-117.0431497061858,188.9
48.12685663559858,513.13,605,0.001,116,-1398.85083453,107,65261,65372,4.860877292496817,,
48.050828372730926,484.1,607,0.001,120,-1285.67062009,109,65410,66469,8.639998956160111,,
46.10543441772461,465.09,622,0.001,124,-1167.4393590600002,110,67509,68568,6.008300082683563,,
44.1681502532959,436.61,635,0.001,128,-1049.77162127,109,69598,69720,4.430140178740024,,
43.372510356287805,,,0.001,,,,69661,70000,5.041510303815206,18.409172234404103,478.0
41.05573760223389,420.38,657,0.001,132,-927.33067692,109,71975,72097,3.578469955086708,,
40.088175898012906,385.77,661,0.001,136,-808.06711749,109,72519,72636,3.8573550315613443,,
39.19124081420898,357.32,669,0.001,140,-686.88382669,110,73693,73791,4.0644659718871115,,
38.15629959106445,,,0.001,,,,74898,75000,3.8437299840152264,-8.792844216240336,148.3
,338.98,680,,144,-564.9992372099999,111,,75957,,,
36.66333438873291,332.47,698,0.001,148,-465.97379485,112,77478,78537,3.324797380030155,,
35.43502103562323,298.09,707,0.001,152,-347.66096348000013,111,79026,79099,3.369070575141267,,
35.107715429261674,270.58,709,0.001,156,-265.82603071,111,79247,79388,3.012587411650296,,
35.019276787252984,,,0.001,,,,79610,80000,3.1517873450891294,-57.99016461309511,322.2
,243.39,716,,160,-159.67479339,112,,80669,,,
33.555415573120115,250.85,736,0.001,164,-134.77420913,112,82634,82724,2.9182913731336595,,
32.04822373962402,270.38,750,0.001,168,-126.21737086000002,112,84696,84814,2.6501038377285004,,
31.566973593927198,,,0.001,,,,84817,85000,2.7476476603938687,17.9828325677081,142.8
31.193046469437448,282.0,760,0.001,172,-118.69877018999999,113,85931,86040,2.4940382623881625,,
30.927954628354026,294.04,769,0.001,176,-109.54370993999999,113,87066,87313,2.3152405420939126,,
30.037912147521972,294.42,777,0.001,180,-76.68706793,113,88319,88422,2.6435247324705125,,
29.86467056274414,282.82,778,0.001,184,-49.84947977000001,113,88413,88514,2.75418564081192,,
29.57547336154514,283.71,780,0.001,188,-47.41647894,113,88657,88726,2.8928534852133856,,
28.915854590279714,293.93,788,0.001,192,-41.90774591999999,113,89753,89862,2.8844570375624157,,
28.89352378845215,,,0.001,,,,89803,90000,2.2715678215026855,32.63599018309033,151.7
28.18886930025541,295.86,799,0.001,196,-16.914137889999996,114,91097,91266,2.383759447897988,,
27.993643798828124,304.49,802,0.001,200,-5.673332359999998,115,91339,92398,2.8165420389175413,,
26.956224010836692,301.52,809,0.001,204,5.449723859999998,114,92605,92703,2.8000254797935487,,
25.67156364059448,,,0.001,,,,94884,95000,2.470676918387413,221.53032368779532,529.6
,332.16,831,,208,18.88039992,115,,95943,,,
24.22623675918579,331.22,851,0.001,212,36.19254078000001,115,97908,98046,2.2979406479001043,,
23.11611235141754,,,0.001,,,,99019,100000,1.9946487993001938,410.40516651678735,723.9
