train/n_updates,time/episodes,rollout/ep_len_mean,time/time_elapsed,time/fps,train/actor_loss,train/learning_rate,time/total_timesteps,train/critic_loss,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length
,276,911.39,2887,85,,,245622,,2096.13820305,,
248622,280,912.21,2921,85,-137.43298864746095,0.001,248776,14.495096895694733,2178.92611692,,
249776,,,,,-138.2074559020996,0.001,250000,15.05869308757782,,3596.7783156601713,1000.0
251776,284,928.37,2969,85,-140.2229112701416,0.001,252776,15.52303095960617,2245.2380682499997,,
254879,,,,,-142.0136952119715,0.001,255000,18.087479170086315,,2864.319319787121,888.9
,288,916.12,3012,84,,,255551,,2278.3419800499996,,
258367,292,915.91,3046,85,-146.71743156433106,0.001,259367,16.428604786872864,2306.8461565899997,,
259367,,,,,-146.11944500732423,0.001,260000,16.872929058551787,,2436.713319530815,1000.0
260911,296,906.03,3085,84,-145.6626416015625,0.001,261489,19.728696403503417,2294.8394633699995,,
264489,,,,,-149.1462179260254,0.001,265000,18.23296266222,,3887.880956574902,1000.0
,300,906.03,3138,84,,,265489,,2363.8111784099997,,
268489,304,906.03,3175,84,-151.79622653198243,0.001,269489,19.770114565849305,2434.6830573899992,,
269489,,,,,-152.5198779296875,0.001,270000,19.28670122241974,,2175.7077445300297,1000.0
272489,308,906.03,3230,84,-155.1984549255371,0.001,273489,20.481540310859682,2501.1621317199997,,
274489,,,,,-156.81434573364257,0.001,275000,20.54665224266052,,3444.3901688327255,1000.0
276489,312,914.62,3283,84,-157.6450089416504,0.001,277489,22.083787014961242,2590.77592326,,
279489,,,,,-161.34604922485352,0.001,280000,20.738101009368897,,4064.9924939202147,1000.0
280489,316,936.41,3336,84,-161.47321615600586,0.001,281489,22.017244895935058,2693.1110354199996,,
284489,,,,,-162.84880783081056,0.001,285000,22.231458693504333,,4032.497091988474,1000.0
,320,936.41,3389,84,,,285489,,2721.2513829199997,,
288489,324,942.64,3422,84,-166.26644717407225,0.001,289489,24.846188179016114,2794.87664283,,
289489,,,,,-166.47974954223633,0.001,290000,24.098814804077147,,3290.367534565926,1000.0
291908,328,936.83,3465,84,-168.29610961914062,0.001,292908,23.940122341156005,2821.75171899,,
294908,,,,,-169.81066793823243,0.001,295000,27.29947456073761,,4124.975244999863,1000.0
295908,332,936.83,3514,84,-170.45505065917968,0.001,296908,27.287707151412963,2906.20617508,,
299908,,,,,-174.9678350830078,0.001,300000,27.610572520256042,,2291.377346516563,788.4
,336,936.83,3558,84,,,300908,,2961.772157449999,,
303908,340,931.88,3588,84,-178.97518078613282,0.001,304413,28.32352478313446,2940.19543565,,
304413,,,,,-179.83962855263363,0.001,305000,28.23728726830813,,3618.4818103922066,1000.0
307413,344,931.88,3631,84,-182.72994149780274,0.001,308413,30.40569609928131,3025.292728040001,,
309413,,,,,-183.42535464477538,0.001,310000,29.9845021276474,,4182.432503433805,1000.0
311413,348,931.88,3672,85,-184.10946524047853,0.001,312413,28.94805203819275,3077.3165606199996,,
314413,,,,,-185.9967459716797,0.001,315000,27.802774948120117,,3708.482428104384,963.5
315413,352,931.88,3711,85,-187.12234963989258,0.001,316413,28.58422483444214,3100.40733964,,
319413,,,,,-188.4040562438965,0.001,320000,28.229787282943725,,4148.799947727891,990.2
,356,931.88,3754,85,,,320413,,3147.1142519000005,,
323225,360,936.78,3783,85,-190.7491298828125,0.001,324225,29.837774526596068,3255.5601615499995,,
324225,,,,,-190.81463610839845,0.001,325000,30.95089664363861,,4312.890219660849,1000.0
327225,364,928.65,3824,85,-194.08507339477538,0.001,327412,30.385932542800905,3267.96090385,,
329412,,,,,-194.7752644958496,0.001,330000,30.48104723739624,,4379.887714283354,1000.0
330412,368,937.9,3862,85,-196.19471966552734,0.001,331412,29.57548032951355,3369.4336221400004,,
334412,,,,,-200.06904974365236,0.001,335000,27.955857859611513,,3201.8343348764815,806.7
,372,937.9,3903,85,,,335412,,3400.5524216699996,,
338412,376,928.5,3931,86,-204.2818297729492,0.001,338472,27.650136894226073,3395.2785590599997,,
339472,,,,,-204.43586715698243,0.001,340000,28.741836232185364,,3791.0551662860903,972.4
341472,380,936.96,3965,86,-206.0581494140625,0.001,342472,30.53812340736389,3405.59523806,,
344472,,,,,-208.76121197509767,0.001,345000,28.35042157840729,,3878.2702345603147,892.7
345472,384,936.96,4005,86,-210.63637756347657,0.001,346472,28.29130800819397,3481.9460050600005,,
348556,388,940.05,4027,86,-212.6217649230957,0.001,349556,29.034949411392212,3512.42200053,,
349556,,,,,-212.5694674682617,0.001,350000,27.9222776966095,,3836.7203567661345,1000.0
352556,392,941.89,4069,86,-216.0132364807129,0.001,353556,27.91858467197418,3591.42033583,,
354556,,,,,-217.6397706298828,0.001,355000,31.3205291929245,,3897.8775892421136,1000.0
356556,396,960.67,4110,86,-219.43588696289063,0.001,357556,30.28883668708801,3716.38270451,,
359556,,,,,-221.77312808227538,0.001,360000,31.03121074771881,,4720.668435250967,1000.0
360556,400,960.67,4151,87,-221.49629110717774,0.001,361556,29.2032182226181,3750.6661358099996,,
364357,,,,,-223.9548736190796,0.001,365000,32.03952091374201,,4386.051184334792,980.4
,404,958.68,4190,87,,,365357,,3805.1887334600005,,
368357,408,958.68,4219,87,-226.95369979858398,0.001,369357,32.591262436866764,3828.85325043,,
369357,,,,,-227.44457968139648,0.001,370000,29.339176536560057,,3861.23531700531,874.8
372357,412,958.68,4259,87,-228.50450665283202,0.001,373357,31.55216780281067,3838.1682669400006,,
374680,,,,,-229.91750411045405,0.001,375000,29.113265592616408,,2658.8032295972107,644.4
375680,416,949.2,4291,87,-231.8555498046875,0.001,376409,32.51187433719635,3830.83904086,,
379409,,,,,-236.058603515625,0.001,380000,36.89798166561127,,4587.203288220242,1000.0
,420,949.2,4331,87,,,380409,,3899.5789388600006,,
383409,424,949.2,4359,88,-241.0008237915039,0.001,384409,34.95664520645142,3925.56710446,,
384409,,,,,-243.0342652282715,0.001,385000,39.470610542297365,,4500.477627673512,1000.0
387409,428,955.01,4401,88,-245.89349725341796,0.001,388409,41.29770411109924,3947.0130987299995,,
389306,,,,,-249.3611225561469,0.001,390000,39.238420022902815,,3862.33129824287,1000.0
391306,432,953.98,4441,88,-249.97741952514647,0.001,392306,42.18693728637695,3937.1236156699997,,
394306,,,,,-251.76502053833008,0.001,395000,38.86693046951294,,2553.7386153240923,1000.0
395306,436,953.98,4482,88,-251.3261264038086,0.001,396306,37.780488025665285,3933.1124911100005,,
399306,,,,,-251.26845932006836,0.001,400000,35.13943156719208,,4456.237936066906,930.3
,440,958.93,4522,88,,,400306,,4032.99999114,,
403306,444,958.93,4551,88,-248.92312826538085,0.001,404306,33.357696935653685,3978.651730470001,,
404306,,,,,-248.02970874023438,0.001,405000,36.15994037628174,,3609.2214145606386,881.8
406377,448,949.64,4584,88,-249.76612112862722,0.001,407377,36.59205442079356,3957.231247360001,,
409377,,,,,-252.29482736206054,0.001,410000,33.95007247638702,,4407.40502360923,909.0
410377,452,949.64,4623,88,-253.07606033325195,0.001,411377,35.87340770244598,3957.765701000001,,
414067,,,,,-253.66440612792968,0.001,415000,35.762386759757995,,4496.501027658023,1000.0
,456,946.54,4662,89,,,415067,,3956.9629579700004,,
418067,460,948.42,4691,89,-256.67758444213865,0.001,419067,36.733608449935915,3981.14691083,,
419067,,,,,-257.3823324279785,0.001,420000,39.47409443569183,,3785.7000683356077,861.0
421156,464,940.59,4723,89,-258.4088759765625,0.001,421471,37.52338390064239,3955.7378144299996,,
423909,468,934.97,4743,89,-260.30532510375974,0.001,424909,40.629260243415835,3945.1181903400006,,
424909,,,,,-260.50975665283204,0.001,425000,40.20341431045532,,4637.268268436426,985.2
427586,472,931.74,4781,89,-263.18229501342773,0.001,428586,39.35845708751678,3957.22485888,,
429586,,,,,-265.2068308105469,0.001,430000,39.687414729118345,,4653.113965573628,923.5
431586,476,941.14,4821,89,-267.6233850708008,0.001,432586,41.06840768909454,4018.27062044,,
434586,,,,,-269.369471862793,0.001,435000,42.94178059959412,,4152.141036994942,879.0
435586,480,938.53,4860,89,-270.1716285095215,0.001,436325,42.11918635177612,4081.74535772,,
438711,484,932.39,4883,90,-272.493354095459,0.001,439711,42.66899212551117,4078.31656623,,
439711,,,,,-273.7491781616211,0.001,440000,42.045703823089596,,4835.739921833296,960.5
442711,488,941.55,4924,90,-275.61389947509764,0.001,443711,40.299481048583985,4144.58119734,,
444711,,,,,-277.3412913513184,0.001,445000,41.554242636680605,,4214.56261342112,1000.0
446711,492,940.51,4965,90,-281.3104937133789,0.001,447607,38.16663726425171,4145.89411679,,
449177,,,,,-283.5807970548931,0.001,450000,45.19941059581021,,5074.811668718234,1000.0
450177,496,936.21,5002,90,-284.1321342468262,0.001,451177,41.39332253074646,4157.91076639,,
454177,,,,,-287.2452448425293,0.001,455000,51.48954493141174,,3936.2435251310467,1000.0
,500,936.21,5043,90,,,455177,,4113.8825907,,
458177,504,938.2,5071,90,-288.7278627929687,0.001,459177,42.80309687232971,4086.67426618,,
459177,,,,,-290.10328259277344,0.001,460000,40.63689514923096,,4622.444036803126,976.0
462177,508,938.2,5112,90,-289.6539473876953,0.001,463177,47.78149847126007,4106.8823327,,
464177,,,,,-290.4022776489258,0.001,465000,43.37305125617981,,5053.609682713262,1000.0
466177,512,938.2,5153,90,-289.7873406982422,0.001,467177,44.718354510307314,4109.63212365,,
469177,,,,,-291.7575256347656,0.001,470000,44.30000969982147,,5017.376845308574,1000.0
470177,516,947.68,5195,90,-291.17565936279294,0.001,471177,42.79318542098999,4174.16774857,,
473226,520,938.17,5217,90,-293.29149157714846,0.001,474226,43.23101615905762,4136.93758318,,
474226,,,,,-294.2127501220703,0.001,475000,40.69814895343781,,3888.618203625642,882.8
476584,524,931.75,5252,90,-294.4967071533203,0.001,477584,43.575584173202515,4117.65259943,,
479584,,,,,-295.42584698486326,0.001,480000,47.028141592025754,,4976.235971899982,1000.0
480584,528,931.75,5292,90,-296.9579553222656,0.001,481584,44.706047258377076,4164.07280547,,
484584,,,,,-297.3463843383789,0.001,485000,48.99921389579773,,5049.298427175218,1000.0
,532,932.78,5334,91,,,485584,,4178.42496279,,
488584,536,932.78,5362,91,-299.620712890625,0.001,489584,49.712784746170044,4227.70816731,,
489584,,,,,-301.03628881835937,0.001,490000,48.18602291488647,,4109.97706871666,816.2
492210,540,929.04,5399,91,-304.67884353783944,0.001,493210,48.39474168905435,4219.8326812000005,,
494210,,,,,-307.8387470703125,0.001,495000,57.07845244979858,,4535.0267597833645,979.8
495495,544,921.89,5434,91,-310.03226739587916,0.001,496495,51.390850482070654,4284.75254321,,
498821,548,924.44,5458,91,-315.43430181884764,0.001,499821,61.8985023059845,4299.98672616,,
499821,,,,,-316.19568371582034,0.001,500000,71.47247875976562,,4916.769916428067,1000.0
502821,552,924.44,5498,91,-318.9008169555664,0.001,503821,75.45002486610413,4287.27404162,,
504424,,,,,-322.4951460554793,0.001,505000,70.26342262577366,,2455.6214328488013,980.0
505424,556,913.57,5529,91,-323.54324987792967,0.001,506424,79.13365132522583,4126.71324952,,
509424,,,,,-321.8153932495117,0.001,510000,68.16312516593933,,792.3188706189161,1000.0
,560,913.57,5571,91,,,510424,,3919.542868090001,,
512444,564,919.73,5592,91,-319.4390732421875,0.001,513444,59.03136252975464,3805.07477556,,
514444,,,,,-318.8489962768555,0.001,515000,55.02063159179688,,1307.016307546146,911.0
515488,568,915.79,5619,91,-316.7581329345703,0.001,516488,50.56886001066728,3638.94690812,,
519488,,,,,-314.63690649414065,0.001,520000,50.68829166793823,,1737.5036634425633,921.0
,572,919.02,5653,92,,,520488,,3644.92741877,,
523488,576,919.02,5677,92,-313.68438598632815,0.001,524488,50.016832405090334,3591.5820108400007,,
524649,,,,,-311.8662532806396,0.001,525000,70.76981807495497,,3730.065303422435,931.2
526649,580,913.24,5705,92,-312.4110311279297,0.001,527649,51.87816589546203,3497.2436473699995,,
529649,,,,,-310.6139284057617,0.001,530000,56.65268050765991,,4479.976447232906,1000.0
530221,584,915.1,5737,92,-310.5059453790838,0.001,531221,54.96098812810191,3516.49689659,,
534221,,,,,-308.9906996459961,0.001,535000,57.461302518844604,,5043.752453569323,1000.0
,588,915.1,5779,92,,,535221,,3529.2627070400004,,
538221,592,916.14,5811,92,-309.9022244873047,0.001,539221,58.300876039505006,3504.5241560799996,,
539221,,,,,-309.6059100341797,0.001,540000,62.10005787849426,,4741.08016219479,940.0
542052,596,918.75,5853,92,-310.06404385199914,0.001,543052,64.96254689369248,3515.92857725,,
544052,,,,,-310.610405456543,0.001,545000,55.230206203460696,,4671.4542020272465,1000.0
546052,600,918.75,5897,92,-311.8601302490234,0.001,547052,60.101907119750976,3589.4200893699995,,
549052,,,,,-313.4317113647461,0.001,550000,61.977581804275516,,5298.753522148169,1000.0
550052,604,914.95,5940,92,-313.7878762817383,0.001,550672,59.788276056289675,3639.9957061200007,,
553672,608,914.95,5966,92,-316.6678280029297,0.001,554672,59.19886280822754,3650.2849983800006,,
554672,,,,,-315.3709357299805,0.001,555000,58.999582666397096,,5273.071806697548,1000.0
557672,612,909.23,6007,92,-316.98142907714845,0.001,558100,60.67597535133362,3604.6641837300003,,
559870,,,,,-317.8209541015625,0.001,560000,66.32841390419006,,3733.066440039671,825.9
560227,616,900.5,6037,92,-317.357545145442,0.001,561227,61.32240237174582,3560.4301867300005,,
564227,,,,,-318.7431384277344,0.001,565000,65.91769728279114,,4669.370416094782,913.6
,620,910.01,6077,92,,,565227,,3614.6202264099998,,
568227,624,916.43,6106,93,-323.3707208251953,0.001,569227,67.17580148506164,3660.88278325,,
569227,,,,,-326.0457412109375,0.001,570000,68.52924446868896,,4382.147725101662,851.9
572227,628,916.43,6145,93,-335.7306805419922,0.001,573227,82.35909947586059,3664.8305470600003,,
574227,,,,,-342.0575087890625,0.001,575000,79.67816573333741,,5057.651626296341,1000.0
576227,632,916.43,6185,93,-346.8710438232422,0.001,577227,73.20685034942628,3711.4686718000007,,
579227,,,,,-357.06210552978513,0.001,580000,89.15710042572022,,5212.143851427734,1000.0
580227,636,916.43,6226,93,-363.7429068603516,0.001,581227,86.51131990814208,3645.6508315899996,,
584227,,,,,-376.4262426147461,0.001,585000,118.57953187942505,,1189.9151261501015,967.8
,640,920.17,6267,93,,,585227,,3616.2013624300002,,
588227,644,918.64,6294,93,-384.91213452148435,0.001,588359,144.32226762390135,3378.5363472900003,,
589536,,,,,-382.9191572859481,0.001,590000,145.33992030522595,,-1228.9372717399733,620.8
,648,907.15,6313,93,,,590536,,3173.6824616900003,,
591654,652,878.61,6327,93,-388.3800701904297,0.001,591682,166.82524333190918,3031.633973909999,,
594682,656,882.91,6348,93,-401.1263791503906,0.001,594715,218.90110864257812,2980.9769088000003,,
594715,,,,,-395.939416885376,0.001,595000,223.2816617561109,,-1030.885411770409,607.5
597715,660,882.91,6379,93,-437.00064752197267,0.001,598715,305.5752179107666,2936.2186858499995,,
598804,664,863.6,6387,93,-450.8749027252197,0.001,599804,304.0520974436114,2923.3991120000005,,
599886,,,,,-455.3644036187066,0.001,600000,287.97314580281574,,-787.3838662947004,706.2
,668,843.98,6402,93,,,600886,,2925.67896815,,
603886,672,843.98,6424,94,-470.61064526367187,0.001,604886,227.53277667999268,2703.1815563699997,,
604886,,,,,-472.6511335449219,0.001,605000,216.14657970428468,,-293.0415979735204,1000.0
607886,676,843.98,6459,94,-478.25594232177735,0.001,608886,155.21547646713256,2543.94867896,,
609886,,,,,-470.4239539794922,0.001,610000,136.63909947967528,,-905.8791120230366,921.5
611886,680,845.0,6491,94,-458.8397554321289,0.001,612149,115.23216195678711,2428.39517152,,
614149,,,,,-449.3570346069336,0.001,615000,105.14746005249023,,-276.2246072912254,1000.0
615149,684,849.28,6522,94,-442.49436505126954,0.001,616149,106.90610196304321,2224.52940574,,
619149,,,,,-424.85361071777345,0.001,620000,83.76864409637452,,-558.9735906393444,921.6
,688,849.28,6554,94,,,620149,,1985.52964983,,
622235,692,840.14,6571,94,-413.46061671057413,0.001,623235,101.36325689803722,1823.3795732,,
624235,,,,,-409.91259771728517,0.001,625000,89.33877036857605,,152.0095695485943,704.8
626235,696,841.83,6601,95,-404.5714315185547,0.001,627235,85.50752075767517,1628.4643550199994,,
629286,,,,,-394.99736961951623,0.001,630000,66.04720182979808,,1995.845819416421,832.2
,700,832.34,6627,95,,,630286,,1482.1785401999996,,
633286,704,836.14,6651,95,-384.67172290039065,0.001,634286,77.1762967414856,1420.7411138000002,,
634286,,,,,-381.9101860961914,0.001,635000,82.08304971313477,,2344.3797511308103,851.7
636442,708,827.7,6676,95,-376.26465478515627,0.001,637442,77.80305248641967,1296.9041478900003,,
639442,,,,,-368.8772630615234,0.001,640000,75.15061866188049,,4253.119370267168,900.6
640442,712,833.42,6708,95,-366.66240545654296,0.001,641442,72.26724820518494,1324.7271229400003,,
643925,716,836.98,6729,95,-360.0994496459961,0.001,644925,80.77637816429139,1271.60313344,,
644925,,,,,-356.96946685791016,0.001,645000,71.63039637565613,,2993.019696699362,779.2
647925,720,836.98,6759,96,-353.0451599121094,0.001,648925,73.93593663597107,1253.31899214,,
