time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/episodes,time/fps,rollout/ep_len_mean,train/learning_rate,train/actor_loss,train/critic_loss,train/n_updates,eval/mean_ep_length,eval/mean_reward
0,13.752862,68,4,3337,17.0,,,,,,
0,10.710274875,113,8,1235,14.125,0.001,-0.7661793927351633,0.3187069905300935,12,,
0,9.12672025,141,12,580,11.75,0.001,-0.9118012636899948,0.019505046840224947,40,,
0,8.333583375,169,16,426,10.5625,0.001,-0.9397261440753937,0.006464516278356314,68,,
0,7.852440899999998,197,20,365,9.85,0.001,-0.9749816954135895,0.004680264741182327,96,,
0,7.526660958333333,225,24,328,9.375,0.001,-1.0367715060710907,0.0029714608431926797,124,,
0,7.290759357142856,253,28,305,9.035714285714286,0.001,-1.0670220851898193,0.004187785188800522,152,,
0,7.116817875000001,281,32,289,8.78125,0.001,-1.0979392528533936,0.007415466010570526,180,,
1,6.981457416666668,309,36,277,8.583333333333334,0.001,-1.15140500664711,0.005418966590826001,208,,
1,6.873481125,337,40,268,8.425,0.001,-1.170944094657898,0.004660150967538357,236,,
1,6.786929727272727,365,44,261,8.295454545454545,0.001,-1.2339232861995697,0.0030407176985006246,264,,
1,6.7125484166666665,393,48,254,8.1875,0.001,-1.2619974315166473,0.006721796534423318,292,,
1,6.64829425,421,52,247,8.096153846153847,0.001,-1.2547312378883362,0.004451029002666473,320,,
1,6.594697035714286,449,56,242,8.017857142857142,0.001,-1.2944137752056122,0.004857371827321393,348,,
1,6.5470005,477,60,238,7.95,0.001,-1.331751435995102,0.014536254307521241,376,,
2,6.5095954375,505,64,234,7.890625,0.001,-1.3322061598300934,0.005400603038391897,404,,
2,6.473709588235294,533,68,232,7.838235294117647,0.001,-1.3651431798934937,0.005953872277002249,432,,
2,6.445386750000001,561,72,231,7.791666666666667,0.001,-1.4266722798347473,0.003718339738302997,460,,
2,6.415152960526316,589,76,229,7.75,0.001,-1.4787630140781403,0.004731632569538695,488,,
2,6.391156975000001,617,80,227,7.7125,0.001,-1.4928610622882843,0.00897850442145552,516,,
2,6.366269452380953,645,84,225,7.678571428571429,0.001,-1.5178068280220032,0.0181023338144379,544,,
2,6.344770988636364,673,88,224,7.6477272727272725,0.001,-1.527914583683014,0.007829927739554219,572,,
3,6.325515532608696,701,92,223,7.619565217391305,0.001,-1.5368817448616028,0.006309944737170424,600,,
3,6.308902833333335,729,96,223,7.59375,0.001,-1.561564415693283,0.005960181488522461,628,,
3,7.298244470000002,803,100,227,8.03,0.001,-1.9980011744932695,0.06341047411445867,686,,
3,8.28291068,890,104,225,8.22,0.001,-2.3591983318328857,0.12574545785107397,774,,
4,9.57819063,981,108,225,8.68,0.001,-2.9272299246354536,0.14252346872606061,864,,
4,10.92246065,1071,112,223,9.3,0.001,-3.2464853633533823,0.21092002514911734,955,,
