rollout/ep_rew_mean,time/episodes,time/total_timesteps,time/fps,rollout/ep_len_mean,time/time_elapsed,train/critic_loss,train/actor_loss,train/ent_coef,train/ent_coef_loss,train/learning_rate,train/n_updates,eval/mean_reward,eval/mean_ep_length
-5.357084250000001,4,19,874,4.75,0,,,,,,,,
-6.0000553750000005,8,41,837,5.125,0,,,,,,,,
-5.586376666666666,12,64,826,5.333333333333333,0,,,,,,,,
-6.1666368125,16,88,828,5.5,0,,,,,,,,
-6.0145382000000005,20,108,534,5.4,0,21.33098602294922,-7.539082050323486,0.998192548751831,-0.0338159054517746,0.0003,7,,
-5.623667458333333,24,125,306,5.208333333333333,0,20.15472984313965,-11.809380531311035,0.9929993152618408,-0.13860587775707245,0.0003,24,,
-5.70508775,28,147,217,5.25,0,20.620731353759766,-11.940265655517578,0.9862712621688843,-0.2746966481208801,0.0003,46,,
-6.0353659375,32,176,168,5.5,1,20.813047409057617,-12.112381935119629,0.977516770362854,-0.4535300135612488,0.0003,75,,
-5.9234154722222225,36,196,151,5.444444444444445,1,19.13552474975586,-12.660158157348633,0.9715539813041687,-0.5773921012878418,0.0003,95,,
-6.444028374999999,40,229,133,5.725,1,13.97411060333252,-13.488781929016113,0.961828887462616,-0.7785828113555908,0.0003,128,,
-6.505882727272726,44,250,128,5.681818181818182,1,10.265151977539062,-13.328152656555176,0.9557137489318848,-0.9032094478607178,0.0003,149,,
-6.594347083333335,48,272,122,5.666666666666667,2,7.022327899932861,-14.156644821166992,0.9493646621704102,-1.0372604131698608,0.0003,171,,
-6.733109788461539,52,300,116,5.769230769230769,2,5.49777364730835,-15.100364685058594,0.9413579106330872,-1.2101978063583374,0.0003,199,,
-6.681036803571429,56,322,115,5.75,2,3.1600546836853027,-14.850255012512207,0.9351252317428589,-1.3339208364486694,0.0003,221,,
-6.6493615,60,341,114,5.683333333333334,2,2.475947856903076,-15.722366333007812,0.9297816157341003,-1.4522120952606201,0.0003,240,,
-6.544577296875,64,359,112,5.609375,3,3.15030837059021,-15.314997673034668,0.924749493598938,-1.5550074577331543,0.0003,258,,
-6.7374860735294115,68,385,111,5.661764705882353,3,1.9608521461486816,-16.568408966064453,0.9175342321395874,-1.7242276668548584,0.0003,284,,
-6.635539180555556,72,403,110,5.597222222222222,3,2.453001022338867,-16.20369529724121,0.912575364112854,-1.829845905303955,0.0003,302,,
-6.587297342105264,76,427,109,5.618421052631579,3,2.669168710708618,-16.224136352539062,0.9060139060020447,-1.9632861614227295,0.0003,326,,
-6.5794082375,80,452,108,5.65,4,2.2784361839294434,-16.01942253112793,0.8992440700531006,-2.1077799797058105,0.0003,351,,
-6.542583583333334,84,471,107,5.607142857142857,4,2.0515408515930176,-16.857959747314453,0.8941410183906555,-2.2288999557495117,0.0003,370,,
-6.668935738636364,88,503,106,5.715909090909091,4,2.62835693359375,-17.165781021118164,0.8856134414672852,-2.416013717651367,0.0003,402,,
-6.773671793478261,92,536,104,5.826086956521739,5,2.0016846656799316,-17.18462371826172,0.8769158124923706,-2.608819007873535,0.0003,435,,
