train/n_updates,rollout/ep_len_mean,train/actor_loss,time/time_elapsed,time/episodes,time/fps,time/total_timesteps,train/learning_rate,train/critic_loss,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length
200,100.0,1.2770722317695617,1,4,298,400,0.001,0.01906183995772153,-89.426736,,
300,,1.3536510586738586,,,,500,0.001,0.008979180537862704,,-96.97658869999998,100.0
600,100.0,1.8782904195785521,5,8,152,800,0.001,0.0037705278873909264,-88.107774375,,
800,,2.1717834854125977,,,,1000,0.001,0.004864942347630859,,-72.80009715000001,100.0
1000,100.0,2.4708605909347536,9,12,129,1200,0.001,0.0071894037164747715,-81.43569733333334,,
1300,,2.961652193069458,,,,1500,0.001,0.008708904408849775,,-62.38043449999999,100.0
1400,100.0,3.090795621871948,13,16,119,1600,0.001,0.009403433250263334,-77.27353281250001,,
1800,,3.7186457395553587,,,,2000,0.001,0.012987787974998355,,-64.9596777,100.0
,100.0,,17,20,114,2000,,,-73.343528,,
2200,100.0,4.321042556762695,19,24,120,2400,0.001,0.012141376174986363,-70.59748116666667,,
2300,,4.444140634536743,,,,2500,0.001,0.012680697496980428,,-64.68269615,100.0
2600,100.0,4.889647903442383,24,28,116,2800,0.001,0.015479331342503429,-69.09357650000001,,
2800,,5.210078210830688,,,,3000,0.001,0.016959127262234686,,-57.15217655,100.0
3000,100.0,5.485957288742066,28,32,114,3200,0.001,0.013837993713095784,-67.0526199375,,
3300,,5.955686063766479,,,,3500,0.001,0.0168274368904531,,-58.2155712,100.0
3400,100.0,6.121405038833618,32,36,110,3600,0.001,0.016904557812958954,-66.5180241111111,,
3800,,6.702017822265625,,,,4000,0.001,0.016301153702661397,,-57.19309805,100.0
,100.0,,36,40,108,4000,,,-65.454662325,,
4200,100.0,7.286495866775513,39,44,112,4400,0.001,0.019465931849554183,-64.3830154090909,,
4300,,7.405548858642578,,,,4500,0.001,0.01872570044361055,,-57.1449529,100.0
4600,100.0,7.8416502571105955,42,48,111,4800,0.001,0.019940713541582226,-63.730102395833335,,
4800,,8.133576135635376,,,,5000,0.001,0.02015178062953055,,-53.27809465,100.0
5000,100.0,8.396088314056396,47,52,109,5200,0.001,0.021451475918293,-62.45817917307693,,
5300,,8.848117580413819,,,,5500,0.001,0.0214097486063838,,-50.97677205000001,100.0
5400,100.0,8.976241264343262,51,56,108,5600,0.001,0.019978578202426434,-61.67570892857144,,
5800,,9.505946617126465,,,,6000,0.001,0.022497392520308496,,-52.7432764,100.0
,100.0,,55,60,107,6000,,,-61.224249050000005,,
6200,100.0,10.055934829711914,58,64,110,6400,0.001,0.02389673061668873,-60.428919468749996,,
6300,,10.16125722885132,,,,6500,0.001,0.025237929727882146,,-55.5303828,100.0
6600,100.0,10.60392900466919,62,68,109,6800,0.001,0.02621334479190409,-60.06703022058823,,
6800,,10.882596225738526,,,,7000,0.001,0.025656543653458357,,-54.44005215,100.0
7000,100.0,11.142635231018067,66,72,108,7200,0.001,0.02722733486443758,-59.70460679166667,,
7300,,11.567273712158203,,,,7500,0.001,0.02429260636679828,,-55.6782142,100.0
7400,100.0,11.701298732757568,70,76,108,7600,0.001,0.027754292525351047,-59.28675697368421,,
