time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/fps,time/total_timesteps,train/clip_range,train/value_loss,train/std,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/approx_kl,train/learning_rate,train/loss,train/entropy_loss,train/clip_fraction,eval/mean_reward,eval/mean_ep_length
1,41052.242214,1000.0,3,659,2048,,,,,,,,,,,,,
2,40112.99060025,1000.0,7,557,4096,0.2,466102.08154296875,0.998299777507782,-0.045460087840911004,-0.0006415843963623047,10,0.01123674,0.0003,226759.90625,-24.108302497863768,0.100341796875,,
,,,,,5000,0.2,414462.5098632813,0.9955805540084839,-0.04080056739476277,-0.0014796257019042969,20,0.012231587,0.0003,207404.71875,-24.072223937511446,0.08828125,39691.03621425629,1000.0
3,38645.09596983334,1000.0,50,122,6144,,,,,,,,,,,,,
4,38660.780922125,1000.0,54,150,8192,0.2,339312.87958984374,0.9938700199127197,-0.047949084339779804,0.0007529854774475098,30,0.013436731,0.0003,170309.125,-24.033837854862213,0.12265625,,
,,,,,10000,0.2,415103.84921875,0.9945266842842102,-0.046000368159729986,-0.0025690793991088867,40,0.012326305,0.0003,195586.171875,-24.0308546602726,0.105712890625,77720.96540203094,1000.0
5,38847.6094262,1000.0,94,107,10240,,,,,,,,,,,,,
6,38403.897129916666,1000.0,99,123,12288,0.2,423121.5186523438,0.9938269257545471,-0.046973068977240476,-0.0060253143310546875,50,0.011368647,0.0003,199902.234375,-24.026353508234024,0.092626953125,,
7,39186.27432342857,1000.0,103,137,14336,0.2,364311.8357421875,0.9915708899497986,-0.054631994184455836,4.649162292480469e-06,60,0.014510052,0.0003,178130.46875,-23.9972993016243,0.138134765625,,
,,,,,15000,0.2,517022.648046875,0.990609347820282,-0.04591562215646263,-0.005545258522033691,70,0.010949977,0.0003,245313.6875,-23.974026691913604,0.081396484375,45526.98243503571,1000.0
8,39322.4612919375,1000.0,143,114,16384,,,,,,,,,,,,,
9,39981.251212222225,1000.0,147,124,18432,0.2,441006.33037109376,0.9882962703704834,-0.060439556877827275,-0.00035858154296875,80,0.015497245,0.0003,212650.78125,-23.93394626379013,0.151513671875,,
,,,,,20000,0.2,609780.5009765625,0.9869189858436584,-0.0547565383487381,-0.002150416374206543,90,0.013236093,0.0003,283514.1875,-23.906091368198396,0.108837890625,40314.77947788239,1000.0
10,40547.4404895,1000.0,187,109,20480,,,,,,,,,,,,,
11,40933.553488136364,1000.0,191,117,22528,0.2,544298.4717773438,0.9831202030181885,-0.05335512820311124,-0.0002549886703491211,100,0.013916099,0.0003,274631.0625,-23.859902864694597,0.131591796875,,
12,41243.450604,1000.0,197,124,24576,0.2,568246.363671875,0.980233371257782,-0.052849636939936315,-0.00211489200592041,110,0.013311898,0.0003,317504.65625,-23.806641280651093,0.1189453125,,
,,,,,25000,0.2,550772.8518554687,0.9787319302558899,-0.06080830226419494,-0.0021158456802368164,120,0.015295159,0.0003,268447.125,-23.768527692556383,0.14697265625,44972.74241085052,1000.0
13,41758.77130107693,1000.0,233,114,26624,,,,,,,,,,,,,
