time/total_timesteps,time/episodes,train/critic_loss,train/n_updates,train/learning_rate,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/actor_loss,rollout/ep_len_mean,eval/mean_reward,eval/mean_ep_length
3039,4,0.2830321513689481,2039,0.001,202,15,-1246.46571675,1.218830761156584,759.75,,
5000,,0.10827996753528714,4140,0.001,,,,3.0973299922943114,,275.1973175551728,1000.0
5214,8,0.21416463784128428,5140,0.001,107,48,-829.80279575,4.047867065906525,651.75,,
9214,12,0.25762931729853156,8214,0.001,129,70,-776.46987925,7.584931880950927,767.8333333333334,,
10000,,0.342188863247633,9214,0.001,,,,8.414437218666077,,652.4286182685319,1000.0
13214,16,0.2243449844866991,12214,0.001,117,112,-666.8545759374999,10.104701158523559,825.875,,
15000,,0.20773117898404597,14214,0.001,,,,11.614215343475342,,814.7928575424478,1000.0
17214,20,0.1817172396481037,16214,0.001,112,152,-565.83800875,12.562676523208617,860.7,,
20000,,0.14189794208854437,19214,0.001,,,,13.853867988586426,,861.366035285592,1000.0
21214,24,0.14241656106710435,20214,0.001,109,193,-490.30527466666666,14.330792018890381,883.9166666666666,,
25000,,0.14348967758566142,24214,0.001,,,,16.058869853973388,,922.1937177881598,1000.0
25214,28,,,,107,233,-435.0146856785714,,900.5,,
29214,32,0.12126593039929867,28214,0.001,110,265,-391.26192753124997,17.259861953735353,912.9375,,
30000,,0.12110641917586326,29214,0.001,,,,17.545720870971678,,925.9822761304677,1000.0
33214,36,0.10417624605819582,32214,0.001,107,309,-356.93323161111107,18.237677558898927,922.6111111111111,,
35000,,0.0951643059924245,34214,0.001,,,,18.687418235778807,,937.2435707688331,1000.0
37214,40,0.0868605521954596,36214,0.001,104,356,-326.74971202499995,19.038759574890136,930.35,,
40000,,0.08151548939570785,39214,0.001,,,,19.561017459869383,,944.4700237989425,1000.0
41214,44,0.0795462827719748,40214,0.001,103,398,-301.4961723181818,19.65544734954834,936.6818181818181,,
45000,,0.07149329903908073,44214,0.001,,,,20.17330373764038,,971.1822802007198,1000.0
45214,48,,,,102,439,-279.83278181249995,,941.9583333333334,,
49214,52,0.0677380355335772,48214,0.001,105,466,-260.94216086538455,20.530174953460694,946.4230769230769,,
50000,,0.06823839032277465,49214,0.001,,,,20.58845697784424,,968.6363611093257,1000.0
53214,56,0.06005655419267714,52214,0.001,105,503,-244.58608208928572,20.798450481414793,950.25,,
55000,,0.05663066714070737,54214,0.001,,,,20.93137498474121,,974.4192528462038,1000.0
57214,60,0.058758462764322755,56214,0.001,105,541,-230.09022913333334,21.031958873748778,953.5666666666667,,
60000,,0.05558824755996466,59214,0.001,,,,21.15973738861084,,967.0840359110385,1000.0
61214,64,0.0521046293657273,60214,0.001,105,581,-217.46799532812497,21.190701362609865,956.46875,,
65000,,0.05192204319126904,64214,0.001,,,,21.320136672973632,,968.2993011564016,1000.0
65214,68,,,,105,618,-206.19703519117644,,959.0294117647059,,
69214,72,0.04907133555784821,68214,0.001,107,642,-197.46866022222218,21.464290073394775,961.3055555555555,,
70000,,0.05098203486390412,69214,0.001,,,,21.498856983184815,,974.7610046088696,1000.0
73214,76,0.050593192799016834,72214,0.001,107,677,-188.95999646052627,21.59111182022095,963.3421052631579,,
75000,,0.050006504284217955,74214,0.001,,,,21.68768952560425,,980.059814953804,1000.0
77214,80,0.045564470840618015,76214,0.001,107,718,-180.70219604999997,21.752402984619142,965.175,,
80000,,0.047754059275612236,79214,0.001,,,,21.837022838592528,,972.5951988786459,1000.0
81214,84,0.04310261574201286,80214,0.001,106,761,-173.48111734523806,21.86523555755615,966.8333333333334,,
85000,,0.04658829987794161,84214,0.001,,,,21.961912124633788,,977.427267497778,1000.0
85214,88,,,,106,802,-166.72824534090907,,968.3409090909091,,
89214,92,0.04150657482258976,88214,0.001,107,827,-160.57381904347824,22.034325225830077,969.7173913043479,,
90000,,0.04413938774168492,89214,0.001,,,,22.017201141357422,,966.345428210497,1000.0
93214,96,0.041650984086096285,92214,0.001,107,865,-155.00855338541666,22.075713905334474,970.9791666666666,,
95000,,0.040535899916663766,94214,0.001,,,,22.12351675796509,,974.9586447000504,1000.0
97214,100,0.041259571447968484,96214,0.001,107,903,-149.75362503,22.138683712005616,972.14,,
100000,,0.04110312763415277,99214,0.001,,,,22.18576710128784,,970.3307361602783,1000.0
101214,104,0.03989665899053216,100214,0.001,107,942,-100.86045279,22.237320163726807,981.75,,
105000,,0.039440093889832495,104214,0.001,,,,22.292568027496337,,971.8234458386898,1000.0
105214,108,,,,107,980,-85.2657975,,1000.0,,
109214,112,0.041173379261046646,108214,0.001,108,1005,-59.131821560000006,22.343304500579833,1000.0,,
110000,,0.040190728429704906,109214,0.001,,,,22.34569462966919,,985.8877536743879,1000.0
113214,116,0.03928075871989131,112214,0.001,108,1044,-46.3470878,22.387519313812255,1000.0,,
115000,,0.038832025656476615,114214,0.001,,,,22.385288173675537,,977.1191054522991,1000.0
117214,120,0.03872203669697046,116214,0.001,108,1082,-40.7511534,22.3977033996582,1000.0,,
120000,,0.03748062897287309,119214,0.001,,,,22.36652660751343,,982.3162503302098,1000.0
121214,124,0.03696369243040681,120214,0.001,107,1123,-37.09047873,22.365663509368897,1000.0,,
125000,,0.03466136382892728,124214,0.001,,,,22.390054946899415,,986.6469075977802,1000.0
125214,128,,,,107,1161,-33.7817438,,1000.0,,
129214,132,0.03761167827621102,128214,0.001,108,1186,-31.46210166,22.440396305084228,1000.0,,
130000,,0.03750228574872017,129214,0.001,,,,22.458733451843262,,980.0560139298439,1000.0
133214,136,0.03571932085044682,132214,0.001,108,1225,-28.975739530000006,22.46155995941162,1000.0,,
135000,,0.036366080751642584,134214,0.001,,,,22.480686008453368,,977.4668098896742,1000.0
137214,140,0.03513482217118144,136214,0.001,108,1263,-27.70220429,22.467571556091308,1000.0,,
140000,,0.03688309201411903,139214,0.001,,,,22.450862155914308,,981.9125508204103,1000.0
141214,144,0.03658374255988747,140214,0.001,108,1301,-26.533214589999996,22.436457180023194,1000.0,,
145000,,0.03513038026727736,144214,0.001,,,,22.35232334136963,,970.7186757981777,1000.0
145214,148,,,,108,1339,-25.75432253,,1000.0,,
149214,152,0.03642360379733145,148214,0.001,109,1365,-25.368709869999996,22.339602741241457,1000.0,,
150000,,0.036171435233205554,149214,0.001,,,,22.36613671875,,978.4787739396095,1000.0
153214,156,0.0332954496499151,152214,0.001,109,1402,-25.129534260000003,22.382384159088136,1000.0,,
155000,,0.03582607147283852,154214,0.001,,,,22.399409034729004,,973.2994161128997,1000.0
157214,160,0.033125083067454396,156214,0.001,109,1438,-24.94451298,22.392800331115723,1000.0,,
160000,,0.033323538349941374,159214,0.001,,,,22.37539323043823,,981.5681166470051,1000.0
161214,164,0.03637737099453807,160214,0.001,109,1477,-24.61680605,22.34501858139038,1000.0,,
165000,,0.035364833120256664,164214,0.001,,,,22.315657508850098,,983.3382823824883,1000.0
165214,168,,,,108,1517,-24.55272904,,1000.0,,
169214,172,0.03490623757988214,168214,0.001,109,1542,-23.806399869999996,22.269821868896486,1000.0,,
