train/learning_rate,time/episodes,time/total_timesteps,time/time_elapsed,train/actor_loss,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/n_updates,train/critic_loss,eval/mean_reward,eval/mean_ep_length
0.001,,120000,,-46.87317655944824,,,,119193,2.4978035439252855,1328.2936594176572,1000.0
0.001,156,121193,840,-47.34818035888672,789.84,662.7211269300001,144,120193,2.5717293778657915,,
0.001,,125000,,-49.17565690612793,,,,124193,2.5160451096296312,1188.1440582955024,910.0
,160,125193,873,,799.51,696.2982968700001,143,,,,
0.001,164,128207,889,-50.801536560058594,799.22,713.8678759899999,144,127207,2.533541440963745,,
0.001,,130000,,-51.49087548828125,,,,129207,2.5851841443777084,1193.456463795621,904.1
0.001,168,131225,919,-52.51237079620361,798.69,747.46657856,142,131207,2.6767304915189745,,
0.001,,135000,,-54.0061693649292,,,,134225,2.7367311058044432,977.6917350254786,809.6
,172,135225,944,,798.69,776.2936434299997,143,,,,
0.001,176,138252,960,-54.98736136300223,788.96,792.8404777999999,143,137252,2.9374294016096325,,
0.001,,140000,,-56.607418510437014,,,,139269,2.8845194927453996,1227.258040112903,909.3
0.001,180,141269,985,-56.81125971221924,789.03,825.3027949700001,143,140269,2.9246480103731156,,
0.001,,145000,,-58.675993392944335,,,,144269,3.0933685866594316,989.6654173323652,707.8
,184,145269,1013,,818.21,876.5496942099998,143,,,,
0.001,188,149269,1035,-60.588229774475096,837.08,936.58918018,144,148269,3.226383848428726,,
0.001,,150000,,-61.09215272521973,,,,149269,3.2524591833353043,1331.442943253112,1000.0
0.001,192,152289,1060,-62.159918212890624,836.82,966.2160916799999,143,151289,3.5186662793159487,,
0.001,,155000,,-63.43900888824463,,,,154361,3.6040299997329712,1111.509385883325,805.6
,196,155361,1084,,827.54,974.4218309299999,143,,,,
0.001,200,158398,1100,-64.89894279479981,837.54,1001.3684720899998,143,157398,3.4845535255670548,,
0.001,,160000,,-65.89397486114503,,,,159398,3.5608389357328414,1591.5779764922452,1000.0
0.001,204,162398,1130,-66.63329039764405,837.54,1029.00361933,143,161398,3.573704162359238,,
0.001,208,164506,1141,-68.02249180603027,828.19,1039.22390482,144,163506,3.8828332283496856,,
0.001,,165000,,-68.30613690185547,,,,164506,3.653017521619797,1357.3770132153295,804.1
0.001,212,167515,1169,-69.84199184417724,846.79,1078.99402199,143,167506,3.76481123816967,,
0.001,,170000,,-71.07448499298096,,,,169515,3.827797764658928,1415.2358913647477,902.4
0.001,216,171515,1194,-71.22564170837403,846.79,1121.01387227,143,170515,3.730388967037201,,
0.001,220,174527,1210,-72.56208516693115,836.91,1136.7662439599999,144,173527,3.884785353779793,,
0.001,,175000,,-73.25477735137939,,,,174527,3.752782741189003,1464.313063884317,807.1
0.001,224,177549,1233,-74.2145065460205,836.86,1157.1653981499999,143,176549,4.0441054033041,,
0.001,,180000,,-75.95908277130127,,,,179549,3.9799612991809843,1545.245712649211,1000.0
0.001,228,181549,1264,-76.24681896209717,846.61,1192.2773889,143,180549,3.918793459892273,,
0.001,232,184570,1280,-78.02969360351562,836.82,1217.63311938,144,183570,4.1888356776464555,,
0.001,,185000,,-78.47046295166015,,,,184570,4.205833161830902,1357.480716820003,804.9
0.001,236,188570,1308,-79.52895713806153,845.94,1256.59374272,144,187570,4.3853725658655165,,
0.001,,190000,,-80.1781443939209,,,,189570,4.273638003230095,1276.4684918102691,902.5
0.001,240,191654,1336,-81.37892297363281,836.78,1271.4960760200004,143,191570,4.196138515591621,,
0.001,,195000,,-82.8984295501709,,,,194654,4.183603363990784,989.8680544531205,1000.0
,244,195654,1363,,845.27,1304.53531019,143,,,,
0.001,248,199654,1385,-84.44472938537598,864.61,1324.8539646299998,144,198654,4.528255932569504,,
0.001,,200000,,-84.35330844116211,,,,199654,4.457953770041466,1745.65806465355,1000.0
0.001,252,203654,1414,-85.34298629760742,864.61,1354.5852528799996,144,202654,4.571532291412353,,
0.001,,205000,,-86.18009481811524,,,,204654,4.523335077047348,1688.9857480406936,1000.0
0.001,256,207654,1445,-86.98317613220215,864.61,1373.1695221399998,143,206654,4.709726544618607,,
0.001,,210000,,-87.98150650024414,,,,209654,4.611943920612335,1498.4372910704697,901.4
0.001,260,211654,1475,-88.51923706054687,864.61,1388.7537574199998,143,210654,4.725762035131455,,
0.001,,215000,,-90.1154521331787,,,,214654,4.7263440399169925,1375.8037728092227,901.2
,264,215654,1504,,874.47,1406.35431935,143,,,,
0.001,268,219654,1526,-91.4129129333496,884.29,1434.9708448199997,143,218654,4.8630723631381985,,
0.001,,220000,,-91.45092909240722,,,,219654,4.904536514043808,1698.0960414646659,1000.0
0.001,272,223654,1556,-92.4077685546875,884.29,1437.38874544,143,222654,4.926577817201615,,
0.001,,225000,,-91.1038823445638,,,,224684,4.860406239827474,1509.8302200275764,905.8
0.001,276,226684,1581,-92.23213467407227,884.32,1430.82062094,143,225684,5.127139331102371,,
0.001,280,229718,1597,-92.97641064453126,884.49,1442.79631904,143,228718,5.002159442663193,,
0.001,,230000,,-93.45484420776367,,,,229718,5.100245421648025,1446.4007092067798,903.5
0.001,284,232749,1621,-94.2429087677002,874.8,1440.7267030300002,143,231749,5.275215171098709,,
0.001,,235000,,-94.32236531066894,,,,234749,5.320124784469605,1790.6646209328144,1000.0
0.001,288,236749,1652,-94.60100473022462,874.8,1422.2865425100003,143,235749,5.518262102842331,,
0.001,,240000,,-95.01463114929199,,,,239749,5.465229045152665,1570.9959861425043,901.3
,292,240749,1682,,884.6,1451.2385531799996,143,,,,
0.001,296,244749,1703,-96.45095326232911,893.88,1483.5776808900002,143,243749,5.592465757846832,,
0.001,,245000,,-96.7763471069336,,,,244749,5.5701886641979215,1779.0330132536824,1000.0
0.001,300,248749,1733,-97.81715504455566,903.51,1514.47193317,143,247749,5.691034502506256,,
0.001,,250000,,-98.40670471191406,,,,249749,5.506357783794403,1719.6688811700792,901.2
0.001,304,251761,1761,-98.54535983276367,893.63,1506.9479165499997,142,251749,5.625972537517548,,
0.001,,255000,,-99.79200590515137,,,,254761,5.683408542633057,1774.636316185724,1000.0
,308,255761,1787,,912.55,1551.26555146,143,,,,
0.001,312,258814,1808,-100.55839350891114,912.99,1557.98146368,143,258761,5.673114087581634,,
0.001,,260000,,-101.25933584594726,,,,259814,5.707019471168518,1616.4129451670742,827.1
0.001,316,262814,1833,-101.36165054321289,912.99,1553.3314969100002,143,261814,5.713547673225403,,
0.001,,265000,,-102.19450149536132,,,,264814,6.058513839006424,1618.9524659867748,904.5
0.001,320,266814,1862,-102.28437033081055,922.87,1582.9002637,143,265814,5.953816514015198,,
0.001,324,269843,1883,-103.14231483459473,922.94,1568.6805457100002,143,269814,5.572127831697464,,
0.001,,270000,,-101.9705946786063,,,,269843,4.948188444663739,1314.6595877121376,902.3
0.001,328,272874,1903,-103.39917135238647,913.25,1540.0947253600002,143,271874,5.670567358693769,,
0.001,,275000,,-103.81590255737305,,,,274874,6.099524241924286,1988.2993985167936,1000.0
0.001,332,276874,1934,-104.011463180542,923.04,1569.3617786400002,143,275874,5.811413701295852,,
0.001,336,279892,1951,-104.89770823669434,913.22,1570.1602603399997,143,278892,6.191385991096497,,
0.001,,280000,,-105.18034162902832,,,,279892,5.868483468532562,2042.2518778971396,1000.0
0.001,340,283892,1982,-106.01373974609375,922.38,1595.5584537899997,143,282892,5.9329357008934025,,
0.001,,285000,,-109.41244252522786,,,,284946,6.635993878046672,1808.25615385618,902.7
,344,285946,2001,,902.92,1563.9665334,142,,,,
0.001,348,289946,2023,-107.39279414367675,902.92,1567.0989651099997,143,288946,6.239950383901596,,
0.001,,290000,,-107.44704866027833,,,,289946,6.038947059631347,1671.3501068064827,806.4
0.001,352,293946,2052,-108.00587683105469,902.92,1576.3532511099997,143,292946,6.415380572557449,,
0.001,,295000,,-108.392984664917,,,,294946,6.33209041929245,1674.823424573755,825.8
0.001,356,297946,2082,-108.75010566711425,902.92,1582.12837171,143,296946,6.222276215076446,,
0.001,,300000,,-109.51259098815918,,,,299965,6.269607491254806,1938.6535475094047,1000.0
,360,300965,2106,,893.11,1571.71461949,142,,,,
0.001,364,304965,2128,-110.62545887756347,893.11,1595.9540251800001,143,303965,6.280944599628448,,
0.001,,305000,,-110.26997103881835,,,,304965,6.413769648551941,2093.5935857792383,1000.0
0.001,368,308965,2158,-110.78385418701171,893.11,1607.1053632399999,143,307965,6.52329906463623,,
0.001,,310000,,-111.46449686686198,,,,309037,6.867487055356385,1662.906006925367,799.7
0.001,372,310091,2175,-111.02928657531739,864.37,1567.0361362999997,142,310037,6.619938013792038,,
0.001,376,314091,2192,-112.06324635314941,874.07,1611.47633949,143,313091,6.813297043561936,,
0.001,,315000,,-112.23296688842774,,,,314091,6.607118064165116,2068.7216578642606,1000.0
0.001,380,317125,2218,-113.2420492733226,874.07,1615.9213544000002,142,316125,6.495163966627682,,
0.001,,320000,,-113.28718151855469,,,,319178,7.103223309993744,2109.7449742114113,1000.0
,384,320178,2243,,874.29,1622.03507158,142,,,,
0.001,388,324178,2264,-114.27267712402343,874.29,1663.1504486599997,143,323178,6.505811804771423,,
0.001,,325000,,-114.14352450561523,,,,324178,6.719782953977584,2194.7347161119806,1000.0
0.001,392,328178,2295,-114.73660949707032,874.29,1674.1507658699995,142,327178,6.867228527545929,,
0.001,,330000,,-114.80896324157715,,,,329178,6.940677431821823,2060.240948127932,1000.0
0.001,396,332178,2324,-115.20784774780273,874.29,1681.6167529699999,142,331178,7.016850104570389,,
0.001,,335000,,-115.89499629211426,,,,334178,6.859488722085953,1841.7884325034915,901.5
0.001,400,336178,2352,-115.62341876220704,874.29,1673.2728570799998,142,335178,6.941159316539764,,
0.001,,340000,,-115.9576940460205,,,,339178,7.665996846437454,1948.0851155903306,901.4
,404,340178,2381,,884.17,1699.48505029,142,,,,
0.001,408,344178,2402,-116.55313882446289,884.17,1705.3647920800001,143,343178,7.531098149299622,,
0.001,,345000,,-116.72424545288087,,,,344178,7.052481944561005,1541.7851328174584,805.3
0.001,412,348178,2429,-116.7802109527588,893.64,1717.1297277699998,143,347178,7.089133790016175,,
0.001,,350000,,-117.21069664001465,,,,349178,7.457123127698899,2052.7941842648083,1000.0
0.001,416,352178,2459,-117.50227952575683,893.64,1737.3959856100003,143,351178,7.767433436393738,,
0.001,,355000,,-118.38649822998048,,,,354178,7.726083030700684,1782.6516543989069,975.0
0.001,420,356178,2488,-118.28769529724121,893.64,1745.1495759000004,143,355178,7.500936653852463,,
0.001,,360000,,-118.94093365478516,,,,359178,7.365499933004379,1412.242777363956,662.1
,424,360178,2514,,903.35,1790.38323513,143,,,,
0.001,428,364178,2536,-120.30342723083496,913.04,1836.3357705699998,143,363178,7.249402380943298,,
0.001,,365000,,-120.18540203857422,,,,364178,7.589200782775879,2122.966159194475,1000.0
0.001,432,368178,2564,-120.63485984802246,913.04,1840.4241527599997,143,367178,7.273664046049118,,
0.001,,370000,,-121.3446425933838,,,,369178,7.97720737028122,2003.9400850606849,902.0
0.001,436,372178,2592,-121.59761973571777,922.86,1866.2598891699997,143,371178,7.5853605720996855,,
0.001,,375000,,-122.08942860412597,,,,374196,7.497692137718201,2164.773408554995,1000.0
,440,375196,2615,,913.04,1848.6465869800002,143,,,,
0.001,444,378230,2631,-123.05310013714958,922.84,1873.4764704899999,143,377230,8.169813632965088,,
0.001,,380000,,-122.69082319641113,,,,379230,7.24614857673645,2025.8817263363394,902.8
0.001,448,382230,2660,-123.44494233703614,922.84,1889.3266629,143,381230,7.661010815143586,,
0.001,,385000,,-123.63495483398438,,,,384230,7.64020965385437,1958.0409673685135,902.4
0.001,452,386230,2688,-123.74771368408203,922.84,1894.6323235900002,143,385230,7.741164192438125,,
0.001,,390000,,-124.27432919311524,,,,389230,7.454359044075012,2275.607586974511,1000.0
,456,390230,2717,,922.84,1904.3742619200002,143,,,,
0.001,460,394230,2738,-124.5757547454834,932.65,1930.72594393,143,393230,8.072883185863494,,
0.001,,395000,,-124.82009582519531,,,,394230,7.984865147829056,1614.8404550251785,806.5
0.001,464,398230,2766,-125.1366802520752,932.65,1914.4080409600003,143,397230,7.5988548033237455,,
0.001,,400000,,-125.20617227172852,,,,399230,7.335684500455856,2158.1302374762718,1000.0
0.001,468,402230,2795,-125.5810096282959,932.65,1919.25432626,143,401230,7.629063550233841,,
0.001,,405000,,-125.83816760253906,,,,404230,7.906515442848206,2154.1380123669746,1000.0
0.001,472,406230,2824,-126.1545209350586,961.39,1986.6552834499994,143,405230,7.820852700471878,,
0.001,,410000,,-126.55509288024902,,,,409230,7.812837141513825,2277.039477351215,1000.0
,476,410230,2853,,961.39,1994.2406075199992,143,,,,
0.001,480,413244,2869,-127.17194200134277,961.19,1998.7438581300003,144,412244,7.709394709348679,,
0.001,,415000,,-127.15184390258788,,,,414244,7.51729858994484,2172.618564658426,1000.0
0.001,484,417244,2899,-127.72321891784668,970.66,2023.46523712,143,416244,7.582131505966187,,
0.001,,420000,,-128.00637562561036,,,,419244,7.780394064426422,1978.4763890590984,901.8
0.001,488,421244,2926,-128.44361141967772,970.66,2030.43062712,143,420244,7.961397752523422,,
0.001,,425000,,-129.0238094177246,,,,424244,7.543058876752854,1694.0915464402758,803.6
,492,425244,2954,,970.66,2034.5228332599997,143,,,,
0.001,496,429244,2975,-129.54266960144042,970.66,2039.0205638,144,428244,7.540671613931656,,
0.001,,430000,,-129.46776159667968,,,,429244,7.5454912147521975,2021.0912659677124,1000.0
0.001,500,433244,3006,-129.36270861816405,970.66,2056.4941517300003,144,432244,7.847284980297089,,
0.001,,435000,,-129.66071472167968,,,,434244,7.611110711336136,2055.0177379420957,927.4
0.001,504,437244,3037,-130.11805429077148,970.66,2062.02732261,143,436244,8.052946498394013,,
0.001,,440000,,-130.76241343688966,,,,439244,7.741366199493408,1965.3960862206818,1000.0
0.001,508,441244,3070,-130.39793362426758,970.66,2066.17386815,143,440244,8.336611467838287,,
0.001,,445000,,-130.90578283691406,,,,444244,7.398330963850022,2246.7939174417406,1000.0
,512,445244,3102,,970.66,2086.40666692,143,,,,
0.001,516,449244,3124,-131.36950108337402,970.66,2094.0669279499994,143,448244,7.4665473084449765,,
0.001,,450000,,-131.78699534606935,,,,449244,7.421014652252198,2103.0062471941114,901.0
0.001,520,453244,3153,-131.9058298034668,970.66,2097.62642506,143,452244,7.815582033634186,,
0.001,,455000,,-132.3676460571289,,,,454244,7.528954745531082,2175.1589524177134,984.7
0.001,524,457244,3189,-132.17644746398926,970.66,2103.5268044,143,456244,7.73801509642601,,
0.001,,460000,,-132.51218165588378,,,,459244,7.411737617969513,2013.0762649008072,1000.0
0.001,528,461244,3221,-133.01873818969727,970.66,2106.5263932400003,143,460244,7.453063756227493,,
0.001,,465000,,-133.60892796325683,,,,464244,7.8660020701885225,1920.0180967479944,901.3
,532,465244,3251,,970.66,2111.78655331,143,,,,
0.001,536,469244,3272,-133.54233737182616,970.66,2092.8464689599996,143,468244,8.052018088817597,,
0.001,,470000,,-133.3822423095703,,,,469244,7.835882566928864,2307.9685948306696,1000.0
0.001,540,473244,3301,-133.96656457519532,980.48,2119.58364116,143,472244,7.822034807920456,,
0.001,,475000,,-133.7768399505615,,,,474244,8.02398876786232,1936.531753993372,902.9
0.001,544,477244,3331,-134.04237133789061,990.14,2146.6765331700003,143,476244,8.146811526298523,,
0.001,,480000,,-136.87335109710693,,,,479261,6.501387175391702,1491.8280854365607,803.2
,548,480261,3355,,980.31,2147.69476472,143,,,,
0.001,552,484261,3377,-134.64502432250976,980.31,2150.5503542599995,143,483261,7.688192985296249,,
0.001,,485000,,-134.75109353637694,,,,484261,7.6863107025623325,1667.295134787238,901.6
0.001,556,487276,3407,-134.6997706451416,970.46,2115.63741746,143,487261,8.094624994277954,,
0.001,,490000,,-134.98997804260253,,,,489276,8.097316647529603,1923.9633603157477,1000.0
0.001,560,491276,3433,-134.9941057434082,970.46,2118.20806015,143,490276,7.733451356887818,,
0.001,564,494955,3453,-134.95162554931642,967.25,2132.27678103,143,493955,7.705281054496765,,
0.001,,495000,,-135.32762422180176,,,,494955,7.754782468318939,2227.7326926881565,1000.0
0.001,568,496986,3478,-135.28189988708496,947.56,2089.15046344,142,496975,7.859673967123031,,
0.001,,500000,,-135.41803515625,,,,499986,7.85973921251297,2299.5942140768284,1000.0
,572,500986,3506,,947.56,2090.0119008799998,142,,,,
0.001,576,504986,3528,-135.65679583740234,947.56,2072.32445909,143,503986,8.004895676612854,,
0.001,,505000,,-135.48163946533202,,,,504986,8.066173997163773,2291.186312764871,1000.0
0.001,580,508986,3559,-135.83509651184082,957.42,2079.84057996,142,507986,7.9059575865268705,,
0.001,,510000,,-135.64461991882325,,,,509986,7.815732840538025,1942.7994706991012,902.6
0.001,584,512000,3587,-135.78880094909667,947.56,2060.57101865,142,511986,7.802027485132218,,
0.001,,515000,,-136.09656523132324,,,,514000,7.570218743801117,2124.3331393992994,1000.0
0.001,588,516000,3615,-136.3376443939209,947.56,2062.47361333,142,515000,7.434825765609741,,
0.001,,520000,,-136.45819743347167,,,,519000,7.870823853254318,2216.0503657069057,1000.0
,592,520000,3646,,947.56,2062.79557379,142,,,,
0.001,596,524000,3668,-137.03903065490724,947.56,2062.37690976,142,523000,7.60855731678009,,
0.001,,525000,,-137.0659500427246,,,,524000,8.050789220571518,2240.1428822551184,1000.0
0.001,600,527012,3699,-137.39229209899904,937.68,2042.3961070100004,142,527000,8.056795500040055,,
0.001,,530000,,-137.61129425048827,,,,529012,7.9394282746315,2249.1270144478303,1000.0
0.001,604,531012,3727,-137.77089804077147,937.68,2045.11412651,142,530012,8.138039517879486,,
0.001,,535000,,-137.59246200561523,,,,534012,8.373867689132691,2354.170047350554,1000.0
,608,535012,3757,,937.68,2049.5471799,142,,,,
0.001,612,539012,3778,-138.26400115966797,937.68,2051.8177864199997,142,538012,8.327198455810548,,
0.001,,540000,,-138.16757989501954,,,,539012,8.342861654520036,2142.7204341248607,904.7
0.001,616,543012,3808,-138.1961826477051,937.68,2051.62124059,142,542012,8.238140488386154,,
0.001,,545000,,-138.5645459136963,,,,544012,8.045523896217347,2387.1449670195116,1000.0
0.001,620,547012,3840,-138.54748594665529,937.68,2053.3812432600007,142,546012,7.957375378847122,,
0.001,,550000,,-138.88147554016112,,,,549012,8.406341350793838,2334.5413341435606,1000.0
0.001,624,551012,3871,-138.34907739257812,937.68,2055.3625062900005,142,550012,8.306218497991562,,
0.001,628,554047,3888,-139.1283189239502,928.03,2035.06282278,142,553047,8.209431766033173,,
0.001,,555000,,-139.05815481567382,,,,554047,8.296963265419006,1969.38327974251,1000.0
0.001,632,558047,3921,-139.3613151397705,928.03,2032.9541730099997,142,557047,8.222750072717666,,
0.001,,560000,,-139.26066380310058,,,,559047,8.134885764360428,2333.9739066824086,1000.0
0.001,636,562047,3952,-139.59116766357423,928.03,2055.9741695,142,561047,8.095402732372284,,
0.001,,565000,,-140.12831929016113,,,,564069,7.832360146045684,2126.6761826290867,1000.0
,640,565069,3979,,918.25,2035.21703254,141,,,,
0.001,644,569069,4002,-139.76061987304686,918.25,2038.3858100499995,142,568069,8.47806567454338,,
0.001,,570000,,-139.80810398864747,,,,569069,8.511962181091308,2110.08216933214,1000.0
0.001,648,573069,4034,-140.06983012390137,928.08,2062.7150336499994,142,572069,8.380905312299728,,
0.001,,575000,,-140.50859480285644,,,,574069,7.953403711795807,2054.170879725646,903.0
0.001,652,577069,4064,-140.6094326477051,928.08,2063.8924859299996,141,576069,8.227705490350724,,
0.001,,580000,,-140.34178616333008,,,,579069,8.793880532741547,2313.2057004659437,1000.0
0.001,656,581069,4095,-140.67170747375488,937.93,2103.49860515,141,580069,8.46504315662384,,
0.001,660,584092,4117,-140.80238417053224,928.16,2083.1387331,141,584069,8.833524062156677,,
0.001,,585000,,-140.79952494303384,,,,584092,8.456642254539158,2372.6834151873363,1000.0
0.001,664,588092,4144,-140.5382236175537,931.37,2095.35322834,141,587092,8.613824988126755,,
0.001,,590000,,-140.83272918701172,,,,589092,8.724097015619279,2372.812372243032,1000.0
0.001,668,592092,4175,-140.92612873840332,951.06,2144.50574804,141,591092,8.674580149173737,,
0.001,,595000,,-141.1588132019043,,,,594092,9.028984855175018,2303.721734288546,969.8
0.001,672,596092,4206,-140.7387734375,951.06,2120.87250571,141,595092,8.646787309408188,,
0.001,,600000,,-140.80317527770995,,,,599092,9.332207255125045,2111.1485584710326,1000.0
,676,600092,4239,,951.06,2141.70084167,141,,,,
0.001,680,604092,4260,-141.2743695526123,951.06,2160.7655287399994,141,603092,8.922660377025604,,
0.001,,605000,,-140.99166523742676,,,,604092,9.019577695846557,2351.494942912005,1000.0
0.001,684,607132,4286,-141.27266903686524,951.32,2161.49689803,141,606132,9.478511855125427,,
0.001,,610000,,-140.62086476135255,,,,609132,9.184481677770615,2089.4322914208983,902.5
0.001,688,611132,4319,-141.1354266052246,951.32,2162.20438621,141,610132,9.399646520614624,,
0.001,,615000,,-140.67117221069336,,,,614132,9.642780631780624,2344.731781101972,1000.0
,692,615132,4352,,951.32,2166.10631917,141,,,,
0.001,696,619132,4374,-140.66465832519532,951.32,2169.20840114,141,618132,9.366124975204468,,
0.001,,620000,,-140.85659603881837,,,,619132,9.55467018866539,2329.687401694339,1000.0
0.001,700,623132,4407,-140.74473922729493,961.2,2197.3175524599997,141,622132,9.544193064689637,,
0.001,,625000,,-139.41930198669434,,,,624165,11.318897781950055,2082.7772268202853,902.8
0.001,704,626165,4434,-140.9950556640625,951.53,2175.19639961,141,625165,9.557047193288803,,
