rollout/ep_rew_mean,time/episodes,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_len_mean,train/actor_loss,train/n_updates,train/critic_loss,train/learning_rate,eval/mean_reward,eval/mean_ep_length
2.0,4,12,5448,0,3.0,,,,,,
2.75,8,30,6016,0,3.75,,,,,,
5.25,12,75,6792,0,6.25,,,,,,
5.5,16,104,6518,0,6.5,,,,,,
5.1,20,122,783,0,6.1,-1.0352648496627808,24,0.1409460186958313,0.001,,
5.125,24,147,498,0,6.125,-0.9230770866076151,46,0.17828967422246933,0.001,,
6.642857142857143,28,214,344,0,7.642857142857143,-1.0809447223489934,104,0.14684975608473733,0.001,,
9.1875,32,326,266,1,10.1875,-1.354073004289107,209,0.13312832503156227,0.001,,
,,1000,,,,-2.3868246824061337,866,0.08896234621937127,0.001,96.0,97.0
32.583333333333336,36,1209,205,5,33.583333333333336,-3.144558608531952,962,0.11827401690728341,0.001,,
38.375,40,1575,187,8,39.375,-4.114509278535843,1388,0.13840615474618972,0.001,,
,,2000,,,,-4.737760433252307,1714,0.1518989784955761,0.001,1000.0,1000.0
,,3000,,,,-6.0477817897796635,2714,0.1371331515647471,0.001,1000.0,1000.0
85.56818181818181,44,3807,172,22,86.52272727272727,,,,,,
,,4000,,,,-9.487949357516523,3852,0.22842335987134257,0.001,108.4,109.4
,,5000,,,,-10.667789663587298,4764,0.25475353691635166,0.001,235.3,236.3
105.10416666666667,48,5091,143,35,106.0625,,,,,,
,,6000,,,,-11.745815456422985,4998,0.25261075982553327,0.001,1000.0,1000.0
,,7000,,,,-12.948115678787232,5998,0.33400846520811317,0.001,1000.0,1000.0
,,8000,,,,-14.858110147476197,6998,0.3943364453874528,0.001,943.9,944.0
,,9000,,,,-16.627311069488524,7998,0.5028636529296636,0.001,1000.0,1000.0
173.94230769230768,52,9091,136,66,174.82692307692307,,,,,,
,,10000,,,,-18.34006737136841,8998,0.5672047675102949,0.001,1000.0,1000.0
,,11000,,,,-20.005348205566406,9998,0.6409804798290133,0.001,1000.0,1000.0
,,12000,,,,-21.658523246765135,10998,0.6366852431148291,0.001,1000.0,1000.0
,,13000,,,,-23.306824783325194,11998,0.7067542499005794,0.001,1000.0,1000.0
232.94642857142858,56,13091,127,102,233.76785714285714,,,,,,
220.28333333333333,60,13267,121,108,221.11666666666667,-25.794080214066938,13124,0.8549565936243811,0.001,,
210.578125,64,13531,122,110,211.421875,-26.279182354609173,13384,1.789068914474325,0.001,,
201.22058823529412,68,13741,123,111,202.0735294117647,-26.367664575576782,13586,1.1037660456718283,0.001,,
192.98611111111111,72,13957,123,112,193.84722222222223,-26.742247581481934,13808,1.2044019146399065,0.001,,
,,14000,,,,-26.978337696620397,13864,0.9148847271821329,0.001,53.8,54.8
185.97368421052633,76,14200,124,114,186.8421052631579,-27.135999114425093,14049,1.0645034250887957,0.001,,
,,15000,,,,-27.13587504419787,14107,0.6619191192861261,0.001,1000.0,1000.0
190.825,80,15335,123,124,191.6875,-28.66783957047896,15194,1.0406341925263405,0.001,,
184.45238095238096,84,15567,123,125,185.32142857142858,-29.044185638427734,15411,1.137110862614853,0.001,,
178.32954545454547,88,15770,123,127,179.20454545454547,-29.246859709421795,15630,0.9191749825452765,0.001,,
172.58695652173913,92,15959,124,128,173.4673913043478,-29.370803435643513,15815,1.1381805234899123,0.001,,
,,16000,,,,-29.333398672250603,15866,1.2594988801900078,0.001,52.2,53.2
167.51041666666666,96,16166,124,130,168.39583333333334,-29.449478855839484,16023,1.8657347604080483,0.001,,
