eval/mean_ep_length,eval/mean_reward,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,train/std,train/learning_rate,train/explained_variance,train/clip_range,train/value_loss,train/clip_fraction,train/approx_kl,train/entropy_loss,train/n_updates,train/loss,train/policy_gradient_loss
1000.0,-179.66052372155247,1000,,,,,,,,,,,,,,,,
1000.0,-179.66052372155247,2000,,,,,,,,,,,,,,,,
,,2048,149,13,-1198.8996075,1,1000.0,,,,,,,,,,,
1000.0,-178.82219353355467,3000,,,,,,0.9601349830627441,0.0003,0.011576950550079346,0.2,343.31215381622314,0.02666015625,0.00550891,-2.791073859483004,10,122.19865417480469,-0.008949847641633823
1000.0,-178.82219353355467,4000,,,,,,,,,,,,,,,,
,,4096,142,28,-1199.80899675,2,1000.0,,,,,,,,,,,
1000.0,-172.41685337759554,5000,,,,,,0.941730797290802,0.0003,-0.22922968864440918,0.2,239.63976109027863,0.0201171875,0.004054876,-2.736760160326958,20,56.53107452392578,-0.006791241659084335
1000.0,-172.41685337759554,6000,,,,,,,,,,,,,,,,
,,6144,139,44,-1192.315732,3,1000.0,,,,,,,,,,,
1000.0,-144.08078704252839,7000,,,,,,0.9175386428833008,0.0003,-0.5872321128845215,0.2,147.84249955415726,0.0375,0.0071647046,-2.6969063065946104,30,22.96797752380371,-0.006493072712328285
1000.0,-144.08078704252839,8000,,,,,,,,,,,,,,,,
,,8192,137,59,-1179.4527765,4,1000.0,,,,,,,,,,,
1000.0,-159.96655728491024,9000,,,,,,0.8626271486282349,0.0003,-0.1361788511276245,0.2,111.21586022973061,0.035986328125,0.00913816,-2.6079862631857393,40,18.202285766601562,-0.011165801071911119
1000.0,-159.96655728491024,10000,,,,,,,,,,,,,,,,
,,10240,137,74,-1160.5632805999999,5,1000.0,,,,,,,,,,,
1000.0,-152.5422743290197,11000,,,,,,0.8045118451118469,0.0003,0.03739279508590698,0.2,79.60106509923935,0.04501953125,0.012899574,-2.4741336688399316,50,12.21208381652832,-0.013438732441863976
1000.0,-152.5422743290197,12000,,,,,,,,,,,,,,,,
,,12288,137,89,-1129.0130273333332,6,1000.0,,,,,,,,,,,
1000.0,-144.53742721844463,13000,,,,,,0.7328846454620361,0.0003,-0.14932143688201904,0.2,40.72139074355364,0.067236328125,0.019491768,-2.313694394379854,60,3.760587692260742,-0.017998158287082334
1000.0,-144.53742721844463,14000,,,,,,,,,,,,,,,,
,,14336,137,104,-1109.295212142857,7,1000.0,,,,,,,,,,,
1000.0,-137.20454001072795,15000,,,,,,0.6684834361076355,0.0003,-0.008227109909057617,0.2,29.141218906641008,0.094775390625,0.023242593,-2.1277274779975412,70,1.6387630701065063,-0.020810956184868702
1000.0,-137.20454001072795,16000,,,,,,,,,,,,,,,,
,,16384,137,118,-1083.7293341250002,8,1000.0,,,,,,,,,,,
1000.0,-143.05959043409675,17000,,,,,,0.6030207872390747,0.0003,0.0004887580871582031,0.2,12.861439068615436,0.139697265625,0.02975716,-1.9260047886520624,80,1.9321098327636719,-0.021352317003766073
1000.0,-143.05959043409675,18000,,,,,,,,,,,,,,,,
,,18432,137,133,-1052.7911899444446,9,1000.0,,,,,,,,,,,
1000.0,-147.03396546971052,19000,,,,,,0.5444381237030029,0.0003,-0.09844326972961426,0.2,5.714422454684973,0.13271484375,0.029458836,-1.720908584445715,90,1.9319772720336914,-0.02079372255539056
1000.0,-147.03396546971052,20000,,,,,,,,,,,,,,,,
,,20480,138,148,-1023.4899435500001,10,1000.0,,,,,,,,,,,
1000.0,-141.6952881768346,21000,,,,,,0.49398595094680786,0.0003,-0.025251030921936035,0.2,2.8460558339953423,0.166162109375,0.026013896,-1.4946378767490387,100,1.7020556926727295,-0.027326827726210468
1000.0,-141.6952881768346,22000,,,,,,,,,,,,,,,,
,,22528,138,162,-989.5619254545455,11,1000.0,,,,,,,,,,,
1000.0,-143.51608025208117,23000,,,,,,0.45050758123397827,0.0003,0.0069869160652160645,0.2,1.9677257511764765,0.139013671875,0.02363872,-1.3103579286485911,110,1.203542947769165,-0.02487000452238135
