train/n_updates,rollout/ep_len_mean,train/actor_loss,time/time_elapsed,time/episodes,time/fps,time/total_timesteps,train/learning_rate,train/critic_loss,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length
200,100.0,1.6322309970855713,1,4,296,400,0.001,0.04745350574608892,-119.0646085,,
300,,1.8380577325820924,,,,500,0.001,0.02398944499436766,,-116.49716924999998,100.0
600,100.0,2.3722850370407103,5,8,135,800,0.001,0.008165232804603875,-97.27933275000001,,
800,,2.6214254188537596,,,,1000,0.001,0.012704333071596921,,-60.130859,100.0
1000,100.0,2.848492646217346,10,12,119,1200,0.001,0.013977404595352709,-84.24830408333334,,
1300,,3.3397820377349854,,,,1500,0.001,0.015168183539062739,,-59.09180365000001,100.0
1400,100.0,3.4746749353408815,14,16,113,1600,0.001,0.016282536908984183,-79.07689206250001,,
1800,,4.0689242076873775,,,,2000,0.001,0.019215106619521975,,-56.39203604999999,100.0
,100.0,,18,20,107,2000,,,-73.70469985,,
2200,100.0,4.6175212383270265,21,24,113,2400,0.001,0.02274766025133431,-69.629815875,,
2300,,4.752501344680786,,,,2500,0.001,0.020420122733339666,,-53.296771150000005,100.0
2600,100.0,5.129715337753296,25,28,109,2800,0.001,0.025286648627370595,-66.42462778571428,,
2800,,5.381935224533081,,,,3000,0.001,0.02544604561291635,,-55.55922205,100.0
3000,100.0,5.66512845993042,29,32,106,3200,0.001,0.02446889360435307,-64.67577056249999,,
3300,,6.121961832046509,,,,3500,0.001,0.025571921868249775,,-60.97192075,100.0
3400,100.0,6.269121952056885,34,36,103,3600,0.001,0.02629135218448937,-63.641342527777766,,
3800,,6.861867933273316,,,,4000,0.001,0.024320620633661746,,-66.9060878,100.0
,100.0,,39,40,101,4000,,,-63.483871199999996,,
4200,100.0,7.412072105407715,41,44,105,4400,0.001,0.027764919344335795,-62.250563409090915,,
4300,,7.54804253578186,,,,4500,0.001,0.02690932733938098,,-53.9796515,100.0
4600,100.0,7.974656419754028,45,48,104,4800,0.001,0.023381143901497127,-61.37191227083334,,
4800,,8.222236328125,,,,5000,0.001,0.026686333818361163,,-56.912133,100.0
