train/n_updates,rollout/ep_len_mean,train/actor_loss,time/time_elapsed,time/episodes,time/fps,time/total_timesteps,train/learning_rate,train/critic_loss,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length
200,100.0,1.2761640095710753,1,4,267,400,0.001,0.018998334563802927,-93.805834,,
300,,1.4035206818580628,,,,500,0.001,0.009815607845084742,,-73.4571744,100.0
600,100.0,1.7616322898864747,6,8,128,800,0.001,0.0067304778820835055,-77.56993575,,
800,,2.004601321220398,,,,1000,0.001,0.005919488626532256,,-63.344187850000004,100.0
1000,100.0,2.247145276069641,10,12,110,1200,0.001,0.0071255114255473016,-71.407998,,
1300,,2.6336622524261473,,,,1500,0.001,0.011448025414720177,,-65.08494095,100.0
1400,100.0,2.7940158319473265,15,16,102,1600,0.001,0.011337818363681435,-67.0922685625,,
1800,,3.348555688858032,,,,2000,0.001,0.012818047031760215,,-57.287163150000005,100.0
,100.0,,20,20,99,2000,,,-66.1158271,,
2200,100.0,3.945833292007446,22,24,105,2400,0.001,0.014873109506443143,-65.23544079166668,,
2300,,4.097644214630127,,,,2500,0.001,0.015914309434592724,,-63.67777424999999,100.0
2600,100.0,4.544886789321899,27,28,101,2800,0.001,0.015201899809762836,-64.48968035714286,,
2800,,4.843090486526489,,,,3000,0.001,0.015265406109392643,,-60.41380255,100.0
3000,100.0,5.1281196403503415,32,32,99,3200,0.001,0.019281622730195524,-63.76860475,,
3300,,5.534831676483154,,,,3500,0.001,0.017346221413463356,,-52.51054605,100.0
3400,100.0,5.6514334297180175,36,36,98,3600,0.001,0.01862788088619709,-62.336606999999994,,
3800,,6.224030904769897,,,,4000,0.001,0.021209101062268018,,-60.9025703,100.0
,100.0,,40,40,97,4000,,,-61.962239975,,
4200,100.0,6.774318637847901,43,44,100,4400,0.001,0.02208955680951476,-60.943382022727285,,
4300,,6.9135945034027095,,,,4500,0.001,0.02002768810838461,,-58.76217174999999,100.0
4600,100.0,7.351849346160889,47,48,100,4800,0.001,0.03032092662528157,-60.45184622916667,,
4800,,7.625946655273437,,,,5000,0.001,0.02053459002636373,,-53.70230105,100.0
5000,100.0,7.898095369338989,52,52,99,5200,0.001,0.01977535417303443,-59.66609773076924,,
5300,,8.29977653503418,,,,5500,0.001,0.024390902509912847,,-51.989723149999996,100.0
5400,100.0,8.43671323776245,57,56,97,5600,0.001,0.02200410418212414,-59.080080339285715,,
5800,,8.988038921356202,,,,6000,0.001,0.02412775590084493,,-54.57675185000001,100.0
,100.0,,62,60,96,6000,,,-58.58054496666667,,
6200,100.0,9.519403820037843,64,64,98,6400,0.001,0.02824327414855361,-58.126780828125,,
6300,,9.67349645614624,,,,6500,0.001,0.032011081948876384,,-54.04759640000001,100.0
6600,100.0,10.069366340637208,69,68,97,6800,0.001,0.024191054925322534,-57.86250214705882,,
6800,,10.338085956573487,,,,7000,0.001,0.027471390180289747,,-55.30163405,100.0
7000,100.0,10.616983203887939,74,72,96,7200,0.001,0.026405432168394326,-57.63420522222222,,
7300,,11.039649028778076,,,,7500,0.001,0.026491971984505654,,-52.477359899999996,100.0
7400,100.0,11.192851104736327,79,76,95,7600,0.001,0.025047698337584735,-57.33879134210527,,
7800,,11.733126239776611,,,,8000,0.001,0.0302449101023376,,-50.78431735,100.0
,100.0,,84,80,95,8000,,,-57.1436256125,,
8200,100.0,12.258653678894042,86,84,96,8400,0.001,0.029873309917747976,-56.84565353571428,,
8300,,12.40490354537964,,,,8500,0.001,0.03297512916848064,,-58.61144364999999,100.0
8600,100.0,12.787193908691407,91,88,96,8800,0.001,0.03576348379254341,-56.77547510227273,,
8800,,13.057341918945312,,,,9000,0.001,0.03665771359577775,,-47.592162900000005,100.0
9000,100.0,13.312709732055664,96,92,95,9200,0.001,0.032876661252230405,-56.429002315217396,,
9300,,13.713852615356446,,,,9500,0.001,0.030735466070473193,,-49.720247300000004,100.0
9400,100.0,13.83054443359375,101,96,94,9600,0.001,0.031435140036046506,-56.23671727083334,,
9800,,14.3295707321167,,,,10000,0.001,0.03390189507976174,,-49.04019505,100.0
,100.0,,106,100,94,10000,,,-55.90349153000001,,
10200,100.0,14.847267875671387,108,104,95,10400,0.001,0.043702746964991095,-54.08740709,,
10300,,14.917238388061524,,,,10500,0.001,0.035809532217681406,,-50.719206,100.0
10600,100.0,15.350711421966553,113,108,94,10800,0.001,0.03908028973266482,-53.69897558999999,,
10800,,15.638039283752441,,,,11000,0.001,0.04430974051356316,,-51.5629033,100.0
11000,100.0,15.886156826019286,118,112,94,11200,0.001,0.04147263690829277,-53.34461228999999,,
11300,,16.27281799316406,,,,11500,0.001,0.04813270708546043,,-49.9546019,100.0
11400,100.0,16.373901748657225,123,116,93,11600,0.001,0.03710234358906746,-53.01944036999999,,
11800,,16.913177795410157,,,,12000,0.001,0.038950555454939605,,-54.10702545,100.0
,100.0,,128,120,93,12000,,,-52.6680525,,
12200,100.0,17.339648132324218,130,124,94,12400,0.001,0.04117644881829619,-52.26497628,,
12300,,17.470545616149902,,,,12500,0.001,0.04594426341354847,,-52.462857199999995,100.0
12600,100.0,17.82947498321533,135,128,94,12800,0.001,0.048218298647552726,-51.686546439999994,,
12800,,18.03033603668213,,,,13000,0.001,0.04014831252396107,,-56.77401689999999,100.0
13000,100.0,18.244699058532714,140,132,93,13200,0.001,0.039818020705133676,-51.18237376,,
13300,,18.623352699279785,,,,13500,0.001,0.04467117017135024,,-51.4207502,100.0
13400,100.0,18.735395851135255,145,136,93,13600,0.001,0.04230058511719108,-51.24391464,,
13800,,19.228654823303224,,,,14000,0.001,0.046985358372330664,,-70.2623602,100.0
,100.0,,150,140,93,14000,,,-51.09409155,,
14200,100.0,19.625063972473143,152,144,94,14400,0.001,0.05375528752803802,-51.10269755,,
14300,,19.770087585449218,,,,14500,0.001,0.05140565026551485,,-55.000465299999995,100.0
14600,100.0,20.108756446838377,157,148,94,14800,0.001,0.04543848894536495,-50.92951115999999,,
14800,,20.363552589416503,,,,15000,0.001,0.05512235570698976,,-51.61825389999999,100.0
15000,100.0,20.574767303466796,162,152,93,15200,0.001,0.05344161745160818,-50.85036993999999,,
15300,,20.846449737548827,,,,15500,0.001,0.05563320275396109,,-52.39167414999999,100.0
15400,100.0,20.944122314453125,166,156,93,15600,0.001,0.04681276839226484,-50.514466580000004,,
15800,,21.342957382202147,,,,16000,0.001,0.050905617214739324,,-49.69653535,100.0
,100.0,,171,160,93,16000,,,-50.434935540000005,,
16200,100.0,21.771503829956053,174,164,93,16400,0.001,0.05716551017016172,-50.391626239999994,,
16300,,21.8551965713501,,,,16500,0.001,0.05669005621224642,,-50.655956200000006,100.0
16600,100.0,22.164316444396974,179,168,93,16800,0.001,0.047039590831846,-50.139376090000006,,
