rollout/ep_rew_mean,time/fps,train/ent_coef_loss,train/critic_loss,train/n_updates,time/total_timesteps,train/ent_coef,time/time_elapsed,time/episodes,train/actor_loss,rollout/ep_len_mean,train/learning_rate,eval/mean_reward,eval/mean_ep_length
-260.04414249999996,64,-8.119970321655273,1.0627329349517822,2118,2219,0.5324360132217407,34,4,-32.459381103515625,554.75,0.0003,,
-148.69330212499997,64,-9.159624099731445,1.6616196632385254,2399,2500,0.48990893363952637,38,8,-34.84699249267578,312.5,0.0003,,
-105.77605299999999,64,-10.198051452636719,4.258084297180176,2701,2802,0.4482874274253845,43,12,-36.595245361328125,233.5,0.0003,,
-86.4473705625,63,-10.949441909790039,4.997953414916992,2962,3063,0.415342777967453,47,16,-37.215614318847656,191.4375,0.0003,,
-98.65882685,64,-13.28366470336914,3.9316205978393555,3750,3851,0.3312019109725952,59,20,-39.57538604736328,192.55,0.0003,,
-89.76031141666668,64,-13.703158378601074,4.750693321228027,3989,4090,0.3094921112060547,63,24,-39.94845199584961,170.41666666666666,0.0003,,
-81.6456575,64,-13.848896026611328,4.763693809509277,4155,4256,0.295276939868927,66,28,-39.203346252441406,152.0,0.0003,,
-76.68667625,64,-14.687742233276367,7.206092834472656,4346,4447,0.27976006269454956,69,32,-39.59404373168945,138.96875,0.0003,,
,,-15.359150886535645,7.133530139923096,4899,5000,0.23952220380306244,,,-39.57866668701172,,0.0003,138.97577448105147,686.1
-91.75569105555556,54,-16.93726348876953,5.944263458251953,5659,5760,0.1941627860069275,105,36,-37.474205017089844,160.0,0.0003,,
-101.40146825,55,-17.70697784423828,4.155499458312988,6766,6867,0.14300793409347534,122,40,-36.47057342529297,171.675,0.0003,,
-107.35272693181818,56,-19.03152847290039,3.936634063720703,8050,8151,0.1002478078007698,143,44,-32.43389129638672,185.25,0.0003,,
-112.02584454166667,57,-21.044994354248047,3.2311878204345703,9409,9510,0.06889559328556061,165,48,-28.440357208251953,198.125,0.0003,,
,,-20.14545440673828,3.064720630645752,9899,10000,0.06031534820795059,,,-27.450557708740234,,0.0003,-19.58339913704531,435.7
-117.98227236538463,55,-18.61699104309082,2.5972886085510254,11757,11858,0.03701828420162201,213,52,-21.874557495117188,228.03846153846155,0.0003,,
-110.78188298214286,56,-10.979142189025879,2.3189730644226074,14275,14376,0.020230673253536224,255,56,-17.131736755371094,256.7142857142857,0.0003,,
,,-9.448271751403809,1.8007934093475342,14899,15000,0.01776178739964962,,,-16.30173110961914,,0.0003,340.26562511461105,1000.0
-89.52262168333333,52,0.24675071239471436,1.3152600526809692,16789,16890,0.013642801903188229,320,60,-15.45228385925293,281.5,0.0003,,
