rollout/ep_len_mean,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/std,train/n_updates,train/explained_variance,train/learning_rate,train/clip_fraction,train/approx_kl,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/loss,eval/mean_reward,eval/mean_ep_length
21.072164948453608,1,4,2048,98.96561070103093,478,,,,,,,,,,,,,
22.35,2,8,4096,104.81546725,472,1.0009981393814087,10,0.006069660186767578,0.0003,0.2029296875,0.01763627,0.2,-24.13975127339363,-0.05609810945461504,1279.1609098434449,421.73016357421875,,
,,,5000,,,0.9988956451416016,20,0.02327340841293335,0.0003,0.2353515625,0.023041315,0.2,-24.118642258644105,-0.06599930007650982,1028.8936109542847,385.20794677734375,265.9415489673614,49.6
20.74,3,14,6144,97.24997671999999,413,,,,,,,,,,,,,
23.81,4,19,8192,110.81150787,426,0.9961491823196411,30,0.02553391456604004,0.0003,0.314892578125,0.028596207,0.2,-24.06942523121834,-0.07955887140124104,761.2876385688782,377.4856262207031,,
,,,10000,,,0.997339129447937,40,0.01725238561630249,0.0003,0.320751953125,0.029990237,0.2,-24.073251497745513,-0.08191488947486505,897.2722358703613,438.5588684082031,258.25863153338435,49.15
23.53,5,25,10240,110.26443330000001,398,,,,,,,,,,,,,
24.25,6,30,12288,113.86811492999999,400,0.9958890080451965,50,0.01777780055999756,0.0003,0.347900390625,0.032362014,0.2,-24.076063603162766,-0.08477581278420984,801.4431491851807,279.2575378417969,,
23.18,7,35,14336,108.63887474999997,400,0.9951019287109375,60,0.030718564987182617,0.0003,0.325341796875,0.028849928,0.2,-24.04475326538086,-0.08177486289059743,797.2460784912109,427.119384765625,,
,,,15000,,,0.9948536157608032,70,0.06247180700302124,0.0003,0.327978515625,0.030890757,0.2,-24.035206681489946,-0.08118090450007003,715.7464673042298,353.59478759765625,307.9261738419533,58.55
24.8,8,42,16384,116.99427047,381,,,,,,,,,,,,,
