rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/fps,time/episodes,time/total_timesteps,train/n_updates,train/critic_loss,train/actor_loss,train/learning_rate,eval/mean_reward,eval/mean_ep_length
44.749433749999994,40.0,0,300,4,160,,,,,,
21.194179624999997,29.0,1,225,8,232,118,0.05321176267332501,-1.0761137074894376,0.001,,
13.3622505,25.333333333333332,1,225,12,304,190,0.02978392235106892,-0.9588089254167345,0.001,,
9.468678,23.5,1,226,16,376,262,0.02864264073367748,-0.9486518965827094,0.001,,
7.13121695,22.3,1,227,20,446,332,0.0375726741945578,-0.9013854795032077,0.001,,
5.557151666666666,21.583333333333332,2,230,24,518,404,0.05292247525519795,-0.8865793645381927,0.001,,
4.397802571428571,21.071428571428573,2,231,28,590,476,0.05086322966963053,-0.6386812428633372,0.001,,
3.539584375,20.6875,2,230,32,662,548,0.030859610738439694,-0.5524197287029691,0.001,,
2.8908203055555557,20.38888888888889,3,229,36,734,620,0.029829457635059953,-0.526861192451583,0.001,,
2.3437717499999997,20.15,3,225,40,806,692,0.03368447920204037,-0.41256066044378614,0.001,,
6.057699863636364,21.386363636363637,4,225,44,941,823,0.1615406874081363,-1.0215716578743674,0.001,,
8.801300833333334,21.5,4,223,48,1032,914,0.2413288189665131,-1.664643481373787,0.001,,
11.039182788461538,21.53846153846154,5,221,52,1120,1002,0.48262569799341937,-2.1884239370172676,0.001,,
12.93181619642857,21.553571428571427,5,220,56,1207,1089,0.534139870242639,-2.500496582551436,0.001,,
14.593866999999998,21.583333333333332,5,220,60,1295,1177,0.4254540116949515,-2.9568924687125464,0.001,,
16.065693625,21.625,6,218,64,1384,1266,0.6292447759346529,-3.3020532564683394,0.001,,
17.316189455882352,21.63235294117647,6,217,68,1471,1354,0.5338522873141549,-3.8160003315318716,0.001,,
18.44867488888889,21.65277777777778,7,216,72,1559,1441,0.48163114759055053,-4.236670624126088,0.001,,
19.472724421052632,21.68421052631579,7,215,76,1648,1530,0.5205617912790992,-4.81336073441939,0.001,,
20.385483299999997,21.7,8,215,80,1736,1617,0.5190908099923816,-4.811933326721191,0.001,,
21.20812732142857,21.714285714285715,8,215,84,1824,1706,0.5873975090005181,-5.558407458392057,0.001,,
22.008449579545456,21.761363636363637,8,216,88,1915,1796,0.5732220806505369,-6.105867664019267,0.001,,
22.692297565217395,21.77173913043478,9,216,92,2003,1885,0.622988339852203,-6.1681294007734815,0.001,,
23.320950072916663,21.78125,9,217,96,2091,1973,0.5730407332832163,-6.686436956579035,0.001,,
23.942932299999992,21.82,9,218,100,2182,2063,0.5751437467077504,-7.452198115262118,0.001,,
23.705095840000002,21.13,10,217,104,2273,2154,0.5571066063383351,-7.3424729108810425,0.001,,
25.30886168,21.29,10,218,108,2361,2243,0.6373248411850496,-8.047280181537975,0.001,,
