time/total_timesteps,time/episodes,train/critic_loss,train/n_updates,train/learning_rate,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/actor_loss,rollout/ep_len_mean,eval/mean_reward,eval/mean_ep_length
2093,4,0.29869391238599113,2033,0.001,199,10,-897.5420955000001,0.6016041394323111,523.25,,
5000,,0.07251698310300708,4093,0.001,,,,2.105257021903992,,-265.6897070598934,1000.0
6093,8,0.1715244951210916,5093,0.001,172,35,-1184.397757375,2.518655462026596,761.625,,
9470,12,0.2467625881806016,8470,0.001,182,51,-991.04212625,7.362150312423706,789.1666666666666,,
10000,,0.21894194684177637,9470,0.001,,,,8.24005348587036,,690.2995944321708,1000.0
13470,16,0.15748676436394454,12470,0.001,168,79,-817.7721268125,10.878129180908203,841.875,,
15000,,0.15223321712762117,14470,0.001,,,,12.087773380279542,,833.1958777531981,1000.0
17470,20,0.12896526031941175,16470,0.001,161,107,-683.6287226500001,13.292631036758422,873.5,,
20000,,0.12907244818657637,19470,0.001,,,,14.54623295211792,,886.1237441143021,1000.0
21470,24,0.1187927635088563,20470,0.001,157,136,-593.1528214166667,14.998171396255493,894.5833333333334,,
25000,,0.12290691028535367,24470,0.001,,,,16.36713332939148,,916.7961496561766,1000.0
25470,28,,,,155,164,-520.2875100357144,,909.6428571428571,,
29470,32,0.1280783564224839,28470,0.001,160,183,-463.59447853125,17.487720947265625,920.9375,,
30000,,0.12260867716744542,29470,0.001,,,,17.735521141052246,,938.4418294826522,1000.0
33470,36,0.10036096735671163,32470,0.001,157,212,-418.00188388888887,18.500374088287355,929.7222222222222,,
35000,,0.09436597644165158,34470,0.001,,,,18.914661323547364,,945.5644535176456,1000.0
37470,40,0.08509034736081958,36470,0.001,155,241,-380.73331100000007,19.296538639068604,936.75,,
40000,,0.08019252438470721,39470,0.001,,,,19.686987358093262,,955.9336239665747,1000.0
41470,44,0.07958605671301484,40470,0.001,153,269,-350.4562102500001,19.79014170074463,942.5,,
45000,,0.07000345158949495,44470,0.001,,,,20.146239002227784,,972.4279030650854,1000.0
45470,48,,,,152,297,-323.90835895833334,,947.2916666666666,,
49470,52,0.06530040568299592,48470,0.001,155,317,-301.4802925576923,20.439939277648925,951.3461538461538,,
50000,,0.059337644897401336,49470,0.001,,,,20.5027248878479,,968.7652716517448,1000.0
