rollout/ep_rew_mean,train/learning_rate,time/total_timesteps,train/actor_loss,time/fps,time/time_elapsed,train/critic_loss,rollout/ep_len_mean,train/n_updates,time/episodes,eval/mean_reward,eval/mean_ep_length
-134.4077255,0.001,400,1.881259298324585,316,1,0.06061990538612008,100.0,200,4,,
,0.001,500,2.0845521974563597,,,0.023313336232677104,,300,,-114.27381790000001,100.0
-112.460391625,0.001,800,2.607036032676697,150,5,0.044536795867607,100.0,600,8,,
,0.001,1000,2.8057447624206544,,,0.02416996657848358,,800,,-77.1083697,100.0
-98.78168483333333,0.001,1200,3.0673727083206175,121,9,0.019692202899605035,100.0,1000,12,,
,0.001,1500,3.451695590019226,,,0.015216283961199223,,1300,,-67.04084360000002,100.0
-90.430928,0.001,1600,3.5861285495758057,111,14,0.013825993407517672,100.0,1400,16,,
,0.001,2000,4.182655968666077,,,0.01713351613841951,,1800,,-63.59977795000002,100.0
-85.198919,,2000,,108,18,,100.0,,20,,
-81.26043745833333,0.001,2400,4.736254405975342,116,20,0.018958235224708915,100.0,2200,24,,
,0.001,2500,4.897833156585693,,,0.019399654250591994,,2300,,-56.10297849999999,100.0
-77.6716837142857,0.001,2800,5.336515407562256,114,24,0.019810189809650183,100.0,2600,28,,
,0.001,3000,5.623683757781983,,,0.022853437783196567,,2800,,-58.8677515,100.0
-74.96158978125,0.001,3200,5.892046375274658,113,28,0.030601918548345566,100.0,3000,32,,
,0.001,3500,6.298124055862427,,,0.024611017387360334,,3300,,-58.92206515,100.0
-72.51764658333333,0.001,3600,6.456987037658691,112,31,0.028424163348972797,100.0,3400,36,,
,0.001,4000,6.961985187530518,,,0.024671636978164314,,3800,,-60.91004255,100.0
-70.01180115,,4000,,112,35,,100.0,,40,,
-68.99361563636363,0.001,4400,7.525587253570556,116,37,0.0277628543227911,100.0,4200,44,,
,0.001,4500,7.69914397239685,,,0.04809186697006226,,4300,,-59.98170429999999,100.0
-67.5970645,0.001,4800,8.096699590682983,115,41,0.02915084345266223,100.0,4600,48,,
,0.001,5000,8.352201671600342,,,0.03599113652482629,,4800,,-53.172146,100.0
-66.2148755,0.001,5200,8.612783966064454,114,45,0.02716676825657487,100.0,5000,52,,
,0.001,5500,8.997844619750976,,,0.030387953352183104,,5300,,-52.28502540000001,100.0
-64.97147369642857,0.001,5600,9.147660007476807,113,49,0.03194873688742519,100.0,5400,56,,
,0.001,6000,9.700928478240966,,,0.034271786846220495,,5800,,-57.1057494,100.0
-64.23980781666667,,6000,,113,52,,100.0,,60,,
-63.71215495312501,0.001,6400,10.264059467315674,115,55,0.03594140438362956,100.0,6200,64,,
,0.001,6500,10.414528827667237,,,0.05156186753883958,,6300,,-54.8360056,100.0
-62.99436197058826,0.001,6800,10.828963546752929,115,58,0.03556382035836578,100.0,6600,68,,
,0.001,7000,11.059637393951416,,,0.03420941270887852,,6800,,-50.92698505,100.0
-62.32944880555556,0.001,7200,11.309299602508545,114,62,0.03247032405808568,100.0,7000,72,,
,0.001,7500,11.74304479598999,,,0.03416931254789233,,7300,,-49.79183040000001,100.0
-61.51633013157894,0.001,7600,11.873630390167236,114,66,0.038732646014541385,100.0,7400,76,,
,0.001,8000,12.464881801605225,,,0.0424141788482666,,7800,,-49.81639435,100.0
-61.111750074999996,,8000,,113,70,,100.0,,80,,
-60.41534485714285,0.001,8400,12.911897087097168,116,72,0.037452237978577614,100.0,8200,84,,
,0.001,8500,13.021567993164062,,,0.04275973988696933,,8300,,-54.159327299999994,100.0
-59.76981213636364,0.001,8800,13.450619812011718,115,76,0.04055025205016136,100.0,8600,88,,
,0.001,9000,13.624599494934081,,,0.04601337177678943,,8800,,-50.066458250000004,100.0
-59.14563093478262,0.001,9200,13.884267177581787,115,79,0.04027069743722677,100.0,9000,92,,
,0.001,9500,14.293883304595948,,,0.04840998547151685,,9300,,-52.001520400000004,100.0
-58.664326718750004,0.001,9600,14.453141460418701,114,83,0.05074387691915035,100.0,9400,96,,
,0.001,10000,14.92548999786377,,,0.04061969988048077,,9800,,-50.735318649999996,100.0
-58.375761239999996,,10000,,114,87,,100.0,,100,,
-55.10864364000001,0.001,10400,15.473605289459229,116,89,0.04323634952306747,100.0,10200,104,,
,0.001,10500,15.587523765563965,,,0.04655108133330941,,10300,,-50.965957200000005,100.0
-53.23881533000001,0.001,10800,15.933416919708252,115,93,0.051135271191596984,100.0,10600,108,,
,0.001,11000,16.21339614868164,,,0.05124100510030985,,10800,,-49.2282919,100.0
-52.510892479999995,0.001,11200,16.426718196868897,115,97,0.05182022899389267,100.0,11000,112,,
,0.001,11500,16.852693328857423,,,0.04600063845515251,,11300,,-50.00938394999999,100.0
-51.986522179999994,0.001,11600,16.94559524536133,114,100,0.047072631455957886,100.0,11400,116,,
,0.001,12000,17.532150917053222,,,0.062439705226570365,,11800,,-53.81143539999999,100.0
-51.36403154,,12000,,114,104,,100.0,,120,,
-50.80524752,0.001,12400,17.994272117614745,116,106,0.05614565495401621,100.0,12200,124,,
,0.001,12500,18.05845287322998,,,0.049735826756805185,,12300,,-49.51908215,100.0
-50.42654127000001,0.001,12800,18.47165729522705,115,110,0.04779445700347423,100.0,12600,128,,
,0.001,13000,18.735979652404787,,,0.053727297969162466,,12800,,-51.650697349999994,100.0
-50.30521340999999,0.001,13200,18.907663383483886,115,114,0.05496245857328177,100.0,13000,132,,
,0.001,13500,19.243834571838377,,,0.054587934091687204,,13300,,-50.05425475,100.0
-50.067723799999996,0.001,13600,19.38513385772705,114,118,0.05661392789334059,100.0,13400,136,,
,0.001,14000,19.844222373962403,,,0.05288202391937375,,13800,,-49.779325299999996,100.0
-49.99402045000001,,14000,,114,122,,100.0,,140,,
-49.41247835000001,0.001,14400,20.346562728881835,115,124,0.06195884421467781,100.0,14200,144,,
,0.001,14500,20.456368026733397,,,0.058760927319526673,,14300,,-47.994619750000005,100.0
-49.14488606,0.001,14800,20.737781982421875,115,128,0.0569521401450038,100.0,14600,148,,
,0.001,15000,20.970470962524413,,,0.05819759722799063,,14800,,-48.78056274999999,100.0
-49.02470667000001,0.001,15200,21.119330368041993,115,132,0.06678686086088419,100.0,15000,152,,
,0.001,15500,21.55643371582031,,,0.06188600599765778,,15300,,-50.96757029999999,100.0
-48.93110582,0.001,15600,21.655413513183593,114,135,0.06484267350286245,100.0,15400,156,,
,0.001,16000,22.075935249328612,,,0.06825226416811347,,15800,,-48.971927050000005,100.0
-48.6407795,,16000,,114,139,,100.0,,160,,
-48.36398519,0.001,16400,22.532533226013182,115,141,0.05871673110872507,100.0,16200,164,,
,0.001,16500,22.65640754699707,,,0.06340709209442139,,16300,,-47.97358010000001,100.0
-48.21161279000001,0.001,16800,23.0483150100708,115,145,0.06571372237056494,100.0,16600,168,,
,0.001,17000,23.1887565612793,,,0.06567906077951192,,16800,,-47.707767000000004,100.0
-48.06835997,0.001,17200,23.433826446533203,115,149,0.06648082792758941,100.0,17000,172,,
,0.001,17500,23.759890747070312,,,0.0815663918480277,,17300,,-47.05716915,100.0
-48.04104467,0.001,17600,23.90960548400879,114,153,0.06690497498959302,100.0,17400,176,,
,0.001,18000,24.256836929321288,,,0.06715938840061426,,17800,,-50.613159550000006,100.0
-47.7280772,,18000,,114,157,,100.0,,180,,
-47.852938460000004,0.001,18400,24.786248931884767,115,159,0.07533494714647532,100.0,18200,184,,
,0.001,18500,24.856669273376465,,,0.07529243603348731,,18300,,-49.4040937,100.0
-47.99505272999999,0.001,18800,25.239192123413087,114,163,0.07261458933353424,100.0,18600,188,,
,0.001,19000,25.424355239868163,,,0.07107551537454128,,18800,,-50.6476521,100.0
-47.79437758,0.001,19200,25.646159744262697,114,167,0.08397753663361072,100.0,19000,192,,
,0.001,19500,26.05277400970459,,,0.07718238480389118,,19300,,-48.58517565000001,100.0
-47.78387073,0.001,19600,26.09147392272949,114,170,0.0836066547036171,100.0,19400,196,,
,0.001,20000,26.59619728088379,,,0.08150355666875839,,19800,,-51.27219835,100.0
-47.56523953,,20000,,114,174,,100.0,,200,,
-47.33817821000002,0.001,20400,26.996108589172362,115,176,0.08372642289847136,100.0,20200,204,,
,0.001,20500,27.085585594177246,,,0.07607552345842122,,20300,,-47.91376460000001,100.0
-47.206684640000006,0.001,20800,27.32948055267334,115,180,0.07861857108771801,100.0,20600,208,,
,0.001,21000,27.552644653320314,,,0.08074999045580626,,20800,,-47.687621400000005,100.0
-47.14935077,0.001,21200,27.75535011291504,115,184,0.07702195651829243,100.0,21000,212,,
,0.001,21500,28.068048782348633,,,0.07419507831335068,,21300,,-49.79858745,100.0
-46.921040870000006,0.001,21600,28.214221534729003,114,188,0.08082860499620438,100.0,21400,216,,
,0.001,22000,28.574009857177735,,,0.08828099396079779,,21800,,-54.50173745000001,100.0
-46.68954088,,22000,,114,191,,100.0,,220,,
-46.72513738,0.001,22400,29.03019786834717,115,194,0.08938951756805182,100.0,22200,224,,
,0.001,22500,29.126342811584472,,,0.09226775575429201,,22300,,-47.92188005,100.0
-46.771535889999996,0.001,22800,29.395437774658202,115,197,0.08001232404261828,100.0,22600,228,,
,0.001,23000,29.594667167663573,,,0.10130363758653402,,22800,,-50.928249300000004,100.0
-46.64223954,0.001,23200,29.87653091430664,115,201,0.09910507317632437,100.0,23000,232,,
,0.001,23500,30.1028755569458,,,0.09410693351179361,,23300,,-49.20960619999999,100.0
-46.72851017,0.001,23600,30.232751808166505,115,204,0.09058330677449704,100.0,23400,236,,
,0.001,24000,30.5137056350708,,,0.09373286157846451,,23800,,-50.5815961,100.0
-47.098028099999986,,24000,,115,208,,100.0,,240,,
-47.34045175999999,0.001,24400,30.865802192687987,115,210,0.09737926978617907,100.0,24200,244,,
,0.001,24500,31.076940269470214,,,0.0976895821839571,,24300,,-51.26353829999999,100.0
-47.54114156999999,0.001,24800,31.294233436584474,115,214,0.10349984180182219,100.0,24600,248,,
,0.001,25000,31.55200855255127,,,0.10952403046190738,,24800,,-55.99449560000001,100.0
-47.93053221,0.001,25200,31.607955055236815,115,217,0.10516284074634313,100.0,25000,252,,
,0.001,25500,31.948664588928224,,,0.09648389734327793,,25300,,-52.3543729,100.0
-47.85389475000001,0.001,25600,32.033369636535646,115,221,0.0871198432520032,100.0,25400,256,,
,0.001,26000,32.34205909729004,,,0.09151579607278108,,25800,,-51.909922599999994,100.0
-47.89326861000001,,26000,,115,225,,100.0,,260,,
-47.835019620000004,0.001,26400,32.65564388275146,115,227,0.09690271981060505,100.0,26200,264,,
,0.001,26500,32.78384666442871,,,0.09499977461993694,,26300,,-50.055215700000005,100.0
-48.00467968000001,0.001,26800,33.10379409790039,115,231,0.0935951740667224,100.0,26600,268,,
,0.001,27000,33.24702186584473,,,0.08909609116613865,,26800,,-48.06653239999999,100.0
-47.76138736000001,0.001,27200,33.37948471069336,115,235,0.10044414937496185,100.0,27000,272,,
,0.001,27500,33.6351399230957,,,0.10908871795982122,,27300,,-49.38128425,100.0
-47.59975508,0.001,27600,33.70770217895508,115,238,0.09877299044281244,100.0,27400,276,,
,0.001,28000,34.00898818969726,,,0.09638010390102864,,27800,,-47.269634350000004,100.0
-47.40702153,,28000,,115,242,,100.0,,280,,
-47.45420027000001,0.001,28400,34.35500602722168,116,244,0.10436635375022889,100.0,28200,284,,
,0.001,28500,34.30881790161133,,,0.1060405806452036,,28300,,-48.62650465,100.0
-47.10044067,0.001,28800,34.6688745880127,115,248,0.10469651982188224,100.0,28600,288,,
,0.001,29000,34.769446182250974,,,0.09880861304700375,,28800,,-47.77032525,100.0
-47.23739326999999,0.001,29200,34.94887687683106,115,252,0.10341596372425556,100.0,29000,292,,
,0.001,29500,35.13068206787109,,,0.09700681779533625,,29300,,-48.830158850000004,100.0
-47.15162437,0.001,29600,35.21794075012207,115,255,0.10028250120580197,100.0,29400,296,,
,0.001,30000,35.54838409423828,,,0.11265548415482045,,29800,,-46.79681435,100.0
-47.36622643999999,,30000,,115,259,,100.0,,300,,
-47.5505202,0.001,30400,35.8906753540039,116,261,0.10202776983380318,100.0,30200,304,,
,0.001,30500,35.98335922241211,,,0.11150647938251496,,30300,,-46.50261745,100.0
-47.702039969999994,0.001,30800,36.19401863098145,116,265,0.10566486284136772,100.0,30600,308,,
,0.001,31000,36.314972686767575,,,0.09454293828457594,,30800,,-46.755175200000004,100.0
-47.26494587,0.001,31200,36.54384872436523,116,268,0.10631171718239785,100.0,31000,312,,
,0.001,31500,36.66292976379395,,,0.10229441925883292,,31300,,-47.164084499999994,100.0
-47.142990239999996,0.001,31600,36.74203720092773,116,272,0.12023522026836872,100.0,31400,316,,
,0.001,32000,37.15836814880371,,,0.11321694105863571,,31800,,-47.720171650000005,100.0
-47.49395255,,32000,,115,275,,100.0,,320,,
-47.32383276999999,0.001,32400,37.39777755737305,116,278,0.10255382630974054,100.0,32200,324,,
,0.001,32500,37.5056420135498,,,0.10452794995158911,,32300,,-48.14245415,100.0
-47.35359146999999,0.001,32800,37.59174446105957,116,281,0.10657456867396832,100.0,32600,328,,
,0.001,33000,37.85484703063965,,,0.09983308658003807,,32800,,-52.787192299999994,100.0
-47.04113475,0.001,33200,37.92167640686035,116,285,0.09917040385305881,100.0,33000,332,,
,0.001,33500,38.085620346069334,,,0.11357240073382854,,33300,,-48.160812750000005,100.0
-46.79293293,0.001,33600,38.210273361206056,116,289,0.11035860523581505,100.0,33400,336,,
,0.001,34000,38.43692794799804,,,0.10059534668922425,,33800,,-46.4416631,100.0
-46.31607762000001,,34000,,116,292,,100.0,,340,,
-46.061651430000005,0.001,34400,38.79356163024902,116,294,0.1105080783739686,100.0,34200,344,,
,0.001,34500,38.808269577026365,,,0.1049960383027792,,34300,,-46.50621305,100.0
-45.833673439999984,0.001,34800,39.06979522705078,116,298,0.11528532668948173,100.0,34600,348,,
,0.001,35000,39.22771881103515,,,0.11057616125792265,,34800,,-48.279876,100.0
-45.45093492,0.001,35200,39.41486976623535,116,302,0.12106914967298507,100.0,35000,352,,
,0.001,35500,39.44252067565918,,,0.1104014290124178,,35300,,-46.731306100000005,100.0
-45.44259951,0.001,35600,39.56750602722168,116,305,0.09927430033683776,100.0,35400,356,,
,0.001,36000,39.86382987976074,,,0.11042028084397316,,35800,,-46.472319399999996,100.0
-45.35240277,,36000,,116,309,,100.0,,360,,
-45.453009159999986,0.001,36400,40.07329658508301,116,311,0.14981332525610924,100.0,36200,364,,
,0.001,36500,40.21326606750488,,,0.1232503629475832,,36300,,-46.36574345,100.0
-45.19691487,0.001,36800,40.37363708496094,116,315,0.10389622390270233,100.0,36600,368,,
,0.001,37000,40.571054458618164,,,0.10995155781507492,,36800,,-47.2792606,100.0
-45.49677098,0.001,37200,40.60256851196289,116,318,0.11754549592733383,100.0,37000,372,,
,0.001,37500,40.8744881439209,,,0.10621565874665975,,37300,,-47.637676649999996,100.0
-45.702546520000006,0.001,37600,40.88599601745605,116,322,0.11327031649649143,100.0,37400,376,,
,0.001,38000,41.249417572021486,,,0.12856811977922916,,37800,,-46.4918172,100.0
-45.9818349,,38000,,116,326,,100.0,,380,,
-45.85299328000001,0.001,38400,41.44751594543457,116,328,0.1162589755654335,100.0,38200,384,,
,0.001,38500,41.449102554321286,,,0.1238556570932269,,38300,,-46.026669250000005,100.0
-46.2243467,0.001,38800,41.602325439453125,116,332,0.13318013094365597,100.0,38600,388,,
,0.001,39000,41.72727600097656,,,0.11068138547241688,,38800,,-47.289393800000006,100.0
-46.25008081999999,0.001,39200,41.84705863952637,116,335,0.09542779054492712,100.0,39000,392,,
,0.001,39500,42.15956413269043,,,0.10526665456593037,,39300,,-46.26631,100.0
-46.45022357999999,0.001,39600,42.16113571166992,116,339,0.11327071625739336,100.0,39400,396,,
,0.001,40000,42.37194931030273,,,0.10565592601895332,,39800,,-51.57370695000001,100.0
-46.26992842000001,,40000,,116,343,,100.0,,400,,
-46.16014088,0.001,40400,42.628560867309574,116,345,0.157439019754529,100.0,40200,404,,
,0.001,40500,42.613223724365234,,,0.12691348046064377,,40300,,-45.32092945,100.0
-46.32386805000001,0.001,40800,42.76662727355957,116,349,0.12571957156062127,100.0,40600,408,,
,0.001,41000,42.98034255981445,,,0.10467765536159276,,40800,,-47.45026165,100.0
-46.552562069999986,0.001,41200,42.943284606933595,116,352,0.1178246147185564,100.0,41000,412,,
,0.001,41500,43.25960792541504,,,0.11260128922760487,,41300,,-49.30961195,100.0
-46.87324974999999,0.001,41600,43.26820289611816,116,356,0.10697383880615234,100.0,41400,416,,
,0.001,42000,43.49831871032715,,,0.1211603981256485,,41800,,-48.62029944999999,100.0
-46.575147720000004,,42000,,116,360,,100.0,,420,,
-46.593174649999995,0.001,42400,43.646847610473635,117,362,0.1257295473664999,100.0,42200,424,,
,0.001,42500,43.737423477172854,,,0.11428988445550203,,42300,,-49.66794399999999,100.0
-46.483880199999994,0.001,42800,43.894215469360354,117,365,0.11439176931977273,100.0,42600,428,,
,0.001,43000,44.026586074829105,,,0.16065103866159916,,42800,,-47.80256150000001,100.0
-46.72857528,0.001,43200,44.14014411926269,116,369,0.12153690241277218,100.0,43000,432,,
,0.001,43500,44.269469299316405,,,0.12167399480938912,,43300,,-47.5636543,100.0
-46.95973802999999,0.001,43600,44.38111640930176,116,372,0.11759668096899986,100.0,43400,436,,
,0.001,44000,44.67391166687012,,,0.13612555928528308,,43800,,-50.318068,100.0
-47.07053468,,44000,,116,376,,100.0,,440,,
-47.29159691000001,0.001,44400,44.79693023681641,117,378,0.14630562402307987,100.0,44200,444,,
,0.001,44500,44.865633239746096,,,0.14299600824713707,,44300,,-49.704150549999994,100.0
-47.28179459000001,0.001,44800,45.0377490234375,117,382,0.12349783010780811,100.0,44600,448,,
,0.001,45000,45.156362991333005,,,0.11843999423086643,,44800,,-47.8196136,100.0
-47.36924725000001,0.001,45200,45.20698745727539,117,385,0.1328241193294525,100.0,45000,452,,
,0.001,45500,45.422819747924805,,,0.13370701603591442,,45300,,-48.5201484,100.0
-47.43674317,0.001,45600,45.48438186645508,117,389,0.14766429379582405,100.0,45400,456,,
,0.001,46000,45.6907088470459,,,0.13667981073260307,,45800,,-50.4674442,100.0
-47.603155260000015,,46000,,116,393,,100.0,,460,,
-47.20110565000001,0.001,46400,45.77300811767578,117,395,0.13378630839288236,100.0,46200,464,,
,0.001,46500,45.88961883544922,,,0.15876017555594443,,46300,,-47.17981015,100.0
-47.30498651999999,0.001,46800,46.15212394714356,117,399,0.13226088754832743,100.0,46600,468,,
,0.001,47000,46.11978584289551,,,0.1810381642729044,,46800,,-51.996428300000005,100.0
-47.42341972,0.001,47200,46.37597579956055,117,402,0.12846516005694866,100.0,47000,472,,
,0.001,47500,46.46474998474121,,,0.13728102743625642,,47300,,-48.77111005,100.0
-47.62051345999999,0.001,47600,46.55632652282715,117,406,0.163361025005579,100.0,47400,476,,
,0.001,48000,46.74907653808594,,,0.14274128280580045,,47800,,-49.3379203,100.0
-47.71497407000001,,48000,,116,410,,100.0,,480,,
-47.81191241,0.001,48400,47.132551498413086,117,412,0.17662039995193482,100.0,48200,484,,
,0.001,48500,47.01621070861816,,,0.17808319367468356,,48300,,-47.729215450000005,100.0
