train/critic_loss,time/total_timesteps,rollout/ep_len_mean,train/learning_rate,time/episodes,train/n_updates,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/actor_loss,eval/mean_ep_length,eval/mean_reward
0.09652343806717545,3043,760.75,0.001,4,2000,-1161.615496,261,11,-3.302372974153608,,
0.06376209311140701,5000,,0.001,,4000,,,,1.9383434784561395,1000.0,-3002.532773423195
0.19001149081438778,7043,880.375,0.001,8,6000,-2083.074552875,174,40,13.638391563415528,,
0.44680744014680385,10000,,0.001,,9000,,,,29.05270594406128,1000.0,-2847.211362659931
0.4551667863726616,11043,920.25,0.001,12,10000,-2357.6474245,158,69,28.094005668640136,,
0.4048375736176968,15000,,0.001,,14000,,,,19.67390975189209,1000.0,-2887.263033390045
,15043,940.1875,,16,,-2443.8541164375,153,97,,,
0.5593277856707572,17172,858.6,0.001,20,17040,-2121.3664961000004,152,112,18.41804904937744,,
0.8921282099634409,19452,810.5,0.001,24,19382,-1900.7349134583335,156,124,16.85287228012085,,
0.7807592857967723,20000,,0.001,,19615,,,,16.90560750608091,421.4,-387.5080065026035
1.032093382789015,20187,720.9642857142857,0.001,28,20088,-1668.2801231785718,153,131,16.96621840110811,,
1.3926075900855817,20394,637.3125,0.001,32,20339,-1468.98956165625,154,132,17.218310657300446,,
1.334664492413055,22563,626.75,0.001,36,22480,-1331.3207017222223,157,143,16.902941645108736,,
1.5101831899285316,25000,,0.001,,24161,,,,16.40639277458191,908.1,75.29570116236428
1.5004941642284393,26204,655.1,0.001,40,25161,-1187.6982527249997,158,164,16.048625078201294,,
1.0560183461010455,30000,,0.001,,29161,,,,14.128079021453857,894.5,402.1648672400057
,30056,683.0909090909091,,44,,-1040.0386955454544,155,192,,,
0.902242018043995,34056,709.5,0.001,48,33013,-907.4423015208334,160,212,11.675956338882447,,
0.9281931936144828,35000,,0.001,,34013,,,,10.96418821144104,1000.0,477.5083086242994
0.812194820523262,38056,731.8461538461538,0.001,52,37013,-802.7566341153847,157,241,8.493568237304688,,
0.7235144771933556,40000,,0.001,,39013,,,,6.797826940536499,1000.0,29.474192463696816
0.687000579804182,42056,751.0,0.001,56,41013,-718.2998870178571,155,270,5.333048441886902,,
0.68946669536829,45000,,0.001,,44013,,,,3.1998686435222625,902.2,603.2077422958158
0.7558854801952839,46056,767.6,0.001,60,45013,-623.7640712,154,298,2.4678803629875183,,
0.807556778550148,50000,,0.001,,49013,,,,-0.6914951137425378,1000.0,737.6894704274367
,50056,782.125,,64,,-547.060241640625,153,326,,,
0.9669533421993256,53079,780.5735294117648,0.001,68,52036,-482.1864422058824,155,342,-2.9004965765476225,,
1.043365549147129,55000,,0.001,,54036,,,,-4.491969408988953,1000.0,612.8849964937951
1.0497436137199403,57079,792.7638888888889,0.001,72,56036,-415.14585226388886,154,370,-6.126979415893555,,
0.9870669553875924,60000,,0.001,,59036,,,,-8.895506142616272,1000.0,661.4753401007525
1.02788119661808,61079,803.671052631579,0.001,76,60036,-351.70885461842107,153,398,-9.843648111343384,,
1.1033432309627533,65000,,0.001,,64036,,,,-13.162843950271606,1000.0,840.5650663142093
,65079,813.4875,,80,,-296.62442248749994,152,427,,,
1.1723847717642784,69079,822.3690476190476,0.001,84,68036,-249.95850314285707,154,447,-16.58977289390564,,
1.2274814220666885,70000,,0.001,,69036,,,,-17.43442220878601,1000.0,775.4376250756643
1.447773772418499,73079,830.4431818181819,0.001,88,72036,-200.92183792045452,153,476,-19.63384019088745,,
1.5606092835068703,75000,,0.001,,74036,,,,-21.13078569030762,931.9,889.8670215326244
1.5221540011763572,77079,837.8152173913044,0.001,92,76036,-157.61714607608693,152,504,-22.45821584701538,,
1.6308425103425979,80000,,0.001,,79036,,,,-24.457587944030763,1000.0,564.4882225997571
1.6499229691624642,81079,844.5729166666666,0.001,96,80036,-128.49615634374996,151,533,-25.00527448272705,,
1.733002945125103,84451,844.51,0.001,100,84036,-93.26239936999997,152,553,-27.77949753189087,,
1.6921510683592929,85000,,0.001,,84408,,,,-28.252975422848937,1000.0,825.0982688542208
2.1185483998235535,87534,844.91,0.001,104,86680,-15.473722079999986,151,575,-30.037234530729407,,
1.915567849636078,90000,,0.001,,89386,,,,-31.65260781478882,993.6,1181.465724842227
2.0594684213399885,91429,843.86,0.001,108,90386,157.38547137,151,603,-32.67220309066772,,
2.2310063835978506,95000,,0.001,,94386,,,,-35.80275249481201,1000.0,1539.9564568260218
,95429,843.86,,112,,333.71374320999996,151,631,,,
2.9006722051717575,98873,838.3,0.001,116,97830,492.3830840199999,152,649,-38.723560908583345,,
3.007440818667412,100000,,0.001,,99830,,,,-40.37687701416016,1000.0,1642.771127389907
3.086145467400551,102873,857.01,0.001,120,101830,593.0450787699999,151,677,-41.925940238952634,,
3.2569270113706588,105000,,0.001,,104830,,,,-44.88975936126709,994.0,1433.0292244722368
3.5876396539211273,106873,874.21,0.001,124,105830,691.90715117,151,705,-45.79226150512695,,
4.046039846897125,110000,,0.001,,109830,,,,-49.622100914001464,1000.0,1797.009139199427
,110873,906.86,,128,,765.8230971099998,150,734,,,
4.576555375814438,114873,944.79,0.001,132,113830,844.59212001,152,754,-53.332874046325685,,
4.515565460681915,115000,,0.001,,114830,,,,-54.27391979980469,1000.0,1464.9092222341744
5.150092013120651,118873,963.1,0.001,136,117830,909.8327913400003,151,783,-56.841091102600096,,
5.466302190542221,120000,,0.001,,119830,,,,-58.07712959289551,1000.0,1838.611435058374
5.585679878950119,122873,966.69,0.001,140,121830,957.8934026300001,151,811,-60.09387146759033,,
5.882602992296219,125000,,0.001,,124830,,,,-62.909491600036624,1000.0,2149.252316069277
5.881371886730194,126873,968.17,0.001,144,125830,1017.1299430400001,151,839,-63.62132889556885,,
6.34924629374823,130000,,0.001,,129437,,,,-67.41875071258042,1000.0,2159.348338892829
,130480,964.24,,148,,1071.2821114700002,150,865,,,
6.923414823055268,134480,964.24,0.001,152,133437,1133.7260053500002,151,886,-71.30697135162353,,
7.123578238964081,135000,,0.001,,134437,,,,-72.25697216796875,1000.0,2178.0861416789703
7.496428110837936,138480,964.24,0.001,156,137437,1192.5633287800001,151,914,-75.60934927368164,,
8.000174379348755,140000,,0.001,,139437,,,,-77.46001557922364,1000.0,2201.505834654381
7.8553304409980775,142480,964.24,0.001,160,141437,1251.3535446800001,151,942,-79.57675408935548,,
8.30468538761139,145000,,0.001,,144437,,,,-82.37082955932617,956.5,2013.01006462301
8.578464101552964,146480,964.24,0.001,164,145437,1303.0815256800001,150,970,-83.09157879638671,,
9.45710915708542,150000,,0.001,,149437,,,,-87.32418147277832,1000.0,2321.1175300549717
,150480,974.01,,168,,1373.4915879799998,150,997,,,
10.831932822227477,154480,974.01,0.001,172,153437,1437.8112647599999,151,1017,-92.34456260681152,,
10.87556688117981,155000,,0.001,,154437,,,,-93.89384680175782,1000.0,2131.891919727111
10.18608015203476,158480,974.01,0.001,176,157437,1452.9787652799998,151,1045,-98.22216201782227,,
9.66519605588913,160000,,0.001,,159437,,,,-99.74784181213379,899.9,596.1916418428533
