train/learning_rate,time/episodes,time/total_timesteps,time/time_elapsed,train/actor_loss,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/n_updates,train/critic_loss,eval/mean_reward,eval/mean_ep_length
0.001,4,3052,12,-2.5077197327911853,763.0,-1276.2800160000002,242,2000,0.12466778222005814,,
0.001,,5000,,1.6956860538155014,,,,4000,0.07817299432307481,-3004.895211482048,1000.0
0.001,8,5162,37,3.2262695133686066,645.25,-1434.0598353750001,138,5016,0.15840539103373885,,
0.001,12,9162,55,6.7842353839874265,763.5,-1942.061774666667,166,8110,0.2054756806194782,,
0.001,,10000,,9.017039782524108,,,,9110,0.1691423482298851,-2779.4561138391496,1000.0
0.001,16,11239,79,8.19218635559082,702.4375,-1777.5013324375,140,11131,0.3659024799153918,,
0.001,20,12561,82,8.748264608129992,628.05,-1565.9234666500001,151,11509,0.6416980110570393,,
0.001,24,12777,88,9.73955337336806,532.375,-1321.670218625,144,12703,0.7940353302936244,,
0.001,28,12896,89,9.57843017578125,460.57142857142856,-1140.5219716071429,144,12820,0.8165119325413424,,
0.001,32,13161,90,10.273926445416041,411.28125,-1011.7968335624998,145,13051,1.2214105262288026,,
0.001,,15000,,10.877863010406495,,,,14199,1.1601949054300784,-42.86459628599696,74.3
,36,15251,98,,423.6388888888889,-935.03210825,155,,,,
0.001,40,19251,119,10.67025094795227,481.275,-837.865903775,160,18199,0.872960088133812,,
0.001,,20000,,10.539912128448487,,,,19199,0.9705331155359745,531.6883371017489,940.9
0.001,44,23251,149,8.451402426719666,528.4318181818181,-704.90717975,155,22199,0.8868060911893845,,
0.001,,25000,,6.630622097969055,,,,24199,0.7653641040921211,553.9519688675006,906.3
0.001,48,27251,180,4.490222864151001,567.7291666666666,-597.3530083541666,151,26199,0.7752007212340831,,
0.001,,30000,,1.6066057994067668,,,,29199,0.7678890345990658,530.5738426943456,764.5
0.001,52,31251,208,1.2004389854073525,600.9807692307693,-511.68378705769226,150,30199,0.9559935458600521,,
0.001,,35000,,-1.7206322367936373,,,,34199,0.972417030364275,662.7875874100773,1000.0
,56,35251,238,,629.4821428571429,-432.1695300178571,147,,,,
0.001,60,38941,258,-4.69600067484206,649.0166666666667,-354.5381426333332,150,37889,1.0194388799045397,,
0.001,,40000,,-6.1783994197845455,,,,39889,1.0537268719673156,705.8784487093653,840.0
0.001,64,42941,287,-7.832488500595093,670.953125,-282.44874028124997,149,41889,1.1082621845006944,,
0.001,68,44471,294,-9.133074365962635,653.9852941176471,-250.07707705882348,150,43419,1.2540149542750145,,
0.001,,45000,,-9.749810359954834,,,,44419,1.1724038207530976,851.7921768247586,1000.0
0.001,72,48471,324,-11.611752738952637,673.2083333333334,-197.55993841666663,149,47419,1.2336507822871208,,
0.001,,50000,,-13.426582707299126,,,,49454,1.3438190766743252,945.4937061490142,1000.0
0.001,76,50637,349,-13.782479398727418,666.2763157894736,-162.98635469736837,144,50454,1.2977964856624604,,
0.001,80,54637,368,-15.607995046615601,682.9625,-115.89455243749997,148,53585,1.434497060239315,,
0.001,,55000,,-16.37122566986084,,,,54585,1.4321351796388626,908.251289920797,1000.0
0.001,84,58637,399,-19.236153814315795,698.0595238095239,-60.39711160714282,146,57585,1.4068537300229074,,
0.001,,60000,,-21.040696548461913,,,,59585,1.4860008202195167,1001.9887343139329,1000.0
0.001,88,62637,429,-21.83460559463501,711.7840909090909,-26.40671732954543,145,61585,1.6201906335949898,,
0.001,,65000,,-24.30795230102539,,,,64585,1.7339875691533089,877.0479356200055,905.2
0.001,92,66637,461,-25.08039296722412,724.3152173913044,23.13066086956524,144,65585,1.8004719679951668,,
0.001,,70000,,-28.30648734664917,,,,69585,1.9374438531398772,991.5950133068952,804.1
,96,70637,490,,735.8020833333334,70.91530060416669,143,,,,
0.001,100,73736,511,-30.610503498077392,737.36,86.80641887000002,144,73585,1.8822912112474441,,
0.001,,75000,,-31.20985675430298,,,,74684,2.0582149926424025,1095.4548882602598,1000.0
0.001,104,77736,539,-32.95313223648071,746.84,176.16083404999998,144,76684,2.0241798641085627,,
0.001,,80000,,-34.5932169842119,,,,79668,2.241090769402119,764.1619636075396,804.9
,108,80720,564,,755.58,262.21630938000004,143,,,,
0.001,112,84720,586,-35.97778525924683,755.58,413.47998537,144,83668,2.517956428170204,,
0.001,,85000,,-36.79309093093872,,,,84668,2.4306552706956865,1189.8696119951317,919.2
0.001,116,88720,616,-38.47892598724365,774.81,513.6432452199999,143,87668,2.3844405257701875,,
0.001,,90000,,-39.73088419342041,,,,89668,2.359793808579445,1289.8725674674147,1000.0
0.001,120,92720,648,-41.01406385803222,801.59,595.33336564,143,91668,2.3045599818229676,,
0.001,124,94800,659,-43.071347077687584,820.23,629.39986978,143,93748,2.150626667002414,,
0.001,,95000,,-43.177000007629395,,,,94748,2.471466866016388,1159.1821092158439,905.5
0.001,128,98800,693,-45.32533193206787,859.04,686.8135535900001,142,97748,2.4147398154735567,,
0.001,,100000,,-46.520048179626464,,,,99748,2.6109152079820634,1434.323518653901,903.4
0.001,132,101841,720,-47.1028247833252,886.8,736.3980379699999,141,100789,2.5833731860649296,,
0.001,136,104876,737,-49.323219284057615,896.25,794.5270803,142,103824,2.830940076351166,,
0.001,,105000,,-49.90215013885498,,,,104824,2.816169914364815,1531.3583272778894,1000.0
0.001,140,108876,769,-51.766421966552734,896.25,841.7857879700001,141,107824,2.945510861992836,,
0.001,,110000,,-53.03324169158935,,,,109824,3.0508129740953445,1489.059775874298,902.9
0.001,144,111898,799,-54.15753443145752,886.47,852.1545945500001,140,111824,3.159062322616577,,
0.001,,115000,,-56.07597954559326,,,,114846,3.4063411068916323,1616.6161652039737,901.7
,148,115898,825,,886.47,893.8182864199999,140,,,,
0.001,152,119898,846,-58.51592869567871,886.47,936.0884030699999,141,118846,3.7466335592269897,,
0.001,,120000,,-59.70941781997681,,,,119863,3.2890381392310646,1592.5217034066568,990.5
0.001,156,122272,872,-59.736024070739745,870.21,936.7766031000001,140,121863,3.8648777158260343,,
0.001,160,124377,885,-60.98965602874756,854.36,919.07925619,140,124254,4.066608431816101,,
0.001,,125000,,-60.468106624058315,,,,124325,6.312258361091076,925.364583949696,591.2
0.001,164,127600,906,-62.57295997619629,846.59,939.26984751,140,127325,4.3463282182216645,,
0.001,,130000,,-64.28313693417212,,,,129464,5.0143239572318885,1608.2554866115563,903.4
0.001,168,130784,932,-65.02071265411377,863.13,981.96911859,140,130464,5.0027142660617825,,
0.001,172,133810,946,-66.39963024139405,853.39,1010.1317206499999,141,132758,4.528027756929397,,
0.001,,135000,,-67.86863207244873,,,,134758,4.528765513658524,996.7504464924102,617.2
0.001,176,137810,972,-68.9310732421875,871.73,1065.5291124599999,141,136758,4.785665805816651,,
0.001,180,139161,984,-70.47776619720459,845.24,1058.67413974,141,139081,5.037843583345413,,
0.001,,140000,,-71.63054929460797,,,,139109,4.186422714165279,1634.424236668757,836.7
0.001,184,142188,1002,-71.11443710327148,835.51,1073.74741576,141,141136,4.415608635655156,,
0.001,188,144768,1020,-74.01765570068359,821.31,1092.60316293,141,144680,5.286663615942001,,
0.001,,145000,,-74.73834567599826,,,,144716,5.6994432475831776,1564.3912484348753,805.6
0.001,192,148768,1046,-75.32949980163575,821.31,1105.21097397,142,147716,5.300661363601685,,
0.001,196,149840,1056,-76.48309108189174,792.03,1078.37577805,141,149771,5.093230247497559,,
0.001,,150000,,-76.82515951303336,,,,149815,5.389257378048367,1173.7503471926786,607.3
0.001,200,152867,1073,-77.71752989196777,791.31,1102.28085008,142,151815,5.810432542085648,,
0.001,,155000,,-78.66870315551758,,,,154815,6.178489313364029,1613.5414688712306,901.6
0.001,204,156867,1103,-78.54314393615722,791.31,1114.59292508,142,155815,5.743680877447129,,
0.001,,160000,,-80.99237870788575,,,,159815,6.435225406646729,1567.149136843998,811.5
,208,160867,1132,,801.47,1168.5904700899998,142,,,,
0.001,212,164018,1149,-82.817105042307,792.98,1182.9093343499999,142,162966,6.3230672893145226,,
0.001,,165000,,-82.69379675292969,,,,163966,6.686632177352905,1608.497151392186,891.5
0.001,216,167054,1178,-84.66843077087402,783.34,1192.3691503600003,141,166966,6.3016802790164945,,
0.001,,170000,,-85.8177997894287,,,,169002,7.146564565181732,1799.4048555851914,901.9
0.001,220,171054,1203,-86.41198434448242,783.34,1218.04759177,142,170002,6.459552044868469,,
0.001,,175000,,-88.4707268371582,,,,174002,7.208475694417953,1130.6481662938836,710.1
,224,175054,1237,,802.54,1270.2472728999999,141,,,,
0.001,228,177087,1250,-89.54222543334961,782.87,1256.93090011,141,176035,6.6474026012420655,,
0.001,,180000,,-90.31939515686035,,,,179035,7.040075743675232,1725.2045260463842,901.5
0.001,232,181087,1288,-91.30471015930176,792.46,1271.8080617899998,140,180035,6.709396055459976,,
0.001,,185000,,-93.1563173980713,,,,184035,6.745597096443176,1921.4464863306378,918.1
,236,185087,1330,,802.11,1310.3357163199998,139,,,,
0.001,240,189087,1360,-95.43575045776367,802.11,1344.76217744,139,188035,6.896045369386673,,
0.001,,190000,,-95.98797148132324,,,,189035,7.056004829406739,1871.9027711266185,903.5
0.001,244,192098,1400,-98.03514433288574,802.0,1369.61366448,137,192035,6.785407369375229,,
0.001,,195000,,-99.2351065826416,,,,194046,7.030005474090576,1924.50585664846,904.5
0.001,248,196098,1434,-99.82601107788086,802.0,1388.0012221799998,136,195046,7.563963428020477,,
0.001,,200000,,-101.03585382080078,,,,199046,6.986111726284027,2021.0853605377022,1000.0
,252,200098,1474,,802.0,1396.40573868,135,,,,
0.001,256,204098,1503,-103.40754893493653,818.26,1457.2210691899998,135,203046,7.224431815624237,,
0.001,,205000,,-103.3817200012207,,,,204046,7.508143484592438,1728.9508522230292,890.4
0.001,260,207670,1540,-104.34060758972169,832.93,1511.1784884,134,206618,7.068891679048538,,
0.001,,210000,,-105.64073971557617,,,,209618,7.7788266065120695,1470.263010031343,902.0
0.001,264,211670,1577,-106.56707640075683,840.7,1528.3381891,134,210618,7.713400777578354,,
0.001,,215000,,-108.45070584106445,,,,214618,8.010367411375046,1919.328735596221,905.0
,268,215670,1616,,848.86,1546.0074544,133,,,,
0.001,272,219670,1643,-109.54153523254395,858.6,1557.4783774000005,133,218618,7.8836373295783995,,
0.001,,220000,,-109.34986758422852,,,,219618,8.069354072809219,1899.3626596321817,901.2
0.001,276,223670,1685,-110.4142264099121,858.6,1570.1027699200004,132,222618,7.981348996639252,,
0.001,,225000,,-111.3595919342041,,,,224618,8.048407972335815,1688.9156517432305,888.5
0.001,280,227670,1726,-111.91708261108398,885.09,1631.6249974799998,131,226618,7.920774841308594,,
0.001,,230000,,-113.26995475769043,,,,229618,8.171191133499146,1741.0214718777686,787.9
0.001,284,230722,1763,-113.36656497192382,885.34,1642.08094718,130,230618,7.987373678684235,,
0.001,288,234194,1784,-114.40188695616641,894.26,1671.85719723,131,233142,8.217659786596137,,
0.001,,235000,,-115.27406564331055,,,,234142,8.522762070655823,1371.5186724075816,656.9
0.001,292,238194,1820,-116.38850787353516,894.26,1703.18761458,130,237142,8.401491476535798,,
0.001,,240000,,-116.23707333733054,,,,239211,8.601608614990676,1431.8944913389162,710.1
0.001,296,241263,1853,-117.29355116271972,914.23,1739.6064485399997,130,240211,8.276536594390869,,
0.001,300,244968,1879,-118.66005421447754,921.01,1780.9948389099995,130,243916,8.022524865865707,,
0.001,,245000,,-118.967052444458,,,,244916,8.959392605304718,1706.5496019441168,769.2
0.001,304,248968,1917,-120.09018132019042,921.01,1807.0372667299996,129,247916,9.246689857006073,,
0.001,,250000,,-120.45374073791504,,,,249916,8.95361325955391,912.4774399393704,510.2
0.001,308,252259,1949,-121.25725934258823,913.92,1805.6361137000004,129,251207,8.946617254276866,,
0.001,,255000,,-121.62710676926832,,,,254467,10.449883088698755,2046.4984053172507,929.7
,312,255519,1985,,915.01,1830.6263308300006,128,,,,
0.001,316,259519,2016,-122.8871117401123,924.65,1862.6168208200002,128,258467,8.966283266544343,,
0.001,,260000,,-123.01819549560547,,,,259467,9.233947402000426,1666.441636482335,808.5
0.001,320,261970,2045,-123.50560495127802,909.16,1836.71578507,128,260918,8.031333435906305,,
0.001,324,264015,2061,-124.36935234069824,889.61,1783.1645692700001,128,262963,8.959835628668467,,
0.001,,265000,,-124.03475497436523,,,,263963,9.225160877227783,2063.3730100000976,897.1
0.001,328,267616,2097,-125.14161860656738,905.29,1823.32825794,127,266564,10.605204971313476,,
0.001,,270000,,-125.42073631286621,,,,269564,10.333539174556732,2283.6778812326256,1000.0
0.001,332,271616,2140,-125.86710688781739,905.29,1857.1292555500002,126,270564,10.403611890792847,,
0.001,,275000,,-127.01998989868164,,,,274564,10.010634234428405,2043.8067466713546,912.4
,336,275616,2183,,905.29,1868.3706728000002,126,,,,
0.001,340,278961,2209,-128.06380375671387,898.74,1863.3726259200002,126,277909,10.351326375961303,,
0.001,,280000,,-128.15434754943848,,,,279909,11.253184506416321,2058.23358744899,901.1
0.001,344,282961,2251,-128.4936015472412,908.63,1883.8597402800003,125,281909,11.593545549869537,,
0.001,,285000,,-129.26243780517578,,,,284909,11.371650775909425,1410.9191978910137,665.1
0.001,348,286961,2290,-129.92949043273927,908.63,1890.3201172800004,125,285909,11.476827794075012,,
0.001,,290000,,-130.44884674072264,,,,289909,11.36301880645752,2173.609199034353,1000.0
,352,290961,2329,,908.63,1906.5901237200003,124,,,,
0.001,356,294961,2357,-131.0945693664551,908.63,1917.20138148,125,293909,12.088677600860596,,
0.001,,295000,,-131.2415000152588,,,,294909,11.217341282844544,1959.9513411713765,870.1
0.001,360,298285,2393,-131.78205366516113,906.15,1932.3510441899998,124,297233,11.706820082664489,,
0.001,,300000,,-131.8554319152832,,,,299233,11.575438568115235,2302.77121356907,956.7
0.001,364,302285,2427,-132.28036686706542,906.15,1960.8222279299996,124,301233,11.733886012077331,,
0.001,,305000,,-132.7588847503662,,,,304627,11.78719898891449,2371.671312131174,1000.0
,368,305679,2462,,900.09,1971.2026884400004,124,,,,
0.001,372,309674,2489,-133.98989764404297,900.04,2000.2928258300003,124,308627,11.523737162590027,,
0.001,,310000,,-134.32431422467212,,,,309622,11.047337463033859,2246.2539395036174,918.0
