time/episodes,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/fps,train/critic_loss,train/n_updates,train/actor_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward
408,63.3441347,5778,14.0,29,194,0.24793498803462302,5674,-31.27269663129534,0.001,,
412,63.365970829999995,5834,14.0,29,194,0.3401559053787163,5730,-30.632795606340682,0.001,,
416,63.38793487000001,5890,14.0,30,194,0.2803108548479421,5786,-31.180315562656947,0.001,,
420,63.39143539,5946,14.0,30,194,0.16211209100271975,5842,-31.937909534999303,0.001,,
424,63.39231109,6002,14.0,30,194,0.5366356436695371,5898,-30.747404643467494,0.001,,
428,63.396187569999995,6058,14.0,31,194,0.7557011118956974,5954,-32.695313044956755,0.001,,
432,63.39076764999999,6114,14.0,31,194,0.4993848630360195,6010,-30.959962027413503,0.001,,
436,63.38859655,6170,14.0,31,194,0.7625624856778553,6066,-31.932612555367605,0.001,,
440,63.38977379000001,6226,14.0,31,194,0.5176418838756425,6122,-31.620147705078125,0.001,,
444,63.38480534,6282,14.0,32,194,0.7370744922331401,6178,-31.785505022321427,0.001,,
448,63.38609796,6338,14.0,32,194,0.6621097427393708,6234,-30.804061072213308,0.001,,
452,63.38445795000001,6394,14.0,32,194,0.8918636121920177,6290,-30.282345090593612,0.001,,
456,63.389286580000004,6450,14.0,33,194,0.859503944005285,6346,-30.870782579694474,0.001,,
460,63.39105822000001,6506,14.0,33,194,0.6795853818101543,6402,-32.062473842075896,0.001,,
464,63.391607590000014,6562,14.0,33,194,0.5134403333067894,6458,-30.530282156808035,0.001,,
468,63.393089530000005,6618,14.0,33,194,0.5936404338904789,6514,-31.30362810407366,0.001,,
472,63.39175825,6674,14.0,34,194,0.4061500866498266,6570,-31.194210324968612,0.001,,
476,63.38713057000001,6730,14.0,34,195,0.5278582360063281,6626,-31.934388841901505,0.001,,
480,63.388301919999996,6786,14.0,34,195,0.5139680387718337,6682,-31.51896177019392,0.001,,
484,63.38379253999999,6842,14.0,35,195,0.218312463590077,6738,-30.95815168108259,0.001,,
488,63.382814419999995,6898,14.0,35,195,0.27699992805719376,6794,-31.019027982439315,0.001,,
492,63.387121459999996,6954,14.0,35,195,0.3117364059601511,6850,-30.512140819004603,0.001,,
496,63.384077229999995,7010,14.0,35,195,0.15950753220490047,6906,-31.492950711931503,0.001,,
500,63.38010520000001,7066,14.0,36,195,0.23324453830718994,6962,-30.615867342267716,0.001,,
504,63.37438178,7122,14.0,36,195,0.2815811958696161,7018,-32.076831000191824,0.001,,
508,63.376868130000005,7178,14.0,36,195,0.19148843362927437,7074,-31.498680114746094,0.001,,
512,63.38032479999999,7234,14.0,37,195,0.18929386351789748,7130,-31.11726270403181,0.001,,
516,63.378065069999984,7290,14.0,37,195,0.2988239659794739,7186,-30.406150817871094,0.001,,
520,63.37282700999998,7346,14.0,37,195,0.412144025521619,7242,-31.824439185006277,0.001,,
524,63.37156669000001,7402,14.0,37,195,0.3796178496309689,7298,-31.491004126412527,0.001,,
528,63.368250440000004,7458,14.0,38,195,0.5499666514141219,7354,-31.24277142116002,0.001,,
532,63.37448424,7514,14.0,38,195,0.5128453927380698,7410,-29.998117991856166,0.001,,
536,63.37995226,7570,14.0,38,195,0.4855865995798792,7466,-31.1863158089774,0.001,,
540,63.37788519000001,7626,14.0,39,195,0.4960753076842853,7522,-32.16167722429548,0.001,,
544,63.37857339999999,7682,14.0,39,195,0.5392396210559777,7578,-31.264211654663086,0.001,,
548,63.37937264,7738,14.0,39,195,1.1730564045054572,7634,-31.07498414175851,0.001,,
552,63.38234109999999,7794,14.0,39,195,0.4501438763524805,7690,-30.99470383780343,0.001,,
556,63.379074650000014,7850,14.0,40,195,0.21923655111874854,7746,-30.65036746433803,0.001,,
560,63.381017549999996,7906,14.0,40,195,0.5178715863398143,7802,-31.173245566231863,0.001,,
564,63.381965750000006,7962,14.0,40,195,0.6337730565241405,7858,-31.66876302446638,0.001,,
568,63.38074252000001,8018,14.0,40,195,0.21026561888200895,7914,-31.48020417349679,0.001,,
572,63.38189467000001,8074,14.0,41,195,0.233356989387955,7970,-31.258473260062082,0.001,,
576,63.38605863,8130,14.0,41,195,0.6402869543858937,8026,-31.271177564348495,0.001,,
580,63.38834103999999,8186,14.0,41,195,0.3112695850431919,8082,-30.285619735717773,0.001,,
584,63.39393639999999,8242,14.0,42,195,0.1968361735343933,8138,-31.344130652291433,0.001,,
588,63.39495214999999,8298,14.0,42,195,0.15130195819905826,8194,-30.743586948939733,0.001,,
592,63.390193149999995,8354,14.0,42,195,0.3132283825959478,8250,-32.22863279070173,0.001,,
596,63.39097815999999,8410,14.0,43,195,0.3033352329262665,8306,-30.636945452008927,0.001,,
600,63.392985550000006,8466,14.0,43,195,0.1485980860888958,8362,-30.932780402047293,0.001,,
604,63.39838490999998,8522,14.0,43,195,0.15253763299967563,8418,-31.415773119245255,0.001,,
608,63.39482137,8578,14.0,43,195,0.2582212042595659,8474,-30.767116001674108,0.001,,
612,63.38587613,8634,14.0,44,195,0.2007228841206857,8530,-29.79653412955148,0.001,,
616,63.38767945000001,8690,14.0,44,195,0.2870715723506042,8586,-30.54946436200823,0.001,,
620,63.392274500000006,8746,14.0,44,195,0.7516906495605197,8642,-31.216080256870814,0.001,,
624,63.394575169999996,8802,14.0,45,195,0.8761950145874705,8698,-31.37256486075265,0.001,,
628,63.39589007000001,8858,14.0,45,195,0.2562944277056626,8754,-30.3084226335798,0.001,,
632,63.39588032000002,8914,14.0,45,195,0.5861159084098679,8810,-30.57513427734375,0.001,,
636,63.39364538000001,8970,14.0,45,195,0.2063946473811354,8866,-30.903326851981028,0.001,,
640,63.39329048999999,9026,14.0,46,195,0.5800069730196681,8922,-32.00715664454869,0.001,,
644,63.39200511999999,9082,14.0,46,195,0.7946342112762588,8978,-31.382992880684988,0.001,,
648,63.39683862999998,9138,14.0,46,195,0.26855212609682766,9034,-31.683536802019393,0.001,,
652,63.39733993999998,9194,14.0,46,195,0.7497609992112432,9090,-31.19620759146554,0.001,,
656,63.401892399999994,9250,14.0,47,195,0.6101097517779895,9146,-30.30613109043666,0.001,,
660,63.40019848,9306,14.0,47,195,0.28577839370284763,9202,-31.477939333234513,0.001,,
664,63.393553520000005,9362,14.0,47,196,0.21618504928691046,9258,-31.153948647635325,0.001,,
668,63.392834089999994,9418,14.0,48,196,0.20163427559392794,9314,-31.872403281075613,0.001,,
