time/fps,time/time_elapsed,time/total_timesteps,train/critic_loss,time/episodes,train/n_updates,train/learning_rate,train/actor_loss,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length
630,0,200,0.5009095051884651,4,50,0.001,0.7030664944648742,50.0,-54.644304,,
283,1,400,0.2846793079376221,8,250,0.001,1.3681743955612182,50.0,-76.307325,,
,,500,0.1682726676762104,,350,0.001,0.6081788003444671,,,-10.739517300000001,50.0
186,3,600,0.06321765568107367,12,450,0.001,0.5233006584644317,50.0,-55.21023333333334,,
183,4,800,0.047584622912108895,16,650,0.001,0.7119608855247498,50.0,-44.170531062500004,,
,,1000,0.04165606919676065,,850,0.001,0.5964394891262055,,,-10.42022575,50.0
163,6,1000,,20,,,,50.0,-37.286586150000005,,
166,7,1200,0.03405792353674769,24,1050,0.001,0.7391606283187866,50.0,-32.91155895833333,,
169,8,1400,0.028945051841437818,28,1250,0.001,0.9312659072875976,50.0,-29.32193225,,
,,1500,0.028603719286620616,,1350,0.001,0.9940453624725342,,,-10.7787388,50.0
161,9,1600,0.02754285603761673,32,1450,0.001,1.1337259960174562,50.0,-27.266349437499997,,
164,10,1800,0.02993090745061636,36,1650,0.001,1.3281399583816529,50.0,-25.553688805555552,,
,,2000,0.024474369641393424,,1850,0.001,1.5108900785446167,,,-10.93960075,50.0
158,12,2000,,40,,,,50.0,-24.156715774999995,,
160,13,2200,0.028710183314979078,44,2050,0.001,1.6670762872695923,50.0,-23.070408227272722,,
161,14,2400,0.06075925458222628,48,2250,0.001,1.8835008144378662,50.0,-22.190099854166665,,
,,2500,0.0315138952806592,,2350,0.001,1.9958347702026367,,,-11.05129575,50.0
157,16,2600,0.026914581805467606,52,2450,0.001,2.038457684516907,50.0,-21.380888961538464,,
158,17,2800,0.02839009363204241,56,2650,0.001,2.192549695968628,50.0,-20.72960123214286,,
,,3000,0.03274540685117245,,2850,0.001,2.333341989517212,,,-10.9343597,50.0
154,19,3000,,60,,,,50.0,-20.134185749999997,,
155,20,3200,0.030333385318517685,64,3050,0.001,2.4796249198913576,50.0,-19.519268609374997,,
156,21,3400,0.0819036167114973,68,3250,0.001,2.633081111907959,50.0,-19.108347058823522,,
,,3500,0.031174370422959327,,3350,0.001,2.679363145828247,,,-11.59793325,50.0
153,23,3600,0.0311427590996027,72,3450,0.001,2.734212303161621,50.0,-18.70765283333333,,
155,24,3800,0.029783362299203874,76,3650,0.001,2.8488802337646484,50.0,-18.305549355263157,,
,,4000,0.04828728504478932,,3850,0.001,2.936716022491455,,,-10.988233849999997,50.0
152,26,4000,,80,,,,50.0,-17.999111087499998,,
154,27,4200,0.03331271253526211,84,4050,0.001,3.078788595199585,50.0,-17.75695539285714,,
155,28,4400,0.051919049993157385,88,4250,0.001,3.14012264251709,50.0,-17.410626886363634,,
,,4500,0.03259211156517267,,4350,0.001,3.2205520343780516,,,-11.16427535,50.0
153,30,4600,0.028294576443731786,92,4450,0.001,3.2800143432617186,50.0,-17.08174558695652,,
154,31,4800,0.041273608207702636,96,4650,0.001,3.422982244491577,50.0,-16.86921959375,,
,,5000,0.036416495442390444,,4850,0.001,3.4775088596343995,,,-11.68673455,50.0
151,32,5000,,100,,,,50.0,-16.63183471,,
152,34,5200,0.05478267293423414,104,5050,0.001,3.658425140380859,50.0,-14.97761178,,
154,35,5400,0.027761297337710857,108,5250,0.001,3.77811354637146,50.0,-11.5225557,,
,,5500,0.034717769175767896,,5350,0.001,3.8439330005645753,,,-11.6548966,50.0
152,36,5600,0.03835435654968023,112,5450,0.001,3.894401664733887,50.0,-11.46636695,,
153,37,5800,0.03517733283340931,116,5650,0.001,4.073984203338623,50.0,-11.50342998,,
,,6000,0.036841629296541216,,5850,0.001,4.150112619400025,,,-11.3811545,50.0
151,39,6000,,120,,,,50.0,-11.5652151,,
151,40,6200,0.03306092444807291,124,6050,0.001,4.2621838569641115,50.0,-11.533859660000001,,
152,41,6400,0.0575949040800333,128,6250,0.001,4.444871444702148,50.0,-11.66296477,,
,,6500,0.16145222172141074,,6350,0.001,4.473213443756103,,,-11.11175905,50.0
150,43,6600,0.038335788436233996,132,6450,0.001,4.484190235137939,50.0,-11.559296569999999,,
151,44,6800,0.03868184704333544,136,6650,0.001,4.615829696655274,50.0,-11.518686200000001,,
,,7000,0.03771523978561163,,6850,0.001,4.7450565910339355,,,-10.40655525,50.0
149,46,7000,,140,,,,50.0,-11.487390580000001,,
150,47,7200,0.036225538440048694,144,7050,0.001,4.889561233520507,50.0,-11.41841735,,
150,49,7400,0.04375482480973005,148,7250,0.001,4.972732257843018,50.0,-11.317926719999997,,
,,7500,0.03944165617227555,,7350,0.001,4.986727027893067,,,-10.27558245,50.0
149,50,7600,0.03654899973422289,152,7450,0.001,5.063449783325195,50.0,-11.227585269999995,,
149,52,7800,0.047363145500421526,156,7650,0.001,5.212656898498535,50.0,-11.173328980000003,,
,,8000,0.04114327520132065,,7850,0.001,5.280552845001221,,,-9.835217299999998,50.0
148,53,8000,,160,,,,50.0,-11.082565309999998,,
149,54,8200,0.05128476694226265,164,8050,0.001,5.418080177307129,50.0,-11.056946800000002,,
149,56,8400,0.04436680343002081,168,8250,0.001,5.445709819793701,50.0,-10.843332340000002,,
,,8500,0.04199605531990528,,8350,0.001,5.575393714904785,,,-9.19926225,50.0
148,57,8600,0.04305020298808813,172,8450,0.001,5.6273721504211425,50.0,-10.68052755,,
149,58,8800,0.037676835991442205,176,8650,0.001,5.632871189117432,50.0,-10.638615339999996,,
,,9000,0.08780722685158253,,8850,0.001,5.711613025665283,,,-8.830808649999998,50.0
148,60,9000,,180,,,,50.0,-10.51021823,,
148,61,9200,0.04190991137176752,184,9050,0.001,5.8914371109008785,50.0,-10.474059019999997,,
149,62,9400,0.045471569336950776,188,9250,0.001,5.936187896728516,50.0,-10.440116499999997,,
,,9500,0.045765169821679594,,9350,0.001,6.013711585998535,,,-9.71393625,50.0
148,64,9600,0.05914969734847546,192,9450,0.001,6.028917140960694,50.0,-10.407996340000002,,
149,65,9800,0.045283655487000946,196,9650,0.001,6.124949722290039,50.0,-10.42101136,,
,,10000,0.044997902251780034,,9850,0.001,6.2160626411437985,,,-8.9125393,50.0
148,67,10000,,200,,,,50.0,-10.232184530000001,,
148,68,10200,0.04346229158341885,204,10050,0.001,6.275114631652832,50.0,-9.96600809,,
149,69,10400,0.06608667597174644,208,10250,0.001,6.359052066802978,50.0,-9.95196402,,
,,10500,0.05530101552605629,,10350,0.001,6.420685310363769,,,-9.1450554,50.0
148,71,10600,0.04556027777493,212,10450,0.001,6.489781150817871,50.0,-9.875212930000002,,
148,72,10800,0.04509877987205982,216,10650,0.001,6.476215114593506,50.0,-9.73806701,,
,,11000,0.04853553779423237,,10850,0.001,6.6149648094177245,,,-8.3742602,50.0
147,74,11000,,220,,,,50.0,-9.65308022,,
147,75,11200,0.05303801141679287,224,11050,0.001,6.7022686958312985,50.0,-9.52812803,,
148,76,11400,0.05374558851122856,228,11250,0.001,6.755820522308349,50.0,-9.453837,,
,,11500,0.04724062040448189,,11350,0.001,6.825719585418701,,,-8.290819449999999,50.0
147,78,11600,0.0448498597741127,232,11450,0.001,6.880286426544189,50.0,-9.3816594,,
148,79,11800,0.05282504726201296,236,11650,0.001,6.964104499816894,50.0,-9.3416324,,
,,12000,0.055908287540078164,,11850,0.001,7.032181625366211,,,-8.526742950000001,50.0
147,81,12000,,240,,,,50.0,-9.328902739999998,,
148,82,12200,0.04481537040323019,244,12050,0.001,7.078572311401367,50.0,-9.27700473,,
149,83,12400,0.05045705921947956,248,12250,0.001,7.161119556427002,50.0,-9.222008970000001,,
,,12500,0.0498306168615818,,12350,0.001,7.216394538879395,,,-8.5595699,50.0
148,84,12600,0.04563885148614645,252,12450,0.001,7.229009437561035,50.0,-9.092122649999999,,
149,85,12800,0.05261540114879608,256,12650,0.001,7.322037086486817,50.0,-9.01274652,,
