train/learning_rate,train/n_updates,train/critic_loss,time/episodes,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/actor_loss,rollout/ep_rew_mean,time/fps,eval/mean_reward,eval/mean_ep_length
0.001,1043,0.3123026221644047,4,523.5,6,2094,-2.3235644669759843,-321.66229899999996,316,,
0.001,4321,0.0947277831286192,,,,5000,-5.146578809738159,,,882.2178288280963,1000.0
,,,8,671.5,31,5372,,-60.867523499999976,170,,
0.001,8321,0.08998986799642443,12,781.0,51,9372,-11.422363515853881,162.14882483333335,182,,
0.001,9321,0.08994530554488302,,,,10000,-13.005672527313232,,,897.9095289707184,1000.0
0.001,12321,0.09554978466033935,16,835.75,80,13372,-17.43912215423584,284.8405083125,167,,
0.001,14321,0.09226261932402849,,,,15000,-20.104428047180175,,,923.2018316626549,1000.0
0.001,16321,0.10228110454976559,20,865.85,108,17317,-22.70621395111084,360.03409139999997,159,,
0.001,19081,0.23074132719635965,,,,20000,-26.01208112716675,,,941.9262493550777,1000.0
,,,24,838.8333333333334,130,20132,,380.77508595833336,153,,
0.001,23081,0.151403583265841,28,861.8571428571429,150,24132,-30.56973685836792,425.46757375000004,159,,
0.001,24081,0.12745515317469835,,,,25000,-31.683419624328614,,,940.8412612736225,1000.0
0.001,27081,0.10710336882993579,32,879.125,179,28132,-34.847778594970706,459.91598212499997,157,,
0.001,29081,0.13566492826491594,,,,30000,-36.85069755554199,,,962.4659169197082,1000.0
0.001,31081,0.12469305749237537,36,892.5555555555555,208,32132,-38.766407684326175,486.6287830277777,154,,
0.001,34210,0.2068126255646348,,,,35000,-41.519492195129395,,,970.260717600584,1000.0
,,,40,881.525,233,35261,,491.9123614,151,,
0.001,37564,0.2590422973744571,44,877.6136363636364,250,38615,-44.184753982543945,499.7735658863636,154,,
0.001,39564,0.2312839696891606,,,,40000,-45.711555534362795,,,959.6239465415478,1000.0
0.001,41564,0.30560739421471955,48,887.8125,279,42615,-47.235633155822754,516.4200980833333,152,,
0.001,44564,0.16937141544371842,,,,45000,-49.36833419036865,,,960.6193906962872,1000.0
0.001,45564,0.18550875700637698,52,896.4423076923077,308,46615,-50.05656161499024,530.2519630961538,151,,
0.001,49564,0.1704289943575859,,,,50000,-52.55645560455322,,,951.6077431559563,1000.0
,,,56,903.8392857142857,336,50615,,541.9718735714285,150,,
0.001,52226,0.17555709496513008,60,887.95,350,53277,-54.101157501220705,536.3212313,152,,
0.001,54226,0.43305146806687117,,,,55000,-55.113936126708985,,,921.4824356675148,1000.0
0.001,56226,0.515286251924932,64,894.953125,378,57277,-55.954141891479495,545.099729546875,151,,
0.001,59905,0.34268090650066735,,,,60000,-57.58965869140625,,,962.8348205268383,1000.0
,,,68,896.4117647058823,405,60956,,549.8238604705883,150,,
0.001,63905,0.4315042561404407,72,902.1666666666666,425,64956,-59.24220092773437,555.6196747083333,152,,
0.001,64905,0.2731532100364566,,,,65000,-59.56021830749512,,,920.7396772325039,1000.0
0.001,67905,0.3753825781159103,76,907.3157894736842,453,68956,-60.57739352416992,561.5661646973683,151,,
0.001,69905,0.3309443445727229,,,,70000,-61.2034591217041,,,934.3409060418605,1000.0
0.001,71905,0.4703602983281016,80,911.95,482,72956,-61.82861575317383,566.5727479999999,151,,
0.001,74905,0.225738816421479,,,,75000,-62.67342511749268,,,899.7587010502815,1000.0
0.001,75905,0.26012379098311067,84,916.1428571428571,511,76956,-62.90970048522949,570.6545600952379,150,,
0.001,79777,0.41714206072688104,,,,80000,-63.88909942626953,,,831.5745070815086,1000.0
,,,88,918.5,539,80828,,572.8920803636363,149,,
0.001,83777,0.34077073908969757,92,922.0434782608696,559,84828,-64.69616864013672,576.3856719130434,151,,
0.001,84777,0.25605080572143196,,,,85000,-64.93911654663086,,,879.9483447492123,1000.0
0.001,87777,0.21057057045400143,96,925.2916666666666,587,88828,-65.65261727905273,580.5439821145834,151,,
