rollout/ep_rew_mean,time/episodes,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/fps,train/learning_rate,train/n_updates,train/critic_loss,train/actor_loss,eval/mean_reward,eval/mean_ep_length
3.0,212,3,688,3.0,182,0.001,586,0.010268249704192082,-1.7008994817733765,,
3.0,216,3,700,3.0,182,0.001,598,0.03390382851163546,-1.7030280828475952,,
3.0,220,3,712,3.0,181,0.001,610,0.014962133951485157,-1.743607521057129,,
3.0,224,3,724,3.0,181,0.001,622,0.02659195971985658,-1.6580254435539246,,
3.0,228,4,736,3.0,180,0.001,634,0.025139686341087025,-1.7672748565673828,,
3.0,232,4,748,3.0,180,0.001,646,0.03112760403503974,-1.7213842868804932,,
3.0,236,4,760,3.0,180,0.001,658,0.029957378283143044,-1.7288472652435303,,
3.0,240,4,772,3.0,180,0.001,670,0.020705476713677246,-1.7561699748039246,,
3.0,244,4,784,3.0,180,0.001,682,0.022895524588723976,-1.6854154467582703,,
3.0,248,4,796,3.0,180,0.001,694,0.018636226654052734,-1.7881216406822205,,
3.0,252,4,808,3.0,180,0.001,706,0.02344096265733242,-1.7224392890930176,,
3.0,256,4,820,3.0,180,0.001,718,0.015171761624515057,-1.8622887134552002,,
3.0,260,4,832,3.0,180,0.001,730,0.015369813268383345,-1.7715831398963928,,
3.0,264,4,844,3.0,179,0.001,742,0.014531805800894896,-1.7189679145812988,,
3.0,268,4,856,3.0,179,0.001,754,0.019535549605886143,-1.7598634362220764,,
3.0,272,4,868,3.0,179,0.001,766,0.019836677859226864,-1.75556218624115,,
3.0,276,4,880,3.0,179,0.001,778,0.009310181563099226,-1.797028660774231,,
3.0,280,4,892,3.0,179,0.001,790,0.007560241036117077,-1.8197740316390991,,
3.0,284,5,904,3.0,179,0.001,802,0.024567818269133568,-1.8411177396774292,,
3.0,288,5,916,3.0,178,0.001,814,0.023895297199487686,-1.829448163509369,,
3.0,292,5,928,3.0,178,0.001,826,0.030745198329289753,-1.8154877424240112,,
3.0,296,5,940,3.0,177,0.001,838,0.010986366930107275,-1.9000327587127686,,
3.0,300,5,952,3.0,177,0.001,850,0.034407878605027996,-1.828676998615265,,
3.0,304,5,964,3.0,176,0.001,862,0.03033910257120927,-1.8359289169311523,,
3.0,308,5,976,3.0,176,0.001,874,0.052746487160523735,-1.7562773823738098,,
3.0,312,5,988,3.0,176,0.001,886,0.029274508357048035,-1.8596881031990051,,
,,,1000,,,0.001,898,0.04069669172167778,-1.7801944017410278,3.0,3.0
3.0,316,5,1000,3.0,174,,,,,,
3.0,320,5,1012,3.0,173,0.001,910,0.0245548573633035,-1.8513922691345215,,
3.0,324,5,1024,3.0,173,0.001,922,0.009970694469908873,-1.8988947868347168,,
3.0,328,5,1036,3.0,173,0.001,934,0.01800512770811717,-1.76225745677948,,
3.0,332,6,1048,3.0,172,0.001,946,0.03221655326584975,-1.771807312965393,,
3.0,336,6,1060,3.0,172,0.001,958,0.0409230167667071,-1.9305868744850159,,
3.0,340,6,1072,3.0,171,0.001,970,0.020569685846567154,-1.8348232507705688,,
3.0,344,6,1084,3.0,171,0.001,982,0.03259728414316972,-1.8133455514907837,,
3.0,348,6,1096,3.0,171,0.001,994,0.028265025466680527,-1.8569820523262024,,
3.0,352,6,1108,3.0,170,0.001,1006,0.03165323163072268,-1.8902062773704529,,
3.0,356,6,1120,3.0,170,0.001,1018,0.012295660252372423,-1.9739151000976562,,
3.0,360,6,1132,3.0,170,0.001,1030,0.03042724449187517,-1.8526760339736938,,
3.0,364,6,1144,3.0,169,0.001,1042,0.03968315509458383,-1.8846135139465332,,
3.0,368,6,1156,3.0,169,0.001,1054,0.029963616281747818,-1.966522991657257,,
3.0,372,6,1168,3.0,169,0.001,1066,0.01254923657203714,-1.83572518825531,,
3.0,376,6,1180,3.0,168,0.001,1078,0.021692980080842972,-1.8995553851127625,,
3.0,380,7,1192,3.0,168,0.001,1090,0.008905252752204737,-1.8222585916519165,,
3.0,384,7,1204,3.0,168,0.001,1102,0.01666125065336625,-1.944821059703827,,
3.0,388,7,1216,3.0,168,0.001,1114,0.024697386659681797,-1.8253785967826843,,
3.0,392,7,1228,3.0,167,0.001,1126,0.010783379121373097,-1.8529393076896667,,
3.0,396,7,1240,3.0,167,0.001,1138,0.027885138678054016,-1.8036556243896484,,
3.0,400,7,1252,3.0,167,0.001,1150,0.019920778460800648,-1.9163777828216553,,
3.0,404,7,1264,3.0,167,0.001,1162,0.036652118898928165,-1.9595444798469543,,
3.0,408,7,1276,3.0,167,0.001,1174,0.011225954008599123,-1.916952669620514,,
3.0,412,7,1288,3.0,167,0.001,1186,0.02043805473173658,-1.9924361109733582,,
3.04,416,7,1304,3.04,167,0.001,1202,0.02761261452299853,-2.3326764901479087,,
3.04,420,7,1316,3.04,167,0.001,1214,0.026299262419342995,-2.6378501653671265,,
3.06,424,7,1330,3.06,167,0.001,1226,0.0122425543765227,-2.5021207332611084,,
3.22,428,8,1358,3.22,168,0.001,1252,0.023208102793432772,-2.779052972793579,,
3.37,432,8,1385,3.37,168,0.001,1280,0.06978747807443142,-2.6988871892293296,,
3.49,436,8,1409,3.49,168,0.001,1304,0.04681623509774605,-2.5624642372131348,,
3.62,440,8,1434,3.62,168,0.001,1328,0.06120064792533716,-2.564613421758016,,
3.77,444,8,1461,3.77,168,0.001,1355,0.07332210668495723,-2.5340593655904136,,
3.98,448,8,1494,3.98,168,0.001,1386,0.09342949511483312,-2.7143052220344543,,
4.22,452,9,1530,4.22,168,0.001,1421,0.07979112714529038,-3.0339871406555177,,
4.44,456,9,1564,4.44,167,0.001,1456,0.1074475646018982,-3.0206472873687744,,
4.82,460,9,1614,4.82,168,0.001,1499,0.07958198711276054,-3.014566977818807,,
5.7,464,10,1714,5.7,167,0.001,1591,0.09971160943741383,-3.2286165844310415,,
8.19,468,11,1975,8.19,173,0.001,1769,0.1502768934197441,-3.5533410219045787,,
,,,2000,,,0.001,1876,0.1307527649903966,-3.7630523840586343,70.1,70.1
10.68,472,13,2236,10.68,165,0.001,2070,0.18792096957830445,-4.206251297678266,,
12.86,476,14,2466,12.86,164,0.001,2304,0.22307443794495654,-4.811646779378255,,
15.8,480,16,2772,15.8,164,0.001,2608,0.19676425242248705,-5.416456377783487,,
,,,3000,,,0.001,2889,0.26711267989241716,-6.039517547145034,93.2,93.2
18.78,484,18,3082,18.78,162,,,,,,
21.04,488,20,3320,21.04,160,0.001,3174,0.26231888645598966,-6.625204978450652,,
23.4,492,22,3568,23.4,161,0.001,3396,0.31826781675219534,-7.060510597229004,,
26.24,496,23,3864,26.24,163,0.001,3661,0.39698224690827455,-7.58365645232024,,
,,,4000,,,0.001,3855,0.379313260399633,-7.951425499386257,64.8,64.8
28.89,500,25,4141,28.89,161,0.001,3980,0.3844012785998602,-8.20993621647358,,
31.78,504,27,4442,31.78,161,0.001,4283,0.36373821475419654,-8.752625767777605,,
35.05,508,29,4781,35.05,160,0.001,4612,0.46124521776249533,-9.362781167030334,,
,,,5000,,,0.001,4875,0.42504759607971576,-9.768611711614271,64.5,64.5
37.5,512,31,5038,37.5,158,,,,,,
40.0,516,33,5304,40.0,158,0.001,5133,0.4309807846707011,-10.345605604110226,,
42.79,520,35,5595,42.79,157,0.001,5423,0.4599978680928032,-10.742649454819528,,
45.46,524,37,5876,45.46,157,0.001,5711,0.38673220486158416,-11.202283551616054,,
,,,6000,,,0.001,5852,0.37054615885019304,-11.498443302355314,71.7,71.7
47.9,528,39,6148,47.9,155,0.001,5982,0.3952711942132379,-11.675497824145902,,
50.69,532,41,6454,50.69,156,0.001,6287,0.48957452141208413,-12.16356806755066,,
53.66,536,43,6775,53.66,156,0.001,6605,0.46472318694950676,-12.550774403107471,,
,,,7000,,,0.001,6900,0.435598941942056,-12.935084869987087,79.9,79.9
56.45,540,45,7079,56.45,156,,,,,,
59.43,544,47,7404,59.43,156,0.001,7228,0.391165129450518,-13.453576398450275,,
62.97,548,49,7791,62.97,156,0.001,7616,0.5196349130490342,-13.993181795687288,,
,,,8000,,,0.001,7792,0.38161079030483963,-14.436597900390625,107.7,107.7
66.63,552,52,8193,66.63,155,0.001,8009,0.5216531909125692,-14.71333621529972,,
70.31,556,55,8595,70.31,155,0.001,8396,0.43145575975378353,-15.241710713035182,,
72.89,560,57,8903,72.89,155,0.001,8717,0.4874468786021074,-15.873208819208918,,
,,,9000,,,0.001,8879,0.5606773641705513,-16.139031977266878,82.7,82.7
75.01,564,59,9215,75.01,155,0.001,9042,0.5668994940351695,-16.240480995178224,,
75.35,568,61,9510,75.35,155,0.001,9340,0.6020551417768002,-16.58552719417371,,
75.82,572,63,9818,75.82,154,0.001,9643,0.5342309584284758,-17.209406124918086,,
,,,10000,,,0.001,9896,0.5843146229507746,-17.518720998996642,73.7,73.7
76.74,576,65,10140,76.74,154,0.001,9969,0.5938786019201148,-17.607702043321396,,
76.7,580,67,10442,76.7,154,0.001,10264,0.5785993311908983,-17.775577863057453,,
76.66,584,69,10748,76.66,154,0.001,10581,0.43913534886546823,-18.243196387039987,,
,,,11000,,,0.001,10877,0.44862779993333934,-18.688706398010254,79.4,79.4
77.33,588,71,11053,77.33,153,,,,,,
78.25,592,73,11393,78.25,154,0.001,11202,0.6867037971637079,-19.037349973406112,,
78.59,596,76,11723,78.59,153,0.001,11539,0.3406905281509078,-19.380931765534157,,
,,,12000,,,0.001,11844,0.46749664108668054,-19.771461159842357,73.4,73.4
78.73,600,78,12014,78.73,153,,,,,,
78.57,604,80,12299,78.57,152,0.001,12123,0.6374062268684307,-19.995942645602756,,
77.88,608,82,12569,77.88,152,0.001,12401,0.49827840614777347,-20.402183651924133,,
78.26,612,84,12864,78.26,152,0.001,12683,0.5962233582690154,-20.736657990349663,,
,,,13000,,,0.001,12833,0.6971548234715181,-20.717137280632468,70.1,70.1
78.49,616,86,13153,78.49,151,0.001,12980,0.693577297914185,-20.974565505981445,,
78.74,620,88,13469,78.74,151,0.001,13295,0.6691894379409054,-21.114927732027493,,
79.83,624,91,13859,79.83,152,0.001,13664,0.6400188414007425,-21.605914535522462,,
,,,14000,,,0.001,13867,0.7168494103667892,-21.98977862663989,86.7,86.7
80.9,628,93,14238,80.9,151,0.001,14042,0.8079570358575776,-22.33038436534793,,
81.95,632,96,14649,81.95,151,0.001,14455,0.6312693485312841,-22.60389670458707,,
,,,15000,,,0.001,14841,0.6096173028151194,-22.805215349384383,88.3,88.3
82.5,636,99,15025,82.5,150,,,,,,
83.52,640,101,15431,83.52,151,0.001,15229,0.6841384307435243,-23.414856910705566,,
84.87,644,104,15891,84.87,151,0.001,15671,0.6694694205904178,-23.484609216883563,,
,,,16000,,,0.001,15792,0.810919643310476,-24.003224419765786,125.8,125.8
86.38,648,108,16429,86.38,151,0.001,16192,0.7992637381414694,-24.153984395469106,,
,,,17000,,,0.001,16788,0.8075038755196147,-25.08002781867981,174.4,174.4
88.72,652,112,17065,88.72,151,,,,,,
90.52,656,116,17647,90.52,151,0.001,17393,1.0708419538084293,-25.421822367487728,,
,,,18000,,,0.001,17849,1.0832075680198232,-25.746715420170833,170.1,170.1
