rollout/ep_len_mean,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/std,train/n_updates,train/explained_variance,train/learning_rate,train/clip_fraction,train/approx_kl,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/loss,eval/mean_reward,eval/mean_ep_length
21.91304347826087,1,3,2048,102.51064255434785,563,,,,,,,,,,,,,
22.69,2,8,4096,106.00258944999997,466,0.9986613988876343,10,-0.014352202415466309,0.0003,0.2146484375,0.018585376,0.2,-24.113483595848084,-0.05961865537392441,1368.1501377105712,502.4466552734375,,
,,,5000,,,0.996358335018158,20,0.012750506401062012,0.0003,0.245751953125,0.023297466,0.2,-24.079945862293243,-0.06852119672694243,1038.0609550476074,460.5867919921875,297.7299948837608,61.15
22.23,3,15,6144,104.98603922000002,395,,,,,,,,,,,,,
23.31,4,20,8192,109.93241904000003,395,0.9958547949790955,30,0.009222149848937988,0.0003,0.303564453125,0.028852567,0.2,-24.05630741119385,-0.08107729127805215,873.9739757537842,453.04827880859375,,
,,,10000,,,0.995467483997345,40,0.008404016494750977,0.0003,0.358447265625,0.033812363,0.2,-24.043089377880097,-0.08675222421006765,855.3486248016358,330.179931640625,411.330386210978,77.8
23.62,5,27,10240,111.32197810000001,367,,,,,,,,,,,,,
24.61,6,32,12288,115.0915803,376,0.9946362972259521,50,0.008577406406402588,0.0003,0.3908203125,0.035608947,0.2,-24.049573266506194,-0.08977244548150339,830.78962059021,406.6717834472656,,
25.04,7,38,14336,116.91111099,376,0.992111086845398,60,0.008538961410522461,0.0003,0.385888671875,0.03620424,0.2,-24.009221982955932,-0.0912312788219424,824.9917181015014,362.82952880859375,,
,,,15000,,,0.992559552192688,70,0.0221024751663208,0.0003,0.339892578125,0.031712063,0.2,-23.987130433321,-0.08391608617384919,886.5295951843261,426.9661865234375,353.6758895837702,68.3
25.33,8,44,16384,117.87698742,365,,,,,,,,,,,,,
27.01,9,50,18432,126.46787914999999,365,0.9905300140380859,80,0.04721212387084961,0.0003,0.305615234375,0.028090091,0.2,-23.97348421216011,-0.08176832308527082,797.6046314239502,358.7358703613281,,
,,,20000,,,0.9910588264465332,90,0.03794616460800171,0.0003,0.258154296875,0.025091533,0.2,-23.962953996658324,-0.07486316014255863,951.8551061630249,515.9767456054688,358.78940019533036,67.25
25.87,10,57,20480,121.39039349000001,357,,,,,,,,,,,,,
28.21,11,63,22528,133.05214995,357,0.9895715117454529,100,0.10353738069534302,0.0003,0.22021484375,0.020428654,0.2,-23.955523484945296,-0.07106327349029015,817.078337097168,390.4021301269531,,
