train/learning_rate,train/n_updates,train/critic_loss,time/episodes,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/actor_loss,rollout/ep_rew_mean,time/fps,eval/mean_reward,eval/mean_ep_length
0.001,64250,0.18027386290580033,,,,65000,-57.74096878814697,,,960.6592905819416,1000.0
0.001,67250,0.2604397065453231,72,947.9166666666666,596,68250,-59.081729789733885,524.6923900277777,114,,
0.001,69250,0.2566828452348709,,,,70000,-59.88837796020508,,,951.2044350028038,1000.0
0.001,71250,0.22954633634909988,76,950.6578947368421,642,72250,-60.66333419799805,533.3429910526316,112,,
0.001,74250,0.24955264298990368,,,,75000,-61.71364619445801,,,958.7987369000912,1000.0
0.001,75250,0.18570710713416338,80,953.125,692,76250,-62.05197191619873,540.837663925,110,,
0.001,79250,0.25530886486545207,,,,80000,-63.404356109619144,,,965.4108109533787,1000.0
,,,84,955.3571428571429,741,80250,,547.7935118809525,108,,
0.001,83250,0.11229519328847527,88,957.3863636363636,774,84250,-64.62687762451172,554.3165422840909,108,,
0.001,84250,0.24441662975773215,,,,85000,-64.93635476684571,,,945.6192391991615,1000.0
0.001,87250,0.15697028347477318,92,959.2391304347826,825,88250,-65.72143051147461,560.4942445434783,106,,
0.001,89250,0.16449549536779523,,,,90000,-66.2625881652832,,,950.0981037974358,1000.0
0.001,90921,0.10577519146944833,96,957.5104166666666,872,91921,-66.7328204482349,563.6477266770834,105,,
0.001,94921,0.2714749930426478,,,,95000,-67.5159461517334,,,940.046785235405,1000.0
,,,100,959.21,921,95921,,568.10840827,104,,
0.001,98921,0.19765087570250034,104,967.7,955,99921,-68.16969161987305,630.47581025,104,,
0.001,99921,0.33363458059728146,,,,100000,-68.34378857421875,,,925.2138502895832,1000.0
0.001,102921,0.23767898519709707,108,972.9,1004,103921,-68.79531561279296,660.08964851,103,,
0.001,104921,0.24959726218134165,,,,105000,-69.10794581604004,,,934.5472148418427,1000.0
0.001,106921,0.2199351128153503,112,972.9,1054,107921,-69.36341696166993,662.81719955,102,,
0.001,109303,0.09849055724813364,,,,110000,-69.81800478790443,,,957.1444404482842,1000.0
0.001,110303,0.12349016533792019,116,966.72,1098,111303,-69.89371180725098,661.33592729,101,,
0.001,114303,0.20519880144298078,,,,115000,-70.39653620910644,,,937.6281846761703,1000.0
,,,120,972.74,1146,115303,,666.2697935900001,100,,
0.001,118303,0.10448991154134274,124,972.74,1179,119303,-70.83457789611816,667.1713696399999,101,,
