time/total_timesteps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/fps,train/clip_range,train/entropy_loss,train/std,train/approx_kl,train/n_updates,train/explained_variance,train/clip_fraction,train/value_loss,train/loss,train/policy_gradient_loss,train/learning_rate,eval/mean_reward,eval/mean_ep_length
2048,1,99.01365231958764,21.082474226804123,3,541,,,,,,,,,,,,,
4096,2,103.83408378999998,22.17,9,447,0.2,-24.15043483376503,1.0024131536483765,0.01814496,10,-0.0030924081802368164,0.204052734375,1294.101644897461,437.8987731933594,-0.056096940248971806,0.0003,,
5000,,,,,,0.2,-24.127419352531433,0.9993190765380859,0.023568982,20,0.017145156860351562,0.252685546875,1002.8944547653198,318.64013671875,-0.06830977877543773,0.0003,292.72932614460586,56.75
6144,3,98.88597984999998,21.02,16,377,,,,,,,,,,,,,
8192,4,112.17990387999998,23.89,21,379,0.2,-24.09550760984421,0.99745774269104,0.02914662,30,0.016322076320648193,0.327197265625,808.9700189590454,357.8117370605469,-0.0845659509592224,0.0003,,
10000,,,,,,0.2,-24.070659124851225,0.9970380067825317,0.029748864,40,0.005041837692260742,0.327392578125,945.1692422866821,380.6479187011719,-0.08519173595122993,0.0003,305.9831684526056,60.45
10240,5,114.55916026999998,24.34,28,358,,,,,,,,,,,,,
12288,6,114.78314037,24.42,33,365,0.2,-24.064020854234695,0.995074450969696,0.033172168,50,0.01517397165298462,0.3494140625,895.7290571212768,403.3614807128906,-0.08645995511033107,0.0003,,
14336,7,114.03506747,24.45,38,367,0.2,-24.001381754875183,0.9915410280227661,0.03717218,60,0.028510987758636475,0.36796875,851.5728715896606,363.8677062988281,-0.08725004110892769,0.0003,,
15000,,,,,,0.2,-23.95950002670288,0.9900095462799072,0.03514406,70,0.0324895977973938,0.36044921875,780.0800102233886,378.3363342285156,-0.08793746706214733,0.0003,296.7281403556466,57.85
16384,8,122.64174931000001,26.2,45,358,,,,,,,,,,,,,
18432,9,121.47338396999997,26.08,50,361,0.2,-23.930131947994234,0.9875380396842957,0.031693164,80,0.040999650955200195,0.348876953125,923.7290967941284,481.03985595703125,-0.08552525427367072,0.0003,,
20000,,,,,,0.2,-23.90808987021446,0.9868453741073608,0.024839103,90,0.04791843891143799,0.266162109375,872.1903768539429,462.3913879394531,-0.07810851583926706,0.0003,305.42586399316787,58.4
20480,10,135.7584496,28.84,57,354,,,,,,,,,,,,,
22528,11,125.34624301,26.69,62,359,0.2,-23.870227253437044,0.9844340085983276,0.022870049,100,0.09765714406967163,0.240966796875,1089.605487060547,500.12347412109375,-0.07570573838893324,0.0003,,
24576,12,134.77787028,28.92,68,361,0.2,-23.848594295978547,0.9833367466926575,0.021281663,110,0.20055145025253296,0.224169921875,790.0597415924072,481.06353759765625,-0.07173064640955999,0.0003,,
25000,,,,,,0.2,-23.83026795387268,0.9826415777206421,0.021684498,120,0.216061532497406,0.206103515625,916.3570058822631,429.2252502441406,-0.06768231755122542,0.0003,341.9310416311026,63.05
26624,13,140.21790018,29.91,75,354,,,,,,,,,,,,,
28672,14,139.60054003,29.83,80,356,0.2,-23.817114454507827,0.9818808436393738,0.01892019,130,0.32227087020874023,0.18486328125,778.631664276123,455.9208068847656,-0.06492634591413662,0.0003,,
30000,,,,,,0.2,-23.798393177986146,0.9804549813270569,0.02133343,140,0.3787940740585327,0.193798828125,883.3916517257691,314.4464416503906,-0.06648991432157345,0.0003,324.1554271321744,64.15
30720,15,142.92663744,30.48,87,351,,,,,,,,,,,,,
32768,16,147.75469798000003,31.58,92,354,0.2,-23.770903331041335,0.9787172675132751,0.020722345,150,0.34833216667175293,0.203564453125,855.650671005249,343.9023132324219,-0.06377252679376397,0.0003,,
34816,17,154.76435908000002,33.06,98,355,0.2,-23.748892658948897,0.9779706001281738,0.021947676,160,0.35740989446640015,0.20673828125,900.196295261383,426.9585876464844,-0.0676901834551245,0.0003,,
35000,,,,,,0.2,-23.725545990467072,0.9761720299720764,0.02285207,170,0.39168745279312134,0.21630859375,920.1411596298218,331.7279968261719,-0.06691321952384896,0.0003,308.1273918002844,56.4
36864,18,162.73140016999997,34.99,104,352,,,,,,,,,,,,,
