train/n_updates,rollout/ep_len_mean,train/actor_loss,time/time_elapsed,time/episodes,time/fps,time/total_timesteps,train/learning_rate,train/critic_loss,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length
200,100.0,1.4477341437339784,1,4,241,400,0.001,0.025995653700083495,-119.9764825,,
300,,1.7527258586883545,,,,500,0.001,0.03394150338601321,,-82.4276103,100.0
600,100.0,2.220540452003479,6,8,123,800,0.001,0.016955822110176086,-104.90236025,,
800,,2.5769291067123414,,,,1000,0.001,0.016549483886919916,,-86.9290101,100.0
1000,100.0,2.961872696876526,11,12,107,1200,0.001,0.011116987755522133,-94.9713775,,
1300,,3.493228635787964,,,,1500,0.001,0.014564033299684524,,-68.3090852,100.0
1400,100.0,3.615694074630737,16,16,98,1600,0.001,0.014266206282190979,-89.0054735625,,
1800,,4.173434801101685,,,,2000,0.001,0.018284574523568152,,-64.6749192,100.0
,100.0,,20,20,95,2000,,,-83.71001025,,
2200,100.0,4.709761056900025,23,24,101,2400,0.001,0.020366672901436688,-79.02814570833333,,
2300,,4.857468194961548,,,,2500,0.001,0.02059286759234965,,-60.43750725000001,100.0
2600,100.0,5.278684473037719,28,28,98,2800,0.001,0.021046898905187846,-76.54326385714285,,
2800,,5.572572374343872,,,,3000,0.001,0.022832201952114703,,-64.2381098,100.0
3000,100.0,5.854802207946777,32,32,97,3200,0.001,0.025361770233139395,-74.08115078125,,
3300,,6.331634140014648,,,,3500,0.001,0.025258613266050816,,-62.70717610000001,100.0
3400,100.0,6.464478158950806,37,36,95,3600,0.001,0.023022593939676882,-72.42807097222222,,
3800,,7.083685426712036,,,,4000,0.001,0.028195264618843793,,-62.621991650000005,100.0
,100.0,,42,40,93,4000,,,-71.438989175,,
4200,100.0,7.746487741470337,45,44,96,4400,0.001,0.038284328579902646,-70.51709500000001,,
4300,,7.887410078048706,,,,4500,0.001,0.028344155065715314,,-62.59843380000001,100.0
4600,100.0,8.363849353790282,50,48,95,4800,0.001,0.024929098691791295,-69.90418629166668,,
