time/fps,train/critic_loss,time/time_elapsed,train/n_updates,time/episodes,train/actor_loss,time/total_timesteps,rollout/ep_rew_mean,train/learning_rate,rollout/ep_len_mean,eval/mean_reward,eval/mean_ep_length
214,0.10674788378411904,14,2000,4,-4.732763453368097,3055,-1218.1594599999999,0.001,763.75,,
,0.1386373004615307,,4000,,8.186926894187927,5000,,0.001,,-2824.6602657318117,1000.0
133,0.11236606153100728,52,6000,8,7.614769267082214,7055,-1984.745651125,0.001,881.875,,
,0.11913473512977361,,9325,,7.199100944519043,10000,,0.001,,-902.8085086047649,1000.0
120,,85,,12,,10380,-1730.6118624166666,,865.0,,
127,0.3557071147693528,98,11439,16,6.640992800394694,12494,-1413.7511184374998,0.001,780.875,,
121,0.46640248934053025,104,12539,20,5.9038571027609015,12615,-1143.11784455,0.001,630.75,,
121,0.39064843124813503,104,12621,24,6.248922944068909,12687,-959.4614950416666,0.001,528.625,,
131,0.6157609569728375,112,13708,28,6.034290218353272,14763,-850.0666892142856,0.001,527.25,,
,0.41770911329984667,,14708,,5.505474864006042,15000,,0.001,,497.24127760590056,1000.0
124,0.40882077217102053,142,16723,32,4.3529534339904785,17778,-686.5224806875001,0.001,555.5625,,
,0.36161474357545376,,19738,,3.626548542022705,20000,,0.001,,792.3663524631411,1000.0
119,,173,,36,,20793,-561.2842506388889,,577.5833333333334,,
121,0.27774104963243007,196,23738,40,1.1019056114330887,23805,-451.0509973,0.001,595.125,,
,0.30395854012668133,,24750,,0.16166853021993302,25000,,0.001,,614.879519583704,1000.0
121,0.3500484993904829,228,26750,44,-1.4235824639201164,27805,-350.53062736363637,0.001,631.9318181818181,,
,0.3604275114834309,,29750,,-3.5018046288490297,30000,,0.001,,737.5736838884652,1000.0
120,0.3481615183353424,264,30750,48,-4.325461756229401,31805,-266.16414549999996,0.001,662.6041666666666,,
,0.43749375781416894,,34750,,-7.160884844779968,35000,,0.001,,360.644971446765,1000.0
119,,300,,52,,35805,-214.09231348076926,,688.5576923076923,,
122,0.3744147638976574,324,38750,56,-9.572942901611329,39805,-154.23836819642858,0.001,710.8035714285714,,
,0.39062803708016874,,39750,,-10.239079467773438,40000,,0.001,,827.5660074260086,1000.0
121,0.447596321195364,361,42750,60,-12.138130788803101,43805,-93.20375065,0.001,730.0833333333334,,
,0.5276293781250715,,44750,,-13.325905258178711,45000,,0.001,,842.3910001085139,1000.0
119,0.6316972901672124,398,46750,64,-14.720004484176636,47805,-59.33867735937499,0.001,746.953125,,
,1.4082026118040085,,49761,,-17.67311709022522,50000,,0.001,,527.0453356373124,1000.0
118,,429,,68,,50816,-65.81900388235292,,747.2941176470588,,
118,2.2097816955447196,453,53761,72,-24.65699924850464,53823,-64.3000324861111,0.001,747.5416666666666,,
,2.7178930073976515,,54768,,-26.832140941619873,55000,,0.001,,-700.4703193736553,1000.0
119,3.2174850709438325,485,56768,76,-29.78952332687378,57823,-115.92639922368421,0.001,760.828947368421,,
,3.81352969622612,,59768,,-32.69813570022583,60000,,0.001,,-10.422290110317409,1000.0
118,3.6897159278392793,521,60768,80,-33.13803239440918,61823,-117.23743132499999,0.001,772.7875,,
,2.827447302341461,,64768,,-34.1729764251709,65000,,0.001,,-129.33884504772723,1000.0
117,,558,,84,,65823,-89.9398545238095,,783.6071428571429,,
119,2.934232372581959,577,67787,88,-33.308715747833254,68842,-70.77285968181819,0.001,782.2954545454545,,
,3.0379768563508986,,69911,,-30.269315544128418,70000,,0.001,,583.8452447606963,1000.0
118,3.08204050463438,608,70911,92,-29.737752822875976,71966,-57.187465891304356,0.001,782.2391304347826,,
,3.007133959195553,,73989,,-28.485995463835888,75000,,0.001,,192.18521028158722,822.5
117,,639,,96,,75044,-39.03857670833334,,781.7083333333334,,
118,3.4545462272167207,664,77989,100,-28.23146556854248,79044,-29.193418160000007,0.001,790.44,,
,3.3563086358308793,,78989,,-28.22802416229248,80000,,0.001,,460.0313516178285,1000.0
118,3.3410280700325967,703,81989,104,-28.06902030181885,83044,39.561528810000006,0.001,799.89,,
,3.1907513283491133,,83989,,-27.664011001586914,85000,,0.001,,524.6980038642884,1000.0
117,3.5835179047584536,741,85989,108,-27.72543991088867,87044,173.49594000000002,0.001,799.89,,
,3.324599141418934,,88989,,-26.392907737731935,90000,,0.001,,394.91324614364714,1000.0
116,3.3848446066975595,779,89989,112,-26.544527774810792,91044,248.88284316000002,0.001,806.64,,
117,3.210142239447563,798,93113,116,-26.493413802116148,94168,281.36574016,0.001,816.74,,
,4.628488913357258,,94113,,-25.41153613090515,95000,,0.001,,687.6557983078994,1000.0
117,3.2629083215594292,836,97113,120,-25.039602491378783,98168,306.05881959,0.001,855.53,,
,3.499833754301071,,99113,,-24.749127786636354,100000,,0.001,,275.9152400637977,1000.0
116,4.153489413440227,874,101113,124,-24.30088574028015,102168,334.77300923999996,0.001,894.81,,
,5.212055059579702,,104126,,-22.394688197544642,105000,,0.001,,-0.5781439881611732,709.5
116,,903,,128,,105181,358.31031406,,904.18,,
117,4.897020005345345,923,107374,132,-25.275882177352905,108429,311.38909113,0.001,906.51,,
,4.229242379546165,,109374,,-25.365260980606077,110000,,0.001,,-106.4189680882846,914.0
116,4.4940324640870095,955,111374,136,-26.65805575942993,111438,276.44105269000005,0.001,906.45,,
,5.188108073472977,,114383,,-26.623907207489015,115000,,0.001,,400.3648406404187,901.1
117,,983,,140,,115438,265.49840646,,916.33,,
118,5.09797384209103,1000,117428,144,-26.971953018851902,118483,261.02524873000004,0.001,906.78,,
,5.088442275583744,,119428,,-25.98802907562256,120000,,0.001,,299.8396698365803,923.2
118,4.9428288326263425,1031,121428,148,-25.328749195098876,122483,253.26536548000004,0.001,906.78,,
,4.805267718434334,,124428,,-25.98044330024719,125000,,0.001,,376.90881285658105,813.6
119,4.522471701264381,1060,125428,152,-25.73383067893982,126483,267.66784235,0.001,906.78,,
,5.311587620317936,,129428,,-26.990412563323975,130000,,0.001,,649.1282341789454,1000.0
119,,1092,,156,,130483,271.59033854,,906.78,,
120,6.2811077448129655,1114,133428,160,-28.271921337127687,134483,240.35904739,0.001,906.78,,
,5.233714913677525,,134613,,-27.586038983386494,135000,,0.001,,60.11957657144812,1000.0
120,6.207685769677163,1140,136613,164,-27.466853675842284,137668,233.82189856000002,0.001,898.63,,
,5.280518985033035,,139613,,-27.504341495513916,140000,,0.001,,-62.50100744839292,1000.0
120,4.739893579363823,1171,140613,168,-26.874035026550292,141668,249.24763385000003,0.001,908.52,,
,5.342742429375648,,144613,,-26.24744052505493,145000,,0.001,,515.7921470596688,1000.0
121,,1201,,172,,145668,267.05822594,,918.45,,
122,4.872700394749641,1223,148613,176,-24.756514251708985,149668,320.95502837,0.001,918.45,,
,4.333806339681148,,149613,,-24.436514728546143,150000,,0.001,,636.0102862503088,1000.0
122,4.319623977780342,1254,152613,180,-24.52984811401367,153668,351.0061958300001,0.001,918.45,,
,4.409148970723153,,154613,,-24.160169719696047,155000,,0.001,,385.63664776061194,1000.0
122,4.78404815018177,1283,156055,184,-23.615080299377443,157110,337.21553892,0.001,912.87,,
,3.692460035085678,,159055,,-21.69263466644287,160000,,0.001,,250.80787854103255,1000.0
122,4.545952317237854,1317,160055,188,-21.83986159706116,161110,331.79796064000004,0.001,922.68,,
,3.504374988257885,,164055,,-19.993066404342652,165000,,0.001,,391.27836116269464,1000.0
122,,1349,,192,,165110,335.75760084,,931.44,,
123,4.0911494626998905,1371,168055,196,-17.761322324752808,169110,346.50288353999997,0.001,940.66,,
,3.161874663412571,,169055,,-17.18740549659729,170000,,0.001,,747.955141893588,1000.0
123,3.1069634350538253,1402,172055,200,-14.882452432632446,173110,358.89938907,0.001,940.66,,
,2.998183175444603,,174055,,-14.774657091140748,175000,,0.001,,518.7504746706924,1000.0
123,2.6689237107634542,1433,176055,204,-14.645492782592774,177110,340.49947603999993,0.001,940.66,,
,2.9901723762750625,,179055,,-14.292538137435914,180000,,0.001,,580.7407553218305,1000.0
123,3.0845510244965553,1466,180055,208,-14.322175534248352,181110,335.05762633,0.001,940.66,,
,4.0876311190128325,,184055,,-14.265945156097413,185000,,0.001,,521.2333287220914,901.8
123,,1498,,212,,185110,330.03623445,,940.66,,
124,3.5661615846157075,1516,187065,216,-13.428687442779541,188120,334.1814554,0.001,939.52,,
,4.073995893716812,,189065,,-13.56952335357666,190000,,0.001,,357.7509482737631,908.0
124,2.588830285578966,1546,191065,220,-13.432777077674865,192120,316.21450991,0.001,939.52,,
,2.6575920605063437,,194065,,-13.069917031288147,195000,,0.001,,379.3738184057176,803.6
124,2.8338830167651174,1578,195065,224,-13.068135879516602,196120,318.47732913999994,0.001,939.52,,
,2.247307326436043,,199065,,-13.828648445129394,200000,,0.001,,472.7099295978551,1000.0
124,,1612,,228,,200120,318.18556848,,949.39,,
124,2.26341706097126,1634,203065,232,-14.995371467590331,204120,369.16241816,0.001,956.91,,
,1.8938684241175652,,204065,,-14.919859397888183,205000,,0.001,,692.5480656315573,1000.0
124,2.228361754834652,1668,207065,236,-17.279896408081054,208120,396.13597290000007,0.001,966.82,,
,2.4232628126740456,,209065,,-18.496517723083496,210000,,0.001,,599.4714020957487,1000.0
124,3.190987996399403,1701,211065,240,-20.217657901763918,212120,409.9445739999999,0.001,966.82,,
,3.8514110934734345,,214065,,-21.49192338562012,215000,,0.001,,554.9770160315035,1000.0
124,3.596328156173229,1735,215065,244,-22.282898933410646,216120,405.51798388000003,0.001,976.37,,
124,4.56509566038847,1756,219065,248,-23.792728429794312,219130,398.11657515,0.001,966.47,,
,4.265720844268799,,219075,,-29.1346736907959,220000,,0.001,,496.0731816279993,901.4
125,5.6495852593779565,1784,222075,252,-26.20838190460205,223130,376.78373647000006,0.001,966.47,,
,7.461044591188431,,224075,,-27.21076642227173,225000,,0.001,,169.4310523232445,1000.0
124,7.369654502630234,1817,226075,256,-28.93203099822998,226311,334.32356369000007,0.001,958.28,,
,9.125467883586884,,229256,,-29.121010471343993,230000,,0.001,,-1335.493154039816,811.4
124,,1844,,260,,230311,286.83663915000005,,958.28,,
125,10.796600053429604,1868,233256,264,-31.95306713485718,234311,218.32542482,0.001,966.43,,
,15.85532488822937,,234266,,-31.918965530395507,235000,,0.001,,-746.9278366239741,536.5
124,11.18846993283792,1885,235354,268,-33.400665673342615,235428,190.09347042000005,0.001,937.6,,
125,9.590745128154754,1903,238373,272,-33.859693519592284,239428,101.44291786000002,0.001,937.6,,
,9.89057933461666,,239373,,-33.74068323898315,240000,,0.001,,-1466.4059390207753,1000.0
125,8.939628000617027,1937,242373,276,-33.21598327255249,243428,16.622372589999973,0.001,937.6,,
,8.901757871985435,,244408,,-32.075371044158935,245000,,0.001,,-1177.098140603956,625.4
125,8.147955489993095,1959,245408,280,-31.04703332901001,245507,-35.00770250000003,0.001,918.39,,
