time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/value_loss,train/clip_range,train/learning_rate,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/loss,train/std,train/clip_fraction,train/n_updates,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
3,1,2048,114.25,-126.96597325,583,,,,,,,,,,,,,
8,2,4096,91.88888888888889,-97.09157405555554,501,215.59981224536895,0.2,0.0003,0.012707945,-0.026836037635803223,-0.02775400328100659,36.920780181884766,0.9886480569839478,0.13896484375,10,-11.2949313133955,,
,,5000,,,,106.15112675428391,0.2,0.0003,0.013142178,-0.003980875015258789,-0.02837550707627088,33.959598541259766,0.9777936935424805,0.124951171875,20,-11.212566235661507,1000.0,984.3199609354139
23,3,6144,84.33333333333333,-87.54148040277778,262,,,,,,,,,,,,,
27,4,8192,83.77894736842106,-86.30278774736843,294,131.6007406234741,0.2,0.0003,0.013134629,0.04604119062423706,-0.030908816066221333,54.653907775878906,0.969362735748291,0.13564453125,30,-11.13382737338543,,
,,10000,,,,129.9129747748375,0.2,0.0003,0.0110077225,0.10399830341339111,-0.02922327147971373,47.39133834838867,0.962712824344635,0.103662109375,40,-11.07465892136097,1000.0,976.8439214942512
43,5,10240,93.75,-97.30576178,235,,,,,,,,,,,,,
48,6,12288,96.14,-99.0206328,252,131.87549968957902,0.2,0.0003,0.013199617,0.12068670988082886,-0.030863198603037746,51.84210968017578,0.9509724974632263,0.127490234375,50,-10.999149566888809,,
53,7,14336,89.95,-94.01357390999999,268,128.03303331136703,0.2,0.0003,0.01026926,0.1289544701576233,-0.028531110807671213,68.0105972290039,0.9429544806480408,0.099853515625,60,-10.912747877836228,,
,,15000,,,,229.96216740608216,0.2,0.0003,0.009959465,0.06743770837783813,-0.026633184860111216,79.34548950195312,0.9377391338348389,0.09111328125,70,-10.859009820222855,934.2,938.5379229797239
68,8,16384,101.09,-101.70291694000001,238,,,,,,,,,,,,,
73,9,18432,111.2,-109.46335014,251,110.85254575014115,0.2,0.0003,0.010546582,0.17497438192367554,-0.031898389555863105,79.55799102783203,0.92918860912323,0.099267578125,80,-10.803418311476708,,
,,20000,,,,117.46390149593353,0.2,0.0003,0.012582606,0.1898447871208191,-0.035697220847941934,60.67954635620117,0.9218547344207764,0.145068359375,90,-10.730621626973152,1000.0,928.8468526144512
88,10,20480,114.07,-111.87149839,230,,,,,,,,,,,,,
93,11,22528,131.73,-126.97317745000002,240,143.73407049179076,0.2,0.0003,0.010280892,0.28260523080825806,-0.03254989056731574,53.567325592041016,0.9131156206130981,0.111083984375,100,-10.657355278730392,,
98,12,24576,119.56,-111.65696779,250,56.908855298161505,0.2,0.0003,0.016625866,0.2280704379081726,-0.03584565177152399,8.068687438964844,0.8970945477485657,0.1708984375,110,-10.551818653941154,,
,,25000,,,,159.68342475891114,0.2,0.0003,0.01028912,0.3701327443122864,-0.028436275519197807,90.8619384765625,0.8925235867500305,0.097412109375,120,-10.458770376443862,782.9,769.0474719866819
112,13,26624,136.89,-126.60477715,236,,,,,,,,,,,,,
