eval/mean_ep_length,eval/mean_reward,time/total_timesteps,train/learning_rate,train/n_updates,train/actor_loss,train/critic_loss,time/time_elapsed,time/episodes,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean
1000.0,-163.2669611558784,80000,0.001,79000,25.394333377838134,0.09789170344918967,,,,,
,,80000,,,,,936,80,85,-213.23787873749998,1000.0
1000.0,-159.50685028913432,81000,0.001,80000,25.584394607543945,0.09948005340620876,,,,,
1000.0,-159.86189384530297,82000,0.001,81000,25.74260400390625,0.09703085320070386,,,,,
1000.0,-167.76641956977545,83000,0.001,82000,25.917425518035888,0.09902329763397574,,,,,
1000.0,-154.43004378443584,84000,0.001,83000,26.07589297103882,0.1049587356634438,,,,,
,,84000,,,,,976,84,85,-212.1667889642857,1000.0
1000.0,-159.41969046490266,85000,0.001,84000,26.26752968978882,0.10742410003766417,,,,,
1000.0,-158.10417418545111,86000,0.001,85000,26.465145275115965,0.10982345760613679,,,,,
1000.0,-162.1667714210227,87000,0.001,86000,26.611691356658934,0.10647742477059365,,,,,
1000.0,-191.9424368475564,88000,0.001,87000,26.736260681152345,0.10508390843495727,,,,,
,,88000,,,,,1018,88,86,-211.40200551136365,1000.0
1000.0,-195.66275645638817,89000,0.001,88000,26.922333698272706,0.10991457892209291,,,,,
1000.0,-192.0826280079782,90000,0.001,89000,27.08028733444214,0.11305857228115201,,,,,
1000.0,-155.0366834023269,91000,0.001,90000,27.188814655303954,0.11567477322369814,,,,,
1000.0,-153.8949976353906,92000,0.001,91000,27.3473712348938,0.11293725137040019,,,,,
,,92000,,,,,1057,92,87,-211.25298533695653,1000.0
1000.0,-142.27323602610267,93000,0.001,92000,27.425355625152587,0.11489996513351798,,,,,
1000.0,-160.24501055376604,94000,0.001,93000,27.505561183929444,0.10943777354806662,,,,,
1000.0,-150.19225605209357,95000,0.001,94000,27.568137302398682,0.11000542728602886,,,,,
1000.0,-141.4627549230121,96000,0.001,95000,27.60048320388794,0.10120321699976921,,,,,
,,96000,,,,,1099,96,87,-211.59998098958332,1000.0
1000.0,-157.313630704768,97000,0.001,96000,27.63216792678833,0.09888478904217482,,,,,
1000.0,-145.2130849578185,98000,0.001,97000,27.68359246826172,0.09105695934221149,,,,,
1000.0,-171.43376927566715,99000,0.001,98000,27.69420967102051,0.09185655580461025,,,,,
1000.0,-185.4592987537384,100000,0.001,99000,27.750696193695067,0.08662710578739644,,,,,
,,100000,,,,,1140,100,87,-209.01355821999996,1000.0
1000.0,-155.98363426413852,101000,0.001,100000,27.78698433303833,0.09117208541184664,,,,,
1000.0,-183.18749739851336,102000,0.001,101000,27.842189212799074,0.0880909381620586,,,,,
1000.0,-194.45482912096196,103000,0.001,102000,27.84985406112671,0.08758809037879109,,,,,
1000.0,-166.96855899519286,104000,0.001,103000,27.93309175491333,0.09148922189697624,,,,,
,,104000,,,,,1181,104,88,-193.64281195999996,1000.0
1000.0,-175.59479500148444,105000,0.001,104000,27.988255477905273,0.0919160780236125,,,,,
1000.0,-179.61315640695392,106000,0.001,105000,28.042699615478515,0.09505736922845244,,,,,
1000.0,-175.81013448238372,107000,0.001,106000,28.107923454284666,0.0960096097998321,,,,,
1000.0,-136.62525485488587,108000,0.001,107000,28.153736541748046,0.09208162742853164,,,,,
,,108000,,,,,1223,108,88,-173.06102356,1000.0
1000.0,-144.1192752894014,109000,0.001,108000,28.188607585906983,0.09537667021900416,,,,,
1000.0,-154.13145677149296,110000,0.001,109000,28.226409866333007,0.09400445793196559,,,,,
1000.0,-147.43257191069424,111000,0.001,110000,28.27394356536865,0.1003010036200285,,,,,
1000.0,-142.08926410265266,112000,0.001,111000,28.335103607177736,0.09987433988600969,,,,,
,,112000,,,,,1265,112,88,-174.09034486000004,1000.0
1000.0,-133.13023411463945,113000,0.001,112000,28.34301412963867,0.09739772904664278,,,,,
1000.0,-140.21343830674886,114000,0.001,113000,28.410352283477785,0.09361752423271537,,,,,
1000.0,-133.0890185073018,115000,0.001,114000,28.430509044647216,0.09979036833718419,,,,,
1000.0,-140.86879443246872,116000,0.001,115000,28.471409046173097,0.10192246240004897,,,,,
,,116000,,,,,1307,116,88,-173.84766991999996,1000.0
1000.0,-163.40146577414126,117000,0.001,116000,28.5418913230896,0.10781024487316608,,,,,
1000.0,-177.9646709304303,118000,0.001,117000,28.56523582458496,0.11951470805704593,,,,,
1000.0,-164.7607265647501,119000,0.001,118000,28.581886993408204,0.11334475360065699,,,,,
1000.0,-143.7638828203082,120000,0.001,119000,28.59201047897339,0.10696463949233294,,,,,
,,120000,,,,,1349,120,88,-175.01377735999995,1000.0
1000.0,-152.69230839507654,121000,0.001,120000,28.64392582321167,0.10395566972717643,,,,,
1000.0,-157.69852133278036,122000,0.001,121000,28.666912605285646,0.10445204937830567,,,,,
1000.0,-150.2164066640893,123000,0.001,122000,28.714226638793946,0.10519908678531646,,,,,
1000.0,-144.14113768343813,124000,0.001,123000,28.753422744750978,0.10330071634799241,,,,,
,,124000,,,,,1390,124,89,-172.36442922999998,1000.0
1000.0,-145.56762498909376,125000,0.001,124000,28.80858403778076,0.10521584529429674,,,,,
1000.0,-180.69231441079174,126000,0.001,125000,28.857761505126952,0.11083478863537312,,,,,
1000.0,-157.29187604181934,127000,0.001,126000,28.859253620147705,0.1032848066315055,,,,,
1000.0,-153.4221493705176,128000,0.001,127000,28.894965042114258,0.09950304075703024,,,,,
,,128000,,,,,1431,128,89,-172.59204344999998,1000.0
1000.0,-151.63437555618583,129000,0.001,128000,28.905855422973634,0.09402916589006781,,,,,
1000.0,-157.22828753232025,130000,0.001,129000,28.8938542137146,0.09594158218428493,,,,,
1000.0,-156.84607407487928,131000,0.001,130000,28.898776943206787,0.0963639075756073,,,,,
1000.0,-163.67038245676085,132000,0.001,131000,28.894439571380616,0.10050752994045616,,,,,
,,132000,,,,,1474,132,89,-172.14657872,1000.0
1000.0,-160.1949675555341,133000,0.001,132000,28.942889827728273,0.09651379895582796,,,,,
1000.0,-128.07073234540877,134000,0.001,133000,28.952893802642823,0.09325479587540031,,,,,
1000.0,-157.76250318530947,135000,0.001,134000,28.96616799926758,0.09424609917029739,,,,,
1000.0,-134.52765683610923,136000,0.001,135000,28.966280128479003,0.09237045126035809,,,,,
,,136000,,,,,1513,136,89,-168.47130146,1000.0
1000.0,-124.95432533156126,137000,0.001,136000,28.965876670837403,0.09149376129731536,,,,,
1000.0,-139.05199204059318,138000,0.001,137000,28.956141731262207,0.09357885708659887,,,,,
1000.0,-128.47101610191166,139000,0.001,138000,28.923338932037353,0.09248135494068264,,,,,
1000.0,-101.70244109677151,140000,0.001,139000,28.91238930130005,0.09137624671682715,,,,,
,,140000,,,,,1553,140,90,-163.94107712000005,1000.0
1000.0,-111.45931817181409,141000,0.001,140000,28.890177845001222,0.0914842528142035,,,,,
1000.0,-119.90487428028136,142000,0.001,141000,28.880996189117432,0.09508752482011915,,,,,
1000.0,-122.03585650660098,143000,0.001,142000,28.883946048736572,0.09367653898894787,,,,,
1000.0,-121.03653469039128,144000,0.001,143000,28.881192672729494,0.09449539599567652,,,,,
,,144000,,,,,1594,144,90,-162.89355525000002,1000.0
1000.0,-130.26036677784288,145000,0.001,144000,28.911179721832276,0.09477643186599016,,,,,
1000.0,-127.50959572317079,146000,0.001,145000,28.93602667236328,0.0954609221443534,,,,,
1000.0,-138.6517261462286,147000,0.001,146000,28.98803265762329,0.09607116324827075,,,,,
1000.0,-135.94330815849827,148000,0.001,147000,29.036541500091552,0.10278266753256321,,,,,
,,148000,,,,,1635,148,90,-161.36975966000003,1000.0
1000.0,-129.68479965860024,149000,0.001,148000,29.085718334198,0.10071277743577957,,,,,
1000.0,-136.486276528053,150000,0.001,149000,29.107859825134277,0.10057643511891365,,,,,
1000.0,-122.80446406817063,151000,0.001,150000,29.17011243057251,0.1015795409604907,,,,,
