rollout/ep_rew_mean,time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/learning_rate,train/approx_kl,train/policy_gradient_loss,train/std,train/clip_range,train/loss,train/value_loss,train/n_updates,train/clip_fraction,train/explained_variance,train/entropy_loss,eval/mean_reward,eval/mean_ep_length
105.91684972340425,1,574,21.75531914893617,3,2048,,,,,,,,,,,,,
110.65115989,2,453,22.76,9,4096,0.0003,0.0189778,-0.06028121958661359,0.997080385684967,0.2,430.1058349609375,1514.6468927383423,10,0.216845703125,0.00241774320602417,-24.086715352535247,,
,,,,,5000,0.0003,0.023879696,-0.06931466366222594,0.9956292510032654,0.2,509.6054992675781,1174.9844179153442,20,0.239501953125,0.012993574142456055,-24.063150203228,242.7546674489975,50.45
113.7030064,3,389,23.34,15,6144,,,,,,,,,,,,,
110.78705861,4,392,22.8,20,8192,0.0003,0.026982013,-0.08223226300324313,0.9949150085449219,0.2,485.6971130371094,1118.2857349395751,30,0.3109375,0.012276709079742432,-24.04415318965912,,
,,,,,10000,0.0003,0.032431923,-0.0880046247242717,0.9931064248085022,0.2,388.5360107421875,945.5996858596802,40,0.357763671875,0.013711810111999512,-24.01563411951065,323.2451972961426,67.95
123.93948122000002,5,364,25.47,28,10240,,,,,,,,,,,,,
119.87700441999999,6,372,24.68,33,12288,0.0003,0.03249821,-0.08846592192130628,0.9915193915367126,0.2,392.6914978027344,1135.0549139022828,50,0.356103515625,0.01616823673248291,-23.992766600847244,,
124.73702465999999,7,376,25.48,38,14336,0.0003,0.039844453,-0.0908121564774774,0.988882839679718,0.2,402.541015625,981.5652549743652,60,0.414794921875,0.009406507015228271,-23.949981009960176,,
,,,,,15000,0.0003,0.039131336,-0.09300731729308609,0.9869111180305481,0.2,460.5411376953125,970.1498313903809,70,0.40947265625,0.016141653060913086,-23.9116674721241,335.43366837501526,70.1
133.01542384,8,363,27.19,45,16384,,,,,,,,,,,,,
