rollout/ep_rew_mean,time/fps,time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_len_mean,train/explained_variance,train/std,train/clip_fraction,train/learning_rate,train/loss,train/n_updates,train/value_loss,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,eval/mean_reward,eval/mean_ep_length
36936.102067,549,2048,1,3,1000.0,,,,,,,,,,,,,
39064.1508095,523,4096,2,7,1000.0,-0.00036978721618652344,0.9989360570907593,0.09580078125,0.0003,193615.03125,10,374148.28056640626,0.2,-24.11641724705696,-0.04302147071575746,0.010919955,,
,,5000,,,,-0.00903630256652832,0.9995704889297485,0.0578125,0.0003,242849.203125,20,483501.47626953124,0.2,-24.113796097040176,-0.0361180234933272,0.009638202,43799.27917518616,1000.0
38446.024000666665,126,6144,3,48,1000.0,,,,,,,,,,,,,
38550.895250625,155,8192,4,52,1000.0,-0.002556920051574707,0.9975828528404236,0.097216796875,0.0003,189853.5,30,377852.272265625,0.2,-24.09979129433632,-0.04543635890004225,0.012249668,,
,,10000,,,,-0.002086639404296875,0.9956981539726257,0.0888671875,0.0003,200556.671875,40,410406.1626953125,0.2,-24.070132702589035,-0.04374061404378153,0.011630471,45125.94909706116,1000.0
38993.1386105,115,10240,5,88,1000.0,,,,,,,,,,,,,
39301.272527333334,132,12288,6,92,1000.0,-0.002345561981201172,0.9933658838272095,0.108154296875,0.0003,230435.796875,50,465925.9443359375,0.2,-24.02332798242569,-0.05126874778943602,0.012986386,,
39509.28711392857,147,14336,7,97,1000.0,-0.0005506277084350586,0.9923872351646423,0.132080078125,0.0003,203871.75,60,430842.91728515626,0.2,-23.999432969093323,-0.05591125730134081,0.014028436,,
,,15000,,,,-0.001118779182434082,0.9911200404167175,0.103759765625,0.0003,258890.3125,70,493596.8998046875,0.2,-23.9820662856102,-0.049041633610613644,0.012821386,74592.53696537018,1000.0
40483.8125099375,127,16384,8,128,1000.0,,,,,,,,,,,,,
41441.596773,138,18432,9,133,1000.0,-0.0021744966506958008,0.9873964786529541,0.105859375,0.0003,363924.53125,80,676678.6302734375,0.2,-23.93568959236145,-0.05340657750202808,0.012824062,,
,,20000,,,,-0.0016922950744628906,0.9861958622932434,0.1029296875,0.0003,302760.1875,90,582415.8381835937,0.2,-23.897740286588668,-0.049934135653893465,0.01245455,68078.50503520966,1000.0
41749.0021295,121,20480,10,168,1000.0,,,,,,,,,,,,,
41939.1117865,130,22528,11,173,1000.0,-0.0002219676971435547,0.9851711392402649,0.135986328125,0.0003,278051.6875,100,530976.1401367188,0.2,-23.87899253964424,-0.056148685107473284,0.014092602,,
42641.62426795833,138,24576,12,177,1000.0,-0.0024846792221069336,0.9820042848587036,0.143603515625,0.0003,264317.34375,110,543661.472265625,0.2,-23.833936083316804,-0.05816872193972813,0.014816548,,
,,25000,,,,-0.00010192394256591797,0.9798029661178589,0.123681640625,0.0003,375638.96875,120,704967.680859375,0.2,-23.796910601854325,-0.059320986777311194,0.014260107,61305.02784557342,1000.0
42702.79166796153,125,26624,13,212,1000.0,,,,,,,,,,,,,
43138.93875589286,132,28672,14,216,1000.0,0.00016456842422485352,0.9791684150695801,0.17041015625,0.0003,262498.34375,130,514397.9892578125,0.2,-23.768732798099517,-0.06074570601340383,0.015578867,,
,,30000,,,,-0.00022161006927490234,0.9782869815826416,0.13046875,0.0003,351730.34375,140,682112.8822265625,0.2,-23.75312951207161,-0.05758116557262838,0.013806202,71670.82431564332,1000.0
43720.88617593333,121,30720,15,253,1000.0,,,,,,,,,,,,,
43985.378650375,126,32768,16,258,1000.0,3.4332275390625e-05,0.9756899476051331,0.149560546875,0.0003,451632.03125,150,748795.982421875,0.2,-23.719329899549486,-0.06085665574937593,0.015025148,,
44316.85409117647,131,34816,17,263,1000.0,0.00026041269302368164,0.9754849672317505,0.1681640625,0.0003,353839.34375,160,677231.5048828125,0.2,-23.697066175937653,-0.06512186549953185,0.016275454,,
,,35000,,,,0.00042641162872314453,0.975052535533905,0.15439453125,0.0003,313267.90625,170,628192.91875,0.2,-23.699636191129684,-0.06017631250724662,0.015617048,70715.20259590149,1000.0
44384.29145163889,122,36864,18,300,1000.0,,,,,,,,,,,,,
44676.67192678948,127,38912,19,304,1000.0,-0.001104593276977539,0.9720490574836731,0.157373046875,0.0003,301957.34375,180,577837.5823242187,0.2,-23.658854371309282,-0.057846885963226666,0.016118836,,
,,40000,,,,-0.00017750263214111328,0.9721798896789551,0.164990234375,0.0003,358501.09375,190,694607.2466796875,0.2,-23.646012085676194,-0.06303953940514476,0.017133636,79841.95026988983,1000.0
44905.29410472499,120,40960,20,339,1000.0,,,,,,,,,,,,,
45557.27772193022,125,43008,21,343,1000.0,0.00016707181930541992,0.9698213934898376,0.154296875,0.0003,353311.0625,200,778949.390234375,0.2,-23.619351202249526,-0.06109227942652069,0.015911631,,
,,45000,,,,0.00012618303298950195,0.9708384275436401,0.1787109375,0.0003,348999.34375,210,741885.69375,0.2,-23.61186243891716,-0.0638251397991553,0.017191315,75006.74002914429,1000.0
