rollout/ep_len_mean,time/episodes,time/time_elapsed,train/critic_loss,train/learning_rate,train/n_updates,rollout/ep_rew_mean,train/actor_loss,time/fps,time/total_timesteps,eval/mean_ep_length,eval/mean_reward
1000.0,4,16,0.0783916885079816,0.001,3000,-1030.64096425,-5.945406438350678,236,4000,,
,,,0.08382479246333241,0.001,4000,,-7.175039353370667,,5000,1000.0,-1004.3096953779459
1000.0,8,47,0.7729567583203316,0.001,7000,-1382.442344,-12.340201011657715,167,8000,,
,,,2.469977307677269,0.001,9000,,-15.61294960784912,,10000,726.1,-1251.9999850034844
1000.0,12,77,1.184226714849472,0.001,11000,-1253.7156944166668,-16.229710485458373,154,12000,,
,,,0.9681933100819587,0.001,14000,,-15.902845512390137,,15000,1000.0,216.02317388668015
1000.0,16,110,1.1496855231523513,0.001,15000,-805.3164544374999,-17.117321044921876,144,16000,,
,,,0.8397547788918018,0.001,19000,,-16.92174136543274,,20000,1000.0,821.6102710197738
1000.0,20,144,,,,-519.1649215,,138,20000,,
1000.0,24,166,0.7764909848570823,0.001,23000,-299.2022547916667,-16.988638536453248,144,24000,,
,,,0.7317901223599911,0.001,24000,,-16.942581995010375,,25000,1000.0,466.309661460761
1000.0,28,198,0.809503306478262,0.001,27000,-140.98504642857145,-16.835342937469484,141,28000,,
,,,0.7565717329084873,0.001,29000,,-16.862216804504396,,30000,996.5,613.2614576600579
975.5625,32,225,0.7744421008803429,0.001,30218,-44.314964343750006,-17.094326045535027,138,31218,,
,,,0.6768122507631779,0.001,34218,,-17.767519613265993,,35000,1000.0,825.4336208074819
978.2777777777778,36,256,,,,55.08002525,,137,35218,,
980.45,40,278,0.6611227744221687,0.001,38218,106.90801709999998,-17.708546775817872,140,39218,,
,,,0.6039511072039604,0.001,39218,,-17.9890049533844,,40000,1000.0,676.0496135560795
982.2272727272727,44,309,0.5712349161207676,0.001,42218,166.23217256818182,-19.18954136276245,139,43218,,
,,,0.5413620392680168,0.001,44218,,-20.090085948944093,,45000,1000.0,837.5107144217939
983.7083333333334,48,341,0.515752565100789,0.001,46218,221.992453375,-20.7290552444458,138,47218,,
,,,0.5422367506027221,0.001,49218,,-21.779625011444093,,50000,1000.0,633.6454239306971
984.9615384615385,52,372,0.5485318878293037,0.001,50218,264.4126114807692,-22.03626662826538,137,51218,,
,,,0.560267710506916,0.001,54218,,-23.320293117523192,,55000,1000.0,851.1681977033383
986.0357142857143,56,405,,,,298.43408769642855,,136,55218,,
986.9666666666667,60,428,0.5144907772839069,0.001,58218,337.7986321,-24.545238872528078,138,59218,,
,,,0.4937266702800989,0.001,59218,,-25.076808223724367,,60000,1000.0,911.9083580337931
987.78125,64,460,0.535738651394844,0.001,62218,369.10040920312497,-26.181474445343017,137,63218,,
,,,0.6238330202102661,0.001,64218,,-26.82191702270508,,65000,1000.0,903.0606953054667
988.5,68,494,0.6416047016680241,0.001,66218,399.8205865441176,-27.38165451812744,135,67218,,
,,,0.586908195450902,0.001,69218,,-28.452739231109618,,70000,1000.0,822.4320828886936
989.1388888888889,72,527,0.5793665427863598,0.001,70218,423.7757482361111,-28.784715213775634,135,71218,,
,,,0.612112929224968,0.001,74218,,-30.31248724746704,,75000,1000.0,745.4412288803608
989.7105263157895,76,559,,,,445.13295622368423,,134,75218,,
990.225,80,581,0.5277629592418671,0.001,78218,464.0047156875,-31.525876140594484,136,79218,,
,,,0.5155894375741482,0.001,79218,,-31.927036056518556,,80000,1000.0,851.0248797040433
990.6904761904761,84,613,0.45320862203836443,0.001,82218,479.5078138452382,-32.82329355239868,135,83218,,
,,,0.44399143508076666,0.001,84218,,-33.53303566741943,,85000,1000.0,888.9426811087876
991.1136363636364,88,647,0.4090423667132854,0.001,86218,497.32489994318183,-34.41992056274414,134,87218,,
,,,0.3945164947956801,0.001,89218,,-35.77822988128662,,90000,1000.0,932.3898503705859
991.5,92,680,0.3695283978134394,0.001,90218,513.8349942065217,-36.19393668365478,134,91218,,
,,,0.38791666969656946,0.001,94218,,-37.765750617980956,,95000,1000.0,914.9053902879357
991.8541666666666,96,713,,,,529.7511578958333,,133,95218,,
992.18,100,735,0.41605487893521786,0.001,98218,542.69847663,-38.9900463104248,134,99218,,
,,,0.43571299958229065,0.001,99218,,-39.2537696685791,,100000,1000.0,812.8927869815845
992.18,104,768,0.39370950271189215,0.001,102218,616.48359501,-40.046259063720704,134,103218,,
,,,0.3838580001890659,0.001,104218,,-40.67654904937744,,105000,1000.0,941.1749691966921
992.18,108,801,0.3884241935759783,0.001,106218,723.1871435499999,-41.41356356048584,133,107218,,
,,,0.36558972716331484,0.001,109218,,-42.3811068725586,,110000,1000.0,931.9811962164938
992.18,112,833,0.3592724501639605,0.001,110218,799.97601499,-42.716230026245114,133,111218,,
,,,0.36030284184217454,0.001,114218,,-43.83503841400147,,115000,1000.0,958.9825937559829
992.18,116,865,,,,815.4010282799999,,133,115218,,
992.18,120,888,0.38576299327611924,0.001,118218,827.3176057700001,-44.83175808715821,134,119218,,
,,,0.4007357394993305,0.001,119218,,-45.0300746383667,,120000,1000.0,902.282329040207
992.18,124,921,0.3668596337735653,0.001,122218,832.2525429299999,-45.667851730346676,133,123218,,
,,,0.3874688037186861,0.001,124218,,-46.03355770874023,,125000,1000.0,942.4239724589512
