time/total_timesteps,time/iterations,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/learning_rate,train/approx_kl,train/n_updates,train/std,train/clip_range,train/entropy_loss,train/loss,train/clip_fraction,train/explained_variance,train/value_loss,train/policy_gradient_loss,eval/mean_ep_length,eval/mean_reward
2048,1,283,97.51064255434783,21.91304347826087,7,,,,,,,,,,,,,
4096,2,242,99.37556197000002,22.24,16,0.0003,0.018770147,10,0.9984400272369385,0.2,-24.111521548032762,451.0999755859375,0.21630859375,-0.013254165649414062,1236.7996551513672,-0.05993603256065398,,
5000,,,,,,0.0003,0.022996305,20,0.9967508912086487,0.2,-24.082101935148238,384.1988220214844,0.235595703125,0.013010978698730469,928.0169328689575,-0.06752229487465229,62.75,319.5812820196152
6144,3,210,100.39194263000002,22.38,29,,,,,,,,,,,,,
8192,4,214,103.40724196000001,23.02,38,0.0003,0.029014625,30,0.9965259432792664,0.2,-24.0711179792881,449.9370422363281,0.321337890625,0.015900731086730957,846.2351377487182,-0.08302280212810728,,
10000,,,,,,0.0003,0.033839703,40,0.9939704537391663,0.2,-24.039066380262376,340.6171569824219,0.3669921875,0.01341700553894043,803.3971908569335,-0.09006928423186764,65.5,328.4007836931385
10240,5,207,108.33951686999998,24.0,49,,,,,,,,,,,,,
12288,6,211,110.91824896000001,24.62,58,0.0003,0.032012425,50,0.9955589175224304,0.2,-24.046500664949416,406.572509765625,0.333349609375,0.02318429946899414,851.5333570480346,-0.08516679159656633,,
14336,7,211,116.70139209999998,26.2,67,0.0003,0.029280841,60,0.9934309720993042,0.2,-24.02247937321663,326.2787170410156,0.30341796875,0.020279765129089355,891.9297729492188,-0.07846193043515086,,
15000,,,,,,0.0003,0.03078613,70,0.9936953186988831,0.2,-24.009873324632643,468.3754577636719,0.30380859375,0.020521581172943115,954.9782602310181,-0.07603174453543034,80.5,384.0556080254726
16384,8,199,116.15346389999999,26.03,81,,,,,,,,,,,,,
18432,9,199,119.19571301000002,26.52,92,0.0003,0.0217315,80,0.9922016263008118,0.2,-24.000054395198823,441.8251037597656,0.24453125,0.08051669597625732,846.2050989151,-0.07407604742911644,,
20000,,,,,,0.0003,0.021087922,90,0.9913638830184937,0.2,-23.978820568323137,404.80084228515625,0.231982421875,0.12520557641983032,869.8182691574096,-0.07332321335561573,88.2,439.25148247107865
20480,10,193,117.65678739,26.32,105,,,,,,,,,,,,,
22528,11,196,123.45865717000001,27.38,114,0.0003,0.017695831,100,0.9908386468887329,0.2,-23.96752225160599,345.6631774902344,0.18056640625,0.19084101915359497,734.4675186157226,-0.06461951981764287,,
24576,12,197,131.69342633,29.08,124,0.0003,0.017073702,110,0.9892324805259705,0.2,-23.95140697360039,317.05657958984375,0.167626953125,0.3325594663619995,772.5093223571778,-0.06266162574174813,,
25000,,,,,,0.0003,0.018034134,120,0.989878237247467,0.2,-23.942448174953462,364.4815979003906,0.164892578125,0.32383495569229126,916.318378829956,-0.06079911302949768,67.1,331.400908010453
26624,13,192,135.15961736,30.19,138,,,,,,,,,,,,,
28672,14,192,135.51651827999996,29.97,148,0.0003,0.01660879,130,0.9873719811439514,0.2,-23.925603944063187,320.7833557128906,0.16455078125,0.3056493401527405,857.476807975769,-0.06042003255861346,,
30000,,,,,,0.0003,0.017745078,140,0.9860090613365173,0.2,-23.892386436462402,304.7445983886719,0.1693359375,0.42939823865890503,751.3572211265564,-0.06339653332252056,81.1,406.0772392777144
30720,15,188,133.77293942,29.75,162,,,,,,,,,,,,,
32768,16,191,140.09987281999997,31.11,171,0.0003,0.016044352,150,0.9857888221740723,0.2,-23.878112572431565,301.7679748535156,0.14921875,0.4240455627441406,766.4453608512879,-0.057786762993782756,,
