rollout/ep_rew_mean,time/time_elapsed,time/iterations,time/total_timesteps,time/fps,rollout/ep_len_mean,train/explained_variance,train/clip_fraction,train/policy_gradient_loss,train/loss,train/std,train/n_updates,train/clip_range,train/approx_kl,train/value_loss,train/learning_rate,train/entropy_loss,eval/mean_reward,eval/mean_ep_length
23.19542287951807,5,1,2048,363,24.433734939759034,,,,,,,,,,,,,
22.733162699999998,12,2,4096,325,24.66,0.008125603199005127,0.187890625,-0.04533098094980233,9.693964004516602,0.9994956851005554,10,0.2,0.020839117,36.03055998384953,0.0003,-17.02291676402092,,
,,,5000,,,0.1528370976448059,0.19169921875,-0.0503828227170743,9.283613204956055,0.9967302083969116,20,0.2,0.017919188,26.119354951381684,0.0003,-16.998538196086884,24.65337616961915,22.2
22.849176189999998,20,3,6144,296,24.38,,,,,,,,,,,,,
22.171929530000003,28,4,8192,282,23.73,0.26724910736083984,0.154736328125,-0.046733183081960304,9.868576049804688,0.9967512488365173,30,0.2,0.01446135,25.234573382139207,0.0003,-16.988161587715148,,
,,,10000,,,0.41609781980514526,0.12197265625,-0.04403610852314159,5.7779221534729,0.9952563643455505,40,0.2,0.012078658,19.487632128596307,0.0003,-16.97948400378227,24.759249898017153,22.3
23.24752902,38,5,10240,268,24.39,,,,,,,,,,,,,
22.17475571,47,6,12288,259,23.64,0.6248937547206879,0.13623046875,-0.045714645989937706,5.365302085876465,0.994731068611145,50,0.2,0.013396484,13.371195773780347,0.0003,-16.96891184449196,,
24.682001130000003,55,7,14336,256,25.47,0.7375511527061462,0.130908203125,-0.044060045134392566,5.084320545196533,0.9925378561019897,60,0.2,0.01306322,10.523563259840012,0.0003,-16.948108124732972,,
,,,15000,,,0.789269283413887,0.162451171875,-0.047417476735427046,3.6947996616363525,0.9918817281723022,70,0.2,0.015784217,11.291510294377805,0.0003,-16.934127283096313,25.12460397835821,22.6
22.58354750999999,65,8,16384,251,24.55,,,,,,,,,,,,,
22.27580675,72,9,18432,253,23.45,0.8382601886987686,0.190380859375,-0.051523930075927635,3.401282548904419,0.9887792468070984,80,0.2,0.017621495,7.043138723820448,0.0003,-16.909262073040008,,
,,,20000,,,0.8504911214113235,0.193505859375,-0.050043299325625415,4.52691650390625,0.9837037920951843,90,0.2,0.018046305,7.654494958370924,0.0003,-16.85466994047165,25.291777718358208,22.75
22.81791086,81,10,20480,250,24.36,,,,,,,,,,,,,
21.77983011,89,11,22528,251,23.05,0.8689993917942047,0.213525390625,-0.052876920797280035,4.866320610046387,0.9793796539306641,100,0.2,0.018559985,6.423286009579897,0.0003,-16.803364700078966,,
22.536845930000005,96,12,24576,255,23.68,0.8942777812480927,0.201123046875,-0.05176121480180882,1.7040865421295166,0.9753769636154175,110,0.2,0.018386945,5.194839154928923,0.0003,-16.749177914857864,,
,,,25000,,,0.8973936438560486,0.207080078125,-0.054391964254318734,3.3257458209991455,0.9754133224487305,120,0.2,0.018754924,5.373166225105524,0.0003,-16.72355247139931,25.32944526653737,22.85
22.910637209999994,103,13,26624,258,23.62,,,,,,,,,,,,,
23.330216850000006,109,14,28672,262,24.27,0.8996608629822731,0.208935546875,-0.05355585678189527,1.5528180599212646,0.971671998500824,130,0.2,0.019715969,5.402704937011004,0.0003,-16.700779032707214,,
,,,30000,,,0.9168416038155556,0.264453125,-0.05737513366038911,1.1433777809143066,0.9665299654006958,140,0.2,0.02269662,4.887486134469509,0.0003,-16.639988577365877,25.039144222112373,22.65
24.505928949999998,116,15,30720,262,25.66,,,,,,,,,,,,,
22.03426637,124,16,32768,264,22.79,0.9057439342141151,0.225732421875,-0.05252777169516776,3.195713520050049,0.9632613062858582,150,0.2,0.020257479,5.398918160796166,0.0003,-16.59160598516464,,
22.594028400000003,131,17,34816,264,23.34,0.8770804703235626,0.215283203125,-0.050169229636958336,2.3512964248657227,0.960526168346405,160,0.2,0.019101638,5.787522783875465,0.0003,-16.55681902766228,,
,,,35000,,,0.9050424173474312,0.27099609375,-0.058772518453770316,3.2490501403808594,0.9576005339622498,170,0.2,0.024063887,4.789786881953478,0.0003,-16.519730365276338,25.01500477080699,22.6
24.23044519,139,18,36864,263,25.1,,,,,,,,,,,,,
23.29925402,147,19,38912,263,23.68,0.9147915691137314,0.253125,-0.05757574380550068,1.4441416263580322,0.9543571472167969,180,0.2,0.022587556,4.928066739439965,0.0003,-16.48496299982071,,
,,,40000,,,0.9097689017653465,0.24609375,-0.056978251683176495,2.5500380992889404,0.9528087377548218,190,0.2,0.02213969,4.831213642284274,0.0003,-16.45042277574539,26.060117261723825,23.4
23.401115390000005,156,20,40960,262,24.11,,,,,,,,,,,,,
23.15456908,163,21,43008,262,23.93,0.921208843588829,0.249853515625,-0.055333643770427446,1.390731692314148,0.9542241096496582,200,0.2,0.023334783,4.083527352660894,0.0003,-16.457662457227705,,
,,,45000,,,0.9231938943266869,0.249755859375,-0.05451663791318424,1.6491093635559082,0.9524528384208679,210,0.2,0.021950379,4.104248484224081,0.0003,-16.453018760681154,25.842816611542368,23.3
22.018862589999998,171,22,45056,262,22.81,,,,,,,,,,,,,
22.103672149999998,178,23,47104,263,22.67,0.925540879368782,0.27802734375,-0.060759837995283304,4.632951736450195,0.9501873254776001,220,0.2,0.024860235,3.7857761789113282,0.0003,-16.42309281229973,,
22.261021789999994,185,24,49152,265,22.76,0.9122444167733192,0.23876953125,-0.056388042046455665,0.8582738637924194,0.9495686888694763,230,0.2,0.020953402,4.419510335102677,0.0003,-16.403701150417326,,
