eval/mean_ep_length,time/total_timesteps,eval/mean_reward,time/iterations,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/policy_gradient_loss,train/explained_variance,train/clip_fraction,train/entropy_loss,train/std,train/n_updates,train/loss,train/clip_range,train/learning_rate,train/approx_kl,train/value_loss
50.0,1000,-12.978175936639309,,,,,,,,,,,,,,,,
50.0,2000,-12.978175936639309,,,,,,,,,,,,,,,,
,2048,,1,392,5,50.0,-61.769661425,,,,,,,,,,,
50.0,3000,-9.473870056122541,,,,,,-0.009481663454789669,0.005908071994781494,0.06513671875,-2.8085775025188924,0.9754759073257446,10,55.07193374633789,0.2,0.0003,0.007837036,183.57144291400908
50.0,4000,-9.473870056122541,,,,,,,,,,,,,,,,
,4096,,2,330,12,50.0,-61.60920696296297,,,,,,,,,,,
50.0,5000,-10.071954812668263,,,,,,-0.005901160978828557,0.24086648225784302,0.021484375,-2.7745770812034607,0.9623924493789673,20,27.87746238708496,0.2,0.0003,0.0037807869,120.10082029104233
50.0,6000,-10.071954812668263,,,,,,,,,,,,,,,,
,6144,,3,317,19,50.0,-60.840916099999994,,,,,,,,,,,
50.0,7000,-10.98603175189346,,,,,,-0.007508139553829096,0.2076789140701294,0.053369140625,-2.7419669404625893,0.9410848021507263,30,13.98909854888916,0.2,0.0003,0.006725888,68.95671663284301
50.0,8000,-10.98603175189346,,,,,,,,,,,,,,,,
,8192,,4,308,26,50.0,-59.62141052,,,,,,,,,,,
50.0,9000,-12.243338512256742,,,,,,-0.010061576098087244,0.42422306537628174,0.054150390625,-2.685571937263012,0.9110960364341736,40,13.26609992980957,0.2,0.0003,0.008059798,63.020217353105544
50.0,10000,-12.243338512256742,,,,,,,,,,,,,,,,
,10240,,5,304,33,50.0,-58.831922999999996,,,,,,,,,,,
50.0,11000,-15.877686968445778,,,,,,-0.010604789669741876,0.5758746266365051,0.0666015625,-2.6285672433674336,0.8914868831634521,50,15.078906059265137,0.2,0.0003,0.006984323,65.14854773879051
50.0,12000,-15.877686968445778,,,,,,,,,,,,,,,,
,12288,,6,304,40,50.0,-58.401880979999994,,,,,,,,,,,
50.0,13000,-20.33974603563547,,,,,,-0.018759326587314717,0.7560346722602844,0.109814453125,-2.5901777006685736,0.8759920597076416,60,25.693805694580078,0.2,0.0003,0.0077829044,58.16103891134262
50.0,14000,-20.33974603563547,,,,,,,,,,,,,,,,
,14336,,7,301,47,50.0,-57.45635032000001,,,,,,,,,,,
50.0,15000,-25.956987051665784,,,,,,-0.020409361599013208,0.7544933259487152,0.13662109375,-2.5584530636668203,0.8636393547058105,70,28.072317123413086,0.2,0.0003,0.009982224,55.42621675729752
50.0,16000,-25.956987051665784,,,,,,,,,,,,,,,,
,16384,,8,299,54,50.0,-57.284830660000004,,,,,,,,,,,
50.0,17000,-34.217854633927345,,,,,,-0.01634106349083595,0.8171675056219101,0.10615234375,-2.529072963446379,0.8496450185775757,80,21.480844497680664,0.2,0.0003,0.009468318,42.31905735731125
50.0,18000,-34.217854633927345,,,,,,,,,,,,,,,,
,18432,,9,298,61,50.0,-58.84008865,,,,,,,,,,,
50.0,19000,-44.094718751311305,,,,,,-0.021188744305982256,0.895778700709343,0.155126953125,-2.4941610381007195,0.8354679346084595,90,7.786581039428711,0.2,0.0003,0.011204777,20.97843387722969
50.0,20000,-44.094718751311305,,,,,,,,,,,,,,,,
,20480,,10,298,68,50.0,-60.76523478,,,,,,,,,,,
50.0,21000,-55.75539090335369,,,,,,-0.0177845941594569,0.928657665848732,0.144091796875,-2.4622907131910323,0.8229101896286011,100,7.517960071563721,0.2,0.0003,0.011581288,16.15908482670784
50.0,22000,-55.75539090335369,,,,,,,,,,,,,,,,
,22528,,11,295,76,50.0,-63.25209330999999,,,,,,,,,,,
50.0,23000,-59.35116195976734,,,,,,-0.013148588058538736,0.9417073167860508,0.09462890625,-2.428761497884989,0.8070040941238403,110,5.471048355102539,0.2,0.0003,0.0047739036,12.585081775486469
50.0,24000,-59.35116195976734,,,,,,,,,,,,,,,,
,24576,,12,295,83,50.0,-64.97788086999999,,,,,,,,,,,
50.0,25000,-58.92585149109364,,,,,,-0.008565537218237296,0.9544704779982567,0.039453125,-2.3804337702691556,0.7858775854110718,120,4.5865583419799805,0.2,0.0003,0.0045534973,11.059822502732278
50.0,26000,-58.92585149109364,,,,,,,,,,,,,,,,
,26624,,13,294,90,50.0,-64.85425004000001,,,,,,,,,,,
50.0,27000,-59.81662858128548,,,,,,-0.012253043215605431,0.9504809975624084,0.1095703125,-2.323584793508053,0.7631335258483887,130,5.681640148162842,0.2,0.0003,0.0103327595,14.865815033018588
50.0,28000,-59.81662858128548,,,,,,,,,,,,,,,,
,28672,,14,294,97,50.0,-65.16746533999999,,,,,,,,,,,
50.0,29000,-60.67585107088089,,,,,,-0.009904722150531597,0.95622518658638,0.082861328125,-2.2654032766819,0.7417349219322205,140,4.630354881286621,0.2,0.0003,0.0070707756,11.404094272851944
50.0,30000,-60.67585107088089,,,,,,,,,,,,,,,,
,30720,,15,293,104,50.0,-65.98266255000001,,,,,,,,,,,
50.0,31000,-59.75309307575226,,,,,,-0.009651481911714655,0.9656779952347279,0.08330078125,-2.211157289147377,0.7209422588348389,150,2.3615713119506836,0.2,0.0003,0.007599377,9.643133971095086
50.0,32000,-59.75309307575226,,,,,,,,,,,,,,,,
,32768,,16,292,112,50.0,-66.78826925,,,,,,,,,,,
50.0,33000,-59.20765261054039,,,,,,-0.0070837634237250315,0.9792749639600515,0.071533203125,-2.1546951957046985,0.7014608383178711,160,2.02783203125,0.2,0.0003,0.0059178467,5.16016309261322
50.0,34000,-59.20765261054039,,,,,,,,,,,,,,,,
,34816,,17,289,120,50.0,-67.55597738,,,,,,,,,,,
50.0,35000,-59.153145629167554,,,,,,-0.008792920826817863,0.9806405566632748,0.063525390625,-2.0879356928169726,0.6754307746887207,170,1.292997121810913,0.2,0.0003,0.008760624,4.863007784634829
50.0,36000,-59.153145629167554,,,,,,,,,,,,,,,,
,36864,,18,286,128,50.0,-68.32644529999999,,,,,,,,,,,
50.0,37000,-58.76773833632469,,,,,,-0.009505136785446667,0.9869899181649089,0.0935546875,-2.0149621099233626,0.654008150100708,180,0.9004958868026733,0.2,0.0003,0.0053639775,3.36368054933846
50.0,38000,-58.76773833632469,,,,,,,,,,,,,,,,
,38912,,19,284,136,50.0,-68.82357229999998,,,,,,,,,,,
50.0,39000,-58.46912413239479,,,,,,-0.008898403457715176,0.9877831721678376,0.116650390625,-1.9401298992335796,0.6258184313774109,190,1.9952105283737183,0.2,0.0003,0.008807251,2.934770230576396
50.0,40000,-58.46912413239479,,,,,,,,,,,,,,,,
,40960,,20,283,144,50.0,-67.73393457,,,,,,,,,,,
