time/episodes,train/n_updates,train/critic_loss,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,train/actor_loss,time/fps,eval/mean_reward,eval/mean_ep_length
4,2000,0.11033308026799932,0.001,763.75,-1245.377985,3055,13,-4.959821422845125,219,,
8,4037,0.27252856771583145,0.001,517.375,-894.9010235000001,4139,24,-2.5589851791208442,172,,
,4084,0.44749068706593614,0.001,,,5000,,-2.409988656640053,,-1024.7549882508815,747.5
12,6101,0.5145788087564356,0.001,517.4166666666666,-865.2529900833334,6209,45,-3.3457164764404297,135,,
16,6188,0.8412016505996386,0.001,390.875,-654.9583709999999,6254,46,-3.0696473916371665,135,,
20,6303,1.0231526973454848,0.001,318.6,-539.4392572999999,6372,46,-3.1296974069931927,135,,
24,6391,0.9188166558742523,0.001,270.4166666666667,-461.3200518333333,6490,47,-2.890799045562744,136,,
28,6503,0.8830692000114001,0.001,235.75,-405.5205154285714,6601,48,-3.1607182851204505,137,,
32,8559,0.8477994535863399,0.001,269.53125,-429.24852459374995,8625,60,-0.5179422012707219,141,,
36,8816,1.3484210481246313,0.001,247.77777777777777,-391.15462636111107,8920,62,-0.4935569134851297,142,,
,9865,1.2266353456974028,0.001,,,10000,,0.2714624623414129,,124.95333969120402,1000.0
40,10875,1.0076980412006378,0.001,298.25,-366.727920725,11930,88,1.0017693281173705,134,,
44,13097,1.3831165595488115,0.001,311.70454545454544,-334.47375415909084,13715,101,1.1822205195884878,135,,
,14660,1.153190698325634,0.001,,,15000,,1.5631319233367684,,572.6680932393094,906.6
48,16660,0.9414324034154415,0.001,369.0625,-251.17057452083336,17715,131,0.564727869587019,134,,
,19660,0.8725239462852478,0.001,,,20000,,-0.643173558594659,,450.13443835759534,904.0
52,20660,0.7988550240695477,0.001,417.59615384615387,-191.31971415384618,21715,163,-0.7631909900922328,132,,
,24660,0.6620640358030796,0.001,,,25000,,-1.617061013698578,,344.0439375720918,807.7
56,,,,459.19642857142856,-145.314683375,25715,195,,131,,
60,27696,0.6512214408980476,0.001,479.18333333333334,-110.22996236666667,28751,211,-2.591813948419359,135,,
,29696,0.6380891971886158,0.001,,,30000,,-2.915335622549057,,534.239237606828,947.3
64,31696,0.6323413535952568,0.001,511.734375,-66.89894515625,32751,244,-3.9081391830444336,133,,
,34696,0.6378206085860729,0.001,,,35000,,-5.094575259208679,,658.8559016169805,1000.0
68,35696,0.6300229735076427,0.001,540.4558823529412,-31.538472897058824,36751,278,-5.473799306869507,131,,
,39637,0.7045788957178593,0.001,,,40000,,-6.956334784507751,,727.8265805322677,1000.0
72,,,,565.1666666666666,6.526632250000009,40692,311,,130,,
76,43637,0.6740467864274978,0.001,588.0526315789474,44.63639807894737,44692,333,-8.709000289916991,134,,
,44637,0.6791593822836876,0.001,,,45000,,-9.439282260894775,,666.7843252396211,1000.0
80,47637,0.7053866544663906,0.001,596.7,63.950815137500015,47736,363,-11.21011594581604,131,,
,49681,0.7104291183650494,0.001,,,50000,,-12.154932470321656,,597.6393021948795,859.0
84,50681,0.7189029545783997,0.001,615.9047619047619,83.49261940476192,51736,391,-12.616884063720702,132,,
,54681,0.706419705092907,0.001,,,55000,,-14.47646699142456,,647.2052801485173,903.7
88,,,,633.3636363636364,109.22489772727273,55736,425,,130,,
92,58681,0.7428103135228157,0.001,645.5434782608696,135.3268350978261,59390,450,-16.769215015411376,131,,
,59335,0.8282423863808314,0.001,,,60000,,-17.234078080646853,,453.6775670584058,622.0
96,60982,0.801751783490181,0.001,646.21875,146.1735747708333,62037,472,-18.035238456726074,131,,
,63982,0.8699144922196865,0.001,,,65000,,-19.080048896789553,,832.594544408709,1000.0
100,64982,0.813969533920288,0.001,660.37,171.99040052,66037,505,-19.378144496917724,130,,
,68982,0.8333446740508079,0.001,,,70000,,-21.531766609191894,,719.8345482199613,902.1
104,,,,669.82,257.32190793,70037,543,,128,,
108,72982,0.8230274856984615,0.001,698.98,311.72428621,74037,567,-23.970446655273438,130,,
,73982,0.8522589179575444,0.001,,,75000,,-24.5499708442688,,378.02513644350694,804.0
112,76045,0.9135819930732251,0.001,708.91,365.55477589,77100,594,-25.593543338775635,129,,
,79045,0.8778161951303483,0.001,,,80000,,-27.126560390472413,,771.7002537742258,902.1
116,80045,0.8753453478813171,0.001,748.46,405.71998292000006,81100,627,-27.692185680389404,129,,
,84045,0.9441918001174927,0.001,,,85000,,-29.845744590759278,,156.60597906498006,1000.0
120,,,,787.28,443.06532552000004,85100,664,,128,,
124,88045,0.923386509090662,0.001,826.1,487.95110157000005,89100,689,-32.07165288925171,129,,
,89045,0.9262593509554863,0.001,,,90000,,-32.65074845123291,,1061.6329254820478,1000.0
128,92045,0.9825508788824081,0.001,864.99,536.3338683000001,93100,726,-34.510387874603275,128,,
,94045,0.9816031007468701,0.001,,,95000,,-35.74174140930176,,1142.0698521310464,1000.0
132,96045,0.9853715371787548,0.001,884.75,605.3513887499998,97100,762,-37.11222563171387,127,,
,99045,1.0041832814216614,0.001,,,100000,,-39.08865999603272,,1211.5087243210523,1000.0
136,100045,1.0020456286966801,0.001,921.8,656.08542077,101100,797,-39.88426055908203,126,,
,104045,1.013514445155859,0.001,,,105000,,-42.55386583709717,,1346.1378869406878,1000.0
140,,,,931.7,713.65471749,105100,834,,125,,
144,108045,1.039718235105276,0.001,953.85,767.51610901,109100,859,-45.61404877471924,126,,
,109045,1.0389096863865852,0.001,,,110000,,-46.32854705810547,,1111.5692889884115,977.5
148,112045,1.0691753287911414,0.001,953.85,793.9310939700001,113100,894,-48.64933966064453,126,,
,114045,1.0986110272407532,0.001,,,115000,,-50.104823440551755,,1388.3912906214596,1000.0
152,116045,1.1421261382699013,0.001,953.85,824.9647677899999,117100,926,-51.59028096008301,126,,
,119045,1.1866885142326355,0.001,,,120000,,-53.620169158935546,,1436.3254024848343,1000.0
156,120045,1.2113526410460471,0.001,953.85,864.7039776400001,121100,963,-54.216606681823734,125,,
,124045,1.2746218608617783,0.001,,,125000,,-56.80803165435791,,1494.3056819595397,1000.0
160,,,,963.49,906.90682984,125100,999,,125,,
