rollout/ep_rew_mean,time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/learning_rate,train/approx_kl,train/policy_gradient_loss,train/std,train/clip_range,train/loss,train/value_loss,train/n_updates,train/clip_fraction,train/explained_variance,train/entropy_loss,eval/mean_reward,eval/mean_ep_length
105.35116557446807,1,622,21.69148936170213,3,2048,,,,,,,,,,,,,
109.48954156000002,2,528,22.41,7,4096,0.0003,0.0201677,-0.06137082898640074,0.9973071813583374,0.2,489.8900451660156,1465.2283889770508,10,0.22587890625,0.0015171170234680176,-24.08789007663727,,
,,,,,5000,0.0003,0.02343345,-0.07264451248338447,0.9960839748382568,0.2,454.7609558105469,1180.504883003235,20,0.26201171875,0.017391085624694824,-24.071746349334717,290.95354228019715,56.0
109.96016323000002,3,438,22.59,14,6144,,,,,,,,,,,,,
114.05374153000001,4,440,23.43,18,8192,0.0003,0.02926949,-0.08338427256094291,0.9927064180374146,0.2,400.0097961425781,1002.4040067672729,30,0.330810546875,0.013667941093444824,-24.01595559120178,,
,,,,,10000,0.0003,0.032376543,-0.08793744816503021,0.989395260810852,0.2,356.08453369140625,937.3843481063843,40,0.3578125,0.011210024356842041,-23.964155691862107,279.64235100746157,56.65
114.60634518,5,417,23.39,24,10240,,,,,,,,,,,,,
120.84743296999999,6,420,24.64,29,12288,0.0003,0.03235046,-0.08920197999977972,0.9884984493255615,0.2,411.50592041015625,956.2306228637696,50,0.380078125,0.009968161582946777,-23.930119252204896,,
126.26465323000001,7,426,25.69,33,14336,0.0003,0.032429665,-0.08302966728806496,0.9871379733085632,0.2,399.9331359863281,1051.1369533538818,60,0.330517578125,0.009762406349182129,-23.914476841688156,,
,,,,,15000,0.0003,0.037531152,-0.0882578264165204,0.9838302731513977,0.2,553.8155517578125,1009.7486755371094,70,0.38779296875,0.01560664176940918,-23.865999001264573,348.0913136124611,69.25
127.59275130999998,8,404,26.18,40,16384,,,,,,,,,,,,,
133.63344386,9,407,27.42,45,18432,0.0003,0.02755557,-0.08187727221229579,0.9804052710533142,0.2,440.5018310546875,994.5314123153687,80,0.29541015625,0.0337638258934021,-23.80521529316902,,
,,,,,20000,0.0003,0.025050376,-0.07379296069266275,0.9783790707588196,0.2,497.96514892578125,1039.2951538085938,90,0.251318359375,0.07080435752868652,-23.764768809080124,439.5373010993004,88.1
127.81593451,10,392,26.23,52,20480,,,,,,,,,,,,,
136.59360184,11,395,27.8,56,22528,0.0003,0.02173097,-0.0726482642145129,0.9766246676445007,0.2,393.0474548339844,917.0286556243897,100,0.224560546875,0.0979621410369873,-23.733202868700026,,
141.99381907999998,12,398,29.01,61,24576,0.0003,0.01951174,-0.06542974432813935,0.9750296473503113,0.2,388.09942626953125,1012.277251625061,110,0.183349609375,0.1962357759475708,-23.704808765649794,,
,,,,,25000,0.0003,0.020417387,-0.06740759152744431,0.9752439856529236,0.2,431.4197692871094,1005.8489269256592,120,0.1884765625,0.2557668685913086,-23.697636425495148,397.22400752305987,81.6
145.26915845000002,13,387,29.75,68,26624,,,,,,,,,,,,,
143.18692438999997,14,388,29.1,73,28672,0.0003,0.021788102,-0.06682350691553438,0.9748939275741577,0.2,522.232177734375,996.1680269241333,130,0.195166015625,0.2976335883140564,-23.693195015192032,,
,,,,,30000,0.0003,0.01853099,-0.06410714226949495,0.9746277928352356,0.2,446.0413513183594,895.6862100601196,140,0.178564453125,0.35610705614089966,-23.686365836858748,416.92273565530775,86.9
140.34711661,15,379,28.28,81,30720,,,,,,,,,,,,,
153.27574531,16,381,31.41,85,32768,0.0003,0.017348226,-0.059039121380192225,0.9738200902938843,0.2,377.9338684082031,960.9878536224365,150,0.1544921875,0.3540489077568054,-23.676963698863982,,
163.47318546,17,383,32.95,90,34816,0.0003,0.01733793,-0.059609714092221114,0.973934531211853,0.2,463.5266418457031,1012.0334753036499,160,0.15361328125,0.3700590133666992,-23.670714300870895,,
,,,,,35000,0.0003,0.018885726,-0.06234749196737539,0.9721383452415466,0.2,416.5686340332031,1207.3498788833617,170,0.171875,0.3976083993911743,-23.65532719492912,498.82246124744415,98.55
163.06002384,18,374,33.03,98,36864,,,,,,,,,,,,,
167.65213238,19,377,34.28,103,38912,0.0003,0.01925619,-0.061193055065814406,0.9704505801200867,0.2,517.750732421875,1045.0935470581055,180,0.1724609375,0.3872242569923401,-23.62674127817154,,
,,,,,40000,0.0003,0.01936064,-0.06386664595629554,0.9688396453857422,0.2,449.0277404785156,1123.524767303467,190,0.1884765625,0.3701602816581726,-23.596118819713592,376.0716264009476,70.4
189.63983466999997,20,371,38.44,110,40960,,,,,,,,,,,,,
