train/learning_rate,train/n_updates,train/critic_loss,time/episodes,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/actor_loss,rollout/ep_rew_mean,time/fps,eval/mean_reward,eval/mean_ep_length
0.001,2000,0.0799858819860965,4,767.5,15,3070,-2.2334335921406745,-896.2887089999999,202,,
0.001,4000,0.14290707186609505,,,,5000,7.631837373733521,,,-2987.896819448471,1000.0
0.001,6000,0.1213009377643466,8,883.75,55,7070,4.84121417760849,-1156.27034375,128,,
0.001,8943,0.05391777017712593,,,,10000,-1.1201639068424702,,,711.9494094789028,1000.0
0.001,9943,0.053002353623509406,12,917.75,96,11013,-2.751186931848526,-569.0590481666667,114,,
0.001,13943,0.05875836418941617,,,,15000,-9.069282779693603,,,913.872916573286,1000.0
,,,16,938.3125,137,15013,,-265.78886481250004,109,,
0.001,17943,0.06797476879507303,20,950.65,163,19013,-14.934471958160401,-78.89135260000003,116,,
0.001,18943,0.06715431698784233,,,,20000,-16.369334629058837,,,934.1383532941342,1000.0
0.001,20376,0.10377751582000456,24,882.5416666666666,193,21181,-18.84945420815911,-3.5460100833333477,109,,
0.001,23201,0.12612899581715464,28,854.3928571428571,211,23923,-22.10573208618164,62.67749007142856,112,,
0.001,24853,0.15416143015027045,,,,25000,-24.164346752166747,,,932.4876949429512,1000.0
0.001,26853,0.14466094108298422,32,872.59375,250,27923,-26.574981304168702,140.48501978124997,111,,
0.001,29062,0.19570003002509476,,,,30000,-29.11600238418579,,,939.188919365406,1000.0
0.001,30062,0.1541403415761888,36,864.7777777777778,286,31132,-30.230114387512206,186.79465638888885,108,,
0.001,34062,0.21951082137599587,,,,35000,-34.3154659576416,,,921.3732405483722,1000.0
,,,40,878.3,326,35132,,236.78797479999997,107,,
0.001,38062,0.15305366606265305,44,870.0454545454545,351,38282,-38.11255687713623,264.2927139090909,108,,
0.001,39212,0.17984995364397766,,,,40000,-39.139841529846194,,,899.6267621219158,1000.0
0.001,41212,0.1650308018513024,48,880.875,387,42282,-40.89177796173096,300.3701131875,109,,
0.001,44506,0.30896817298517343,,,,45000,-43.845127313315466,,,874.0771639049053,1000.0
,,,52,876.4615384615385,422,45576,,321.13515498076924,107,,
0.001,48506,0.19897276876494288,56,885.2857142857143,449,49576,-46.55586637878418,347.8095967321429,110,,
0.001,49506,0.1889342727959156,,,,50000,-47.247037284851075,,,959.8699811458588,1000.0
0.001,52488,0.4152039744965732,60,892.6333333333333,495,53558,-49.29538209533691,370.9699656833334,108,,
0.001,54488,0.7363587861433625,,,,55000,-50.5823327255249,,,863.4457671821117,1000.0
0.001,56488,0.25149163258075713,64,899.34375,537,57558,-51.67592784118652,389.61014665625,106,,
0.001,59488,0.3120573620647192,,,,60000,-53.33562999725342,,,906.1568326354027,1000.0
0.001,60488,0.2985478637330234,68,905.2647058823529,580,61558,-53.90405364227295,407.9980480441177,106,,
0.001,64488,0.23585755115002394,,,,65000,-55.94132780456543,,,953.0896912693977,1000.0
,,,72,910.5277777777778,623,65558,,423.90001658333335,105,,
0.001,68488,0.22323034029826522,76,915.2368421052631,649,69558,-57.89420561218262,438.49164967105276,107,,
0.001,69488,0.15085338547080757,,,,70000,-58.360226005554196,,,937.0533322513104,1000.0
0.001,71935,0.29259058958664536,80,912.5625,687,73005,-59.468345268249514,447.0782523375001,106,,
0.001,74557,0.4150793285258114,,,,75000,-60.55661349487305,,,893.8221201837063,1000.0
0.001,75557,0.2714620724581182,84,912.2261904761905,726,76627,-60.91629062652588,455.24059894047633,105,,
0.001,79557,0.34697872507199645,,,,80000,-62.3685445098877,,,930.0274168610573,1000.0
,,,88,916.2159090909091,768,80627,,466.26790081818183,104,,
0.001,83557,0.28361099153384567,92,919.8586956521739,797,84627,-63.73310343170166,475.7545222500001,106,,
0.001,84557,0.3402568654343486,,,,85000,-64.0177709274292,,,932.0720005273819,1000.0
0.001,87557,0.24848335246369244,96,923.1979166666666,840,88627,-64.91155062866211,484.27646704166676,105,,
