time/episodes,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/fps,train/critic_loss,train/n_updates,train/actor_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward
176,60.854039600000014,2435,13.61,20,116,2.141621681360098,2331,-21.716980934143066,0.001,,
180,60.851062420000005,2489,13.61,21,116,1.4177882501057215,2386,-21.829343795776367,0.001,,
184,60.902588580000014,2543,13.61,21,116,1.520137173788888,2440,-21.844667162214005,0.001,,
188,60.89063247,2598,13.62,22,116,1.2710678023951394,2494,-22.325130190168107,0.001,,
192,60.78279904,2652,13.62,22,116,1.6355560330244212,2548,-22.709777559552872,0.001,,
196,60.83842749999999,2706,13.62,23,116,1.6088926883844228,2602,-22.202993392944336,0.001,,
200,60.79286164,2761,13.61,23,116,1.6973708868026733,2658,-22.46880313328334,0.001,,
204,60.744741350000005,2815,13.6,24,116,1.301020792552403,2712,-22.757978984287806,0.001,,
208,60.84097544,2870,13.61,24,116,1.6621493271418981,2766,-23.474639892578125,0.001,,
212,60.79187211000001,2923,13.6,25,115,1.50398181951963,2820,-23.794756480625697,0.001,,
216,60.781054829999995,2978,13.61,25,115,3.1385108019624437,2874,-23.014532906668528,0.001,,
220,60.78515466000001,3032,13.6,26,115,1.8660581753804133,2929,-24.1150000890096,0.001,,
224,60.79434035,3087,13.59,26,115,1.3708571195602417,2983,-24.76028601328532,0.001,,
228,60.97918967999999,3143,13.63,27,115,1.534862288406917,3039,-24.387005397251674,0.001,,
232,60.869515119999996,3199,13.63,27,115,1.1911044035639082,3095,-24.382607051304408,0.001,,
236,60.81412049000001,3254,13.63,28,115,1.4466913172176905,3151,-25.235271453857422,0.001,,
240,60.919493790000004,3308,13.64,28,115,1.263522561107363,3204,-24.93891143798828,0.001,,
244,60.87082601,3362,13.63,29,115,1.1616761225920458,3258,-26.073976244245255,0.001,,
248,60.88608100999999,3415,13.62,29,115,1.4512233183934138,3311,-25.18323008219401,0.001,,
252,60.69825527,3467,13.58,30,115,1.1955123406190138,3364,-24.958271844046457,0.001,,
256,60.74827963,3521,13.58,30,115,1.433513811656407,3418,-25.619406836373464,0.001,,
260,60.595526129999996,3574,13.56,30,115,1.3874777188667884,3470,-25.1461056300572,0.001,,
264,60.63590918,3630,13.57,31,115,1.2960378868239266,3526,-26.057052067347936,0.001,,
268,60.63707230999999,3684,13.57,31,115,1.3255072363785334,3581,-25.722320284162247,0.001,,
272,60.82420055000001,3740,13.6,32,115,1.712573685816356,3636,-26.33306094578334,0.001,,
276,60.77832905,3794,13.59,32,115,2.7925356200763156,3690,-26.168308803013392,0.001,,
280,60.774593030000005,3849,13.6,33,115,2.4689040871766896,3745,-25.88940684000651,0.001,,
284,60.811136489999996,3904,13.61,33,115,1.7709001990465016,3800,-26.943589074271067,0.001,,
288,60.91476886,3959,13.61,34,115,2.9346955588885715,3855,-26.99543653215681,0.001,,
292,60.97732902,4012,13.6,34,115,1.7448280086884131,3909,-27.008310317993164,0.001,,
296,61.025821750000006,4067,13.61,35,115,1.5359614150864738,3963,-27.644923073904856,0.001,,
300,61.071273819999995,4123,13.62,35,115,1.2170597229685103,4019,-27.61108262198312,0.001,,
304,61.16141546,4179,13.64,36,114,1.2548109250409263,4075,-27.875260489327566,0.001,,
308,61.108743910000015,4234,13.64,36,114,1.3746372716767448,4130,-26.758094242640905,0.001,,
312,61.25166531,4289,13.66,37,114,1.520918335233416,4186,-27.617068971906388,0.001,,
316,61.30793666999999,4344,13.66,37,114,1.240294071344229,4240,-28.950426646641322,0.001,,
320,61.35899999000001,4399,13.67,38,114,1.388216393334525,4295,-28.823917116437638,0.001,,
324,61.4077458,4455,13.68,38,114,1.2605443894863129,4351,-26.99769483293806,0.001,,
328,61.26877683000001,4508,13.65,39,114,2.5753948177610124,4405,-28.68201392037528,0.001,,
332,61.325257089999994,4564,13.65,39,114,1.5288465023040771,4460,-27.872883115495956,0.001,,
336,61.270514860000006,4619,13.65,40,114,1.4573645847184318,4516,-27.629272733415878,0.001,,
340,61.35276553,4675,13.67,40,114,1.293967149087361,4571,-28.942528315952845,0.001,,
344,61.402157079999995,4730,13.68,41,114,1.3541640249582438,4626,-28.25453213282994,0.001,,
348,61.486997720000005,4785,13.7,41,114,1.211969453554887,4681,-28.727476119995117,0.001,,
352,61.58226740999999,4839,13.72,42,114,1.3620557188987732,4736,-29.034048352922714,0.001,,
356,61.58177173999999,4893,13.72,42,114,1.5383214400364802,4789,-28.36674626668294,0.001,,
360,61.5824117,4946,13.72,43,114,2.285804968613845,4843,-29.5937983194987,0.001,,
,,5000,,,,1.9645780750683375,4896,-29.233065468924387,0.001,13.5,61.03129260540008
364,61.486860449999995,5000,13.7,44,112,,,,,,
368,61.44348050000001,5053,13.69,44,112,1.6002819492266729,4950,-27.152340207781112,0.001,,
372,61.443964640000004,5109,13.69,45,112,1.208893290587834,5005,-29.168756212506974,0.001,,
376,61.59186739,5165,13.71,45,112,2.416686977658953,5061,-28.94419370378767,0.001,,
380,61.543739079999995,5219,13.7,46,112,1.6710845186160161,5116,-27.984372002737864,0.001,,
384,61.54631468999999,5274,13.7,46,112,1.4234811801176805,5170,-28.309282847813197,0.001,,
388,61.459205430000004,5327,13.68,47,112,1.977245908517104,5224,-29.414271763392858,0.001,,
392,61.50897138000001,5381,13.69,47,112,1.6512253539902824,5278,-28.69419997079032,0.001,,
396,61.55188570999999,5437,13.7,48,112,1.1124476449830192,5333,-30.0520875113351,0.001,,
400,61.45209283,5492,13.69,48,112,1.2753501704760961,5388,-28.58900942121233,0.001,,
404,61.259027149999994,5546,13.67,49,112,0.9875837181295667,5442,-29.4138366154262,0.001,,
408,61.16882167,5599,13.65,49,112,1.1706293133588939,5496,-29.268306459699357,0.001,,
412,61.07320885,5653,13.64,50,112,1.513627024797293,5549,-29.52712853749593,0.001,,
416,61.02813147,5707,13.63,50,112,1.095986076763698,5604,-29.375213623046875,0.001,,
420,61.02725068000001,5762,13.63,51,112,1.3549317462103707,5658,-29.71244866507394,0.001,,
424,60.88379551,5816,13.61,51,112,1.4375009628442617,5712,-29.63605581011091,0.001,,
428,60.97547937,5871,13.63,52,112,1.6988716082913535,5767,-30.10678400312151,0.001,,
432,60.93610571,5925,13.61,52,112,1.7263360894643343,5821,-30.2328888575236,0.001,,
436,61.042687529999995,5980,13.61,53,112,1.9624853389603751,5876,-29.3811708177839,0.001,,
