rollout/ep_rew_mean,time/fps,train/ent_coef_loss,train/critic_loss,train/n_updates,time/total_timesteps,train/ent_coef,time/time_elapsed,time/episodes,train/actor_loss,rollout/ep_len_mean,train/learning_rate,eval/mean_reward,eval/mean_ep_length
-211.83716650000002,90,-7.9252543449401855,1.3105117082595825,2041,2142,0.544106125831604,23,4,-32.771148681640625,535.5,0.0003,,
-177.078816125,91,-12.26202392578125,1.6444659233093262,3263,3364,0.37908264994621277,36,8,-38.75202178955078,420.5,0.0003,,
-130.64478000000003,91,-13.705832481384277,2.4457061290740967,3752,3853,0.3289564251899719,42,12,-39.925750732421875,321.0833333333333,0.0003,,
-105.23550975,91,-13.782495498657227,3.3093390464782715,3931,4032,0.3125111758708954,44,16,-40.855567932128906,252.0,0.0003,,
-94.3306735,91,-14.353118896484375,4.577615261077881,4234,4335,0.2866577208042145,47,20,-41.456031799316406,216.75,0.0003,,
-82.46837275,91,-14.607945442199707,9.590717315673828,4367,4468,0.27606627345085144,48,24,-40.772178649902344,186.16666666666666,0.0003,,
,,-16.073062896728516,3.9717788696289062,4899,5000,0.2380223274230957,,,-41.554969787597656,,0.0003,-146.7270859602373,908.6
-119.03829032142856,76,-17.2311954498291,4.260350227355957,6499,6600,0.15292121469974518,86,28,-39.268280029296875,235.71428571428572,0.0003,,
-109.93335071875,76,-18.45199203491211,4.178675174713135,6829,6930,0.13956384360790253,90,32,-38.56595230102539,216.5625,0.0003,,
-116.48435808333335,78,-19.286333084106445,3.591374397277832,7958,8059,0.10207958519458771,103,36,-34.73983383178711,223.86111111111111,0.0003,,
-126.17021129999998,79,-21.362228393554688,4.023449420928955,9460,9561,0.06772077828645706,120,40,-30.574539184570312,239.025,0.0003,,
,,-19.645483016967773,3.344226360321045,9899,10000,0.060188550502061844,,,-28.877193450927734,,0.0003,-79.98385542756878,576.8
-129.6414827954545,74,-19.38425064086914,3.6899688243865967,10696,10797,0.048651766031980515,144,44,-26.25106430053711,245.38636363636363,0.0003,,
-128.62093925,75,-18.218767166137695,3.318802833557129,11937,12038,0.03531215339899063,158,48,-22.578861236572266,250.79166666666666,0.0003,,
-122.22170890384616,77,-11.457029342651367,1.9699147939682007,13950,14051,0.02159338817000389,181,52,-18.264060974121094,270.21153846153845,0.0003,,
,,-10.628984451293945,2.361840009689331,14899,15000,0.017620470374822617,,,-17.233287811279297,,0.0003,284.63741258033554,721.3
-101.10825526785713,74,-1.547731637954712,1.3780033588409424,16995,17096,0.013051217421889305,228,56,-14.962459564208984,305.2857142857143,0.0003,,
,,0.6500976085662842,1.9257433414459229,19899,20000,0.014199215918779373,,,-15.591873168945312,,0.0003,613.8132119173766,1000.0
-66.64887485,72,1.600376844406128,1.9298381805419922,20995,21096,0.015480918809771538,291,60,-15.914862632751465,351.6,0.0003,,
,,-0.6533150672912598,0.9512767791748047,24899,25000,0.02023911476135254,,,-20.180248260498047,,0.0003,682.837967609102,906.2
-18.573692906249995,71,0.23593837022781372,0.990992546081543,24995,25096,0.02017001062631607,353,64,-19.897123336791992,392.125,0.0003,,
2.887043955882358,72,0.36420339345932007,1.116257905960083,28044,28145,0.020431894809007645,388,68,-22.73410987854004,413.8970588235294,0.0003,,
,,-0.017917007207870483,0.8290975093841553,29899,30000,0.021323736757040024,,,-25.043771743774414,,0.0003,685.4460202246206,903.1
23.195871277777783,70,-0.3467355966567993,1.0738170146942139,30141,30242,0.021439755335450172,427,72,-25.084651947021484,420.02777777777777,0.0003,,
25.834028447368425,71,-0.6356855630874634,1.5486338138580322,31973,32074,0.02134777046740055,448,76,-26.444807052612305,422.0263157894737,0.0003,,
,,-0.20038080215454102,1.050839900970459,34899,35000,0.023176947608590126,,,-28.34874153137207,,0.0003,820.7161932301591,1000.0
63.539773350000004,71,-0.7946217060089111,1.4104738235473633,35973,36074,0.02400009147822857,506,80,-28.930395126342773,450.925,0.0003,,
,,-0.4842887818813324,0.7839565873146057,39899,40000,0.02602590061724186,,,-34.09748840332031,,0.0003,819.8671111405362,1000.0
97.44393980952381,70,-1.7078452110290527,0.8344379663467407,39973,40074,0.025978635996580124,565,84,-34.28654479980469,477.07142857142856,0.0003,,
110.56985238636362,71,1.3371336460113525,0.8504675626754761,42023,42124,0.026986226439476013,587,88,-36.332359313964844,478.6818181818182,0.0003,,
,,-0.2186630815267563,1.4403170347213745,44899,45000,0.026256421580910683,,,-36.69343566894531,,0.0003,616.1282433821877,904.9
130.1911174565217,71,0.8996701240539551,0.9948129653930664,46023,46124,0.0263057854026556,644,92,-38.52494812011719,501.3478260869565,0.0003,,
149.22567147916666,72,0.2020471692085266,0.7840248346328735,49042,49143,0.026986537501215935,678,96,-40.83412551879883,511.90625,0.0003,,
,,-1.2410480976104736,1.2105929851531982,49899,50000,0.026887133717536926,,,-41.59711456298828,,0.0003,356.8986322933168,718.4
159.10715873,72,1.3564025163650513,0.9450357556343079,51143,51244,0.02676142007112503,711,100,-40.719947814941406,512.44,0.0003,,
163.21060020999997,72,0.7336851358413696,1.4462647438049316,52274,52375,0.026370281353592873,723,104,-41.34234619140625,502.33,0.0003,,
,,0.2124272584915161,1.2261607646942139,54899,55000,0.027325458824634552,,,-42.43044662475586,,0.0003,698.8704933034372,912.5
195.85980834000003,72,-0.6522765159606934,1.2471752166748047,56274,56375,0.027424892410635948,780,108,-42.010459899902344,530.11,0.0003,,
,,-0.3278186321258545,0.7253260612487793,59899,60000,0.027309294790029526,,,-44.485206604003906,,0.0003,827.6484376749489,1000.0
230.59731954,71,-0.7245713472366333,0.9940090775489807,60274,60375,0.026723194867372513,839,112,-43.97305679321289,565.22,0.0003,,
262.97573183000003,72,-0.11879278719425201,0.7745308876037598,64274,64375,0.02647072821855545,883,116,-47.56277084350586,603.43,0.0003,,
,,1.5494621992111206,0.7154184579849243,64899,65000,0.026830779388546944,,,-47.47732162475586,,0.0003,860.2886154374107,1000.0
295.10160127999995,72,-0.29666563868522644,0.5358297824859619,68274,68375,0.026536623015999794,942,120,-49.0466194152832,640.4,0.0003,,
,,0.21684402227401733,0.8125385046005249,69899,70000,0.026343241333961487,,,-48.882568359375,,0.0003,782.1803467830644,904.9
328.30252763000004,72,-0.7440306544303894,1.0402451753616333,72274,72375,0.025546927005052567,997,124,-50.779415130615234,679.07,0.0003,,
,,0.7059021592140198,0.8512973785400391,74899,75000,0.025647135451436043,,,-52.18473815917969,,0.0003,320.74619518534746,510.6
365.59609469,72,1.0575807094573975,0.7025387287139893,75373,75474,0.024980520829558372,1039,128,-53.08308410644531,688.74,0.0003,,
386.75301392000006,73,0.6921569108963013,0.6998906135559082,78445,78546,0.025425387546420097,1074,132,-54.17597198486328,716.16,0.0003,,
,,0.4948969781398773,0.8210777640342712,79899,80000,0.02484382502734661,,,-53.94333267211914,,0.0003,424.3056813627598,527.6
426.06658093000004,73,-0.46724510192871094,0.8194560408592224,82445,82546,0.02562687359750271,1125,136,-54.73615264892578,744.87,0.0003,,
