time/total_timesteps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/fps,train/clip_range,train/entropy_loss,train/std,train/approx_kl,train/n_updates,train/explained_variance,train/clip_fraction,train/value_loss,train/loss,train/policy_gradient_loss,train/learning_rate,eval/mean_reward,eval/mean_ep_length
2048,1,102.36010687234044,21.75531914893617,2,687,,,,,,,,,,,,,
4096,2,102.86191011000001,21.82,7,572,0.2,-24.118799477815628,0.999563455581665,0.018519457,10,0.00464397668838501,0.202783203125,1320.6372480392456,439.3295593261719,-0.05567914785642643,0.0003,,
5000,,,,,,0.2,-24.067625564336776,0.995127260684967,0.024004111,20,0.021692335605621338,0.245458984375,986.2784070968628,393.07769775390625,-0.06948865918093361,0.0003,304.1037822961807,59.8
6144,3,105.99845644000003,22.51,13,468,,,,,,,,,,,,,
8192,4,109.83448146000002,23.44,17,469,0.2,-23.99363638162613,0.9907479882240295,0.028294,30,0.022482872009277344,0.317431640625,849.218411064148,358.9832763671875,-0.08328231163322926,0.0003,,
10000,,,,,,0.2,-23.947051471471788,0.9890150427818298,0.029675312,40,0.012665629386901855,0.331396484375,897.4340805053711,392.84765625,-0.08506366843066644,0.0003,334.1998408608139,65.35
10240,5,111.61056864,23.87,23,436,,,,,,,,,,,,,
12288,6,112.02884081,23.74,27,439,0.2,-23.92245346903801,0.9880461096763611,0.036573462,50,0.020830810070037842,0.38388671875,781.5469806671142,318.42120361328125,-0.08856363554659766,0.0003,,
14336,7,124.41738419,26.6,32,445,0.2,-23.927585792541503,0.9884253144264221,0.039228953,60,0.013781428337097168,0.404736328125,843.7579229354858,407.1094665527344,-0.09116160684498027,0.0003,,
15000,,,,,,0.2,-23.86773806810379,0.982940673828125,0.029673817,70,0.04624640941619873,0.31162109375,953.6784381866455,479.99005126953125,-0.07982796663418412,0.0003,380.72623111605645,74.0
16384,8,121.36426722000002,26.03,38,426,,,,,,,,,,,,,
18432,9,115.96807992999999,24.8,42,428,0.2,-23.810199040174485,0.9810304045677185,0.028283844,80,0.03289514780044556,0.318310546875,902.9488550186157,409.2862548828125,-0.08200329387036617,0.0003,,
20000,,,,,,0.2,-23.79586655497551,0.980905294418335,0.022939313,90,0.05730998516082764,0.237158203125,767.3706674575806,413.8407897949219,-0.07216920886421577,0.0003,295.9622414112091,56.45
20480,10,120.10971002999999,25.75,48,421,,,,,,,,,,,,,
22528,11,125.09368437,26.56,53,424,0.2,-23.792170280218123,0.9809231758117676,0.01857379,100,0.15564656257629395,0.189794921875,775.5456966400146,292.40509033203125,-0.06576066536072175,0.0003,,
