time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/fps,rollout/ep_rew_mean,time/episodes,train/n_updates,train/learning_rate,train/actor_loss,train/critic_loss,eval/mean_reward,eval/mean_ep_length
0,29.5,118,1561,-34.21171475,4,,,,,,
10,280.25,2242,205,-412.28513487500004,8,2134,0.001,2.537201916694641,0.11190709844976664,,
11,203.5,2442,207,-294.41396575000005,12,2297,0.001,2.6665924072265623,0.12920496399913514,,
12,170.0,2720,210,-239.628434625,16,2506,0.001,2.6881397996629985,0.10722983455744342,,
18,191.25,3825,202,-254.45259135,20,3735,0.001,2.222415234088898,0.10557905518636107,,
20,169.95833333333334,4079,203,-224.05002258333334,24,3942,0.001,1.8503184639490569,0.08944653332525608,,
21,153.57142857142858,4300,202,-201.45380207142858,28,4160,0.001,1.762108564376831,0.06653957217931747,,
,,5000,,,,4344,0.001,1.6270112716234648,0.07466912925243378,863.3596549808979,1000.0
36,170.90625,5469,148,-216.50012915625,32,5344,0.001,1.1069992208480834,0.08504385152831674,,
37,156.08333333333334,5619,149,-197.20333444444444,36,5489,0.001,0.6470154938490494,0.055359100194081017,,
40,154.65,6186,151,-193.302664525,40,6099,0.001,0.3424889113882492,0.061263310953847364,,
41,143.75,6325,152,-179.32321525,44,6227,0.001,0.25170205626636744,0.06687618710566312,,
43,157.97916666666666,7583,173,-192.30977975,48,6511,0.001,0.10441349353641272,0.05898170836735517,,
49,151.1153846153846,7858,159,-183.43192674999997,52,7772,0.001,-0.5986511653661728,0.053991776524168075,,
50,144.32142857142858,8082,161,-175.05064755357145,56,7975,0.001,-0.6992020606994629,0.053625345086822145,,
56,153.63333333333333,9218,164,-183.46486003333337,60,9106,0.001,-1.103148867726326,0.06379378246888519,,
57,148.8125,9524,166,-177.29285532812503,64,9313,0.001,-1.5822224525304942,0.07110336850638743,,
,,10000,,,,9463,0.001,-1.6757985830307007,0.0795690654353662,906.9189765274525,1000.0
73,170.6764705882353,11606,157,-200.2140156029412,68,10534,0.001,-2.778499808576372,0.11160670661590469,,
83,176.90277777777777,12737,151,-206.62934344444446,72,12642,0.001,-5.696051299571991,0.21235496271401644,,
85,171.17105263157896,13009,152,-199.88864790789475,76,12898,0.001,-5.857834661329115,0.2495727019042385,,
85,164.8,13184,153,-192.30898820000002,80,13036,0.001,-6.116140731175741,0.29328233609765264,,
91,170.33333333333334,14308,156,-198.30700494047622,84,14180,0.001,-7.159550335884094,0.3203712260723114,,
92,163.88636363636363,14422,156,-190.77906982954548,88,14332,0.001,-8.131734013557434,0.3495796711548515,,
,,15000,,,,14475,0.001,-8.252172708511353,0.3842746843526393,459.6870988259092,1000.0
107,169.68478260869566,15611,145,-197.61143140217396,92,15475,0.001,-9.228942909240722,0.4000590772330761,,
113,174.35416666666666,16738,147,-202.76534725,96,16645,0.001,-12.020211092631023,0.4836270904148018,,
116,181.03,18103,155,-210.43903464000002,100,17031,0.001,-12.546735110106292,0.5355907827615738,,
