eval/mean_ep_length,time/total_timesteps,eval/mean_reward,time/iterations,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/policy_gradient_loss,train/explained_variance,train/clip_fraction,train/entropy_loss,train/std,train/n_updates,train/loss,train/clip_range,train/learning_rate,train/approx_kl,train/value_loss
50.0,1000,-12.8337246671319,,,,,,,,,,,,,,,,
50.0,2000,-12.8337246671319,,,,,,,,,,,,,,,,
,2048,,1,398,5,50.0,-60.495034524999994,,,,,,,,,,,
50.0,3000,-12.77134638633579,,,,,,-0.0054229563771514225,-0.00236356258392334,0.037109375,-2.8113995350897314,0.9789677262306213,10,60.97022247314453,0.2,0.0003,0.0053811977,191.10470991134645
50.0,4000,-12.77134638633579,,,,,,,,,,,,,,,,
,4096,,2,333,12,50.0,-60.28999901234568,,,,,,,,,,,
50.0,5000,-12.9179773516953,,,,,,-0.00614469764259411,0.3734027147293091,0.02646484375,-2.7747022956609726,0.9583173990249634,20,21.634641647338867,0.2,0.0003,0.004829372,102.27989937067032
50.0,6000,-12.9179773516953,,,,,,,,,,,,,,,,
,6144,,3,311,19,50.0,-59.42427346999998,,,,,,,,,,,
50.0,7000,-11.744963679090143,,,,,,-0.007732211152324453,0.3107450008392334,0.0427734375,-2.724307592958212,0.9255959987640381,30,12.349255561828613,0.2,0.0003,0.008087107,62.12489432692528
50.0,8000,-11.744963679090143,,,,,,,,,,,,,,,,
,8192,,4,304,26,50.0,-58.728501320000014,,,,,,,,,,,
50.0,9000,-12.889326788112522,,,,,,-0.005662680402747355,0.29836541414260864,0.0189453125,-2.644608888030052,0.884332537651062,40,11.715045928955078,0.2,0.0003,0.007648915,55.67527071833611
50.0,10000,-12.889326788112522,,,,,,,,,,,,,,,,
,10240,,5,301,33,50.0,-57.275485450000005,,,,,,,,,,,
50.0,11000,-16.687773003429175,,,,,,-0.009223746781935915,0.17946851253509521,0.056201171875,-2.547047956287861,0.8454799652099609,50,7.614243507385254,0.2,0.0003,0.010734085,38.59560831487179
50.0,12000,-16.687773003429175,,,,,,,,,,,,,,,,
,12288,,6,300,40,50.0,-55.09829253000001,,,,,,,,,,,
50.0,13000,-16.469562884420156,,,,,,-0.010161933898052667,0.33361947536468506,0.0494140625,-2.45986490175128,0.8111778497695923,60,6.58029842376709,0.2,0.0003,0.0063786968,31.39679183661938
50.0,14000,-16.469562884420156,,,,,,,,,,,,,,,,
,14336,,7,299,47,50.0,-53.64816913000001,,,,,,,,,,,
50.0,15000,-16.95597023740411,,,,,,-0.010409811142017134,0.38281190395355225,0.065234375,-2.3709735624492168,0.7733206152915955,70,6.340046405792236,0.2,0.0003,0.009958211,24.791223883628845
50.0,16000,-16.95597023740411,,,,,,,,,,,,,,,,
,16384,,8,298,54,50.0,-52.70383380000001,,,,,,,,,,,
50.0,17000,-20.073115546256304,,,,,,-0.0171828201826429,0.7267524302005768,0.094140625,-2.3081655971705914,0.7618297338485718,80,12.62562370300293,0.2,0.0003,0.007362442,29.482906031608582
50.0,18000,-20.073115546256304,,,,,,,,,,,,,,,,
,18432,,9,297,61,50.0,-52.649653589999986,,,,,,,,,,,
50.0,19000,-26.63436573445797,,,,,,-0.020222555141663177,0.802318200469017,0.1109375,-2.288577306270599,0.7577953338623047,90,23.46137237548828,0.2,0.0003,0.0087933,39.176251363754275
50.0,20000,-26.63436573445797,,,,,,,,,,,,,,,,
,20480,,10,295,69,50.0,-53.10921491,,,,,,,,,,,
50.0,21000,-33.85742945224047,,,,,,-0.018078490943298674,0.8798691928386688,0.10869140625,-2.2725730933248998,0.7504501342773438,100,16.59377670288086,0.2,0.0003,0.008826032,30.507296508550645
50.0,22000,-33.85742945224047,,,,,,,,,,,,,,,,
,22528,,11,293,76,50.0,-54.84279281999999,,,,,,,,,,,
50.0,23000,-42.794759324193,,,,,,-0.02172252701711841,0.8887595310807228,0.153369140625,-2.2545640617609024,0.7439214587211609,110,8.783154487609863,0.2,0.0003,0.012524269,21.222453102469444
50.0,24000,-42.794759324193,,,,,,,,,,,,,,,,
,24576,,12,292,84,50.0,-56.56209227,,,,,,,,,,,
50.0,25000,-50.98143076300621,,,,,,-0.016934320350992495,0.926104724407196,0.10546875,-2.226047097146511,0.7295436859130859,120,9.585877418518066,0.2,0.0003,0.009590013,19.329475036263467
50.0,26000,-50.98143076300621,,,,,,,,,,,,,,,,
,26624,,13,291,91,50.0,-57.651102980000005,,,,,,,,,,,
50.0,27000,-59.01848702430725,,,,,,-0.014794226828962564,0.9333116188645363,0.117529296875,-2.192136112600565,0.7188596725463867,130,8.075549125671387,0.2,0.0003,0.0077141896,17.473549909889698
50.0,28000,-59.01848702430725,,,,,,,,,,,,,,,,
,28672,,14,291,98,50.0,-59.81749715,,,,,,,,,,,
50.0,29000,-61.5368729531765,,,,,,-0.009453630444477312,0.9422869347035885,0.079541015625,-2.1579357855021954,0.7067477703094482,140,3.271657705307007,0.2,0.0003,0.004254603,8.730476574599743
50.0,30000,-61.5368729531765,,,,,,,,,,,,,,,,
,30720,,15,291,105,50.0,-62.00396646,,,,,,,,,,,
50.0,31000,-61.170750099420545,,,,,,-0.008861885423539207,0.9677982702851295,0.1125,-2.121708106249571,0.6921969652175903,150,3.258319854736328,0.2,0.0003,0.02030126,4.696621321886778
50.0,32000,-61.170750099420545,,,,,,,,,,,,,,,,
,32768,,16,291,112,50.0,-63.896903499999986,,,,,,,,,,,
50.0,33000,-60.293210530281065,,,,,,-0.012567164619395044,0.9818036239594221,0.10791015625,-2.072560553997755,0.6725535988807678,160,1.6888898611068726,0.2,0.0003,0.00851953,3.4492169309407474
50.0,34000,-60.293210530281065,,,,,,,,,,,,,,,,
