time/total_timesteps,time/episodes,train/critic_loss,train/n_updates,train/learning_rate,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/actor_loss,rollout/ep_len_mean,eval/mean_reward,eval/mean_ep_length
2050,4,0.3223485780450014,1050,0.001,340,6,-682.9761297499999,0.47157019153237345,512.5,,
5000,,0.169914955008775,4050,0.001,,,,3.7387012500762937,,-1155.1158207774163,1000.0
6050,8,0.10184536971524358,5050,0.001,176,34,-1380.182290625,5.766354455947876,756.25,,
10000,,0.3011152372956276,9050,0.001,,,,11.41771926498413,,464.24879562014246,652.8
10050,12,,,,169,59,-1112.4638137499999,,837.5,,
14050,16,0.24654764494299888,13050,0.001,178,78,-911.1414923125,14.297006624221801,878.125,,
15000,,0.23142574290186166,14050,0.001,,,,14.897074102401733,,785.3239645704627,1000.0
18050,20,0.190200605943799,17050,0.001,167,107,-768.8499687999999,16.666207292556763,902.5,,
20000,,0.17209701451659204,19050,0.001,,,,17.195383836746217,,845.5895668640733,1000.0
22050,24,0.16268623246997596,21050,0.001,162,135,-665.5687532916667,18.080914115905763,918.75,,
25000,,0.14030257719755174,24050,0.001,,,,18.94086990737915,,908.9706448376179,1000.0
26050,28,0.14170587617903949,25050,0.001,158,164,-585.3532248928572,19.23017501449585,930.3571428571429,,
30000,,0.12203486834093928,29050,0.001,,,,20.204500713348388,,922.7427483732347,1000.0
30050,32,,,,156,192,-521.0463231875001,,939.0625,,
34050,36,0.1140074177198112,33050,0.001,160,211,-471.5093329444445,20.90789119720459,945.8333333333334,,
35000,,0.10872400788962841,34050,0.001,,,,21.07895175933838,,939.7460131824016,1000.0
38050,40,0.09756663810834289,37050,0.001,159,239,-429.66381227499994,21.378500480651855,951.25,,
40000,,0.09110235945135355,39050,0.001,,,,21.56303890609741,,947.1809162259102,1000.0
42050,44,0.09604283684492111,41050,0.001,157,267,-395.8813111590909,21.725169410705565,955.6818181818181,,
45000,,0.08571466057375074,44050,0.001,,,,21.940425987243653,,951.9411818265914,1000.0
46050,48,0.08267633115500211,45050,0.001,155,296,-367.7385686458333,22.029102840423583,959.375,,
50000,,0.07786872492730618,49050,0.001,,,,22.18396794509888,,968.1401274204254,1000.0
50050,52,,,,153,325,-342.4593442884616,,962.5,,
54050,56,0.06793083199486137,53050,0.001,156,345,-321.01982132142854,22.24918490219116,965.1785714285714,,
55000,,0.07512552542611957,54050,0.001,,,,22.2520643119812,,955.8389297485352,1000.0
58050,60,0.06794901947863399,57050,0.001,155,373,-301.5832206333333,22.312047164916994,967.5,,
60000,,0.06266271482594311,59050,0.001,,,,22.29999714279175,,969.952714651823,1000.0
62050,64,0.064564170146361,61050,0.001,154,401,-285.083410484375,22.2135179977417,969.53125,,
65000,,0.068114742487669,64050,0.001,,,,22.238497230529784,,963.3686791777611,1000.0
66050,68,0.059820532940328124,65050,0.001,153,429,-269.8494305735294,22.219163009643555,971.3235294117648,,
70000,,0.053098239375278355,69050,0.001,,,,22.138533382415773,,970.1102858424186,1000.0
70050,72,,,,153,456,-256.9682360277778,,972.9166666666666,,
74050,76,0.05550005646049976,73050,0.001,155,476,-245.1143206184211,22.009639694213867,974.3421052631579,,
75000,,0.0561837359238416,74050,0.001,,,,21.98093720626831,,979.3620726406574,1000.0
78050,80,0.05718705066479743,77050,0.001,154,504,-233.91598955,21.924026992797852,975.625,,
80000,,0.04889721740968525,79050,0.001,,,,21.867371028900145,,983.283986890316,1000.0
82050,84,0.048756037797778845,81050,0.001,153,533,-223.6727202142857,21.815199626922606,976.7857142857143,,
85000,,0.05545154706016183,84050,0.001,,,,21.724051197052002,,986.3952793419361,1000.0
86050,88,0.04732045157253742,85050,0.001,153,562,-214.26821135227271,21.68621680831909,977.8409090909091,,
90000,,0.046864164462313056,89050,0.001,,,,21.60069723892212,,979.4749484539032,1000.0
90050,92,,,,152,591,-205.68624960869562,,978.804347826087,,
94050,96,0.049630748579278586,93050,0.001,153,612,-197.94325758333335,21.482994235992432,979.6875,,
95000,,0.0504638913217932,94050,0.001,,,,21.450392845153807,,974.9364433228969,1000.0
98050,100,0.04645759806782007,97050,0.001,153,639,-190.9042794,21.397413803100587,980.5,,
100000,,0.045571755027398464,99050,0.001,,,,21.33353512573242,,979.8914159536362,1000.0
102050,104,0.04582373895682394,101050,0.001,153,666,-164.27117813999996,21.28524206542969,1000.0,,
105000,,0.044618657723069194,104050,0.001,,,,21.192180572509766,,978.8521250724792,1000.0
106050,108,0.043716492230072616,105050,0.001,152,694,-82.15972550999999,21.170980140686034,1000.0,,
110000,,0.044744591519236564,109050,0.001,,,,21.106712333679198,,983.8731164574623,1000.0
110050,112,,,,152,722,-60.16079463000001,,1000.0,,
114050,116,0.04133586886525154,113050,0.001,153,742,-48.793990089999994,21.008347774505616,1000.0,,
115000,,0.042061098547652366,114050,0.001,,,,21.009326221466065,,973.0710393488407,1000.0
118050,120,0.0394497075304389,117050,0.001,153,770,-41.70672810000001,20.918531936645508,1000.0,,
120000,,0.04008150946162641,119050,0.001,,,,20.88431242752075,,988.8038933694363,1000.0
122050,124,0.03814965261053294,121050,0.001,152,799,-36.33502651,20.84938822174072,1000.0,,
125000,,0.044442410301417115,124050,0.001,,,,20.800353900909425,,977.4754124820232,1000.0
126050,128,0.04312589601054788,125050,0.001,152,826,-32.98591005,20.765910247802733,1000.0,,
130000,,0.0407257287055254,129050,0.001,,,,20.69647402191162,,971.6246187150479,1000.0
130050,132,,,,152,854,-31.02963428,,1000.0,,
134050,136,0.044365983858704564,133050,0.001,153,873,-28.779485270000006,20.698411422729492,1000.0,,
135000,,0.04331066638045013,134050,0.001,,,,20.673110717773437,,966.3715035259723,1000.0
138050,140,0.04245428690873086,137050,0.001,153,902,-27.699341770000004,20.644757816314698,1000.0,,
140000,,0.04328469628840685,139050,0.001,,,,20.624340145111084,,970.3035997986793,1000.0
142050,144,0.03962740401551128,141050,0.001,152,930,-26.386063740000004,20.61930196380615,1000.0,,
145000,,0.04138325131125748,144050,0.001,,,,20.604684272766114,,959.6702597200871,1000.0
146050,148,0.04061102272383869,145050,0.001,152,958,-25.16732984,20.60414766693115,1000.0,,
150000,,0.04054538637399673,149050,0.001,,,,20.601326400756836,,959.4290667831898,1000.0
150050,152,,,,152,986,-24.529731719999994,,1000.0,,
154050,156,0.04504693491756916,153050,0.001,152,1007,-23.64796441,20.626458435058595,1000.0,,
155000,,0.04100896620936692,154050,0.001,,,,20.626084213256835,,977.1849098086357,1000.0
158050,160,0.04436218127608299,157050,0.001,152,1037,-23.50997182,20.65460732650757,1000.0,,
160000,,0.03927690683491528,159050,0.001,,,,20.651261989593507,,974.3342958629131,1000.0
162050,164,0.044627871325239536,161050,0.001,152,1064,-23.083179430000005,20.659794033050538,1000.0,,
165000,,0.04042559100687504,164050,0.001,,,,20.675740951538085,,967.4518873661757,1000.0
166050,168,0.04182789263129234,165050,0.001,152,1092,-23.279019480000002,20.68670966720581,1000.0,,
170000,,0.038755079284310344,169050,0.001,,,,20.66407690048218,,983.4459980905056,1000.0
170050,172,,,,151,1120,-22.61815747,,1000.0,,
174050,176,0.03903891143575311,173050,0.001,152,1140,-22.28339872,20.66032243347168,1000.0,,
175000,,0.03809727182798087,174050,0.001,,,,20.66844152832031,,978.2584131121636,1000.0
178050,180,0.03632588695175946,177050,0.001,152,1167,-22.263223309999997,20.62267267227173,1000.0,,
180000,,0.03668743050098419,179050,0.001,,,,20.614964374542236,,985.1659272611141,1000.0
182050,184,0.03753500258177519,181050,0.001,152,1195,-22.50977474,20.59786515426636,1000.0,,
185000,,0.037491796879097816,184050,0.001,,,,20.597215618133546,,974.9097594976425,1000.0
186050,188,0.038138522979803385,185050,0.001,151,1224,-23.153524360000002,20.60596594619751,1000.0,,
190000,,0.034750615145079794,189050,0.001,,,,20.62480288696289,,988.0793704152107,1000.0
190050,192,,,,151,1253,-23.44064537,,1000.0,,
194050,196,0.038674112875014544,193050,0.001,152,1273,-23.452587139999995,20.605327800750732,1000.0,,
195000,,0.0370029235612601,194050,0.001,,,,20.60719477081299,,984.4157139241695,1000.0
198050,200,0.04077740446291864,197050,0.001,152,1301,-23.441577090000006,20.566391586303713,1000.0,,
200000,,0.03919490334577858,199050,0.001,,,,20.546058540344237,,971.9847926616669,1000.0
202050,204,0.04447164092212916,201050,0.001,151,1329,-23.48929939,20.55285428237915,1000.0,,
205000,,0.05193096384219825,204050,0.001,,,,20.54002085876465,,970.088927090168,1000.0
206050,208,0.06437337269075215,205050,0.001,151,1358,-23.71082029,20.54155569458008,1000.0,,
210000,,0.06456117173470556,209050,0.001,,,,20.69237913131714,,941.88503049016,1000.0
210050,212,,,,151,1385,-24.38073446,,1000.0,,
214050,216,0.05715433460101485,213050,0.001,152,1405,-25.143833159999996,20.86176848220825,1000.0,,
215000,,0.05399217821471393,214050,0.001,,,,20.885100910186768,,960.1045163691044,1000.0
218050,220,0.04653547984734178,217050,0.001,152,1432,-25.866046960000002,20.98056502151489,1000.0,,
220000,,0.047661460798233746,219050,0.001,,,,21.03540954589844,,955.4362939715386,1000.0
222050,224,0.043839914277195934,221050,0.001,151,1461,-27.00060752,21.100600078582765,1000.0,,
225000,,0.04131250406056643,224050,0.001,,,,21.21772986602783,,954.1907625257969,1000.0
226050,228,0.04223235938884318,225050,0.001,151,1490,-28.04482578,21.26334320831299,1000.0,,
230000,,0.04165564536303282,229050,0.001,,,,21.411575366973878,,963.8316459059715,1000.0
230050,232,,,,151,1518,-28.511900769999997,,1000.0,,
234050,236,0.04139518809877336,233050,0.001,152,1538,-28.91087656,21.515325611114502,1000.0,,
235000,,0.04041518637724221,234050,0.001,,,,21.538713233947753,,983.2783790826797,1000.0
238050,240,0.03729384337365627,237050,0.001,152,1565,-28.68158704,21.59184855270386,1000.0,,
240000,,0.03822259072214365,239050,0.001,,,,21.62228020477295,,965.6295101642609,1000.0
242050,244,0.0362907361574471,241050,0.001,151,1592,-29.275304369999994,21.61611714553833,1000.0,,
245000,,0.035810817636549475,244050,0.001,,,,21.60374293899536,,981.8622663080693,1000.0
246050,248,0.03674754361622035,245050,0.001,151,1620,-28.94347145,21.585491714477538,1000.0,,
250000,,0.03520167020149529,249050,0.001,,,,21.514178367614747,,972.5003493249417,1000.0
250050,252,,,,151,1649,-29.01806757,,1000.0,,
254050,256,0.03480268525518477,253050,0.001,152,1668,-29.278782619999998,21.476233043670653,1000.0,,
255000,,0.0375393553674221,254050,0.001,,,,21.47582332611084,,959.4987704336643,1000.0
258050,260,0.0389691312815994,257050,0.001,152,1696,-29.415272679999998,21.499883708953856,1000.0,,
260000,,0.0420597225073725,259050,0.001,,,,21.51046417617798,,963.1287502646446,1000.0
262050,264,0.04365520681254566,261050,0.001,151,1724,-29.27064736,21.49354423904419,1000.0,,
265000,,0.045154285602271554,264050,0.001,,,,21.57028412246704,,946.0233375966549,1000.0
266050,268,0.05570276448689401,265050,0.001,151,1753,-30.016653989999995,21.58589740753174,1000.0,,
270000,,0.043129714591428635,269050,0.001,,,,21.74388047027588,,955.7480084359646,1000.0
270050,272,,,,151,1781,-30.740463390000006,,1000.0,,
274050,276,0.03927495452202857,273050,0.001,152,1800,-32.18419647,21.88065683746338,1000.0,,
275000,,0.04031349963881076,274050,0.001,,,,21.88316605758667,,934.8477734267711,1000.0
278050,280,0.043637279437854885,277050,0.001,152,1827,-32.90854125,21.877386302947997,1000.0,,
280000,,0.04146849987655878,279050,0.001,,,,21.943726276397705,,934.9444134712219,1000.0
282050,284,0.05469169553741813,281050,0.001,151,1855,-33.743614099999995,22.04143240737915,1000.0,,
285000,,0.0984170633777976,284050,0.001,,,,22.442577114105223,,668.8750274628401,1000.0
286050,288,0.10813807032629848,285050,0.001,151,1883,-39.681411610000005,22.572034889221193,1000.0,,
290000,,0.12603759655356409,289050,0.001,,,,23.35405467224121,,869.4865650892258,1000.0
290050,292,,,,151,1911,-46.24254781999999,,1000.0,,
294050,296,0.22629444372653962,293050,0.001,152,1930,-57.33543065999999,24.61297874069214,1000.0,,
295000,,0.24339752988517285,294050,0.001,,,,24.9184803314209,,757.5582249601372,1000.0
298050,300,0.27818577659130095,297050,0.001,152,1958,-64.30652335999999,25.75656709289551,1000.0,,
300000,,0.20550848849117756,299050,0.001,,,,25.745618335723876,,640.9469257314311,1000.0
302050,304,0.23939761485159397,301050,0.001,151,1988,-88.52528544,26.14164624786377,1000.0,,
305000,,0.21365046102553606,304050,0.001,,,,27.093457180023194,,865.1255679666996,1000.0
306050,308,0.2253655649572611,305050,0.001,151,2016,-93.62353288999999,27.31991457748413,1000.0,,
