eval/mean_ep_length,time/total_timesteps,eval/mean_reward,time/iterations,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/policy_gradient_loss,train/explained_variance,train/clip_fraction,train/entropy_loss,train/std,train/n_updates,train/loss,train/clip_range,train/learning_rate,train/approx_kl,train/value_loss
50.0,1000,-12.766810323297978,,,,,,,,,,,,,,,,
50.0,2000,-12.766810323297978,,,,,,,,,,,,,,,,
,2048,,1,345,5,50.0,-61.45205027500001,,,,,,,,,,,
50.0,3000,-12.640874065458775,,,,,,-0.0070560341642703864,-0.003104567527770996,0.042333984375,-2.806457807868719,0.9740066528320312,10,72.2328109741211,0.2,0.0003,0.005219996,200.53668022155762
50.0,4000,-12.640874065458775,,,,,,,,,,,,,,,,
,4096,,2,302,13,50.0,-60.79417502469136,,,,,,,,,,,
50.0,5000,-9.889862336218357,,,,,,-0.004984050538041629,0.26640331745147705,0.01884765625,-2.764623035490513,0.9545606970787048,20,21.08301544189453,0.2,0.0003,0.0033338824,108.81788030862808
50.0,6000,-9.889862336218357,,,,,,,,,,,,,,,,
,6144,,3,298,20,50.0,-60.25345260000002,,,,,,,,,,,
50.0,7000,-10.434898374788464,,,,,,-0.006844365620054305,0.2950640320777893,0.042626953125,-2.7191359110176565,0.9238688945770264,30,12.172168731689453,0.2,0.0003,0.006626535,68.67528246045113
50.0,8000,-10.434898374788464,,,,,,,,,,,,,,,,
,8192,,4,293,27,50.0,-58.739716599999994,,,,,,,,,,,
50.0,9000,-10.07480889055878,,,,,,-0.011369627839303575,0.12367206811904907,0.062890625,-2.6321438156068324,0.8765391111373901,40,10.996011734008789,0.2,0.0003,0.01080773,57.91430103778839
50.0,10000,-10.07480889055878,,,,,,,,,,,,,,,,
,10240,,5,293,34,50.0,-58.23568881999999,,,,,,,,,,,
50.0,11000,-10.641381930187345,,,,,,-0.00753976907581091,0.17765259742736816,0.035595703125,-2.541766171902418,0.8493662476539612,50,9.952113151550293,0.2,0.0003,0.0061484855,49.259769254922865
50.0,12000,-10.641381930187345,,,,,,,,,,,,,,,,
,12288,,6,296,41,50.0,-56.00137214,,,,,,,,,,,
50.0,13000,-13.43491146080196,,,,,,-0.007739261793904007,0.011605441570281982,0.041015625,-2.4712185390293597,0.815260648727417,60,7.818260192871094,0.2,0.0003,0.007979126,33.91808462142944
50.0,14000,-13.43491146080196,,,,,,,,,,,,,,,,
,14336,,7,297,48,50.0,-54.23501820000001,,,,,,,,,,,
50.0,15000,-14.39107021689415,,,,,,-0.010378690544166602,0.42431390285491943,0.060693359375,-2.3892775259912016,0.7816048860549927,70,8.660476684570312,0.2,0.0003,0.008121495,31.356111681461336
50.0,16000,-14.39107021689415,,,,,,,,,,,,,,,,
,16384,,8,297,54,50.0,-52.779937870000005,,,,,,,,,,,
50.0,17000,-18.607079061865807,,,,,,-0.010601111792493612,0.5394556820392609,0.058837890625,-2.306906060874462,0.7544715404510498,80,6.807333946228027,0.2,0.0003,0.008339903,22.531350347399712
50.0,18000,-18.607079061865807,,,,,,,,,,,,,,,,
,18432,,9,297,62,50.0,-51.80605307,,,,,,,,,,,
50.0,19000,-23.333132740855216,,,,,,-0.014578822036855853,0.7012933790683746,0.103564453125,-2.2560169912874697,0.7415688633918762,90,9.137564659118652,0.2,0.0003,0.009061122,24.933169987797736
50.0,20000,-23.333132740855216,,,,,,,,,,,,,,,,
,20480,,10,296,68,50.0,-51.807607630000014,,,,,,,,,,,
50.0,21000,-30.56780809611082,,,,,,-0.02021750586864073,0.8743109703063965,0.121923828125,-2.2261655546724795,0.7321587800979614,100,8.529809951782227,0.2,0.0003,0.010410573,25.910366255044938
50.0,22000,-30.56780809611082,,,,,,,,,,,,,,,,
,22528,,11,297,75,50.0,-53.085472839999994,,,,,,,,,,,
50.0,23000,-38.590462976694106,,,,,,-0.017966040593455544,0.8995415270328522,0.11806640625,-2.2037708073854447,0.7253788709640503,110,9.654757499694824,0.2,0.0003,0.009708827,23.547413834929465
50.0,24000,-38.590462976694106,,,,,,,,,,,,,,,,
,24576,,12,299,82,50.0,-55.33853585000001,,,,,,,,,,,
50.0,25000,-49.79652161002159,,,,,,-0.019851448244298808,0.9387433715164661,0.1455078125,-2.186002531647682,0.7203586101531982,120,5.891382694244385,0.2,0.0003,0.01340601,14.127060846984387
50.0,26000,-49.79652161002159,,,,,,,,,,,,,,,,
,26624,,13,298,89,50.0,-58.639434400000006,,,,,,,,,,,
50.0,27000,-55.99718036651611,,,,,,-0.01302627513941843,0.9401962943375111,0.089599609375,-2.1645231418311597,0.710265040397644,130,4.650763988494873,0.2,0.0003,0.006675648,11.95327539741993
50.0,28000,-55.99718036651611,,,,,,,,,,,,,,,,
,28672,,14,298,96,50.0,-61.809764859999994,,,,,,,,,,,
50.0,29000,-57.89625844359398,,,,,,-0.009705332230078056,0.9453705064952374,0.086962890625,-2.140867604315281,0.7023239135742188,140,3.750920534133911,0.2,0.0003,0.009997627,10.70808399170637
50.0,30000,-57.89625844359398,,,,,,,,,,,,,,,,
,30720,,15,298,102,50.0,-63.84625987,,,,,,,,,,,
50.0,31000,-59.32538506388664,,,,,,-0.01025962421845179,0.9592718556523323,0.097119140625,-2.113793911039829,0.6925061345100403,150,1.6293855905532837,0.2,0.0003,0.008945436,5.269648201018572
50.0,32000,-59.32538506388664,,,,,,,,,,,,,,,,
,32768,,16,298,109,50.0,-65.2417424,,,,,,,,,,,
50.0,33000,-60.807213318347934,,,,,,-0.0094986459298525,0.9785048998892307,0.064892578125,-2.0763118490576744,0.6754563450813293,160,2.4591023921966553,0.2,0.0003,0.0052594477,3.964013092964888
50.0,34000,-60.807213318347934,,,,,,,,,,,,,,,,
,34816,,17,298,116,50.0,-65.52954101,,,,,,,,,,,
50.0,35000,-60.17858160734177,,,,,,-0.008408493740716949,0.9811078831553459,0.068017578125,-2.0300679713487626,0.6597826480865479,170,1.2598003149032593,0.2,0.0003,0.0045474684,3.4163683630526065
50.0,36000,-60.17858160734177,,,,,,,,,,,,,,,,
,36864,,18,297,123,50.0,-65.06922631,,,,,,,,,,,
50.0,37000,-60.26850170493126,,,,,,-0.012082552185165695,0.9872075356543064,0.1052734375,-1.975875138863921,0.638469934463501,180,1.4103717803955078,0.2,0.0003,0.010082619,2.8145883355289696
50.0,38000,-60.26850170493126,,,,,,,,,,,,,,,,
,38912,,19,295,131,50.0,-64.86291216,,,,,,,,,,,
50.0,39000,-59.976890778541566,,,,,,-0.014994147914694621,0.9877051999792457,0.11845703125,-1.9053200241178274,0.6181508302688599,190,1.389483094215393,0.2,0.0003,0.008905557,2.836713257804513
50.0,40000,-59.976890778541566,,,,,,,,,,,,,,,,
,40960,,20,295,138,50.0,-65.88239524,,,,,,,,,,,
50.0,41000,-59.837833780050275,,,,,,-0.012385529934545048,0.9888515649363399,0.082080078125,-1.8399825546890498,0.5965379476547241,200,1.4046803712844849,0.2,0.0003,0.00900919,2.810273190960288
50.0,42000,-59.837833780050275,,,,,,,,,,,,,,,,
