train/n_updates,train/actor_loss,time/total_timesteps,time/time_elapsed,train/critic_loss,time/episodes,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/learning_rate,eval/mean_ep_length,eval/mean_reward
128654,-35.04635950724284,128790,849,2.10304128416514,692,164.86,151,-184.55177712999998,0.001,,
129057,-35.20702711406507,129200,851,1.7641898522251531,696,166.78,151,-186.69700181999997,0.001,,
129166,-34.97112764630999,130000,,1.9497921025311504,,,,,0.001,1000.0,607.7417359446321
130205,-35.53604326750103,130292,866,1.781996372418526,700,176.92,150,-197.69159558000004,0.001,,
130480,-35.45563619277056,130721,867,2.166090323644526,704,179.63,150,-200.64261679000003,0.001,,
131775,-35.95927791595459,131863,873,1.9816774885828903,708,188.63,150,-210.37468318000006,0.001,,
132187,-36.13290919428287,132404,876,1.8369643653897072,712,183.35,151,-204.29328841999998,0.001,,
133477,-36.2533123626709,133572,882,1.9651842387318612,716,183.5,151,-204.35398777000006,0.001,,
133771,-36.21332654953003,133856,884,2.2454004449608886,720,173.91,151,-193.90905859999998,0.001,,
133949,-36.25106239318848,135000,,1.8690939105692363,,,,,0.001,1000.0,636.7769779067487
134949,-36.67349540710449,135066,898,1.9924604243040085,724,184.59,150,-205.55708015,0.001,,
136193,-37.19023994777513,136266,904,1.8109174027391102,728,193.78,150,-215.69314100999998,0.001,,
136310,-37.08659076690674,136385,905,1.4462097473442554,732,190.34,150,-211.451811,0.001,,
137607,-37.55425023617952,137728,911,1.9545036053760743,736,192.1,151,-213.06380108000002,0.001,,
137784,-37.47749490737915,137882,912,2.102416875996167,740,190.81,151,-211.46825468999998,0.001,,
138004,-37.38156827290853,139065,914,2.0702845007181168,744,201.39,152,-222.84815873,0.001,,
139102,-37.325647830963135,140000,,2.186125382300346,,,,,0.001,1000.0,631.3339173806132
,,140163,928,,748,209.85,150,-232.1677433,,,
141162,-38.3161678314209,141383,937,1.8554204659802573,752,219.23,150,-242.65162589000002,0.001,,
142467,-38.50437954493931,142556,943,2.1885248720645905,756,227.69,151,-252.25658708,0.001,,
143654,-39.10826561667702,143776,949,2.155574132845952,760,228.65,151,-253.27396124999999,0.001,,
143823,-38.390787760416664,143923,950,1.732262134552002,764,209.74,151,-232.78769348000003,0.001,,
144052,-39.11385368347168,144174,951,2.0240159225463867,768,210.03,151,-233.19506651,0.001,,
