rollout/ep_rew_mean,train/learning_rate,time/total_timesteps,train/actor_loss,time/fps,time/time_elapsed,train/critic_loss,rollout/ep_len_mean,train/n_updates,time/episodes,eval/mean_reward,eval/mean_ep_length
,0.001,20500,27.855767097473144,,,0.07467589311301709,,20300,,-54.875340699999995,100.0
-50.6471348,0.001,20800,28.178582229614257,117,177,0.10947963453829289,100.0,20600,208,,
,0.001,21000,28.238514709472657,,,0.07910538591444492,,20800,,-49.7313719,100.0
-50.62186497,0.001,21200,28.49354648590088,117,181,0.0849883559718728,100.0,21000,212,,
,0.001,21500,28.75208610534668,,,0.08858395613729954,,21300,,-48.27820684999999,100.0
-50.32532429,0.001,21600,28.76382541656494,116,185,0.08208019286394119,100.0,21400,216,,
,0.001,22000,29.168270378112794,,,0.10621016774326562,,21800,,-48.883294,100.0
-50.148132829999994,,22000,,116,189,,100.0,,220,,
-50.05771921,0.001,22400,29.454936218261718,116,191,0.08770919986069202,100.0,22200,224,,
,0.001,22500,29.585756874084474,,,0.11730901964008808,,22300,,-49.13418165,100.0
-49.61141959000001,0.001,22800,29.754001655578612,116,195,0.09091810505837201,100.0,22600,228,,
,0.001,23000,29.926292762756347,,,0.08434977047145367,,22800,,-52.515705149999995,100.0
-49.36272474,0.001,23200,30.047100639343263,116,199,0.07806781399995089,100.0,23000,232,,
,0.001,23500,30.296105613708495,,,0.09989246405661106,,23300,,-55.47138524999999,100.0
-49.55607336,0.001,23600,30.377210960388183,116,203,0.0824452393129468,100.0,23400,236,,
,0.001,24000,30.665081405639647,,,0.08040136490017176,,23800,,-50.25319075,100.0
-49.380404719999994,,24000,,115,207,,100.0,,240,,
-49.23990732999999,0.001,24400,30.955341110229494,116,209,0.09421297155320645,100.0,24200,244,,
,0.001,24500,30.99827060699463,,,0.08328871216624975,,24300,,-52.779785149999995,100.0
-49.34371703,0.001,24800,31.308002586364747,116,213,0.08141619190573693,100.0,24600,248,,
,0.001,25000,31.470715751647948,,,0.08293873228132725,,24800,,-50.87634665,100.0
-49.22248893000001,0.001,25200,31.59492301940918,116,217,0.11633793767541648,100.0,25000,252,,
,0.001,25500,31.7980330657959,,,0.09166150651872158,,25300,,-52.56890355,100.0
-49.25774469,0.001,25600,31.83696750640869,115,220,0.08707161620259285,100.0,25400,256,,
,0.001,26000,32.193182678222655,,,0.07604956176131963,,25800,,-48.8188799,100.0
-49.359897520000004,,26000,,115,224,,100.0,,260,,
-49.29059013999999,0.001,26400,32.58164230346679,116,226,0.08151230920106173,100.0,26200,264,,
,0.001,26500,32.60530975341797,,,0.08179035097360611,,26300,,-49.475297899999994,100.0
-48.99604006,0.001,26800,32.803069610595706,116,230,0.09416348189115524,100.0,26600,268,,
,0.001,27000,32.94909683227539,,,0.09944050904363394,,26800,,-51.629781200000004,100.0
-48.87303755,0.001,27200,33.05091926574707,116,233,0.11799917533993722,100.0,27000,272,,
,0.001,27500,33.348470001220704,,,0.08901568569242954,,27300,,-48.12463685,100.0
-48.241297320000015,0.001,27600,33.36764747619629,116,237,0.08784685701131821,100.0,27400,276,,
,0.001,28000,33.682294387817386,,,0.08099347107112408,,27800,,-49.0950141,100.0
-48.06178341,,28000,,115,241,,100.0,,280,,
-47.74425821,0.001,28400,33.96077484130859,116,243,0.08321810353547335,100.0,28200,284,,
,0.001,28500,34.01313995361328,,,0.08832194495946169,,28300,,-53.60625660000001,100.0
-47.52095451,0.001,28800,34.29328071594238,116,247,0.08218558751046658,100.0,28600,288,,
,0.001,29000,34.379934539794924,,,0.10297906026244164,,28800,,-49.2862032,100.0
-47.00531344,0.001,29200,34.546903457641605,115,251,0.09043003376573325,100.0,29000,292,,
,0.001,29500,34.75005424499512,,,0.09174890719354152,,29300,,-50.3762867,100.0
-47.104309189999995,0.001,29600,34.8268391418457,115,256,0.08293930012732745,100.0,29400,296,,
,0.001,30000,35.125335693359375,,,0.09027875144034624,,29800,,-51.280732750000006,100.0
-46.924312719999996,,30000,,115,260,,100.0,,300,,
-47.28265286,0.001,30400,35.366491165161136,115,262,0.09639867085963488,100.0,30200,304,,
,0.001,30500,35.450854263305665,,,0.09134484484791755,,30300,,-50.19744035,100.0
-47.46815362,0.001,30800,35.69348510742188,115,265,0.10555083934217692,100.0,30600,308,,
,0.001,31000,35.82585174560547,,,0.08934383939951658,,30800,,-49.49218745,100.0
-47.332596939999995,0.001,31200,35.97522071838379,115,270,0.09781487379223108,100.0,31000,312,,
,0.001,31500,36.23901000976562,,,0.08962911751121283,,31300,,-49.6926975,100.0
-47.36861789,0.001,31600,36.20881172180176,115,274,0.1043084168806672,100.0,31400,316,,
,0.001,32000,36.511361618041995,,,0.11083847858011722,,31800,,-58.2707,100.0
-47.33354193000001,,32000,,115,277,,100.0,,320,,
-47.81864573,0.001,32400,36.77693824768066,115,280,0.09142357874661684,100.0,32200,324,,
,0.001,32500,36.84014846801758,,,0.1058967051282525,,32300,,-55.14185875,100.0
-48.01458891999999,0.001,32800,37.08676742553711,115,284,0.1139667945355177,100.0,32600,328,,
,0.001,33000,37.22126586914062,,,0.09526465255767107,,32800,,-51.38321655,100.0
-47.98336224999999,0.001,33200,37.34665641784668,115,288,0.10443072635680437,100.0,33000,332,,
,0.001,33500,37.52121398925781,,,0.09831867124885321,,33300,,-50.32481454999999,100.0
-47.67203253999999,0.001,33600,37.64697105407715,114,292,0.09217668641358615,100.0,33400,336,,
,0.001,34000,37.902561798095704,,,0.10933148723095655,,33800,,-48.706641749999996,100.0
-47.57541723,,34000,,114,296,,100.0,,340,,
-47.407679179999995,0.001,34400,38.168406600952146,115,298,0.10887673202902079,100.0,34200,344,,
,0.001,34500,38.2182861328125,,,0.11173332251608371,,34300,,-48.68324464999999,100.0
-47.21906066000001,0.001,34800,38.40380989074707,115,302,0.10926260732114315,100.0,34600,348,,
,0.001,35000,38.63969459533691,,,0.10058904588222503,,34800,,-48.292320249999996,100.0
-47.14636859000001,0.001,35200,38.72164665222168,114,306,0.10950999945402146,100.0,35000,352,,
,0.001,35500,38.93572792053223,,,0.10283031288534403,,35300,,-48.63585285,100.0
-47.27098619,0.001,35600,38.93752281188965,114,310,0.10640762992203236,100.0,35400,356,,
,0.001,36000,39.23014099121094,,,0.11064492061734199,,35800,,-49.21090545,100.0
-46.92586152999999,,36000,,114,314,,100.0,,360,,
-46.95492582,0.001,36400,39.505889434814456,114,316,0.09951965104788542,100.0,36200,364,,
,0.001,36500,39.575149612426756,,,0.10200110483914614,,36300,,-48.14767779999999,100.0
-47.17936863999999,0.001,36800,39.64454147338867,114,321,0.10003959327936172,100.0,36600,368,,
,0.001,37000,39.80788009643555,,,0.11738563254475594,,36800,,-47.87498505,100.0
-47.388359759999986,0.001,37200,39.921906051635744,114,324,0.11195985868573188,100.0,37000,372,,
,0.001,37500,40.04809730529785,,,0.11493475273251534,,37300,,-48.441210999999996,100.0
-46.98729608000001,0.001,37600,40.11728286743164,114,328,0.10339311927556992,100.0,37400,376,,
,0.001,38000,40.37237319946289,,,0.09939069353044033,,37800,,-47.24789635,100.0
-47.023667210000006,,38000,,114,332,,100.0,,380,,
-46.90548358000001,0.001,38400,40.53427894592285,114,334,0.10383547224104404,100.0,38200,384,,
,0.001,38500,40.64699592590332,,,0.12863285072147845,,38300,,-48.35086930000001,100.0
-46.55867520000001,0.001,38800,40.778135452270504,114,338,0.12047500059008598,100.0,38600,388,,
,0.001,39000,40.87615592956543,,,0.09934423193335533,,38800,,-50.9736665,100.0
-46.81482977000002,0.001,39200,41.082424087524416,114,341,0.12299579076468944,100.0,39000,392,,
,0.001,39500,41.186991119384764,,,0.1201474691927433,,39300,,-48.65000175,100.0
-46.51205833000001,0.001,39600,41.25622772216797,114,345,0.11562402546405792,100.0,39400,396,,
,0.001,40000,41.37054496765137,,,0.10276790648698807,,39800,,-49.731040899999996,100.0
-46.07514568,,40000,,114,348,,100.0,,400,,
-46.07709279000001,0.001,40400,41.720237197875974,115,351,0.12925699569284915,100.0,40200,404,,
,0.001,40500,41.700477600097656,,,0.13076611794531345,,40300,,-47.689773100000004,100.0
-46.05083572,0.001,40800,41.87748649597168,115,354,0.11605029553174973,100.0,40600,408,,
,0.001,41000,42.030372314453125,,,0.11503892250359059,,40800,,-49.4268996,100.0
-45.96281513000001,0.001,41200,42.1997004699707,115,358,0.12773490369319915,100.0,41000,412,,
,0.001,41500,42.311561813354494,,,0.1087090526521206,,41300,,-48.86116935,100.0
-46.070913950000005,0.001,41600,42.35720024108887,114,362,0.11689350955188274,100.0,41400,416,,
,0.001,42000,42.56793899536133,,,0.1147282599657774,,41800,,-48.33379895,100.0
-46.211046579999994,,42000,,114,365,,100.0,,420,,
-45.88277314000001,0.001,42400,42.74719421386719,115,368,0.11710927970707416,100.0,42200,424,,
,0.001,42500,42.85675498962402,,,0.10986253909766674,,42300,,-49.4035337,100.0
-45.73365548000001,0.001,42800,43.00751525878906,115,372,0.12395981699228287,100.0,42600,428,,
,0.001,43000,43.11360763549805,,,0.11007662743330002,,42800,,-47.4923978,100.0
-45.55344049,0.001,43200,43.23386260986328,114,376,0.09579709902405739,100.0,43000,432,,
,0.001,43500,43.43658515930176,,,0.12006028212606906,,43300,,-47.239906049999995,100.0
-45.566517409999996,0.001,43600,43.43282615661621,114,379,0.10192021183669567,100.0,43400,436,,
,0.001,44000,43.560476760864255,,,0.1003352902829647,,43800,,-48.006642,100.0
-45.22383315,,44000,,114,383,,100.0,,440,,
-45.30716680999999,0.001,44400,43.88109519958496,115,385,0.11525343857705593,100.0,44200,444,,
,0.001,44500,43.81957962036133,,,0.1160349029302597,,44300,,-47.9620843,100.0
-45.448976619999996,0.001,44800,44.005565872192385,115,389,0.10296962864696979,100.0,44600,448,,
,0.001,45000,44.09527824401855,,,0.11392909694463015,,44800,,-48.69359165,100.0
-45.54634656,0.001,45200,44.197450714111326,115,392,0.12391014069318772,100.0,45000,452,,
,0.001,45500,44.253973693847655,,,0.1125798238068819,,45300,,-47.09736235,100.0
-45.29767958,0.001,45600,44.40296226501465,114,396,0.10174991056323052,100.0,45400,456,,
,0.001,46000,44.47778846740723,,,0.1058349458873272,,45800,,-47.74774345,100.0
-45.47345185000001,,46000,,114,400,,100.0,,460,,
-45.551038930000004,0.001,46400,44.650628662109376,115,402,0.10096634954214095,100.0,46200,464,,
,0.001,46500,44.732418594360354,,,0.12311474665999413,,46300,,-47.52364665,100.0
-45.41202342999999,0.001,46800,44.81288841247559,115,405,0.10674573931843043,100.0,46600,468,,
,0.001,47000,44.9851033782959,,,0.09011120416224003,,46800,,-48.5924878,100.0
-45.12317937999999,0.001,47200,45.10542556762695,115,409,0.09330328434705734,100.0,47000,472,,
,0.001,47500,45.10904670715332,,,0.10057768236845732,,47300,,-48.4740156,100.0
-45.16869562000001,0.001,47600,45.12051162719727,115,412,0.10889029916375875,100.0,47400,476,,
,0.001,48000,45.388556213378905,,,0.1211469916254282,,47800,,-51.3419533,100.0
-45.13389886,,48000,,115,416,,100.0,,480,,
