time/total_timesteps,time/iterations,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/learning_rate,train/approx_kl,train/n_updates,train/std,train/clip_range,train/entropy_loss,train/loss,train/clip_fraction,train/explained_variance,train/value_loss,train/policy_gradient_loss,eval/mean_ep_length,eval/mean_reward
2048,1,288,94.93296097916668,21.177083333333332,7,,,,,,,,,,,,,
4096,2,249,97.90485959,21.92,16,0.0003,0.018147517,10,0.9996771216392517,0.2,-24.121972781419753,392.32147216796875,0.19921875,-0.005997180938720703,1210.1260168075562,-0.05532430207531434,,
5000,,,,,,0.0003,0.022226075,20,0.9986824989318848,0.2,-24.11114310622215,355.2276611328125,0.22080078125,0.022345006465911865,917.0183252334594,-0.06387599717709236,61.25,309.22590977562356
6144,3,219,98.6525396,22.08,27,,,,,,,,,,,,,
8192,4,223,103.94748967999998,23.2,36,0.0003,0.028740378,30,1.0004550218582153,0.2,-24.12867161631584,328.86871337890625,0.31337890625,0.03337758779525757,801.2792179107666,-0.08109336709312628,,
10000,,,,,,0.0003,0.031949773,40,0.9981770515441895,0.2,-24.097197431325913,270.5501708984375,0.349365234375,0.02678889036178589,835.6106641769409,-0.08445479956280906,58.55,277.42839596569536
10240,5,213,107.85971857,24.13,47,,,,,,,,,,,,,
12288,6,214,112.73084017,25.25,57,0.0003,0.03187401,50,0.9995514154434204,0.2,-24.116297209262846,360.6705017089844,0.35927734375,0.02236020565032959,828.3931324005127,-0.08742748766089789,,
14336,7,215,109.82251567999998,24.49,66,0.0003,0.032705065,60,0.9983443021774292,0.2,-24.10799359679222,401.51971435546875,0.33759765625,0.02161926031112671,858.9797946929932,-0.08391221820784267,,
15000,,,,,,0.0003,0.026874721,70,0.9979344606399536,0.2,-24.09152790904045,423.9577941894531,0.298388671875,0.040335655212402344,910.74969997406,-0.0804763109277701,68.0,322.54791198743186
16384,8,206,115.37580365999999,25.59,79,,,,,,,,,,,,,
18432,9,207,122.18323924999999,27.17,88,0.0003,0.022465488,80,0.995986819267273,0.2,-24.067998319864273,479.1573791503906,0.239501953125,0.07886308431625366,959.214902305603,-0.07441267462272663,,
20000,,,,,,0.0003,0.021489188,90,0.9961857795715332,0.2,-24.053272199630737,397.4993591308594,0.217919921875,0.10639071464538574,901.1494251251221,-0.06955235354835168,75.9,376.4108252219856
20480,10,203,125.87967229,27.93,100,,,,,,,,,,,,,
22528,11,206,132.09739749,29.2,108,0.0003,0.022474881,100,0.9940174221992493,0.2,-24.039332765340806,356.7008972167969,0.21806640625,0.22735852003097534,883.1893800735473,-0.07232214505784214,,
