eval/mean_ep_length,time/total_timesteps,eval/mean_reward,time/iterations,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/policy_gradient_loss,train/explained_variance,train/clip_fraction,train/entropy_loss,train/std,train/n_updates,train/loss,train/clip_range,train/learning_rate,train/approx_kl,train/value_loss
,12288,,6,304,40,50.0,-56.016631050000015,,,,,,,,,,,
50.0,13000,-11.01465470455587,,,,,,-0.011712475403328426,0.22881412506103516,0.073095703125,-2.4379723124206065,0.7973177433013916,60,6.426005840301514,0.2,0.0003,0.01219311,30.08464559018612
50.0,14000,-11.01465470455587,,,,,,,,,,,,,,,,
,14336,,7,302,47,50.0,-53.74003656000001,,,,,,,,,,,
50.0,15000,-12.214305333793163,,,,,,-0.009666512420517392,0.30826306343078613,0.056689453125,-2.3326511561870573,0.7606154680252075,70,4.921145439147949,0.2,0.0003,0.011699645,21.283002281188963
50.0,16000,-12.214305333793163,,,,,,,,,,,,,,,,
,16384,,8,300,54,50.0,-51.0631478,,,,,,,,,,,
50.0,17000,-12.886035883054138,,,,,,-0.015949525116593578,0.626539945602417,0.0845703125,-2.255835873633623,0.7358806133270264,80,7.903144359588623,0.2,0.0003,0.008244336,18.22400743365288
50.0,18000,-12.886035883054138,,,,,,,,,,,,,,,,
,18432,,9,299,61,50.0,-49.85641703,,,,,,,,,,,
50.0,19000,-16.042849836498497,,,,,,-0.016162514191819355,0.72125443816185,0.07255859375,-2.194586469978094,0.7150077819824219,90,5.761242389678955,0.2,0.0003,0.007837313,19.32838600575924
50.0,20000,-16.042849836498497,,,,,,,,,,,,,,,,
,20480,,10,297,68,50.0,-49.60470885000001,,,,,,,,,,,
50.0,21000,-20.926841020584106,,,,,,-0.015840529435081407,0.6584314107894897,0.08125,-2.1392033070325853,0.695902943611145,100,8.299457550048828,0.2,0.0003,0.0081769265,18.309633082151414
50.0,22000,-20.926841020584106,,,,,,,,,,,,,,,,
,22528,,11,296,76,50.0,-49.690306510000006,,,,,,,,,,,
50.0,23000,-26.603389345109463,,,,,,-0.018667161880875936,0.7505174428224564,0.11484375,-2.094760785251856,0.6839258670806885,110,9.019126892089844,0.2,0.0003,0.0110043865,18.52413583099842
50.0,24000,-26.603389345109463,,,,,,,,,,,,,,,,
,24576,,12,296,82,50.0,-49.98883857,,,,,,,,,,,
50.0,25000,-32.01359714716673,,,,,,-0.01796615975908935,0.8679477870464325,0.1115234375,-2.05769162774086,0.6704272031784058,120,5.876409530639648,0.2,0.0003,0.01019845,12.317895664274692
50.0,26000,-32.01359714716673,,,,,,,,,,,,,,,,
,26624,,13,297,89,50.0,-50.69463274,,,,,,,,,,,
50.0,27000,-38.061516685783864,,,,,,-0.016212436975911258,0.926057368516922,0.11171875,-2.0155636873096228,0.6548471450805664,130,4.304078578948975,0.2,0.0003,0.008031827,8.94806473404169
50.0,28000,-38.061516685783864,,,,,,,,,,,,,,,,
,28672,,14,296,96,50.0,-51.5276078,,,,,,,,,,,
50.0,29000,-42.10781737864018,,,,,,-0.014752322441199794,0.9380941353738308,0.104833984375,-1.9770538069307804,0.6454988718032837,140,2.9693474769592285,0.2,0.0003,0.011006443,8.668561984598636
50.0,30000,-42.10781737864018,,,,,,,,,,,,,,,,
,30720,,15,295,103,50.0,-53.65240022999999,,,,,,,,,,,
