time/episodes,time/fps,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/n_updates,train/critic_loss,train/learning_rate,train/actor_loss,eval/mean_ep_length,eval/mean_reward
4,4462,5.75,23,0,42.11738775,,,,,,
8,4551,5.75,46,0,42.112193,,,,,,
12,4497,5.583333333333333,67,0,40.63835533333333,,,,,,
16,4556,6.0,96,0,44.548185437499995,,,,,,
20,1255,5.85,117,0,43.15125145,13,73.34311421712239,0.001,-6.950803279876709,,
24,788,5.416666666666667,130,0,39.124517375,26,44.51973215738932,0.001,-6.162575960159302,,
28,612,5.107142857142857,143,0,36.24777967857143,39,20.526269912719727,0.001,-8.599226951599121,,
32,497,4.90625,157,0,34.35419465625,53,17.3916015625,0.001,-7.720522880554199,,
36,423,4.805555555555555,173,0,33.33681877777778,69,15.201053619384766,0.001,-8.2479829788208,,
40,385,4.675,187,0,32.110251149999996,83,13.418206532796225,0.001,-8.009673118591309,,
44,354,4.568181818181818,201,0,31.11116690909091,98,11.436212539672852,0.001,-8.025107622146606,,
48,333,4.5,216,0,30.449241666666666,113,12.867932319641113,0.001,-8.061897277832031,,
52,317,4.403846153846154,229,0,29.562655057692304,126,12.920766353607178,0.001,-7.925288200378418,,
56,306,4.339285714285714,243,0,28.951485535714284,139,12.416648228963217,0.001,-6.750941753387451,,
60,293,4.283333333333333,257,0,28.425626533333332,154,11.17014217376709,0.001,-8.496523380279541,,
64,286,4.25,272,0,28.096660109374998,168,10.527687311172485,0.001,-7.186655759811401,,
68,277,4.235294117647059,288,1,27.927709529411768,184,10.805256605148315,0.001,-7.9708991050720215,,
72,271,4.194444444444445,302,1,27.545656861111112,198,9.717910448710123,0.001,-8.452952861785889,,
76,265,4.184210526315789,318,1,27.426755776315794,214,8.825842022895813,0.001,-8.413429260253906,,
80,260,4.125,330,1,26.901792724999996,227,10.872119744618734,0.001,-8.382874488830566,,
84,255,4.107142857142857,345,1,26.72123705952381,241,10.957075119018555,0.001,-8.329997539520264,,
88,251,4.1022727272727275,361,1,26.654325386363634,257,9.465054750442505,0.001,-8.172378778457642,,
92,248,4.076086956521739,375,1,26.411651141304343,271,9.798745473225912,0.001,-9.263317108154297,,
96,244,4.0625,390,1,26.278625479166664,286,7.14231538772583,0.001,-9.3455228805542,,
100,241,4.03,403,1,25.9867653,300,11.22562567392985,0.001,-8.779736518859863,,
104,239,3.94,417,1,25.142155800000005,314,12.129126071929932,0.001,-9.897375106811523,,
108,237,3.84,430,1,24.218801579999994,327,8.333780288696289,0.001,-9.56615924835205,,
112,234,3.78,445,1,23.636561040000007,342,10.314167499542236,0.001,-8.397769927978516,,
116,233,3.64,460,1,22.311299410000007,356,9.217851320902506,0.001,-8.790468215942383,,
120,231,3.56,473,2,21.567433590000004,370,6.449481964111328,0.001,-9.740740299224854,,
124,230,3.57,487,2,21.65185253,383,9.832212766011557,0.001,-9.31460189819336,,
128,228,3.59,502,2,21.818717589999995,399,8.984949827194214,0.001,-9.362797260284424,,
132,226,3.59,516,2,21.81822867,413,9.747040271759033,0.001,-9.100545883178711,,
136,224,3.56,529,2,21.57077499,426,8.009173075358072,0.001,-10.051008224487305,,
140,223,3.57,544,2,21.655282579999998,440,9.09750747680664,0.001,-9.530185222625732,,
