train/learning_rate,train/n_updates,train/critic_loss,time/episodes,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/actor_loss,rollout/ep_rew_mean,time/fps,eval/mean_reward,eval/mean_ep_length
0.001,1000,0.0475294008878991,4,511.75,9,2047,-1.7945016770362854,-239.73062475,224,,
0.001,4202,0.12590137943997978,,,,5000,-6.291134915351868,,,683.990965747158,1000.0
,,,8,656.125,47,5249,,-324.54235975,110,,
0.001,8202,0.11160424929484725,12,770.75,77,9249,-12.020017961502075,-22.252312416666637,119,,
0.001,9202,0.1038376987837255,,,,10000,-13.43520481300354,,,918.2166631455533,1000.0
0.001,11613,0.1462444493956864,16,791.25,118,12660,-16.86762605857849,121.46838887499997,107,,
0.001,14916,0.13677199854701758,,,,15000,-21.203831089019776,,,938.0366813063622,1000.0
,,,20,798.15,157,15963,,205.86079734999993,101,,
0.001,18916,0.12348080172762274,24,831.7916666666666,186,19963,-25.668958461761473,283.17481466666663,106,,
0.001,19916,0.12370154633745552,,,,20000,-26.86717152786255,,,950.2367098033428,1000.0
0.001,22278,0.19623208164796233,28,833.0357142857143,226,23325,-29.382570125579836,324.21819028571423,102,,
0.001,24278,0.15755042181536555,,,,25000,-31.604545696258544,,,960.2663239479065,1000.0
0.001,26278,0.16201808523014188,32,853.90625,271,27325,-33.70517896270752,371.10962821875,100,,
0.001,29278,0.1404479219764471,,,,30000,-36.747954765319825,,,963.6456993162632,1000.0
0.001,30278,0.11925037998706102,36,870.1388888888889,317,31325,-37.732649116516114,408.90378697222224,98,,
0.001,34221,0.1403914749585092,,,,35000,-41.39129301452637,,,966.9847452819347,1000.0
,,,40,881.7,362,35268,,438.42451335,97,,
0.001,37618,0.10568281124235701,44,878.75,387,38665,-44.451720884696925,453.8037610454545,99,,
0.001,39618,0.1456480573527515,,,,40000,-45.821255767822265,,,969.6935421586037,1000.0
0.001,41618,0.1988716576322913,48,888.8541666666666,433,42665,-47.36700713348389,475.4587586875,98,,
0.001,44618,0.13288762357831002,,,,45000,-49.61569757843018,,,969.2232121765613,1000.0
0.001,45618,0.167067227486521,52,897.4038461538462,479,46665,-50.32930204772949,494.30554811538457,97,,
0.001,49618,0.17457095673307776,,,,50000,-53.0535168838501,,,977.4469686388969,1000.0
,,,56,904.7321428571429,524,50665,,510.85013789285716,96,,
0.001,53467,0.16164457236358498,60,908.5666666666667,554,54514,-55.42547148578572,522.8015534,98,,
0.001,54467,0.11702083916217089,,,,55000,-55.97569408416748,,,973.3965960502625,1000.0
0.001,57467,0.3558484884127974,64,914.28125,601,58514,-57.629526153564456,535.08783646875,97,,
0.001,59467,0.3296662765368819,,,,60000,-58.68601954650879,,,965.8531500279903,1000.0
0.001,61467,0.4307278193458915,68,919.3235294117648,647,62514,-59.61513388824463,545.4223197647059,96,,
0.001,64467,0.17016984323039652,,,,65000,-60.99215064239502,,,972.2941704928875,1000.0
0.001,65467,0.17894261242449283,72,913.3333333333334,693,65760,-61.44828498077393,547.2685437083333,94,,
0.001,68713,0.1489273235462606,76,917.8947368421053,719,69760,-62.786943336486814,556.2182127763157,96,,
0.001,69713,0.31292648738995194,,,,70000,-63.19755072021484,,,957.0923364579678,1000.0
0.001,72713,0.23407307194545865,80,922.0,764,73760,-64.33042140960693,564.060099025,96,,
0.001,74713,0.1783517362959683,,,,75000,-65.05837190246582,,,937.3914794921875,1000.0
0.001,76713,0.1540770652294159,84,925.7142857142857,810,77760,-65.73236535644531,570.9986962738094,95,,
0.001,79713,0.1559787949733436,,,,80000,-66.71639016723633,,,958.5996393203735,1000.0
0.001,80713,0.15296872013062238,88,929.0909090909091,856,81760,-67.03032189941406,577.3905872727272,95,,
0.001,84713,0.11437967690825462,,,,85000,-68.23499284362794,,,964.7317512571811,1000.0
,,,92,932.1739130434783,902,85760,,583.4491853695652,94,,
0.001,88356,0.3382535256333649,96,931.28125,930,89403,-69.19710385131836,586.2220630625001,96,,
0.001,89356,0.11791293171048164,,,,90000,-69.46789245605468,,,973.3456278383732,1000.0
0.001,91544,0.2726419084183872,100,925.91,970,92591,-69.9338218536377,585.57409695,95,,
0.001,94879,0.5571944207213819,,,,95000,-70.66649935913085,,,948.0022734820843,1000.0
,,,104,938.79,1011,95926,,618.9830009100001,94,,
0.001,98879,0.26387361735850573,108,946.77,1040,99926,-71.3622942352295,663.60092359,95,,
0.001,99879,0.18970784607157112,,,,100000,-71.54576960754395,,,951.1729746162891,1000.0
0.001,102425,0.36240572095289825,112,942.23,1082,103472,-71.93197561645508,660.3178805,95,,
0.001,104425,0.7571341772414744,,,,105000,-72.20754956054688,,,962.6541693389415,1000.0
0.001,106425,0.5287031085006892,116,948.12,1129,107472,-72.48091487121582,666.0380830299999,95,,
0.001,109425,0.3676386831924319,,,,110000,-72.81145454406739,,,954.6724751234054,1000.0
0.001,110425,0.6307630705982447,120,955.09,1175,111472,-72.90670748901367,671.4959874,94,,
0.001,114425,0.18398032336682082,,,,115000,-73.3157737121582,,,955.5439672291279,1000.0
,,,124,955.09,1220,115472,,672.6041737500001,94,,
0.001,118425,0.3936315671019256,128,961.47,1252,119472,-73.68483604431152,677.9963516600001,95,,
0.001,119425,0.2796686868928373,,,,120000,-73.76738227844238,,,975.5191010832787,1000.0
