time/time_elapsed,rollout/ep_rew_mean,time/fps,time/total_timesteps,time/iterations,rollout/ep_len_mean,train/std,train/approx_kl,train/entropy_loss,train/learning_rate,train/value_loss,train/clip_range,train/clip_fraction,train/explained_variance,train/policy_gradient_loss,train/n_updates,train/loss,eval/mean_ep_length,eval/mean_reward
4,-127.68156784615387,448,2048,1,121.61538461538461,,,,,,,,,,,,,
9,-126.81331624137931,414,4096,2,114.82758620689656,0.991294801235199,0.010947196,-11.312235143780708,0.0003,228.46337230205535,0.2,0.112109375,-0.004358410835266113,-0.024015634242095983,10,54.791229248046875,,
,,,5000,,,0.9824680685997009,0.013572132,-11.250790238380432,0.0003,149.40242657661437,0.2,0.108984375,0.013414144515991211,-0.025810464422102088,20,43.1535758972168,1000.0,987.4259320892394
31,-150.20540820930233,193,6144,3,136.4418604651163,,,,,,,,,,,,,
38,-136.41650359375,210,8192,4,127.40625,0.9748775362968445,0.015131622,-11.179783922433852,0.0003,153.2625191926956,0.2,0.149072265625,0.009481728076934814,-0.031725469618686476,30,45.54106521606445,,
,,,10000,,,0.9686728715896606,0.011742182,-11.120997592806816,0.0003,140.15768580436708,0.2,0.134033203125,0.009263217449188232,-0.03413818853441626,40,42.212276458740234,1000.0,952.136738123186
60,-132.39360232467536,170,10240,5,126.62337662337663,,,,,,,,,,,,,
67,-123.99631843000002,182,12288,6,118.22,0.9579787254333496,0.012458724,-11.051371917128563,0.0003,124.62786337137223,0.2,0.1486328125,0.15013909339904785,-0.03572210965794511,50,42.13981246948242,,
73,-133.51904781000002,194,14336,7,128.37,0.9545034766197205,0.010834185,-10.992310425639152,0.0003,179.50787167549134,0.2,0.129443359375,0.08505094051361084,-0.03188448571017943,60,57.511871337890625,,
,,,15000,,,0.9389524459838867,0.016821716,-10.904391631484032,0.0003,69.61344498991966,0.2,0.1578125,0.0975339412689209,-0.03463142105611041,70,12.574981689453125,917.1,871.6260451468988
92,-122.52723560999999,176,16384,8,119.77,,,,,,,,,,,,,
98,-115.571055,186,18432,9,116.24,0.9346829652786255,0.009763875,-10.82591142654419,0.0003,179.71832351684571,0.2,0.109130859375,0.15681886672973633,-0.030253321875352412,80,94.12682342529297,,
,,,20000,,,0.9300779700279236,0.012175359,-10.789556497335434,0.0003,126.61354882717133,0.2,0.1400390625,0.24979031085968018,-0.034936678459052926,90,36.04470443725586,785.6,707.0369666189985
118,-126.99402690000001,173,20480,10,126.85,,,,,,,,,,,,,
125,-104.50763805000003,180,22528,11,106.29,0.9208738803863525,0.01148317,-10.73168367445469,0.0003,111.93140896558762,0.2,0.11640625,0.34070128202438354,-0.03181123555114027,100,54.23379898071289,,
131,-112.99008110999999,187,24576,12,115.64,0.9204607605934143,0.008551285,-10.689816883206367,0.0003,260.3989367008209,0.2,0.06875,0.17145633697509766,-0.024837150852545165,110,135.88014221191406,,
,,,25000,,,0.9106825590133667,0.011573706,-10.643215715885162,0.0003,90.51901948451996,0.2,0.115771484375,0.4905382990837097,-0.034772388517740185,120,20.72153663635254,933.3,810.3879793903092
150,-98.41543460000001,176,26624,13,102.96,,,,,,,,,,,,,
157,-97.18955856000001,182,28672,14,103.14,0.9028224945068359,0.01150971,-10.564145889878272,0.0003,158.53914754390718,0.2,0.11279296875,0.5661521255970001,-0.035105358890723436,130,53.63241958618164,,
,,,30000,,,0.8942230939865112,0.013856962,-10.490660548210144,0.0003,91.47505001425743,0.2,0.15029296875,0.5664437413215637,-0.034604342427337544,140,46.68123245239258,858.6,780.0065106114838
176,-94.81010186000002,174,30720,15,102.05,,,,,,,,,,,,,
182,-107.00558493,179,32768,16,114.64,0.8925521373748779,0.010353939,-10.449537268280983,0.0003,154.6951863527298,0.2,0.104052734375,0.5573486983776093,-0.029604888358153402,150,56.9619255065918,,
189,-106.20563696000004,184,34816,17,112.79,0.8883625268936157,0.01196568,-10.419350171089173,0.0003,182.53384871482848,0.2,0.11748046875,0.4828348755836487,-0.03222308373078704,160,50.671810150146484,,
,,,35000,,,0.8871644139289856,0.011749517,-10.395734977722167,0.0003,167.46437220573426,0.2,0.115185546875,0.607903003692627,-0.033792143969913015,170,74.51087188720703,1000.0,872.1054848227534
212,-86.96999877000002,173,36864,18,92.68,,,,,,,,,,,,,
218,-75.7850617,178,38912,19,80.33,0.8834763765335083,0.012418804,-10.374316564202308,0.0003,156.7465194940567,0.2,0.130908203125,0.6524524986743927,-0.03473422504903283,180,34.652889251708984,,
,,,40000,,,0.8752886652946472,0.010868255,-10.317694330215454,0.0003,115.4316890001297,0.2,0.10458984375,0.6878205835819244,-0.03317531305365264,190,48.720462799072266,1000.0,873.9945184769982
238,-67.86855236000001,171,40960,20,75.3,,,,,,,,,,,,,
245,-77.13232678,174,43008,21,85.64,0.8709151744842529,0.012492711,-10.25834917128086,0.0003,114.41511945724487,0.2,0.14501953125,0.7524258345365524,-0.03669011154852342,200,65.77967834472656,,
,,,45000,,,0.8666210770606995,0.014890496,-10.215919622778893,0.0003,77.18778354525566,0.2,0.183984375,0.8315135538578033,-0.04346739805478137,210,21.406539916992188,905.7,819.3207661128821
266,-85.3482044,169,45056,22,95.17,,,,,,,,,,,,,
273,-86.16359648999997,172,47104,23,96.31,0.8590096235275269,0.014440799,-10.164481469988823,0.0003,107.69204677343369,0.2,0.172998046875,0.7999529838562012,-0.0417833331564907,220,50.58005905151367,,
280,-81.96798274999999,175,49152,24,92.92,0.8537684679031372,0.013743966,-10.105539271235466,0.0003,128.69885141849517,0.2,0.136962890625,0.7555792182683945,-0.03605597732239403,230,50.65519714355469,,
,,,50000,,,0.850817084312439,0.011584665,-10.068633064627647,0.0003,164.66084187030793,0.2,0.12373046875,0.6784892678260803,-0.035572884319117294,240,86.81034851074219,720.9,603.2050398201333
297,-65.67130892,171,51200,25,74.23,,,,,,,,,,,,,
302,-69.77430425,175,53248,26,84.39,0.8464056253433228,0.013248039,-10.028531107306481,0.0003,150.21052424907685,0.2,0.151611328125,0.7256247997283936,-0.040928374300710856,250,50.52704620361328,,
,,,55000,,,0.835792064666748,0.0151228625,-9.959065359830856,0.0003,88.12257676124572,0.2,0.177392578125,0.8518176376819611,-0.0435703339317115,260,29.079345703125,646.8,494.7740046111605
319,-76.71012278999999,173,55296,27,95.05,,,,,,,,,,,,,
326,-85.60657798999999,175,57344,28,106.78,0.8246681094169617,0.016286831,-9.845067089796066,0.0003,68.16826529502869,0.2,0.185791015625,0.8306970149278641,-0.04018847165862098,270,35.65868377685547,,
332,-76.51462334000001,178,59392,29,96.93,0.8192534446716309,0.014468633,-9.775836130976677,0.0003,114.73154364824295,0.2,0.159521484375,0.7116707861423492,-0.0370527422579471,280,37.976078033447266,,
,,,60000,,,0.8164654970169067,0.012672083,-9.732056280970573,0.0003,163.78953053951264,0.2,0.15126953125,0.6693665981292725,-0.03930304438981693,290,61.58458709716797,937.2,769.6799132891902
353,-92.50848538,173,61440,30,118.22,,,,,,,,,,,,,
360,-92.14988019,176,63488,31,120.23,0.8083343505859375,0.017485484,-9.674059095978738,0.0003,59.48340446650982,0.2,0.196826171875,0.8595790714025497,-0.04593569210992428,300,17.94603157043457,,
,,,65000,,,0.8008533120155334,0.015991975,-9.599262309074401,0.0003,117.87512060403824,0.2,0.184716796875,0.820798322558403,-0.04428912547882646,310,67.83373260498047,826.0,637.209175979349
378,-62.711522219999985,173,65536,32,81.63,,,,,,,,,,,,,
384,-69.90195315999999,175,67584,33,92.15,0.7960777282714844,0.012993225,-9.54037204682827,0.0003,218.05031707286835,0.2,0.14287109375,0.1442204713821411,-0.036468078946927565,320,80.76697540283203,,
391,-61.0779486,178,69632,34,80.88,0.7884818315505981,0.019325875,-9.470872357487679,0.0003,60.86483608484268,0.2,0.2197265625,0.824832484126091,-0.050235573638929054,330,25.610309600830078,,
,,,70000,,,0.7858213186264038,0.015782924,-9.428233897686004,0.0003,108.44173718690872,0.2,0.18916015625,0.7333430349826813,-0.04500729053688701,340,55.38764953613281,722.9,540.6681520730868
409,-58.287980519999984,175,71680,35,79.18,,,,,,,,,,,,,
415,-68.89350711,177,73728,36,97.79,0.780445396900177,0.018739358,-9.37732121348381,0.0003,46.93108564019203,0.2,0.211572265625,0.7777920812368393,-0.04839398121112026,350,21.189659118652344,,
,,,75000,,,0.7726004719734192,0.018156674,-9.310061973333358,0.0003,55.610161703825,0.2,0.204248046875,0.8928372859954834,-0.04925306295335759,360,19.85627555847168,596.5,439.6817847708415
430,-59.83475768,175,75776,37,88.66,,,,,,,,,,,,,
437,-42.91817276,177,77824,38,66.01,0.7694248557090759,0.011792363,-9.259599235653877,0.0003,146.11202318668364,0.2,0.128759765625,0.17455792427062988,-0.03756220068025869,370,63.64863204956055,,
444,-38.73380024,179,79872,39,55.91,0.7633152008056641,0.013818622,-9.210536709427833,0.0003,139.63487951755525,0.2,0.15546875,0.5733399093151093,-0.04321342154871673,380,68.00531768798828,,
,,,80000,,,0.7633205652236938,0.018352762,-9.184040129184723,0.0003,66.91023188233376,0.2,0.217919921875,0.7985658049583435,-0.04808471125725191,390,40.865196228027344,509.9,346.21164633621595
457,-47.165620309999994,179,81920,40,66.25,,,,,,,,,,,,,
463,-49.42292343,181,83968,41,73.92,0.759247362613678,0.015099124,-9.156910479068756,0.0003,133.5249719619751,0.2,0.176123046875,0.418820858001709,-0.04712668998981826,400,53.836883544921875,,
,,,85000,,,0.7554498910903931,0.019926276,-9.116475665569306,0.0003,58.250195908546445,0.2,0.24033203125,0.8552408516407013,-0.05519722358440049,410,18.94438362121582,112.6,76.2551790268044
471,-51.85040044999999,182,86016,42,76.48,,,,,,,,,,,,,
478,-44.582583379999996,184,88064,43,66.82,0.750950038433075,0.015669841,-9.07251334786415,0.0003,88.1728098988533,0.2,0.175927734375,0.8189786970615387,-0.047229170237551445,420,33.40260314941406,,
,,,90000,,,0.7476760149002075,0.017988041,-9.030989050865173,0.0003,137.97758774757386,0.2,0.222216796875,0.7113812863826752,-0.04909989152947673,430,96.75432586669922,316.7,205.38976624959614
490,-52.43792500000001,183,90112,44,79.65,,,,,,,,,,,,,
497,-57.00601329,185,92160,45,86.4,0.741826057434082,0.016690277,-8.978055447340012,0.0003,91.18398777246475,0.2,0.18896484375,0.7802428305149078,-0.050031194905750455,440,26.697996139526367,,
503,-68.75648450000001,187,94208,46,102.08,0.7389527559280396,0.016588148,-8.936641293764115,0.0003,117.16332436800003,0.2,0.187109375,0.7293840944766998,-0.050146407118882054,450,47.2292366027832,,
,,,95000,,,0.7331782579421997,0.018987563,-8.886555993556977,0.0003,86.57747762203216,0.2,0.225830078125,0.7827436774969101,-0.05082837469526567,460,32.0615234375,134.2,101.80251669954741
511,-63.479102250000004,188,96256,47,99.34,,,,,,,,,,,,,
518,-57.83343869,189,98304,48,92.1,0.7281018495559692,0.02003038,-8.824832424521446,0.0003,77.37028386592866,0.2,0.227490234375,0.8295873999595642,-0.05232851133623626,470,31.239017486572266,,
,,,100000,,,0.7241024971008301,0.018333416,-8.779082322120667,0.0003,91.79840902090072,0.2,0.208154296875,0.7948502898216248,-0.05014339151675813,480,35.309383392333984,232.8,150.3823533664381
528,-48.859011929999994,190,100352,49,73.68,,,,,,,,,,,,,
534,-32.684859450000005,191,102400,50,48.2,0.7182016372680664,0.017227493,-8.71803184747696,0.0003,155.98946583271027,0.2,0.212109375,0.30092334747314453,-0.05382555587857496,490,80.71337127685547,,
540,-31.32200689,193,104448,51,47.39,0.7118736505508423,0.01929588,-8.651840025186539,0.0003,127.97423627376557,0.2,0.21044921875,0.23916101455688477,-0.054184316939790735,500,55.728271484375,,
,,,105000,,,0.7095397710800171,0.021071058,-8.608293068408965,0.0003,88.59380115270615,0.2,0.225146484375,0.7325999140739441,-0.05454579764045775,510,25.526926040649414,341.0,196.98873988821578
551,-40.612500229999995,193,106496,52,63.63,,,,,,,,,,,,,
558,-50.573537689999995,194,108544,53,83.7,0.6995399594306946,0.039806966,-8.525722533464432,0.0003,18.794539181888105,0.2,0.39130859375,0.8404303193092346,-0.06002045882632956,520,5.454709529876709,,
,,,110000,,,0.6889436841011047,0.029845249,-8.407596489787101,0.0003,28.982636818289755,0.2,0.303173828125,0.9028400182723999,-0.05564113016589545,530,8.086002349853516,530.4,299.29903024939557
573,-54.89093835,192,110592,54,92.85,,,,,,,,,,,,,
580,-61.324377459999994,194,112640,55,103.22,0.685017466545105,0.018951016,-8.332749548554421,0.0003,53.86121270060539,0.2,0.223974609375,0.8643617779016495,-0.05131047901813872,540,25.71392822265625,,
586,-69.14014035,195,114688,56,119.1,0.6800993084907532,0.02325438,-8.285452237725258,0.0003,35.38206368088722,0.2,0.230419921875,0.6544920802116394,-0.04909061330836266,550,13.088397979736328,,
,,,115000,,,0.6757926344871521,0.02029782,-8.22552599310875,0.0003,53.50122747421265,0.2,0.221826171875,0.8297862410545349,-0.051819507099571636,560,17.456802368164062,157.5,95.7558326705941
595,-81.27648438,196,116736,57,139.23,,,,,,,,,,,,,
601,-79.74945465,197,118784,58,138.1,0.6683934330940247,0.02594804,-8.153700387477874,0.0003,40.84702227115631,0.2,0.2775390625,0.831929549574852,-0.05150956769066397,570,15.28815746307373,,
,,,120000,,,0.6620194911956787,0.020943169,-8.063552993535996,0.0003,60.36870612502098,0.2,0.22353515625,0.855686292052269,-0.0548845498560695,580,36.80986785888672,301.3,181.7995345133473
612,-85.03079058000002,197,120832,59,148.28,,,,,,,,,,,,,
619,-77.93750178999998,198,122880,60,138.26,0.6570919752120972,0.040841945,-8.009131656587124,0.0003,29.006340184807776,0.2,0.368115234375,0.40828728675842285,-0.04187151341175195,590,6.868596076965332,,
625,-87.64525318999999,199,124928,61,156.89,0.6566445827484131,0.01605718,-7.973328796029091,0.0003,90.31259031295777,0.2,0.1544921875,0.6976850628852844,-0.04470662612147862,600,40.8636360168457,,
,,,125000,,,0.6469780206680298,0.026031189,-7.893105673789978,0.0003,31.585724693536758,0.2,0.278515625,0.8299213796854019,-0.053686919240863065,610,19.86449432373047,80.6,46.128478779061695
632,-70.23031703000001,200,126976,62,128.77,,,,,,,,,,,,,
639,-62.94441070999999,201,129024,63,121.48,0.6417734622955322,0.02148521,-7.816251727938652,0.0003,55.78981991410255,0.2,0.23701171875,0.8248279392719269,-0.054993688836111686,620,23.01157569885254,,
,,,130000,,,0.6343346834182739,0.025237441,-7.728976029157638,0.0003,53.550196611881255,0.2,0.277587890625,0.8677218407392502,-0.06177084859227762,630,24.78154945373535,303.2,194.09354991738218
651,-43.28077246000001,201,131072,64,93.96,,,,,,,,,,,,,
658,-41.25540632,202,133120,65,93.67,0.630047082901001,0.018603096,-7.660653398931027,0.0003,58.58010484576225,0.2,0.207666015625,0.8281266242265701,-0.0504946693778038,640,19.354768753051758,,
,,,135000,,,0.6237025856971741,0.02782351,-7.594782784581184,0.0003,41.91275795698166,0.2,0.275341796875,0.891995407640934,-0.05960983277182095,650,18.559465408325195,75.5,56.53204954080138
665,-35.57002914,202,135168,66,85.38,,,,,,,,,,,,,
671,-43.84193612,204,137216,67,104.27,0.6209076642990112,0.020562708,-7.536105011403561,0.0003,60.685473734140395,0.2,0.23935546875,0.8255725651979446,-0.05459241357748397,660,36.80084991455078,,
677,-43.916543059999995,205,139264,68,103.53,0.612565815448761,0.042059354,-7.463684667646885,0.0003,15.859090228378772,0.2,0.385986328125,0.8617753684520721,-0.06005885812919587,670,8.620266914367676,,
,,,140000,,,0.6082046031951904,0.024622481,-7.372306659817696,0.0003,43.49367510080337,0.2,0.261474609375,0.8605246394872665,-0.05947961694619153,680,16.637651443481445,88.3,49.97483384635416
685,-46.933734750000006,206,141312,69,103.63,,,,,,,,,,,,,
692,-39.964107729999995,207,143360,70,91.73,0.6068180799484253,0.018663842,-7.341182838380337,0.0003,63.84835106730461,0.2,0.205859375,0.7842646241188049,-0.05205022593145259,690,32.769683837890625,,
,,,145000,,,0.6047399640083313,0.01985793,-7.321598796546459,0.0003,53.23687827587128,0.2,0.215771484375,0.8549167513847351,-0.05601406339555979,700,27.662694931030273,95.5,67.68273557259526
700,-30.771964469999997,207,145408,71,73.86,,,,,,,,,,,,,
706,-30.534237850000004,208,147456,72,82.26,0.6007941961288452,0.021767799,-7.274334774911404,0.0003,53.1571845293045,0.2,0.261376953125,0.839825302362442,-0.058805067391949704,710,20.61481285095215,,
712,-26.945640530000002,209,149504,73,80.25,0.5963122248649597,0.020075884,-7.217433160543441,0.0003,70.50464297533036,0.2,0.2251953125,0.699038952589035,-0.05577111640886869,720,37.04523468017578,,
,,,150000,,,0.5953328013420105,0.027084235,-7.1863225370645525,0.0003,43.390104418993,0.2,0.315234375,0.8454930633306503,-0.06506264139025006,730,15.651172637939453,481.4,293.5867782660527
727,-27.37958743,208,151552,74,78.7,,,,,,,,,,,,,
