time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/value_loss,train/clip_range,train/learning_rate,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/loss,train/std,train/clip_fraction,train/n_updates,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
3,1,2048,203.5,-223.25907116666667,646,,,,,,,,,,,,,
8,2,4096,103.15625,-109.61936271875001,510,203.46574027538298,0.2,0.0003,0.012274478,-0.021454215049743652,-0.02516534202150069,31.972909927368164,0.9824501276016235,0.120703125,10,-11.264646303653716,,
,,5000,,,,116.80769251585006,0.2,0.0003,0.0122067705,-0.00972127914428711,-0.024521118839038535,34.663936614990234,0.9739997386932373,0.100146484375,20,-11.176015222072602,1000.0,985.1182099085767
24,3,6144,93.51724137931035,-96.69363462068966,249,,,,,,,,,,,,,
28,4,8192,109.8169014084507,-114.30298688732397,284,140.80739877223968,0.2,0.0003,0.0119403405,0.020623087882995605,-0.03163695998082403,48.36806106567383,0.9623174667358398,0.120556640625,30,-11.086709517240525,,
,,10000,,,,135.38349984884263,0.2,0.0003,0.012541576,0.09775549173355103,-0.027690202137455343,26.655410766601562,0.9515994191169739,0.113525390625,40,-11.001949533820152,1000.0,952.5534835428582
45,5,10240,111.64444444444445,-116.56806264444444,227,,,,,,,,,,,,,
49,6,12288,117.81632653061224,-120.49541016326529,248,125.56267828941345,0.2,0.0003,0.013094556,0.08225101232528687,-0.03373809208860621,42.5207405090332,0.9398298859596252,0.137353515625,50,-10.897215968370437,,
53,7,14336,115.69,-117.04014661000001,265,104.02389990091324,0.2,0.0003,0.011175044,0.15532326698303223,-0.028958166422671638,34.76495361328125,0.9306588172912598,0.11357421875,60,-10.819073936343193,,
,,15000,,,,142.8994624376297,0.2,0.0003,0.011711154,0.16459578275680542,-0.03438688385358546,86.1913833618164,0.9241893291473389,0.141064453125,70,-10.745737224817276,1000.0,919.5152440696954
70,8,16384,126.56,-126.3385205,233,,,,,,,,,,,,,
74,9,18432,126.34,-123.43093993999997,247,114.84617770910263,0.2,0.0003,0.012066603,0.13523077964782715,-0.03483319591905456,32.51490783691406,0.9186877012252808,0.13759765625,80,-10.700030398368835,,
,,20000,,,,154.92952766418458,0.2,0.0003,0.010989136,0.24043947458267212,-0.03465397245890926,68.54273986816406,0.9154574871063232,0.1310546875,90,-10.65936387181282,1000.0,829.3829301974678
90,10,20480,109.43,-105.84561785999996,225,,,,,,,,,,,,,
95,11,22528,84.26,-82.06122857,236,167.0468947649002,0.2,0.0003,0.009471902,0.2583576440811157,-0.029706601914949716,66.28182983398438,0.9142864942550659,0.09638671875,100,-10.642912298440933,,
99,12,24576,74.1,-72.3226695,246,251.12179021835328,0.2,0.0003,0.008905809,0.20511364936828613,-0.027683757658815013,87.07567596435547,0.9143497943878174,0.084814453125,110,-10.634916687011719,,
,,25000,,,,173.92324993610382,0.2,0.0003,0.010932655,0.3432720899581909,-0.03269821586436592,93.56985473632812,0.9121888875961304,0.112939453125,120,-10.628866821527481,728.1,659.4171780407574
112,13,26624,74.32,-72.22494972,236,,,,,,,,,,,,,
117,14,28672,84.2,-81.09640154,244,167.8972695827484,0.2,0.0003,0.009403167,0.47351014614105225,-0.02907316359487595,79.52855682373047,0.908293604850769,0.0953125,130,-10.59708243906498,,
,,30000,,,,113.82765634059906,0.2,0.0003,0.012856352,0.4523842930793762,-0.0352258153638104,57.40599822998047,0.899364173412323,0.13994140625,140,-10.538182932138444,519.7,472.39772690602115
127,15,30720,93.55,-88.84320665,240,,,,,,,,,,,,,
132,16,32768,100.87,-95.5130689,247,73.93831419348717,0.2,0.0003,0.013337892,0.29621022939682007,-0.03784733071515802,23.196632385253906,0.8946021199226379,0.153662109375,150,-10.481184768676759,,
137,17,34816,122.35,-115.37233094000001,254,127.88576908111573,0.2,0.0003,0.010107156,0.49692589044570923,-0.03285225025902037,67.43353271484375,0.8896143436431885,0.103173828125,160,-10.440459883213043,,
,,35000,,,,89.53243676424026,0.2,0.0003,0.011805009,0.6789845526218414,-0.03586147072783206,38.09782028198242,0.8882796764373779,0.13203125,170,-10.407961842417716,827.8,733.3112676524266
152,18,36864,122.0,-113.65198731000002,242,,,,,,,,,,,,,
156,19,38912,141.41,-132.40423583999998,248,133.6844072341919,0.2,0.0003,0.011993413,0.6724698543548584,-0.03445550037431531,58.98360824584961,0.8841294050216675,0.12177734375,180,-10.38632715344429,,
,,40000,,,,49.58286020457744,0.2,0.0003,0.016203659,0.6954032778739929,-0.038060845332802275,27.927562713623047,0.878436803817749,0.168798828125,190,-10.33364795744419,730.4,656.6570298623992
169,20,40960,141.21,-131.49282947,241,,,,,,,,,,,,,
174,21,43008,112.41,-104.94283628000002,247,140.29199922084808,0.2,0.0003,0.012306216,0.6874398291110992,-0.033009696222143246,67.84114074707031,0.8714690208435059,0.115966796875,200,-10.282176914811135,,
,,45000,,,,156.82464042901992,0.2,0.0003,0.012371621,0.670644611120224,-0.03884368730359711,52.948028564453125,0.8665233850479126,0.145654296875,210,-10.222782322764397,479.8,409.2501696729945
184,22,45056,122.69,-113.25100376,244,,,,,,,,,,,,,
188,23,47104,101.72,-91.36682154,249,126.23523312807083,0.2,0.0003,0.015035546,0.691704273223877,-0.03409414673224091,62.8325309753418,0.8600318431854248,0.157080078125,220,-10.17378752529621,,
192,24,49152,101.21,-89.59226238,254,173.33684661388398,0.2,0.0003,0.011630471,0.6925697922706604,-0.03749669076642022,59.24946594238281,0.8579445481300354,0.126953125,230,-10.135897147655488,,
,,50000,,,,71.2163901925087,0.2,0.0003,0.01622757,0.759599432349205,-0.039190262602642176,35.563682556152344,0.8532401919364929,0.1873046875,240,-10.095697277784348,102.6,84.30401441510767
198,25,51200,100.94,-89.20150218999999,258,,,,,,,,,,,,,
202,26,53248,89.66,-76.92270386,262,155.8132238984108,0.2,0.0003,0.010638412,0.75641930103302,-0.030304647376760842,59.691932678222656,0.8490071892738342,0.11162109375,250,-10.058303979039191,,
,,55000,,,,165.49359917640686,0.2,0.0003,0.01311137,0.7582679986953735,-0.03687018566997722,70.54041290283203,0.841123104095459,0.134912109375,260,-10.001520046591759,276.3,195.52265217198
210,27,55296,50.11,-44.464950609999995,262,,,,,,,,,,,,,
215,28,57344,58.83,-51.351906199999995,266,222.8147786617279,0.2,0.0003,0.0118588675,0.21202468872070312,-0.03599364410038106,111.92815399169922,0.8377600312232971,0.127978515625,270,-9.946935018897056,,
219,29,59392,58.49,-50.228817260000014,270,108.72259135246277,0.2,0.0003,0.011627551,0.81588014960289,-0.0372817497322103,40.55931854248047,0.8347558975219727,0.130126953125,280,-9.916344457864762,,
,,60000,,,,110.6430118918419,0.2,0.0003,0.01379168,0.8090739548206329,-0.037822767975740135,43.96686935424805,0.8302450776100159,0.146826171875,290,-9.885618820786476,69.3,51.348039765481374
225,30,61440,69.75,-58.847009320000005,273,,,,,,,,,,,,,
229,31,63488,77.63,-64.49606055999999,276,192.20350782871247,0.2,0.0003,0.013184613,0.6183888912200928,-0.03813216015405487,72.73953247070312,0.8275172710418701,0.146923828125,300,-9.844446301460266,,
,,65000,,,,137.56674320697783,0.2,0.0003,0.013723668,0.7853682786226273,-0.042556489977869205,52.8553581237793,0.8221070766448975,0.16044921875,310,-9.805535274744035,75.6,47.15476430672861
235,32,65536,65.43,-53.125922920000015,278,,,,,,,,,,,,,
239,33,67584,75.72,-63.257418500000014,281,62.77870888710022,0.2,0.0003,0.016958967,0.7764728963375092,-0.04553377360862214,30.976381301879883,0.8183426856994629,0.20087890625,320,-9.75923258960247,,
244,34,69632,86.39,-70.99316433,284,134.30718158483506,0.2,0.0003,0.015269343,0.7837419956922531,-0.04274509963433957,107.94409942626953,0.8114587068557739,0.165478515625,330,-9.709750998020173,,
,,70000,,,,113.76432631015777,0.2,0.0003,0.01640545,0.8130283355712891,-0.0442589305981528,40.14229202270508,0.8071615099906921,0.181884765625,340,-9.655245143175126,35.8,21.278571965917944
249,35,71680,96.99,-79.89986778000001,287,,,,,,,,,,,,,
254,36,73728,78.36,-62.28558441999999,289,126.67051390409469,0.2,0.0003,0.014614172,0.8068642318248749,-0.04347283564857207,52.727176666259766,0.7999304533004761,0.171435546875,350,-9.596931448578834,,
,,75000,,,,155.878178024292,0.2,0.0003,0.01694246,0.7802102416753769,-0.046003266016487035,78.17349243164062,0.7954767942428589,0.19609375,360,-9.533831629157067,37.1,26.200923291568778
259,37,75776,77.19,-59.25902696999999,292,,,,,,,,,,,,,
263,38,77824,86.8,-66.5666938,295,137.57697471380234,0.2,0.0003,0.0152742285,0.810256838798523,-0.04369894592673518,56.791988372802734,0.7914157509803772,0.178662109375,370,-9.491698229312897,,
268,39,79872,83.09,-62.373882140000006,297,65.40559121966362,0.2,0.0003,0.019643443,0.6563515067100525,-0.044896307386807166,23.010295867919922,0.7904953956604004,0.211328125,380,-9.47052896618843,,
,,80000,,,,97.8445476770401,0.2,0.0003,0.015917486,0.8228778839111328,-0.04543101094313897,41.40705108642578,0.7852921485900879,0.17578125,390,-9.443483892083169,44.6,33.359363506361845
273,40,81920,94.67,-70.31140859000001,299,,,,,,,,,,,,,
278,41,83968,62.46,-45.36609448,301,96.24815737009048,0.2,0.0003,0.015586412,0.8352408111095428,-0.04425889010890387,39.02511978149414,0.7816596627235413,0.17294921875,400,-9.391073852777481,,
,,85000,,,,178.28456094264985,0.2,0.0003,0.01626753,0.6393420696258545,-0.04687253968149889,84.76355743408203,0.7763127088546753,0.19130859375,410,-9.341530859470367,50.9,33.999752225819975
283,42,86016,58.72,-41.942183879999995,303,,,,,,,,,,,,,
288,43,88064,78.44,-58.78880509,305,72.71931278705597,0.2,0.0003,0.021634575,0.8773832321166992,-0.053972943269764075,43.27806854248047,0.7682964205741882,0.2302734375,420,-9.268121638894081,,
,,90000,,,,56.840589207410815,0.2,0.0003,0.021167675,0.7609557062387466,-0.047378718250547534,22.796741485595703,0.76259446144104,0.24482421875,430,-9.204748493432998,243.1,124.68509245315799
295,44,90112,79.21,-58.82844787,304,,,,,,,,,,,,,
300,45,92160,68.91,-48.89705671000001,306,112.11917114257812,0.2,0.0003,0.014863242,0.7844627350568771,-0.04659845226269681,26.485740661621094,0.7596597671508789,0.177978515625,440,-9.163197126984596,,
305,46,94208,46.72,-31.15757115,308,103.03012999296189,0.2,0.0003,0.019440414,0.1789405345916748,-0.05402943787339609,59.57796096801758,0.7518797516822815,0.225146484375,450,-9.097040519118309,,
,,95000,,,,118.39615052938461,0.2,0.0003,0.015414108,0.7826666235923767,-0.043518467238754965,38.48721694946289,0.7489032745361328,0.172705078125,460,-9.046983617544175,199.4,99.61945853395737
312,47,96256,48.69,-33.53495185,308,,,,,,,,,,,,,
