time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,time/fps,train/learning_rate,train/n_updates,train/actor_loss,train/critic_loss,eval/mean_ep_length,eval/mean_reward
0,22,5.5,39.71696525,4,3364,,,,,,
0,47,5.875,43.21393975,8,3351,,,,,,
0,72,6.0,44.483972249999994,12,3450,,,,,,
0,95,5.9375,43.949394625000004,16,3526,,,,,,
0,114,5.7,41.655809000000005,20,771,0.001,15,-7.040684223175049,67.23508071899414,,
0,129,5.375,38.57882858333333,24,499,0.001,30,-5.705761194229126,42.733978271484375,,
0,144,5.142857142857143,36.38124935714286,28,276,0.001,45,-7.539422035217285,15.96565842628479,,
0,159,4.96875,34.73085424999999,32,246,0.001,60,-7.896000862121582,17.502214431762695,,
0,172,4.777777777777778,32.97693727777777,36,226,0.001,74,-7.237870931625366,15.594446818033854,,
0,187,4.675,31.996759524999998,40,210,0.001,89,-7.90291690826416,14.19568657875061,,
1,202,4.590909090909091,31.194634499999996,44,200,0.001,103,-7.685935735702515,13.968069791793823,,
1,215,4.479166666666667,30.177566770833334,48,191,0.001,117,-7.921146392822266,14.126765251159668,,
1,228,4.384615384615385,29.313703596153843,52,183,0.001,130,-8.270429611206055,14.094090461730957,,
1,243,4.339285714285714,28.877764875,56,171,0.001,145,-7.227221250534058,12.658249378204346,,
1,256,4.266666666666667,28.21841811666667,60,162,0.001,158,-7.5236897468566895,14.57873503367106,,
1,268,4.1875,27.509663187500003,64,161,0.001,170,-7.735362529754639,12.90753142038981,,
1,282,4.147058823529412,27.13283714705883,68,161,0.001,183,-8.516111373901367,13.135677655537924,,
1,296,4.111111111111111,26.797606277777774,72,157,0.001,197,-7.334599494934082,11.128413200378418,,
1,309,4.065789473684211,26.387739881578945,76,156,0.001,211,-7.647876262664795,11.944861650466919,,
2,322,4.025,26.0189746,80,156,0.001,223,-7.481782913208008,10.93543815612793,,
2,335,3.988095238095238,25.68411598809524,84,155,0.001,236,-7.522828578948975,10.36176872253418,,
2,347,3.9431818181818183,25.283655772727272,88,155,0.001,249,-8.692660331726074,9.337506612141928,,
2,360,3.9130434782608696,25.009378793478255,92,151,0.001,262,-8.449097156524658,11.401835918426514,,
2,376,3.9166666666666665,25.01749857291667,96,150,0.001,277,-9.074572563171387,12.016201734542847,,
2,391,3.91,24.942022760000004,100,149,0.001,292,-7.715903282165527,9.772199630737305,,
2,405,3.83,24.195583170000006,104,148,0.001,306,-8.587589740753174,11.067328135172525,,
2,417,3.7,23.0022764,108,148,0.001,319,-9.571666717529297,9.862027963002523,,
2,431,3.59,21.962345590000005,112,148,0.001,333,-9.056172847747803,9.705633640289307,,
3,445,3.5,21.11086177,116,147,0.001,346,-8.580834865570068,10.036742210388184,,
3,461,3.47,20.82218794,120,142,0.001,362,-8.794601440429688,9.666763544082642,,
3,473,3.44,20.571221119999997,124,141,0.001,375,-9.0581636428833,9.437959988911947,,
3,485,3.41,20.32027995,128,141,0.001,387,-10.089354515075684,8.672268390655518,,
3,500,3.41,20.31876329,132,140,0.001,402,-7.46585750579834,12.729544639587402,,
3,513,3.41,20.32248269,136,140,0.001,415,-9.57540225982666,9.623858094215393,,
3,528,3.41,20.32237772,140,140,0.001,429,-8.914202690124512,8.067336082458496,,
3,543,3.41,20.321231909999998,144,139,0.001,444,-7.902215242385864,7.910599946975708,,
4,559,3.44,20.571533979999998,148,139,0.001,460,-8.240251302719116,9.561743974685669,,
4,572,3.44,20.571375229999997,152,136,0.001,473,-9.590741157531738,8.545689264933268,,
4,585,3.42,20.40382359,156,134,0.001,487,-8.544700622558594,9.14035701751709,,
4,599,3.43,20.48523669,160,134,0.001,500,-8.531312704086304,7.732537031173706,,
4,614,3.46,20.736991229999997,164,134,0.001,515,-9.3824462890625,7.593969464302063,,
4,627,3.45,20.651815579999997,168,134,0.001,529,-10.646601676940918,7.301030953725179,,
4,639,3.43,20.482679099999995,172,135,0.001,541,-8.146377563476562,7.808114210764567,,
4,652,3.43,20.48134235,176,135,0.001,554,-9.117907047271729,7.580101648966472,,
4,665,3.43,20.47893689,180,135,0.001,567,-7.897345066070557,8.269013404846191,,
5,679,3.44,20.561498549999996,184,135,0.001,581,-9.243068218231201,7.923156499862671,,
5,693,3.46,20.727581639999997,188,135,0.001,595,-10.914545059204102,6.205750226974487,,
5,708,3.48,20.895794679999998,192,135,0.001,610,-9.340621948242188,7.019806981086731,,
5,721,3.45,20.647026499999996,196,135,0.001,623,-10.67050838470459,7.66126024723053,,
5,736,3.45,20.64568177,200,133,0.001,637,-8.893782138824463,8.140057802200317,,
5,750,3.45,20.64611664,204,131,0.001,652,-8.969569206237793,7.2313276926676435,,
5,765,3.48,20.89851026,208,129,0.001,667,-9.635012149810791,6.344801425933838,,
6,778,3.47,20.81455618,212,129,0.001,680,-8.4905366897583,6.836158275604248,,
6,791,3.46,20.73272449,216,128,0.001,693,-9.843135833740234,6.499768892923991,,
6,806,3.45,20.64690064,220,128,0.001,707,-10.396181106567383,6.8325395584106445,,
6,820,3.47,20.814389570000003,224,126,0.001,722,-9.494065284729004,5.480325857798259,,
6,835,3.5,21.064496340000005,228,126,0.001,736,-9.87266492843628,6.5746612548828125,,
6,849,3.49,20.97938831,232,126,0.001,750,-9.709922313690186,7.831298828125,,
6,864,3.51,21.14338907,236,126,0.001,765,-10.927448272705078,7.747971534729004,,
6,877,3.49,20.976050410000003,240,126,0.001,778,-9.680744647979736,6.101604302724202,,
7,890,3.47,20.811079520000003,244,126,0.001,792,-9.824145793914795,5.27583909034729,,
7,905,3.46,20.72529888,248,125,0.001,806,-10.519721508026123,5.418874979019165,,
7,924,3.52,21.2750502,252,125,0.001,823,-13.274228572845459,5.8057053565979,,
7,965,3.8,23.874107490000007,256,125,0.001,862,-13.609163965497698,6.529745561735971,,
,1000,,,,,0.001,897,-13.68924331665039,6.367655611038208,9.7,79.34086351394653
8,1001,4.02,25.945065320000005,260,123,,,,,,
8,1036,4.22,27.82494173,264,122,0.001,931,-16.30540657043457,5.243791103363037,,
8,1068,4.41,29.598459660000003,268,119,0.001,967,-15.32222867012024,5.719362735748291,,
9,1101,4.62,31.55435151,272,117,0.001,999,-15.943917910257975,6.188003131321499,,
9,1131,4.79,33.145224060000004,276,115,0.001,1029,-15.532399415969849,5.433107972145081,,
10,1164,4.99,35.01480378,280,114,0.001,1059,-15.008487383524576,5.015089171273368,,
10,1198,5.19,36.89054359,284,113,0.001,1094,-16.34584069252014,6.154465079307556,,
10,1233,5.4,38.8632715,288,114,0.001,1129,-17.403414964675903,5.6128109031253395,,
11,1270,5.62,40.93989931,292,115,0.001,1164,-17.990562915802002,4.188250005245209,,
11,1308,5.87,43.28951161,296,113,0.001,1203,-17.403038024902344,4.774357080459595,,
11,1348,6.12,45.653153540000005,300,113,0.001,1243,-18.45412317911784,3.724852999051412,,
12,1392,6.42,48.46749541,304,112,0.001,1286,-18.255890210469563,3.738388928500089,,
13,1433,6.68,50.92180986999999,308,109,0.001,1325,-18.908993244171143,4.145384682549371,,
13,1471,6.93,53.27016420999999,312,108,0.001,1367,-19.45379877090454,3.440674251980252,,
14,1508,7.17,55.52360138,316,106,0.001,1403,-20.452702713012695,3.4145462079481645,,
14,1547,7.41,57.801468830000005,320,105,0.001,1441,-21.054302215576172,3.26271231174469,,
14,1590,7.7,60.52778025000001,324,106,0.001,1482,-22.183382987976074,3.177888254324595,,
15,1639,8.04,63.7292043,328,105,0.001,1534,-21.779780524117605,3.4949129479272023,,
15,1685,8.36,66.71933358999999,332,105,0.001,1573,-21.738994979858397,3.9334065437316896,,
16,1742,8.78,70.66114845,336,105,0.001,1631,-24.838597933451336,3.0657292145949144,,
17,1785,9.08,73.47609496999999,340,104,0.001,1680,-25.213855425516766,2.356043588031422,,
17,1826,9.36,76.11075102000001,344,104,0.001,1722,-24.64745044708252,2.4071636497974396,,
17,1865,9.6,78.38585829,348,104,0.001,1760,-25.71584701538086,3.651186215877533,,
18,1912,9.88,81.0215883,352,105,0.001,1806,-24.64645462036133,2.868468904495239,,
18,1949,9.84,80.67835466999999,356,105,0.001,1845,-25.464253616333007,3.346910285949707,,
,2000,,,,,0.001,1885,-26.615054607391357,2.588074286778768,15.4,132.57259554862975
18,2002,10.01,82.27463762,360,105,,,,,,
19,2045,10.09,83.0435309,364,105,0.001,1939,-27.8393856048584,2.9316245317459106,,
19,2106,10.38,85.76321410999999,368,105,0.001,1989,-28.196392483181423,2.9367141221698962,,
20,2160,10.59,87.72866096,372,104,0.001,2054,-29.598001861572264,2.786434018611908,,
21,2205,10.74,89.14357376000002,376,104,0.001,2098,-30.49959526062012,2.5906046628952026,,
21,2259,10.95,91.11320468,380,103,0.001,2150,-30.03315963745117,3.311243987083435,,
22,2315,11.17,93.18330248000002,384,102,0.001,2203,-31.284413528442382,8.356062173843384,,
23,2366,11.33,94.68780819999998,388,101,0.001,2257,-32.4345600605011,4.1254089921712875,,
23,2431,11.61,97.31883777999998,392,101,0.001,2321,-33.75445573980158,6.462996027686379,,
24,2474,11.66,97.77706224999999,396,102,0.001,2368,-35.98096529642741,4.489916758103804,,
24,2553,12.05,101.40842185999998,400,102,0.001,2436,-35.33708745783026,6.885537374587286,,
25,2629,12.37,104.39993426000001,404,102,0.001,2522,-35.72684817843967,9.999935825665792,,
26,2692,12.59,106.45194235999998,408,102,0.001,2582,-36.374445481733844,6.054603150912693,,
26,2751,12.8,108.41671907999998,412,102,0.001,2644,-37.321571350097656,7.58548629283905,,
27,2824,13.16,111.77535645999998,416,103,0.001,2712,-37.69751793997629,5.5019146374293735,,
28,2888,13.41,114.10033985,420,102,0.001,2781,-39.67541948954264,6.463704665501912,,
28,2976,13.86,118.29643396,424,103,0.001,2846,-40.87170886993408,3.5578575293223063,,
,3000,,,,,0.001,2904,-41.595846811930336,4.95153696640678,20.5,180.19202580451966
29,3062,14.23,121.7244717,428,102,0.001,2948,-41.42903225238506,5.168424863815307,,
30,3160,14.75,126.59794181,432,102,0.001,3038,-44.1507317679269,4.169482452528817,,
31,3242,15.0,128.9415384,436,101,0.001,3134,-45.68677584330241,5.733988220041448,,
32,3333,15.48,133.41315297,440,101,0.001,3219,-45.69891166687012,4.1539165616035465,,
33,3423,15.97,137.98815054,444,101,0.001,3293,-43.85655811854771,5.496157709757487,,
34,3513,16.48,142.7368858,448,102,0.001,3378,-48.090248107910156,5.482392160516036,,
35,3595,16.83,145.99870973,452,102,0.001,3472,-49.05894470214844,6.310411512851715,,
35,3663,17.14,148.88897017000002,456,102,0.001,3554,-48.959715843200684,6.956159464518229,,
36,3740,17.38,151.1231251,460,102,0.001,3630,-50.71496534347534,5.550191481908162,,
37,3795,17.5,152.23761587,464,102,0.001,3686,-51.81779416402181,5.736487646897634,,
38,3886,17.8,155.03435542,468,102,0.001,3758,-52.022617885044646,6.046212563147912,,
38,3949,17.89,155.87140476000002,472,101,0.001,3841,-51.8566689491272,6.708220762365005,,
,4000,,,,,0.001,3902,-53.610704803466795,6.134449458122253,22.1,195.0078570961952
39,4021,18.16,158.37915466,476,101,0.001,3913,-54.66046371459961,6.722222848372026,,
40,4120,18.61,162.58406794,480,101,0.001,4006,-51.720720291137695,6.7439565539360045,,
41,4206,18.91,165.35527588000002,484,100,0.001,4086,-54.61796417236328,7.084505927562714,,
42,4330,19.64,172.15627221000003,488,100,0.001,4195,-55.39463181929155,6.965559275253959,,
44,4448,20.17,177.08051889,492,99,0.001,4326,-57.75707117716471,6.787243803342183,,
45,4550,20.76,182.58064394000002,496,99,0.001,4414,-58.397989145914714,6.580752913157145,,
46,4651,20.98,184.64644051,500,99,0.001,4528,-60.03626327514648,6.168341447567117,,
47,4799,21.7,191.35514695000006,504,100,0.001,4650,-61.31468672979446,6.150739495347186,,
48,4917,22.25,196.49422687000003,508,100,0.001,4782,-62.457428781609785,6.07253105575974,,
,5000,,,,,0.001,4904,-64.19449125017438,7.05172859770911,31.3,281.01565463542937
50,5042,22.91,202.64129807,512,99,,,,,,
51,5142,23.18,205.16047975,516,100,0.001,5009,-64.97942638397217,7.4310440719127655,,
52,5257,23.69,209.91487953,520,100,0.001,5125,-65.5171104007297,7.891067749745137,,
54,5411,24.35,216.07183694,524,100,0.001,5282,-67.87970733642578,7.579343557357788,,
55,5531,24.69,219.27486719,528,98,0.001,5418,-69.15551509027895,7.49681798087226,,
57,5683,25.23,224.3126652,532,98,0.001,5549,-71.02820120917426,7.191936009639019,,
59,5830,25.88,230.36999799999998,536,98,0.001,5668,-70.70367736816407,7.825514348347982,,
61,5958,26.25,233.82457068,540,96,0.001,5827,-73.410228953642,7.5284344308516555,,
,6000,,,,,0.001,5895,-74.17139768600464,7.0512282103300095,35.6,321.11851675510405
63,6057,26.34,234.63783183000004,544,94,0.001,5941,-74.69228490193684,8.406619350115458,,
65,6192,26.79,238.83153303999998,548,94,0.001,6057,-75.57421064376831,8.081579829707291,,
67,6326,27.31,243.68508205,552,94,0.001,6196,-74.11396074295044,9.03847022210398,,
68,6461,27.98,249.93553035000002,556,94,0.001,6324,-76.42455368041992,8.725871220613138,,
70,6640,29.0,259.47112665000003,560,94,0.001,6501,-79.06618273699725,10.551772347203007,,
72,6789,29.94,268.24057976000006,564,93,0.001,6653,-80.6215091281467,20.606020154179753,,
73,6930,30.44,272.90732505000005,568,93,0.001,6805,-82.72278340657552,11.971156519286486,,
,7000,,,,,0.001,6894,-83.40452248709542,15.857913357870919,41.6,377.148545563221
75,7069,31.2,279.99643123999994,572,93,0.001,6940,-82.58123447584069,13.218151154725447,,
78,7217,31.96,287.09953535,576,92,0.001,7085,-84.89396122523716,13.664872333921235,,
79,7357,32.37,290.91003312,580,92,0.001,7212,-86.6848871866862,17.241425875959724,,
81,7505,32.99,296.7169943,584,92,0.001,7366,-85.09829677234997,19.49479919256166,,
82,7645,33.15,298.22315444,588,92,0.001,7518,-89.19126759404722,20.042908880445694,,
84,7831,33.83,304.58166156999994,592,92,0.001,7681,-90.1387939453125,20.012652856332284,,
85,7981,34.31,309.05905587999996,596,93,0.001,7844,-90.74633674621582,19.388802146911623,,
,8000,,,,,0.001,7886,-90.40873863583519,23.477560656411306,47.0,427.686719417572
87,8174,35.23,317.65427135999994,600,92,0.001,8046,-92.8865902549342,19.55740687721654,,
89,8309,35.1,316.44704957,604,93,0.001,8186,-93.34283761417164,20.65250862345976,,
90,8430,35.13,316.70896115,608,93,0.001,8307,-95.45192500523159,23.317697788106983,,
91,8599,35.57,320.82506888000006,612,94,0.001,8471,-93.91288176037017,25.592961621838946,,
92,8785,36.43,328.86130296000005,616,94,0.001,8636,-98.03114559775905,27.386191393878008,,
94,8934,36.77,332.03200881,620,94,0.001,8807,-98.37638727823894,24.52267963409424,,
,9000,,,,,0.001,8839,-97.37707424163818,27.112302482128143,45.9,417.58147169351577
