train/learning_rate,time/episodes,time/total_timesteps,time/time_elapsed,train/actor_loss,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/n_updates,train/critic_loss,eval/mean_reward,eval/mean_ep_length
0.001,4,4000,18,-5.296613658070564,1000.0,-1773.93861875,216,3000,0.5100473379716277,,
0.001,,5000,,-6.053283287525177,,,,4000,0.2524438004344702,-305.92987615950403,157.2
0.001,8,7131,41,-12.055509162902831,891.375,-1342.333687875,173,7000,0.6122185419797898,,
0.001,12,9391,54,-11.331166509628297,782.5833333333334,-1014.6664483333333,173,9372,1.101750575810671,,
0.001,,10000,,-10.409113342379346,,,,9876,1.4808727072686265,203.36027284120937,703.8
0.001,16,12876,74,-10.789652267456054,804.75,-744.4193731875,172,11876,2.065489258289337,,
0.001,,15000,,-11.324186695098877,,,,14876,1.0905977975130081,528.43355597154,1000.0
0.001,20,16876,105,-12.252196510314942,843.8,-496.02429625000013,159,15876,0.8524045735895633,,
0.001,,20000,,-14.341007627487183,,,,19876,0.7272310260534286,716.3811623030458,1000.0
,24,20876,138,,869.8333333333334,-302.6263158333333,150,,,,
0.001,28,24876,161,-17.070820486068726,888.4285714285714,-150.96049935714285,154,23876,0.5681098258495331,,
0.001,,25000,,-17.778277339935304,,,,24876,0.5513212314546109,846.310124983848,1000.0
0.001,32,28876,192,-20.008125526428223,902.375,-25.594870437500006,150,27876,0.5006134561300277,,
0.001,,30000,,-21.477210258483886,,,,29876,0.4906982743442059,913.3076767743216,1000.0
0.001,36,31891,221,-22.94377900314331,885.8611111111111,50.48980355555555,144,31876,0.5254312132000923,,
0.001,40,34902,232,-24.603082021077473,872.55,113.17231390000002,150,33902,0.45618966492739593,,
0.001,,35000,,-25.37323093032837,,,,34902,0.5774485548138618,949.9439026263965,1000.0
0.001,44,38902,260,-27.59728519821167,884.1363636363636,183.2951679318182,149,37902,0.5672893450260162,,
0.001,,40000,,-29.21437335205078,,,,39902,0.5930882206857204,871.5410376348998,1000.0
0.001,48,42902,288,-30.90936743927002,893.7916666666666,248.7886780625,148,41902,0.5624097820222378,,
0.001,,45000,,-33.206992992401126,,,,44902,0.5592179017961025,868.6916050128478,1000.0
0.001,52,46902,317,-34.09276218414307,901.9615384615385,314.3248224230769,147,45902,0.5873895426392555,,
0.001,,50000,,-37.34154669189453,,,,49902,0.5946601167917251,1185.234537006123,1000.0
,56,50902,346,,908.9642857142857,374.17898074999994,146,,,,
0.001,60,54902,367,-40.453164672851564,915.0333333333333,423.36074971666665,149,53902,0.6055766152441502,,
0.001,,55000,,-41.28259770965576,,,,54902,0.6295025054812431,1190.6678384750674,1000.0
0.001,64,58902,394,-43.534053268432615,920.34375,470.53051524999995,149,57902,0.6520444642901421,,
0.001,,60000,,-45.06168849945068,,,,59902,0.6476253061294556,1171.5286086906494,1000.0
0.001,68,62902,423,-46.37411102294922,925.0294117647059,511.47552648529404,148,61902,0.6818386435210705,,
0.001,,65000,,-48.40924825286865,,,,64902,0.7256406450271606,1247.3663370196707,1000.0
0.001,72,66902,451,-49.11291137695312,929.1944444444445,553.2914009027777,148,65902,0.7088157723546028,,
0.001,,70000,,-51.4223642150561,,,,69286,0.8784195729531348,272.5282128689367,1000.0
,76,70286,476,,924.8157894736842,564.2113252236841,147,,,,
0.001,80,74286,496,-53.12116970062256,928.575,583.3095940375,149,73286,0.8623687052726745,,
0.001,,75000,,-53.58913558959961,,,,74286,0.8513596327900886,1340.3883510040584,1000.0
0.001,84,78286,524,-55.24384355926514,931.9761904761905,618.4115110714285,149,77286,0.8870865968465805,,
0.001,,80000,,-56.400328842163084,,,,79286,0.865886433750391,1243.9889348441502,1000.0
0.001,88,82286,552,-56.62335131072998,935.0681818181819,617.7059917386363,148,81286,1.127768101334572,,
0.001,,85000,,-57.95847306060791,,,,84286,1.0486601832211018,1352.5894867818802,1000.0
0.001,92,86286,580,-58.63331925201416,937.8913043478261,645.6389198478261,148,85286,1.078096720814705,,
0.001,,90000,,-60.4852940826416,,,,89286,1.0491004089415072,1408.1774641421157,1000.0
,96,90286,609,,940.4791666666666,677.5470785104167,148,,,,
0.001,100,94286,628,-62.68195706939697,942.86,707.77673831,149,93286,1.0644870809316636,,
0.001,,95000,,-63.21898035430908,,,,94286,1.1078825190663337,1466.2109754776961,1000.0
0.001,104,98286,657,-64.79755952453613,942.86,835.6565842299999,149,97286,1.1029688443243504,,
0.001,,100000,,-65.93504764556884,,,,99286,1.1025660852789878,1468.6635992922122,1000.0
0.001,108,102286,689,-66.9540466003418,951.55,929.7747789599999,148,101286,1.0671168711483479,,
0.001,,105000,,-68.50526525115967,,,,104286,1.088532253921032,1456.7234941558913,1000.0
0.001,112,106286,734,-68.98125099945068,968.95,1002.6993240799999,144,105286,1.059678373813629,,
0.001,,110000,,-71.03899113464355,,,,109286,1.0672697302401066,1460.7005076069386,1000.0
,116,110286,783,,974.1,1058.73593018,140,,,,
0.001,120,114286,817,-73.1090295715332,974.1,1097.91539748,139,113286,1.1253047671616077,,
0.001,,115000,,-73.63225538635254,,,,114286,1.0696752848625184,1473.280160083063,1000.0
0.001,124,118286,869,-74.63541526794434,974.1,1114.37281259,136,117286,1.0576132718324662,,
0.001,,120000,,-75.50979435729981,,,,119286,1.0663554159104824,1570.781465538079,1000.0
0.001,128,122286,920,-76.61035513305664,974.1,1147.17781633,132,121286,1.058355287671089,,
0.001,,125000,,-77.71105259704589,,,,124286,1.0125590853095054,1450.299016956697,1000.0
0.001,132,126286,967,-78.35530897521973,974.1,1176.04551099,130,125286,1.0629809583425522,,
0.001,,130000,,-79.93901760864257,,,,129286,1.0839462614059447,1534.7642077255994,1000.0
,136,130286,1019,,983.95,1210.5551073299998,127,,,,
0.001,140,134286,1054,-81.53648133850098,993.84,1246.38660988,127,133286,1.0595813019871712,,
0.001,,135000,,-81.96097288513184,,,,134286,1.0810920252203942,1632.4912953101098,1000.0
0.001,144,138286,1103,-83.24384605407715,993.84,1275.1192617200002,125,137286,1.062900658994913,,
0.001,,140000,,-83.97279272460938,,,,139286,1.1132024752497673,1618.9306304570287,1000.0
0.001,148,142286,1151,-84.54170428466797,993.84,1302.70142271,123,141286,1.1347885614037514,,
0.001,,145000,,-85.87709841918945,,,,144286,1.1390665663182735,1664.7557947939263,1000.0
0.001,152,146286,1200,-86.24718081665038,993.84,1326.3531267800001,121,145286,1.1699659770131112,,
0.001,,150000,,-87.70888528442383,,,,149286,1.1761850426197051,1774.822903524153,1000.0
,156,150286,1250,,993.84,1347.19849143,120,,,,
0.001,160,154286,1284,-89.16683656311035,993.84,1371.03062683,120,153286,1.2935625405311584,,
0.001,,155000,,-89.63559356689453,,,,154286,1.2965058960318565,1716.516742558591,1000.0
0.001,164,158286,1333,-90.93318055725098,993.84,1394.3524382999997,118,157286,1.3133871219158173,,
0.001,,160000,,-91.79719764709472,,,,159286,1.321327103614807,1816.2643243660452,1000.0
