time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/n_updates,train/explained_variance,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/value_loss,train/entropy_loss,train/learning_rate,train/approx_kl,train/std,train/loss,eval/mean_ep_length,eval/mean_reward
20480,10,84,-112.81320705,240,117.47,,,,,,,,,,,,,
22528,11,89,-81.56704068,252,86.58,100,0.19391000270843506,0.128564453125,-0.034376906680699905,0.2,80.6272227704525,-10.490657809376717,0.0003,0.0120858755,0.8920823335647583,32.62244415283203,,
24576,12,93,-69.11335910999999,263,74.28,110,0.14995503425598145,0.08310546875,-0.027927074929175434,0.2,183.90466392040253,-10.443115597963333,0.0003,0.009257739,0.8932352662086487,83.42642974853516,,
25000,,,,,,120,0.3543979525566101,0.0998046875,-0.03184849202807527,0.2,122.1078247308731,-10.423777845501899,0.0003,0.0098443795,0.8883029222488403,54.59515380859375,1000.0,889.8327543675899
26624,13,107,-81.10218264000001,247,87.29,,,,,,,,,,,,,
28672,14,111,-97.13090176000001,256,105.8,130,0.3419662117958069,0.182666015625,-0.036862325519905426,0.2,38.181368350982666,-10.33842034637928,0.0003,0.016252311,0.8767577409744263,3.76869535446167,,
30000,,,,,,140,0.5088290870189667,0.167724609375,-0.03784221897949465,0.2,65.34205601811409,-10.237977054715156,0.0003,0.013605734,0.8660482168197632,21.28375244140625,1000.0,893.9664923548698
30720,15,126,-102.71670867999997,242,113.47,,,,,,,,,,,,,
32768,16,130,-103.19073377,250,115.32,150,0.6352567374706268,0.11162109375,-0.02928991129156202,0.2,61.67632748484611,-10.174662566184997,0.0003,0.010787811,0.8598911762237549,32.4686164855957,,
34816,17,135,-108.73043864000002,257,122.92,160,0.628480851650238,0.123779296875,-0.030355195119045674,0.2,67.70515147447585,-10.121594417095185,0.0003,0.012024598,0.8552853465080261,31.0253849029541,,
35000,,,,,,170,0.10249412059783936,0.0896484375,-0.028968473125132732,0.2,178.7908577442169,-10.073905071616172,0.0003,0.009846986,0.8497670888900757,77.33476257324219,953.3,827.3613772571086
36864,18,149,-114.25790225999998,247,129.95,,,,,,,,,,,,,
38912,19,153,-93.83753376,253,108.8,180,0.5189803540706635,0.116162109375,-0.03516806697007269,0.2,116.54203740358352,-10.035336863994598,0.0003,0.010978822,0.8472540378570557,40.51136779785156,,
40000,,,,,,190,0.7211170494556427,0.191015625,-0.04251435005571693,0.2,70.43194257616997,-9.975600892305375,0.0003,0.0153608695,0.839458703994751,31.84684944152832,913.9,771.3329553484916
40960,20,167,-82.57923516,245,98.03,,,,,,,,,,,,,
43008,21,171,-76.70074916,250,91.7,200,0.7099485993385315,0.14208984375,-0.038868325730436484,0.2,95.86910977363587,-9.936391830444336,0.0003,0.012929471,0.8369494676589966,39.54885482788086,,
45000,,,,,,210,0.6671133637428284,0.1466796875,-0.0363281737518264,0.2,76.69111610651017,-9.896875366568565,0.0003,0.012759095,0.8313150405883789,48.45193862915039,650.5,521.4641501650215
45056,22,182,-90.56360999999998,247,108.69,,,,,,,,,,,,,
47104,23,186,-95.43283159,252,115.36,220,0.7033372819423676,0.11953125,-0.03581247522379272,0.2,91.00504430532456,-9.83277169764042,0.0003,0.011346141,0.8238991498947144,52.0802116394043,,
49152,24,191,-91.74256532,257,111.65,230,0.7141775488853455,0.16298828125,-0.04117395582725294,0.2,92.11933772563934,-9.757637694478035,0.0003,0.01529857,0.8161965608596802,54.31887435913086,,
