rollout/ep_rew_mean,time/time_elapsed,time/episodes,time/fps,rollout/ep_len_mean,time/total_timesteps,train/learning_rate,train/n_updates,train/actor_loss,train/critic_loss,eval/mean_ep_length,eval/mean_reward
3.0,1,120,209,3.0,412,0.001,310,-1.4677658677101135,0.012296997010707855,,
3.0,2,124,207,3.0,424,0.001,322,-1.507254958152771,0.012556216369072596,,
3.0,2,128,206,3.0,436,0.001,334,-1.5148549675941467,0.019702676683664322,,
3.0,2,132,204,3.0,448,0.001,346,-1.4925431609153748,0.014696747375031313,,
3.0,2,136,202,3.0,460,0.001,358,-1.529797911643982,0.011693133817364773,,
3.0,2,140,201,3.0,472,0.001,370,-1.5579044222831726,0.0126154157333076,,
3.0,2,144,200,3.0,484,0.001,382,-1.544193685054779,0.021133785446484882,,
3.0,2,148,199,3.0,496,0.001,394,-1.5509085059165955,0.012772655114531517,,
3.0,2,152,198,3.0,508,0.001,406,-1.608841598033905,0.0150125902146101,,
3.0,2,156,198,3.0,520,0.001,418,-1.5764011144638062,0.022353993107875187,,
3.0,2,160,197,3.0,532,0.001,430,-1.6161211133003235,0.00887263286858797,,
3.0,2,164,195,3.0,544,0.001,442,-1.5860832333564758,0.008930425625294447,,
3.0,2,168,194,3.0,556,0.001,454,-1.543326199054718,0.014229844945172468,,
3.0,2,172,193,3.0,568,0.001,466,-1.6167611479759216,0.013072467253853878,,
3.0,3,176,192,3.0,580,0.001,478,-1.6340453028678894,0.01541922086228927,,
3.0,3,180,191,3.0,592,0.001,490,-1.6559466123580933,0.007973285391926765,,
3.0,3,184,189,3.0,604,0.001,502,-1.6881858110427856,0.011868207405010859,,
3.0,3,188,188,3.0,616,0.001,514,-1.6326687335968018,0.028824198991060257,,
3.0,3,192,187,3.0,628,0.001,526,-1.655263066291809,0.02143927477300167,,
3.0,3,196,187,3.0,640,0.001,538,-1.6775023341178894,0.01662239556511243,,
3.0,3,200,187,3.0,652,0.001,550,-1.6303353309631348,0.015002467669546604,,
